Fund Level
Fund Name,iShares Edge MSCI Multifactor USA ETF
Fund Ticker,LRGF
Fund ISIN,US46434V2824
Fund Cusip,46434V282
Fund LEI,
Total NAV per share,29.337575,Jan 22 2019
Distribution per Share,,
Fund Size,1004811943.75,Jan 22 2019
Shares Outstanding,34250000,Jan 22 2019
Baskets Outstanding,685.000000000000,Jan 22 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 23 2019
Settlement Date,
Shares per Basket (PNU),50000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,1978.32,Jan 23 2019
Projected Cash for Deliverable Basket,12075.95,Jan 23 2019
Confirmed Cash for Deliverable Basket,12083.54,Jan 22 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,ACCENTURE PLC CLASS A,,G1151C101,IE00B4BNMY34,B4BNMY3,8,8.10073,0.00000,148.970000,USD,1.000000,,,,,,,
EQUITY,AFLAC INC,,001055102,US0010551028,2026361,500,500.10073,0.00000,47.390000,USD,1.000000,,,,,,,
EQUITY,AGILENT TECHNOLOGIES INC,,00846U101,US00846U1016,2520153,208,207.56350,0.00000,71.320000,USD,1.000000,,,,,,,
EQUITY,AGNC INVESTMENT REIT CORP,,00123Q104,US00123Q1040,BYYHJL8,266,266.15182,0.00000,17.940000,USD,1.000000,,,,,,,
EQUITY,AKAMAI TECHNOLOGIES INC,,00971T101,US00971T1016,2507457,110,110.47883,0.00000,64.510000,USD,1.000000,,,,,,,
EQUITY,ALIGN TECHNOLOGY INC,,016255101,US0162551016,2679204,50,49.71387,0.00000,216.160000,USD,1.000000,,,,,,,
EQUITY,ALLEGHANY  CORP,,017175100,US0171751003,2016801,10,9.72263,0.00000,617.730000,USD,1.000000,,,,,,,
EQUITY,ALLY FINANCIAL INC,,02005N100,US02005N1000,B72XK05,275,275.10511,0.00000,25.660000,USD,1.000000,,,,,,,
EQUITY,AMAZON COM INC,,023135106,US0231351067,2000019,7,6.65547,0.00000,1632.170000,USD,1.000000,,,,,,,
EQUITY,AMERCO,,023586100,US0235861004,2028174,6,5.72117,0.00000,348.360000,USD,1.000000,,,,,,,
EQUITY,AMEREN CORP,,023608102,US0236081024,2050832,159,159.03358,0.00000,67.580000,USD,1.000000,,,,,,,
EQUITY,ANSYS INC,,03662Q105,US03662Q1058,2045623,55,54.93139,0.00000,161.030000,USD,1.000000,,,,,,,
EQUITY,ANTERO RESOURCES CORP,,03674X106,US03674X1063,BFD2WR8,134,133.93869,0.00000,10.380000,USD,1.000000,,,,,,,
EQUITY,ANTHEM INC,,036752103,US0367521038,BSPHGL4,126,126.40876,0.00000,264.570000,USD,1.000000,,,,,,,
EQUITY,APACHE CORP,,037411105,US0374111054,2043962,249,249.26423,0.00000,31.520000,USD,1.000000,,,,,,,
EQUITY,APPLE INC,,037833100,US0378331005,2046251,143,142.76058,0.00000,153.300000,USD,1.000000,,,,,,,
EQUITY,ARCHER DANIELS MIDLAND,,039483102,US0394831020,2047317,364,364.46569,0.00000,43.560000,USD,1.000000,,,,,,,
EQUITY,ARROW ELECTRONICS INC,,042735100,US0427351004,2051404,57,56.97956,0.00000,73.710000,USD,1.000000,,,,,,,
EQUITY,AT&T INC,,00206R102,US00206R1023,2831811,1219,1219.27883,0.00000,30.580000,USD,1.000000,,,,,,,
EQUITY,ATHENE HOLDING LTD CLASS A,,G0684D107,BMG0684D1074,BZ13MZ1,74,73.84672,0.00000,42.300000,USD,1.000000,,,,,,,
EQUITY,ATMOS ENERGY CORP,,049560105,US0495601058,2315359,72,72.48467,0.00000,95.200000,USD,1.000000,,,,,,,
EQUITY,AUTOLIV INC,,052800109,US0528001094,2064253,57,56.79562,0.00000,76.800000,USD,1.000000,,,,,,,
EQUITY,AVERY DENNISON CORP,,053611109,US0536111091,2066408,57,56.96642,0.00000,96.510000,USD,1.000000,,,,,,,
EQUITY,AXA EQUITABLE HOLDINGS INC,,054561105,US0545611057,BYWV2Y6,155,155.29635,0.00000,18.450000,USD,1.000000,,,,,,,
EQUITY,BEST BUY INC,,086516101,US0865161014,2094670,164,163.90511,0.00000,57.770000,USD,1.000000,,,,,,,
EQUITY,BORGWARNER INC,,099724106,US0997241064,2111955,136,136.11679,0.00000,40.020000,USD,1.000000,,,,,,,
EQUITY,BRISTOL MYERS SQUIBB,,110122108,US1101221083,2126335,268,267.75328,0.00000,49.720000,USD,1.000000,,,,,,,
EQUITY,BROADRIDGE FINANCIAL SOLUTIONS INC,,11133T103,US11133T1034,B1VP7R6,76,75.79708,0.00000,99.640000,USD,1.000000,,,,,,,
EQUITY,BUNGE LTD,,G16962105,BMG169621056,2788713,92,91.92993,0.00000,51.890000,USD,1.000000,,,,,,,
EQUITY,CAMDEN PROPERTY TRUST REIT,,133131102,US1331311027,2166320,60,60.49635,0.00000,91.760000,USD,1.000000,,,,,,,
EQUITY,CAPRI HOLDINGS LTD,,G1890L107,VGG1890L1076,BJ1N1M9,97,97.28175,0.00000,41.290000,USD,1.000000,,,,,,,
