Fund Level
Fund Name,iShares MSCI China ETF
Fund Ticker,MCHI
Fund ISIN,US46429B6719
Fund Cusip,46429B671
Fund LEI,
Total NAV per share,55.881432,Jan 22 2019
Distribution per Share,,
Fund Size,4001110531.20,Jan 22 2019
Shares Outstanding,71600000,Jan 22 2019
Baskets Outstanding,358.000000000000,Jan 22 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 23 2019
Settlement Date,
Shares per Basket (PNU),200000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,3700.92,Jan 23 2019
Projected Cash for Deliverable Basket,54482.25,Jan 23 2019
Confirmed Cash for Deliverable Basket,50717.52,Jan 22 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,3SBIO INC,,G8875G102,KYG8875G1029,BY9D3L9,9500,9500.00000,0.00000,1.504028,HKD,1.000000,,,,,,,
EQUITY,51JOB ADR REPRESENTING INC,,316827104,US3168271043,B02TT74,175,175.00000,0.00000,66.250000,USD,1.000000,,,,,,,
EQUITY,58.COM ADR REPRESENTING  INC CLASS,,31680Q104,US31680Q1040,BG3GS91,675,675.00000,0.00000,60.060000,USD,1.000000,,,,,,,
EQUITY,AAC TECHNOLOGIES HOLDINGS INC,,G2953R114,KYG2953R1149,B85LKS1,5500,5500.00000,0.00000,5.805802,HKD,1.000000,,,,,,,
EQUITY,AGILE GROUP HOLDINGS LTD,,G01198103,KYG011981035,B0PR2F4,12000,12000.00000,0.00000,1.198124,HKD,1.000000,,,,,,,
EQUITY,AGRICULTURAL BANK OF CHINA LTD A,,Y00289101,CNE100000RJ0,BP3R228,10000,10005.58659,0.00000,0.524114,CNY,1.000000,,,,,,,
EQUITY,AGRICULTURAL BANK OF CHINA LTD H,,Y00289119,CNE100000Q43,B60LZR6,209000,209000.00000,0.00000,0.452483,HKD,1.000000,,,,,,,
EQUITY,AIR CHINA LTD H,,Y002A6104,CNE1000001S0,B04KNF1,14000,14000.00000,0.00000,0.936831,HKD,1.000000,,,,,,,
EQUITY,ALIBABA GROUP HOLDING ADR REPRESEN,,01609W102,US01609W1027,BP41ZD1,9377,9377.00000,0.00000,152.150000,USD,1.000000,,,,,,,
EQUITY,ALIBABA HEALTH INFORMATION TECH LT,,G0171K101,BMG0171K1018,BRXVS60,26000,26000.00000,0.00000,0.871826,HKD,1.000000,,,,,,,
EQUITY,ALIBABA PICTURES GROUP LTD,,G0171W105,BMG0171W1055,BPYM749,110000,110000.00000,0.00000,0.166973,HKD,1.000000,,,,,,,
