Fund Level
Fund Name,iShares U.S. Preferred Stock ETF
Fund Ticker,PFF
Fund ISIN,US4642886877
Fund Cusip,464288687
Fund LEI,
Total NAV per share,35.493198,Jan 22 2019
Distribution per Share,,
Fund Size,13700374428.00,Jan 22 2019
Shares Outstanding,386000000,Jan 22 2019
Baskets Outstanding,7720.000000000000,Jan 22 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 23 2019
Settlement Date,
Shares per Basket (PNU),50000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,129377.97,Jan 23 2019
Projected Cash for Deliverable Basket,554086.94,Jan 23 2019
Confirmed Cash for Deliverable Basket,554625.09,Jan 22 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,AEGON NV,,007924301,NL0000021541,B09QV50,526,525.50000,0.00000,25.650000,USD,1.000000,,,,,,,
EQUITY,AEGON NV,,007924400,NL0000062420,B0VR775,271,271.14637,0.00000,25.690000,USD,1.000000,,,,,,,
EQUITY,AEGON NV,,007924509,NL0000062438,B0VR708,135,135.43653,0.00000,20.320000,USD,1.000000,,,,,,,
EQUITY,AGNC INVESTMENT CORP,,00123Q500,US00123Q5009,BDH3TH2,0,194.13212,0.00000,25.460000,USD,1.000000,,,,,,,
EQUITY,AGNC INVESTMENT DS REPRESENTING  T,,00123Q302,US00123Q3020,BD87TX9,0,105.72733,0.00000,25.190000,USD,1.000000,,,,,,,
EQUITY,ALABAMA POWER COMPANY,,010392462,US0103924629,BF2FQN2,143,143.13990,0.00000,25.030000,USD,1.000000,,,,,,,
EQUITY,ALLIANZGI CONVERTIBLE & INCOME FUN,,018825802,US0188258026,BG00CW7,59,59.42474,0.00000,23.300000,USD,1.000000,,,,,,,
EQUITY,ALLIANZGI CONVERTIBLE & INCOME FUN,,018828707,US0188287074,BDZ4FP7,53,53.49132,0.00000,24.110000,USD,1.000000,,,,,,,
EQUITY,ALLIED CAPITAL CORP,,01903Q207,US01903Q2075,B1W52X6,120,119.81010,0.00000,25.110000,USD,1.000000,,,,,,,
EQUITY,ALLSTATE CORP,,020002879,US0200028795,BK1R0Y3,397,396.50000,0.00000,25.250000,USD,1.000000,,,,,,,
