Fund Level
Fund Name,iShares Global REIT ETF
Fund Ticker,REET
Fund ISIN,US46434V6478
Fund Cusip,46434V647
Fund LEI,
Total NAV per share,24.839042,Jan 22 2019
Distribution per Share,,
Fund Size,1400921968.80,Jan 22 2019
Shares Outstanding,56400000,Jan 22 2019
Baskets Outstanding,1128.000000000000,Jan 22 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 23 2019
Settlement Date,
Shares per Basket (PNU),50000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,3934.67,Jan 23 2019
Projected Cash for Deliverable Basket,55012.12,Jan 23 2019
Confirmed Cash for Deliverable Basket,55004.24,Jan 22 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,ACADIA REALTY TRUST REIT,,004239109,US0042391096,2566522,82,82.55230,0.00000,26.260000,USD,1.000000,,,,,,,
EQUITY,ACTIVIA PROPERTIES REIT INC,,J00089102,JP3047490002,B8BSRY1,0,0.51418,0.00000,4184.941520,JPY,1.000000,,,,,,,
EQUITY,ADVANCE RESIDENCE INVESTMENT REIT,,J00184101,JP3047160001,B62WZW2,1,1.20921,0.00000,2928.545322,JPY,1.000000,,,,,,,
EQUITY,AEDIFICA REIT SA,,B0130A108,BE0003851681,B1G5XP1,19,19.50975,0.00000,87.672179,EUR,1.000000,,,,,,,
EQUITY,AEON REIT INVESTMENT REIT CORP,,J10006104,JP3047650001,BFSSCF9,1,1.61170,0.00000,1193.347953,JPY,1.000000,,,,,,,
EQUITY,AGREE REALTY REIT CORP,,008492100,US0084921008,2062161,34,34.85549,0.00000,61.970000,USD,1.000000,,,,,,,
EQUITY,AKIS GAYRIMENKUL YATIRIM ORTAKLIGI,,M0371U100,TREAIGY00017,B8055M7,78,78.00000,0.00000,0.496166,TRY,1.000000,,,,,,,
EQUITY,ALEXANDERS REIT INC,,014752109,US0147521092,2014021,2,2.21808,0.00000,314.010000,USD,1.000000,,,,,,,
EQUITY,ALEXANDRIA REAL ESTATE EQUITIES RE,,015271109,US0152711091,2009210,111,111.43351,0.00000,124.380000,USD,1.000000,,,,,,,
EQUITY,ALLIED PROPERTIES REAL ESTATE INVE,,019456102,CA0194561027,2387701,105,105.68705,0.00000,34.604281,CAD,1.000000,,,,,,,
EQUITY,ALSTRIA OFFICE REIT AG,,D0378R100,DE000A0LD2U1,B1VP947,170,170.78989,0.00000,14.479537,EUR,1.000000,,,,,,,
EQUITY,AMERICAN ASSETS TRUST REIT INC,,024013104,US0240131047,B3NTLD4,40,40.68882,0.00000,40.470000,USD,1.000000,,,,,,,
EQUITY,AMERICAN CAMPUS COMMUNITIES REIT I,,024835100,US0248351001,B02H871,143,143.10549,0.00000,43.740000,USD,1.000000,,,,,,,
EQUITY,AMERICAN HOMES  RENT REIT CLASS A,,02665T306,US02665T3068,BCF5RR9,270,270.81914,0.00000,21.270000,USD,1.000000,,,,,,,
EQUITY,AMERICOLD REALTY TRUST,,03064D108,US03064D1081,B3SKZK7,88,88.63120,0.00000,28.310000,USD,1.000000,,,,,,,
EQUITY,APARTMENT INVESTMENT AND MANAGEMEN,,03748R101,US03748R1014,2057059,162,162.75531,0.00000,47.070000,USD,1.000000,,,,,,,
EQUITY,APPLE HOSPITALITY REIT INC,,03784Y200,US03784Y2000,BXRTX56,223,223.20921,0.00000,15.490000,USD,1.000000,,,,,,,
EQUITY,ARTIS REAL ESTATE INVESTMENT TRUST,,04315L105,CA04315L1058,B0XZXV3,143,143.00709,0.00000,7.535710,CAD,1.000000,,,,,,,
EQUITY,ASCENDAS REAL ESTATE INVESTMENT TR,,Y0205X103,SG1M77906915,6563875,2700,2701.10815,0.00000,1.992794,SGD,1.000000,,,,,,,
EQUITY,ASCOTT RESIDENCE TRUST UNITS,,Y0261Y102,SG1T08929278,B10SSL7,1300,1344.53191,0.00000,0.845650,SGD,1.000000,,,,,,,
EQUITY,ASHFORD HOSPITALITY TRUST REIT INC,,044103109,US0441031095,2310116,86,86.70035,0.00000,4.680000,USD,1.000000,,,,,,,
EQUITY,ASSURA REIT PLC,,G2386T109,GB00BVGBWW93,BVGBWW9,2426,2426.28457,0.00000,0.711450,GBP,1.000000,,,,,,,
EQUITY,ATTACQ LIMITED LTD,,S1244P108,ZAE000177218,BFH3QX1,578,578.53812,0.00000,1.094374,ZAR,1.000000,,,,,,,
EQUITY,AVALONBAY COMMUNITIES REIT INC,,053484101,US0534841012,2131179,145,145.27925,0.00000,184.030000,USD,1.000000,,,,,,,
EQUITY,BEFIMMO SA,,B09186105,BE0003678894,4082628,22,22.10904,0.00000,56.044327,EUR,1.000000,,,,,,,
EQUITY,BIG YELLOW GROUP PLC,,G1093E108,GB0002869419,0286941,155,155.01684,0.00000,12.155550,GBP,1.000000,,,,,,,
EQUITY,BOARDWALK REAL ESTATE INVESTMENT T,,096631106,CA0966311064,B011205,39,39.73404,0.00000,29.318037,CAD,1.000000,,,,,,,
EQUITY,BOSTON PROPERTIES REIT INC,,101121101,US1011211018,2019479,161,161.70656,0.00000,121.210000,USD,1.000000,,,,,,,
EQUITY,BRANDYWINE REALTY TRUST REIT,,105368203,US1053682035,2518954,181,181.45656,0.00000,14.290000,USD,1.000000,,,,,,,
EQUITY,BRITISH LAND REIT PLC,,G15540118,GB0001367019,0136701,1022,1022.94237,0.00000,7.218167,GBP,1.000000,,,,,,,
EQUITY,BRIXMOR PROPERTY GROUP REIT INC,,11120U105,US11120U1051,BFTDJL8,313,313.57446,0.00000,16.110000,USD,1.000000,,,,,,,
EQUITY,BROOKFIELD PROPERTY REIT INC CLASS,,11282X103,US11282X1037,BGHFKV0,131,131.83421,0.00000,17.250000,USD,1.000000,,,,,,,
EQUITY,BWP TRUST,,Q1892D102,AU000000BWP3,6127453,528,528.07358,0.00000,2.612507,AUD,1.000000,,,,,,,
EQUITY,CAMDEN PROPERTY TRUST REIT,,133131102,US1331311027,2166320,92,92.52659,0.00000,91.760000,USD,1.000000,,,,,,,
EQUITY,CANADIAN APARTMENT PROPERTIES REAL,,134921105,CA1349211054,2117599,151,151.01950,0.00000,34.109399,CAD,1.000000,,,,,,,
EQUITY,CAPITAL & REGIONAL REIT PLC,,G1846K138,GB0001741544,0174154,708,708.03634,0.00000,0.380995,GBP,1.000000,,,,,,,
EQUITY,CAPITALAND COMMERCIAL TRUST,,Y1091N100,SG1P32918333,B011YD2,2600,2615.03900,0.00000,1.345687,SGD,1.000000,,,,,,,
EQUITY,CAPITALAND MALL TRUST,,Y1100L160,SG1M51904654,6420129,2500,2517.55319,0.00000,1.669240,SGD,1.000000,,,,,,,
EQUITY,CAPITALAND RETAIL CHINA TRUST,,Y1092E109,SG1U25933169,B1HL3P8,600,664.89361,0.00000,1.036841,SGD,1.000000,,,,,,,
EQUITY,CARETRUST REIT INC,,14174T107,US14174T1079,BMP8TL6,0,81.32624,0.00000,20.070000,USD,1.000000,,,,,,,
EQUITY,CARMILA SA,,F1625D132,FR0010828137,B4Y0230,33,33.89982,0.00000,18.647373,EUR,1.000000,,,,,,,
EQUITY,CBL AND ASSOCIATES PROPERTIES REIT,,124830100,US1248301004,2167475,159,159.85372,0.00000,2.350000,USD,1.000000,,,,,,,
EQUITY,CDL HOSPITALITY REIT UNITS,,Y1233P104,SG1T66931158,B192HG8,900,900.00000,0.00000,1.154497,SGD,1.000000,,,,,,,
EQUITY,CHAMPION REAL ESTATE INVESTMENT TR,,Y1292D109,HK2778034606,B14WZ47,2000,2128.54609,0.00000,0.717600,HKD,1.000000,,,,,,,
EQUITY,CHARTER HALL RETAIL UNITS,,Q2308D108,AU000000CQR9,6225595,362,362.72251,0.00000,3.226375,AUD,1.000000,,,,,,,
EQUITY,CHATHAM LODGING TRUST REIT,,16208T102,US16208T1025,B5LYMC1,47,47.04432,0.00000,19.290000,USD,1.000000,,,,,,,
EQUITY,CHESAPEAKE LODGING TRUST REIT,,165240102,US1652401027,B4TC8L1,63,63.05407,0.00000,26.600000,USD,1.000000,,,,,,,
EQUITY,CHOICE PROPERTIES REAL ESTATE INVE,,17039A106,CA17039A1066,BBX46Q3,233,233.91932,0.00000,9.275297,CAD,1.000000,,,,,,,
EQUITY,CIVITAS SOCIAL HOUSING PLC,,G2251U108,GB00BD8HBD32,BD8HBD3,714,714.45124,0.00000,1.321819,GBP,1.000000,,,,,,,
EQUITY,COFINIMMO REIT SA,,B25654136,BE0003593044,4177988,24,24.75709,0.00000,126.738538,EUR,1.000000,,,,,,,
