Fund Level
Fund Name,iShares Residential Real Estate ETF
Fund Ticker,REZ
Fund ISIN,US4642885622
Fund Cusip,464288562
Fund LEI,
Total NAV per share,65.687558,Jan 22 2019
Distribution per Share,,
Fund Size,328437790.00,Jan 22 2019
Shares Outstanding,5000000,Jan 22 2019
Baskets Outstanding,100.000000000000,Jan 22 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 23 2019
Settlement Date,
Shares per Basket (PNU),50000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,341.07,Jan 23 2019
Projected Cash for Deliverable Basket,26858.8,Jan 23 2019
Confirmed Cash for Deliverable Basket,26899.77,Jan 22 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,AMERICAN CAMPUS COMMUNITIES REIT I,,024835100,US0248351001,B02H871,1598,1598.39000,0.00000,43.740000,USD,1.000000,,,,,,,
EQUITY,AMERICAN HOMES  RENT REIT CLASS A,,02665T306,US02665T3068,BCF5RR9,3034,3033.93000,0.00000,21.270000,USD,1.000000,,,,,,,
EQUITY,APARTMENT INVESTMENT AND MANAGEMEN,,03748R101,US03748R1014,2057059,1812,1812.32000,0.00000,47.070000,USD,1.000000,,,,,,,
EQUITY,AVALONBAY COMMUNITIES REIT INC,,053484101,US0534841012,2131179,1377,1376.80000,0.00000,184.030000,USD,1.000000,,,,,,,
EQUITY,BLUEROCK RESIDENTIAL GROWTH REIT C,,09627J102,US09627J1025,BKWBZX8,283,283.44000,0.00000,10.660000,USD,1.000000,,,,,,,
EQUITY,BRT APARTMENTS CORP,,055645303,US0556453035,2068512,110,109.75000,0.00000,13.910000,USD,1.000000,,,,,,,
EQUITY,CAMDEN PROPERTY TRUST REIT,,133131102,US1331311027,2166320,1042,1041.92000,0.00000,91.760000,USD,1.000000,,,,,,,
EQUITY,CARETRUST REIT INC,,14174T107,US14174T1079,BMP8TL6,0,969.33000,0.00000,20.070000,USD,1.000000,,,,,,,
EQUITY,CLIPPER REALTY INC,,18885T306,US18885T3068,BYPD5H3,177,177.17000,0.00000,13.200000,USD,1.000000,,,,,,,
EQUITY,COMMUNITY HEALTHCARE TRUST INC,,20369C106,US20369C1062,BXC87C3,204,204.21000,0.00000,32.220000,USD,1.000000,,,,,,,
EQUITY,CUBESMART REIT,,229663109,US2296631094,B6SW913,2175,2175.41000,0.00000,29.190000,USD,1.000000,,,,,,,
EQUITY,EQUITY LIFESTYLE PROPERTIES REIT I,,29472R108,US29472R1086,2563125,1005,1004.61000,0.00000,101.830000,USD,1.000000,,,,,,,
EQUITY,EQUITY RESIDENTIAL REIT,,29476L107,US29476L1070,2319157,3579,3579.15000,0.00000,70.400000,USD,1.000000,,,,,,,
EQUITY,ESSEX PROPERTY TRUST REIT INC,,297178105,US2971781057,2316619,656,655.56000,0.00000,261.270000,USD,1.000000,,,,,,,
EQUITY,EXTRA SPACE STORAGE REIT INC,,30225T102,US30225T1025,B02HWR9,1432,1432.09000,0.00000,92.350000,USD,1.000000,,,,,,,
EQUITY,FRONT YARD RESIDENTIAL CORP,,35904G107,US35904G1076,BDSHDS2,579,578.69000,0.00000,10.180000,USD,1.000000,,,,,,,
EQUITY,GLOBAL MEDICAL REIT INC,,37954A204,US37954A2042,BSNMBW7,226,226.45000,0.00000,9.550000,USD,1.000000,,,,,,,
EQUITY,HCP REIT INC,,40414L109,US40414L1098,2417578,5063,5062.50000,0.00000,29.900000,USD,1.000000,,,,,,,
EQUITY,HEALTHCARE REALTY TRUST REIT INC,,421946104,US4219461047,2417921,1447,1446.51000,0.00000,30.510000,USD,1.000000,,,,,,,
EQUITY,HEALTHCARE TRUST OF AMERICA REIT I,,42225P501,US42225P5017,BT9QF28,2420,2420.13000,0.00000,26.890000,USD,1.000000,,,,,,,
EQUITY,INDEPENDENCE REALTY INC TRUST,,45378A106,US45378A1060,BCRYTK1,1019,1018.75000,0.00000,10.070000,USD,1.000000,,,,,,,
EQUITY,INVESTORS REAL ESTATE TRUST REIT,,461730509,US4617305093,BFWQ204,140,139.89000,0.00000,57.330000,USD,1.000000,,,,,,,
EQUITY,INVITATION HOMES INC,,46187W107,US46187W1071,BD81GW9,3506,3505.51000,0.00000,21.080000,USD,1.000000,,,,,,,
EQUITY,LIFE STORAGE INC,,53223X107,US53223X1072,BDCSFJ6,538,537.73000,0.00000,93.540000,USD,1.000000,,,,,,,
EQUITY,LTC PROPERTIES REIT INC,,502175102,US5021751020,2498788,460,459.51000,0.00000,44.030000,USD,1.000000,,,,,,,
EQUITY,MEDEQUITIES REALTY INC TRUST,,58409L306,US58409L3069,BD845V0,338,338.02000,0.00000,10.870000,USD,1.000000,,,,,,,
EQUITY,MEDICAL PROPERTIES TRUST REIT INC,,58463J304,US58463J3041,B0JL5L9,4258,4257.91000,0.00000,16.990000,USD,1.000000,,,,,,,
EQUITY,MID AMERICA APARTMENT COMMUNITIES,,59522J103,US59522J1034,2589132,1331,1331.17000,0.00000,99.850000,USD,1.000000,,,,,,,
EQUITY,NATIONAL HEALTH INVESTORS REIT INC,,63633D104,US63633D1046,2626125,477,477.02000,0.00000,78.890000,USD,1.000000,,,,,,,
EQUITY,NATIONAL STORAGE AFFILIATES TRUST,,637870106,US6378701063,BWWCK85,662,661.87000,0.00000,26.560000,USD,1.000000,,,,,,,
EQUITY,NEW SENIOR INVESTMENT GROUP INC,,648691103,US6486911034,BRWZXS0,880,879.60000,0.00000,4.810000,USD,1.000000,,,,,,,
EQUITY,NEXPOINT RESIDENTIAL TRUST INC,,65341D102,US65341D1028,BWC6PW6,215,215.33000,0.00000,36.330000,USD,1.000000,,,,,,,
EQUITY,OMEGA HEALTHCARE INVESTORS REIT IN,,681936100,US6819361006,2043274,2323,2323.37000,0.00000,37.960000,USD,1.000000,,,,,,,
EQUITY,PHYSICIANS REALTY TRUST REIT,,71943U104,US71943U1043,BC9S149,2131,2131.02000,0.00000,16.890000,USD,1.000000,,,,,,,
