Fund Level
Fund Name,iShares Global Consumer Discretionary ETF
Fund Ticker,RXI
Fund ISIN,US4642887453
Fund Cusip,464288745
Fund LEI,
Total NAV per share,106.871775,Jan 22 2019
Distribution per Share,,
Fund Size,288553792.50,Jan 22 2019
Shares Outstanding,2700000,Jan 22 2019
Baskets Outstanding,54.000000000000,Jan 22 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 23 2019
Settlement Date,
Shares per Basket (PNU),50000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,10659.05,Jan 23 2019
Projected Cash for Deliverable Basket,40973.43,Jan 23 2019
Confirmed Cash for Deliverable Basket,41039.75,Jan 22 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,ACCOR SA,,F00189120,FR0000120404,5852842,280,280.61111,0.00000,44.233567,EUR,1.000000,,,,,,,
EQUITY,ADIDAS N AG,,D0066B185,DE000A1EWWW0,4031976,252,252.85185,0.00000,233.716767,EUR,1.000000,,,,,,,
EQUITY,ADVANCE AUTO PARTS INC,,00751Y106,US00751Y1064,2822019,104,104.03703,0.00000,164.130000,USD,1.000000,,,,,,,
EQUITY,AISIN SEIKI LTD,,J00714105,JP3102000001,6010702,300,300.00000,0.00000,39.427997,JPY,1.000000,,,,,,,
EQUITY,AMAZON COM INC,,023135106,US0231351067,2000019,592,592.20370,0.00000,1632.170000,USD,1.000000,,,,,,,
EQUITY,APTIV PLC,,G6095L109,JE00B783TY65,B783TY6,382,382.00000,0.00000,71.720000,USD,1.000000,,,,,,,
EQUITY,ARISTOCRAT LEISURE LTD,,Q0521T108,AU000000ALL7,6253983,946,946.07407,0.00000,17.588028,AUD,1.000000,,,,,,,
EQUITY,AUTOZONE INC,,053332102,US0533321024,2065955,36,36.24074,0.00000,829.200000,USD,1.000000,,,,,,,
EQUITY,BANDAI NAMCO HOLDINGS INC,,Y0606D102,JP3778630008,B0JDQD4,300,300.00000,0.00000,43.220029,JPY,1.000000,,,,,,,
EQUITY,BARRATT DEVELOPMENTS PLC,,G08288105,GB0000811801,0081180,1448,1448.00000,0.00000,6.901968,GBP,1.000000,,,,,,,
EQUITY,BERKELEY GROUP HOLDINGS (THE) PLC,,G1191G120,GB00B02L3W35,B02L3W3,212,212.40740,0.00000,49.062805,GBP,1.000000,,,,,,,
EQUITY,BEST BUY INC,,086516101,US0865161014,2094670,329,329.40740,0.00000,57.770000,USD,1.000000,,,,,,,
EQUITY,BMW AG,,D12096109,DE0005190003,5756029,486,486.68518,0.00000,82.595823,EUR,1.000000,,,,,,,
EQUITY,BMW PREF AG,,D12096125,DE0005190037,5756030,80,80.00000,0.00000,72.113774,EUR,1.000000,,,,,,,
EQUITY,BOOKING HOLDINGS INC,,09857L108,US09857L1089,BDRXDB4,67,67.00000,0.00000,1708.980000,USD,1.000000,,,,,,,
EQUITY,BORGWARNER INC,,099724106,US0997241064,2111955,304,304.01851,0.00000,40.020000,USD,1.000000,,,,,,,
EQUITY,BRIDGESTONE CORP,,J04578126,JP3830800003,6132101,900,900.00000,0.00000,39.007675,JPY,1.000000,,,,,,,
EQUITY,BURBERRY GROUP PLC,,G1700D105,GB0031743007,3174300,602,602.03703,0.00000,23.015198,GBP,1.000000,,,,,,,
EQUITY,CANADIAN TIRE LTD CLASS A,,136681202,CA1366812024,2172286,94,94.00000,0.00000,110.733701,CAD,1.000000,,,,,,,
EQUITY,CAPRI HOLDINGS LTD,,G1890L107,VGG1890L1076,BJ1N1M9,213,213.09259,0.00000,41.290000,USD,1.000000,,,,,,,
EQUITY,CARMAX INC,,143130102,US1431301027,2983563,252,252.00000,0.00000,59.450000,USD,1.000000,,,,,,,
EQUITY,CARNIVAL CORP,,143658300,PA1436583006,2523044,578,578.40740,0.00000,54.520000,USD,1.000000,,,,,,,
EQUITY,CARNIVAL PLC,,G19081101,GB0031215220,3121522,297,297.16666,0.00000,53.870597,GBP,1.000000,,,,,,,
EQUITY,CHIPOTLE MEXICAN GRILL INC,,169656105,US1696561059,B0X7DZ3,34,34.50000,0.00000,520.080000,USD,1.000000,,,,,,,
EQUITY,COMPAGNIE FINANCIERE RICHEMONT SA,,H25662182,CH0210483332,BCRWZ18,760,760.59259,0.00000,69.165998,CHF,1.000000,,,,,,,
EQUITY,COMPASS GROUP PLC,,G23296208,GB00BD6K4575,BD6K457,2340,2340.14814,0.00000,21.090786,GBP,1.000000,,,,,,,
EQUITY,CONTINENTAL AG,,D16212140,DE0005439004,4598589,157,157.00000,0.00000,151.325360,EUR,1.000000,,,,,,,
