Fund Level
Fund Name,iShares MSCI Japan Small-Cap ETF
Fund Ticker,SCJ
Fund ISIN,US4642865822
Fund Cusip,464286582
Fund LEI,
Total NAV per share,68.459315,Jan 22 2019
Distribution per Share,,
Fund Size,260145397.00,Jan 22 2019
Shares Outstanding,3800000,Jan 22 2019
Baskets Outstanding,38.000000000000,Jan 22 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 23 2019
Settlement Date,
Shares per Basket (PNU),100000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,2701.2,Jan 23 2019
Projected Cash for Deliverable Basket,65338.08,Jan 23 2019
Confirmed Cash for Deliverable Basket,65277.73,Jan 22 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,77 BANK LTD,,J71348106,JP3352000008,6804165,500,500.00000,0.00000,18.073830,JPY,1.000000,,,,,,,
EQUITY,ACHILLES CORP,,J00084103,JP3108000005,6496045,200,200.00000,0.00000,18.475877,JPY,1.000000,,,,,,,
EQUITY,ACTIVIA PROPERTIES REIT INC,,J00089102,JP3047490002,B8BSRY1,6,6.00000,0.00000,4184.941520,JPY,1.000000,,,,,,,
EQUITY,ADASTRIA LTD,,J0011S105,JP3856000009,6300016,300,300.00000,0.00000,19.462719,JPY,1.000000,,,,,,,
EQUITY,ADEKA CORP,,J0011Q109,JP3114800000,6054904,800,800.00000,0.00000,16.045322,JPY,1.000000,,,,,,,
EQUITY,ADVAN LTD,,J0018M101,JP3121950004,6050913,200,200.00000,0.00000,8.369883,JPY,1.000000,,,,,,,
EQUITY,ADVANCE RESIDENCE INVESTMENT REIT,,J00184101,JP3047160001,B62WZW2,12,12.00000,0.00000,2928.545322,JPY,1.000000,,,,,,,
EQUITY,ADVANTEST CORP,,J00210104,JP3122400009,6870490,1800,1800.00000,0.00000,19.947003,JPY,1.000000,,,,,,,
EQUITY,AEON DELIGHT LTD,,J0036F104,JP3389700000,6476218,200,200.00000,0.00000,36.823830,JPY,1.000000,,,,,,,
EQUITY,AEON FANTASY LTD,,J0673X103,JP3131420006,6439255,100,100.00000,0.00000,24.369518,JPY,1.000000,,,,,,,
EQUITY,AEON REIT INVESTMENT REIT CORP,,J10006104,JP3047650001,BFSSCF9,14,14.00000,0.00000,1193.347953,JPY,1.000000,,,,,,,
EQUITY,AI HOLDINGS CORP,,J0060P101,JP3105090009,B1TK201,400,400.00000,0.00000,17.964181,JPY,1.000000,,,,,,,
EQUITY,AICA KOGYO LTD,,J00252106,JP3100800006,6010047,500,500.00000,0.00000,34.128289,JPY,1.000000,,,,,,,
EQUITY,AICHI BANK LTD,,J07686108,JP3103000000,6196550,100,100.00000,0.00000,34.493787,JPY,1.000000,,,,,,,
EQUITY,AICHI CORP,,J00284109,JP3103200006,6010092,300,300.00000,0.00000,5.445906,JPY,1.000000,,,,,,,
EQUITY,AICHI STEEL CORP,,J0039M106,JP3103600007,6010207,100,100.00000,0.00000,32.300804,JPY,1.000000,,,,,,,
EQUITY,AIDA ENGINEERING LTD,,J00546101,JP3102400003,6010326,500,500.00000,0.00000,7.026681,JPY,1.000000,,,,,,,
EQUITY,AIFUL CORP,,J00557108,JP3105040004,6019419,3200,3200.00000,0.00000,2.448830,JPY,1.000000,,,,,,,
EQUITY,AIN HOLDINGS INC,,J00602102,JP3105250009,6249120,300,300.00000,0.00000,74.744152,JPY,1.000000,,,,,,,
EQUITY,AISAN INDUSTRY LTD,,J00672105,JP3101600009,6010649,300,300.00000,0.00000,6.871345,JPY,1.000000,,,,,,,
EQUITY,AKATSUKI INC,,J0105L107,JP3107000006,BYXBLB5,100,100.00000,0.00000,59.210526,JPY,1.000000,,,,,,,
EQUITY,AKEBONO BRAKE INDUSTRY LTD,,J01050103,JP3108400007,6011200,900,900.00000,0.00000,1.955409,JPY,1.000000,,,,,,,
EQUITY,AKITA BANK LTD,,J01092105,JP3107600003,6011653,200,200.00000,0.00000,20.230263,JPY,1.000000,,,,,,,
EQUITY,ALPEN LTD,,J01219104,JP3126470008,B0ZGMK6,200,200.00000,0.00000,15.725512,JPY,1.000000,,,,,,,
EQUITY,ALTECH CORP,,J01208107,JP3126350002,6029560,100,100.00000,0.00000,16.136696,JPY,1.000000,,,,,,,
EQUITY,AMANO CORP,,J01302108,JP3124400007,6027304,500,500.00000,0.00000,20.531798,JPY,1.000000,,,,,,,
EQUITY,AMUSE INC,,J0142S107,JP3124500004,6388238,100,100.00000,0.00000,22.094298,JPY,1.000000,,,,,,,
EQUITY,ANEST IWATA CORP,,J01544105,JP3122450004,6468141,300,300.00000,0.00000,8.707968,JPY,1.000000,,,,,,,
EQUITY,ANICOM HOLDINGS INC,,J0166U103,JP3122440005,B3PQXL5,200,200.00000,0.00000,31.980994,JPY,1.000000,,,,,,,
EQUITY,ANRITSU CORP,,J01554104,JP3128800004,6044109,1400,1400.00000,0.00000,14.437135,JPY,1.000000,,,,,,,
EQUITY,AOKI HOLDINGS INC,,J01638105,JP3105400000,6045759,400,400.00000,0.00000,11.970029,JPY,1.000000,,,,,,,
EQUITY,AOMORI BANK LTD,,J01680107,JP3106000007,6045823,200,200.00000,0.00000,26.324927,JPY,1.000000,,,,,,,
EQUITY,AOYAMA TRADING LTD,,J01722107,JP3106200003,6045878,400,400.00000,0.00000,24.716740,JPY,1.000000,,,,,,,
EQUITY,ARATA CORP,,J01911106,JP3125100002,6517515,100,100.00000,0.00000,40.021930,JPY,1.000000,,,,,,,
EQUITY,ARCLAND SAKAMOTO LTD,,J01953108,JP3100100001,6048004,200,200.00000,0.00000,12.326389,JPY,1.000000,,,,,,,
EQUITY,ARCLAND SERVICE HOLDINGS LTD,,J0201Q109,JP3100090004,B23QCF7,100,100.00000,0.00000,18.759137,JPY,1.000000,,,,,,,
EQUITY,ARCS LTD,,J0195H107,JP3968600001,6721930,400,400.00000,0.00000,22.944079,JPY,1.000000,,,,,,,
EQUITY,ARGO GRAPHICS INC,,J0195C108,JP3126110000,6133687,100,100.00000,0.00000,36.092836,JPY,1.000000,,,,,,,
EQUITY,ARIAKE JAPAN LTD,,J01964105,JP3125800007,6049632,200,200.00000,0.00000,62.408626,JPY,1.000000,,,,,,,
EQUITY,ARUHI CORP,,J0204S102,JP3126290000,BF25643,200,200.00000,0.00000,22.468933,JPY,1.000000,,,,,,,
EQUITY,AS ONE CORP,,J0332U102,JP3131300000,6480929,100,113.15789,0.00000,66.703216,JPY,1.000000,,,,,,,
EQUITY,ASAHI DIAMOND INDUSTRIAL LTD,,J02268100,JP3114400009,6054788,500,500.00000,0.00000,6.131213,JPY,1.000000,,,,,,,
EQUITY,ASAHI HOLDINGS INC,,J02773109,JP3116700000,B60DQZ7,400,400.00000,0.00000,21.345029,JPY,1.000000,,,,,,,
EQUITY,ASAHI LTD,,J02571107,JP3110500000,B01WP21,200,200.00000,0.00000,12.673611,JPY,1.000000,,,,,,,
EQUITY,ASKA PHARMACEUTICAL LTD,,J0326X104,JP3541200006,6880820,200,200.00000,0.00000,10.489766,JPY,1.000000,,,,,,,
EQUITY,ASKUL CORP,,J03325107,JP3119920001,6294498,200,200.00000,0.00000,21.427266,JPY,1.000000,,,,,,,
EQUITY,ATEAM INC,,J03467107,JP3160890004,B7LQNH3,100,100.00000,0.00000,15.067617,JPY,1.000000,,,,,,,
EQUITY,ATOM CORP,,J0338J101,JP3121900009,6012106,900,900.00000,0.00000,9.091740,JPY,1.000000,,,,,,,
EQUITY,AUTOBACS SEVEN LTD,,J03507100,JP3172500005,6068422,700,700.00000,0.00000,17.013889,JPY,1.000000,,,,,,,
EQUITY,AVEX INC,,J0356Q102,JP3160950006,6129073,300,300.00000,0.00000,13.395468,JPY,1.000000,,,,,,,
EQUITY,AWA BANK LTD,,J03612108,JP3126800006,6068961,400,400.00000,0.00000,26.873173,JPY,1.000000,,,,,,,
EQUITY,AXIAL RETAILING INC,,J0392L109,JP3772400002,6408976,100,100.00000,0.00000,32.894737,JPY,1.000000,,,,,,,
EQUITY,AZBIL CORP,,J0370G106,JP3937200008,6985543,1200,1200.00000,0.00000,20.020102,JPY,1.000000,,,,,,,
EQUITY,BANDO CHEMICAL INDUSTRIES LTD,,J03780129,JP3779000003,6075068,300,300.00000,0.00000,9.968933,JPY,1.000000,,,,,,,
