Fund Level
Fund Name,iShares MSCI EAFE Small-Cap ETF
Fund Ticker,SCZ
Fund ISIN,US4642882736
Fund Cusip,464288273
Fund LEI,
Total NAV per share,54.910532,Jan 22 2019
Distribution per Share,,
Fund Size,9170058844.00,Jan 22 2019
Shares Outstanding,167000000,Jan 22 2019
Baskets Outstanding,835.000000000000,Jan 22 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 23 2019
Settlement Date,
Shares per Basket (PNU),200000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,2787.59,Jan 23 2019
Projected Cash for Deliverable Basket,770041.03,Jan 23 2019
Confirmed Cash for Deliverable Basket,781247,Jan 22 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,77 BANK LTD,,J71348106,JP3352000008,6804165,300,385.50898,0.00000,18.073830,JPY,1.000000,,,,,,,
EQUITY,888 HOLDINGS PLC,,X19526106,GI000A0F6407,B0L4LM9,1454,1454.77724,0.00000,2.181001,GBP,1.000000,,,,,,,
EQUITY,A2A,,T0579B105,IT0001233417,5499131,7346,7346.43233,0.00000,1.782970,EUR,1.000000,,,,,,,
EQUITY,AA PLC,,G0013T104,GB00BMSKPJ95,BMSKPJ9,2615,2615.49940,0.00000,1.000954,GBP,1.000000,,,,,,,
EQUITY,AAK,,W9609S117,SE0011337708,BF2FPV3,919,919.01077,0.00000,14.564585,SEK,1.000000,,,,,,,
EQUITY,AALBERTS INDUSTRIES NV,,N00089271,NL0000852564,B1W8P14,612,612.64191,0.00000,33.717448,EUR,1.000000,,,,,,,
EQUITY,AANNEMINGSMAATSCHAPPIJ CFE NV,,B27818135,BE0003883031,4318260,32,32.54730,0.00000,104.139103,EUR,1.000000,,,,,,,
EQUITY,AAREAL BANK AG,,D00379111,DE0005408116,7380062,271,271.25508,0.00000,32.581798,EUR,1.000000,,,,,,,
EQUITY,ABACUS PROPERTY GROUP STAPLED UNIT,,Q0015N229,AU000000ABP9,6565707,1660,1660.64670,0.00000,2.405505,AUD,1.000000,,,,,,,
EQUITY,ABCAM PLC,,G0060R118,GB00B6774699,B677469,980,980.93413,0.00000,16.133965,GBP,1.000000,,,,,,,
EQUITY,ABENGOA SA CALL .0002 EUR ABENGOA,,,ES0605200015,BDFZQ02,0,0.00000,3798.70419,0.011356,EUR,1.000000,,,,,,,
EQUITY,ACACIA MINING PLC,,G0067D104,GB00B61D2N63,B61D2N6,748,748.85149,0.00000,2.300224,GBP,1.000000,,,,,,,
EQUITY,ACCELL GROUP NV,,N00432257,NL0009767532,B051DV9,147,147.18922,0.00000,21.372933,EUR,1.000000,,,,,,,
EQUITY,ACCENT GROUP LTD,,Q0R618101,AU000000AX19,BD20RS5,2483,2483.96646,0.00000,0.906526,AUD,1.000000,,,,,,,
EQUITY,ACCIONA SA,,E0008Z109,ES0125220311,5579107,126,126.82035,0.00000,90.806573,EUR,1.000000,,,,,,,
EQUITY,ACEA,,T0040K106,IT0001207098,5728125,262,262.32934,0.00000,14.513607,EUR,1.000000,,,,,,,
EQUITY,ACERINOX SA,,E00460233,ES0132105018,B01ZVZ5,731,731.91976,0.00000,10.359399,EUR,1.000000,,,,,,,
EQUITY,ACHILLES CORP,,J00084103,JP3108000005,6496045,100,176.04790,0.00000,18.475877,JPY,1.000000,,,,,,,
EQUITY,ACKERMANS & VAN HAAREN NV,,B01165156,BE0003764785,5715774,147,147.27185,0.00000,158.309608,EUR,1.000000,,,,,,,
EQUITY,ACTIVIA PROPERTIES REIT INC,,J00089102,JP3047490002,B8BSRY1,3,3.00000,0.00000,4184.941520,JPY,1.000000,,,,,,,
EQUITY,ADASTRIA LTD,,J0011S105,JP3856000009,6300016,200,208.95808,0.00000,19.462719,JPY,1.000000,,,,,,,
EQUITY,ADEKA CORP,,J0011Q109,JP3114800000,6054904,400,477.96407,0.00000,16.045322,JPY,1.000000,,,,,,,
EQUITY,ADELAIDE BRIGHTON LTD,,Q0109N101,AU000000ABC7,6006886,2817,2817.71856,0.00000,3.276341,AUD,1.000000,,,,,,,
EQUITY,ADLER REAL ESTATE AG,,D0190J112,DE0005008007,7100099,144,144.53053,0.00000,15.944526,EUR,1.000000,,,,,,,
EQUITY,ADO PROPERTIES,,L0120V103,LU1250154413,BYNXBZ5,212,212.38203,0.00000,56.952847,EUR,1.000000,,,,,,,
EQUITY,ADVA OPTICAL NETWORKING,,D0190E105,DE0005103006,5653487,273,273.91976,0.00000,7.994976,EUR,1.000000,,,,,,,
