Fund Level
Fund Name,iShares MSCI Thailand ETF
Fund Ticker,THD
Fund ISIN,US4642866242
Fund Cusip,464286624
Fund LEI,
Total NAV per share,86.832000,Jan 22 2019
Distribution per Share,,
Fund Size,520992000.00,Jan 22 2019
Shares Outstanding,6000000,Jan 22 2019
Baskets Outstanding,120.000000000000,Jan 22 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 23 2019
Settlement Date,
Shares per Basket (PNU),50000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,6632.48,Jan 23 2019
Projected Cash for Deliverable Basket,11259.29,Jan 23 2019
Confirmed Cash for Deliverable Basket,11209.73,Jan 22 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,ADVANCED INFO SERVICE NON-VOTING D,,Y0014U175,TH0268010R11,6412609,31600,31604.32500,0.00000,5.389692,THB,1.000000,,,,,,,
EQUITY,AIRPORTS OF THAILAND NON-VOTING DR,,Y0028Q129,TH0765010R16,6741206,129100,129176.66666,0.00000,2.152734,THB,1.000000,,,,,,,
EQUITY,AMATA CORPORATION NON-VOTING DR PC,,Y0099Y126,TH0617010R19,6592965,16000,16032.50000,0.00000,0.688246,THB,1.000000,,,,,,,
EQUITY,ANANDA DEVELOPMENT NON-VOTING DR P,,Y0127F123,TH4101010R10,B904JN0,46400,46419.16666,0.00000,0.104337,THB,1.000000,,,,,,,
EQUITY,AP THAILAND NON-VOTING DR PCL,,Y0209X125,TH0308010R15,6612670,29200,29275.71666,0.00000,0.208988,THB,1.000000,,,,,,,
EQUITY,BANGCHAK CORPORATION ORS NON-VOTIN,,Y0586K118,TH0420010R18,6360032,10500,10580.83333,0.00000,1.044940,THB,1.000000,,,,,,,
EQUITY,BANGKOK  AIRWAYS  PCL NON-LISTING,,Y05966125,TH4403010R10,BRS61B6,22500,22570.83333,0.00000,0.370836,THB,1.000000,,,,,,,
EQUITY,BANGKOK AVIATION FUEL SERVICES NON,,Y0600K128,TH0669010R10,6527592,5900,5976.66666,0.00000,1.044940,THB,1.000000,,,,,,,
EQUITY,BANGKOK BANK PCL F,,Y0606R119,TH0001010014,6077019,7500,7541.66666,0.00000,6.599623,THB,1.000000,,,,,,,
EQUITY,BANGKOK CHAIN HOSPITAL NON-VOTING,,Y060BQ123,TH0808010R14,B03VTW4,36600,36638.54166,0.00000,0.499686,THB,1.000000,,,,,,,
EQUITY,BANGKOK DUSIT MEDICAL SERVICES NON,,Y06071131,TH0264010R10,B013SV4,117600,117651.66666,0.00000,0.713388,THB,1.000000,,,,,,,
EQUITY,BANGKOK EXPRESSWAY AND METRO PCL N,,Y0607C129,TH6999010R15,BDCR9C4,227700,227700.44166,0.00000,0.312696,THB,1.000000,,,,,,,
EQUITY,BANGKOK LAND NON-VOTING DR PCL,,Y0608Q150,TH0285010R15,6712893,308900,308942.50000,0.00000,0.048712,THB,1.000000,,,,,,,
EQUITY,BANPU NON-VOTING DR PCL,,Y0697Z160,TH0148010R15,6368348,62400,62428.33333,0.00000,0.521684,THB,1.000000,,,,,,,
EQUITY,BCPG PCL NON-VOTING DR,,Y0760S119,TH7411010R10,BD3RR63,18300,18360.00000,0.00000,0.496543,THB,1.000000,,,,,,,
EQUITY,BEAUTY COMMUNITY NON-VOTING DR PCL,,Y0760Q121,TH4100010R12,B8GLRJ0,57200,57260.83333,0.00000,0.215273,THB,1.000000,,,,,,,
EQUITY,BEC WORLD NON-VOTING DR PCL,,Y0769B125,TH0592010R14,6728339,29700,29765.00000,0.00000,0.174419,THB,1.000000,,,,,,,
EQUITY,BERLI JUCKER NON-VOTING DR PCL,,Y0872M158,TH0002010R14,6360162,36400,36401.66666,0.00000,1.492772,THB,1.000000,,,,,,,
EQUITY,BTS GROUP HOLDINGS NON-VOTING DR P,,Y0984D104,TH0221010R10,B0H72C9,177600,177660.83333,0.00000,0.301697,THB,1.000000,,,,,,,
EQUITY,BUMRUNGRAD HOSPITAL NON-VOTING DR,,Y1002E165,TH0168010R13,B0166J7,10800,10854.80000,0.00000,5.782527,THB,1.000000,,,,,,,
EQUITY,CAL-COMP ELECTRONICS (THAILAND) NO,,Y1062G126,TH0639010R13,B076516,0,2538.43333,0.00000,0.052797,THB,1.000000,,,,,,,
EQUITY,CARABAO GROUP PCL SHS NON-VOTING D,,Y1820N124,TH6066010R13,BSM67Z5,2000,2001.66666,0.00000,1.099937,THB,1.000000,,,,,,,
EQUITY,CENTRAL PATTANA NON-VOTING DR PCL,,Y1242U128,TH0481010R10,B013L15,40900,40900.83333,0.00000,2.380578,THB,1.000000,,,,,,,
EQUITY,CH KARNCHANG NON-VOTING DR PCL,,Y15663126,TH0530010R14,6713681,13000,13035.83333,0.00000,0.782527,THB,1.000000,,,,,,,
EQUITY,CHAROEN POKPHAND FOODS NON-VOTING,,Y1295E138,TH0101010R14,6410874,100300,100369.16666,0.00000,0.848523,THB,1.000000,,,,,,,
EQUITY,CHULARAT HOSPITAL NON-VOTING DR PC,,Y1613L129,TH4539010R11,B99KDL5,152100,152160.83333,0.00000,0.058768,THB,1.000000,,,,,,,
EQUITY,CK POWER NON-VOTING DR PCL,,Y166AG121,TH4536010R17,BCDB4L2,57300,57304.66666,0.00000,0.142049,THB,1.000000,,,,,,,
EQUITY,COM7 PCL NON-VOTING DR,,Y12352129,TH6678010R15,BZ2YN50,11300,11305.83333,0.00000,0.439975,THB,1.000000,,,,,,,
EQUITY,CP ALL NON-VOTING DR PCL,,Y1772K128,TH0737010R15,B08YDH1,148900,148947.50000,0.00000,2.364865,THB,1.000000,,,,,,,
EQUITY,DELTA ELECTRONICS (THAILAND) NON-V,,Y20266121,TH0528010R18,6418931,15100,15157.03333,0.00000,2.176304,THB,1.000000,,,,,,,
EQUITY,DYNASTY CERAMIC NON-VOTING DR PCL,,Y2185G126,TH0278010R10,6547772,70300,70347.83333,0.00000,0.067253,THB,1.000000,,,,,,,
EQUITY,EASTERN POLYMER GROUP PCL NON-VOTI,,Y2218H125,TH6128010R11,BTLJQH7,30200,30253.33333,0.00000,0.216845,THB,1.000000,,,,,,,
EQUITY,ELECTRICITY GENERATING NON-VOTING,,Y22834124,TH0465010R13,6368553,4000,4003.33333,0.00000,7.982401,THB,1.000000,,,,,,,
EQUITY,ENERGY ABSOLUTE NON-VOTING DR PCL,,Y2290P128,TH3545010R19,B9L4K92,37400,37430.00000,0.00000,1.422062,THB,1.000000,,,,,,,
EQUITY,ENERGY EARTH NON-VOTING DR PCL,,Y2292U158,TH0551010R10,6359632,0,36828.33333,0.00000,0.000000,THB,1.000000,,,,,,,
EQUITY,ERAWAN GROUP NON-VOTING DR PCL,,Y229BU133,TH0120010R14,B014992,37500,37550.83333,0.00000,0.216845,THB,1.000000,,,,,,,
EQUITY,ESSO (THAILAND) NON-VOTING DR PCL,,Y23188116,TH0975010R11,B2R3W54,36900,36910.83333,0.00000,0.345695,THB,1.000000,,,,,,,
EQUITY,GFPT NON-VOTING DR PCL,,Y27087124,TH0297010R10,6361109,15500,15516.66666,0.00000,0.417976,THB,1.000000,,,,,,,
EQUITY,GLOBAL GREEN CHEMICALS PCL NON-VOT,,Y2715R113,TH7920010R10,BF0Y0G2,9000,9020.83333,0.00000,0.317410,THB,1.000000,,,,,,,
EQUITY,GLOW ENERGY NON-VOTING DR PCL,,Y27290116,TH0834010R10,B074GY0,15500,15575.00000,0.00000,2.891263,THB,1.000000,,,,,,,
EQUITY,GOLDEN LAND PROPERTY DEVELOPMENT N,,Y2748Q140,TH0400010R10,6368586,15000,15036.66666,0.00000,0.221559,THB,1.000000,,,,,,,
EQUITY,GULF ENERGY DEVELOPMENT PCL NON-VO,,Y2957T116,TH8319010R14,BFN4H35,2900,2978.33333,0.00000,2.663419,THB,1.000000,,,,,,,
EQUITY,GUNKUL ENGINEERING NON-VOTING DR P,,Y2959S116,TH1041010R11,B4TSK68,68800,68888.06666,0.00000,0.094280,THB,1.000000,,,,,,,
EQUITY,HANA MICROELECTRONICS NON-VOTING D,,Y29974147,TH0324010R12,B019VV3,17000,17090.00000,0.00000,1.029227,THB,1.000000,,,,,,,
EQUITY,HOME PRODUCT CENTER NON-VOTING DR,,Y32758123,TH0661010R17,6418555,119700,119784.77500,0.00000,0.468259,THB,1.000000,,,,,,,
EQUITY,INDORAMA VENTURES NON-VOTING DR PC,,Y39742120,TH1027010R10,B5KZ7P3,48500,48549.25000,0.00000,1.524199,THB,1.000000,,,,,,,
EQUITY,INTER FAR EAST ENERGY CORPORATION,,Y3862S128,TH0110010R15,6361251,0,26537.50000,0.00000,0.000000,THB,1.000000,,,,,,,
EQUITY,IRPC NON-VOTING DR PCL,,Y4177E127,TH0471010R11,6366171,303800,303883.33333,0.00000,0.188561,THB,1.000000,,,,,,,
EQUITY,ITALIAN-THAI DEVELOPMENT NON-VOTIN,,Y4211C160,TH0438010R10,B00PTK7,52900,52959.56666,0.00000,0.071025,THB,1.000000,,,,,,,
EQUITY,JASMINE INTERNATIONAL NON-VOTING D,,Y44202144,TH0418010R12,6729161,92800,92873.06666,0.00000,0.144563,THB,1.000000,,,,,,,
EQUITY,KASIKORNBANK PCL F,,Y4591R118,TH0016010017,6888794,35400,35441.66666,0.00000,5.955374,THB,1.000000,,,,,,,
EQUITY,KASIKORNBANK PUBLIC NON-VOTING DR,,Y4591R126,TH0016010R14,6364766,19300,19325.83333,0.00000,5.939661,THB,1.000000,,,,,,,
EQUITY,KCE ELECTRONICS NON-VOTING DR PCL,,Y4594B136,TH0122010R10,6712150,16000,16013.33333,0.00000,0.864236,THB,1.000000,,,,,,,
EQUITY,KHON KAEN SUGAR INDUSTRY NON-VOTIN,,Y47560126,TH0828010R12,B06DQK4,48100,48137.31666,0.00000,0.099309,THB,1.000000,,,,,,,
EQUITY,KIATNAKIN BANK NON-VOTING DR PCL,,Y47675197,TH0121010R12,6361411,11300,11335.60833,0.00000,2.105594,THB,1.000000,,,,,,,
EQUITY,KRUNG THAI BANK PUBLIC NON-VOTING,,Y49885174,TH0150010R11,6361466,106000,106025.00000,0.00000,0.615965,THB,1.000000,,,,,,,
EQUITY,LAND AND HOUSE PUBLIC NON-VOTING D,,Y5172C164,TH0143010R16,6581941,84000,84070.00000,0.00000,0.314268,THB,1.000000,,,,,,,
EQUITY,LPN DEVELOPMENT NON-VOTING DR PCL,,Y5347B125,TH0456010R12,B00PXK5,17900,17964.55833,0.00000,0.210559,THB,1.000000,,,,,,,
EQUITY,MAJOR CINEPLEX GROUP NON VOTING DR,,Y54190106,TH0671010R16,6614234,13400,13400.00000,0.00000,0.703960,THB,1.000000,,,,,,,
EQUITY,MBK NON-VOTING DR PCL,,Y5925E129,TH0480010R12,6361723,3900,3915.83333,0.00000,0.609679,THB,1.000000,,,,,,,
EQUITY,MC GROUP NON-VOTING DR PCL,,Y5929X123,TH4625010R18,BBPJ6G6,11300,11367.50000,0.00000,0.314268,THB,1.000000,,,,,,,
EQUITY,MEGA LIFESCIENCE NON-VOTING DR PCL,,Y59253123,TH4984010R19,BGLZX84,10600,10626.66666,0.00000,0.927090,THB,1.000000,,,,,,,
EQUITY,MINOR INTERNATIONAL PUBLIC NON VOT,,Y6069M117,TH0128010R17,B018C28,65800,65852.58333,0.00000,1.170647,THB,1.000000,,,,,,,
