Fund Level
Fund Name,iShares MSCI World ETF
Fund Ticker,URTH
Fund ISIN,US4642863926
Fund Cusip,464286392
Fund LEI,
Total NAV per share,82.891771,Jan 22 2019
Distribution per Share,,
Fund Size,712869230.60,Jan 22 2019
Shares Outstanding,8600000,Jan 22 2019
Baskets Outstanding,86.000000000000,Jan 22 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 23 2019
Settlement Date,
Shares per Basket (PNU),100000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,2027.95,Jan 23 2019
Projected Cash for Deliverable Basket,243910.36,Jan 23 2019
Confirmed Cash for Deliverable Basket,251460.73,Jan 22 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,1&1 DRILLISCH AG,,D23138106,DE0005545503,5734672,20,20.29069,0.00000,43.858802,EUR,1.000000,,,,,,,
EQUITY,3I GROUP PLC,,G88473148,GB00B1YW4409,B1YW440,257,257.20930,0.00000,10.849282,GBP,1.000000,,,,,,,
EQUITY,3M,,88579Y101,US88579Y1010,2595708,125,125.00000,0.00000,192.260000,USD,1.000000,,,,,,,
EQUITY,A P MOLLER MAERSK,,K0514G135,DK0010244425,4253059,3,3.00000,0.00000,1237.985156,DKK,1.000000,,,,,,,
EQUITY,ABB LTD,,H0010V101,CH0012221716,7108899,424,424.03488,0.00000,19.181034,CHF,1.000000,,,,,,,
EQUITY,ABBOTT LABORATORIES,,002824100,US0028241000,2002305,371,371.62790,0.00000,71.490000,USD,1.000000,,,,,,,
EQUITY,ABBVIE INC,,00287Y109,US00287Y1091,B92SR70,335,335.31395,0.00000,88.660000,USD,1.000000,,,,,,,
EQUITY,ABIOMED INC,,003654100,US0036541003,2003698,10,10.59302,0.00000,336.130000,USD,1.000000,,,,,,,
EQUITY,ACCENTURE PLC CLASS A,,G1151C101,IE00B4BNMY34,B4BNMY3,140,140.34883,0.00000,148.970000,USD,1.000000,,,,,,,
EQUITY,ACCOR SA,,F00189120,FR0000120404,5852842,51,51.11627,0.00000,44.233567,EUR,1.000000,,,,,,,
