Fund Level
Fund Name,iShares MSCI Global Agriculture Producers ETF
Fund Ticker,VEGI
Fund ISIN,US4642863504
Fund Cusip,464286350
Fund LEI,
Total NAV per share,27.873328,Jan 22 2019
Distribution per Share,,
Fund Size,29266994.40,Jan 22 2019
Shares Outstanding,1050000,Jan 22 2019
Baskets Outstanding,21.000000000000,Jan 22 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 23 2019
Settlement Date,
Shares per Basket (PNU),50000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,5488.23,Jan 23 2019
Projected Cash for Deliverable Basket,46313.5,Jan 23 2019
Confirmed Cash for Deliverable Basket,45604.57,Jan 22 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,AG GROWTH INTERNATIONAL INC,,001181106,CA0011811068,B545BK2,80,80.00000,0.00000,37.716042,CAD,1.000000,,,,,,,
EQUITY,AGCO CORP,,001084102,US0010841023,2010278,280,280.00000,0.00000,62.850000,USD,1.000000,,,,,,,
EQUITY,AGROFRESH SOLUTIONS INC,,00856G109,US00856G1094,BZ0G154,121,121.00000,0.00000,3.680000,USD,1.000000,,,,,,,
EQUITY,AMER VANGUARD CORP,,030371108,US0303711081,2025711,117,117.00000,0.00000,17.040000,USD,1.000000,,,,,,,
EQUITY,ARCHER DANIELS MIDLAND,,039483102,US0394831020,2047317,2421,2421.00000,0.00000,43.560000,USD,1.000000,,,,,,,
EQUITY,ASTRAL FOODS LTD,,S0752H102,ZAE000029757,6342836,178,178.00000,0.00000,10.792738,ZAR,1.000000,,,,,,,
EQUITY,AUSNUTRIA DAIRY CORP LTD,,G06318102,KYG063181021,B4M2F06,2000,2000.00000,0.00000,1.064291,HKD,1.000000,,,,,,,
EQUITY,AUSTEVOLL SEAFOOD,,R0814U100,NO0010073489,B16MKT5,391,391.00000,0.00000,13.468640,NOK,1.000000,,,,,,,
EQUITY,AUSTRALIAN AGRICULTURAL COMPANY LT,,Q08448112,AU000000AAC9,6382285,1553,1553.00000,0.00000,0.785180,AUD,1.000000,,,,,,,
EQUITY,BAKKAFROST,,K0840B107,FO0000000179,B6632T7,178,178.00000,0.00000,50.036347,NOK,1.000000,,,,,,,
EQUITY,BAYER CROPSCIENCE LTD,,Y0761E135,INE462A01022,6716992,36,36.00000,0.00000,59.859641,INR,1.000000,,,,,,,
EQUITY,BEIJING DABEINONG TECHNOLOGY GROUP,,Y0772N108,CNE100000N61,BD5CMP0,300,328.57142,0.00000,0.480070,CNY,1.000000,,,,,,,
EQUITY,BOUSTEAD PLANTATIONS,,Y096AR100,MYL5254OO007,BNH7MH5,2600,2600.00000,0.00000,0.226255,MYR,1.000000,,,,,,,
EQUITY,BUMITAMA AGRI LTD,,Y0926Z106,SG2E67980267,B7WJ188,1400,1400.00000,0.00000,0.518420,SGD,1.000000,,,,,,,
EQUITY,BUNGE LTD,,G16962105,BMG169621056,2788713,610,610.00000,0.00000,51.890000,USD,1.000000,,,,,,,
EQUITY,CAL MAINE FOODS INC,,128030202,US1280302027,2158781,133,133.00000,0.00000,43.300000,USD,1.000000,,,,,,,
EQUITY,CF INDUSTRIES HOLDINGS INC,,125269100,US1252691001,B0G4K50,1010,1010.00000,0.00000,41.860000,USD,1.000000,,,,,,,
EQUITY,CHAMBAL FERTILISERS AND CHEMICALS,,Y6035U102,INE085A01013,6099938,439,439.00000,0.00000,2.268853,INR,1.000000,,,,,,,
EQUITY,CHAROEN POKPHAND ENTERPRISE(TAIWAN,,Y1294A103,TW0001215002,6188610,1000,1000.00000,0.00000,1.728323,TWD,1.000000,,,,,,,
EQUITY,CHAROEN POKPHAND FOODS NON-VOTING,,Y1295E138,TH0101010R14,6410874,14800,14800.00000,0.00000,0.848523,THB,1.000000,,,,,,,
EQUITY,CHAROEN POKPHAND INDONESIA,,Y71207164,ID1000117708,6315344,31900,31900.00000,0.00000,0.583890,IDR,1.000000,,,,,,,
EQUITY,CHINA AGRI-INDUSTRIES HLDGS LTD,,Y1375F104,HK0606037437,B1TLR65,9000,9009.52380,0.00000,0.377282,HKD,1.000000,,,,,,,
EQUITY,CHINA BLUECHEMICAL LTD H,,Y14251105,CNE1000002D0,B1DN3X6,8000,8000.00000,0.00000,0.314826,HKD,1.000000,,,,,,,
EQUITY,CHINA HUISHAN DAIRY HOLDINGS COMPA,,G2117A106,KYG2117A1067,BCRX1C4,0,14050.00000,0.00000,0.002549,HKD,1.000000,,,,,,,
EQUITY,CHINA MODERN DAIRY HOLDINGS LTD,,G21579100,KYG215791008,B3PZ2V5,8000,8000.00000,0.00000,0.104517,HKD,1.000000,,,,,,,
EQUITY,CHINA XLX FERTILISER LTD,,Y1564X106,SG1V07936171,B4WMJZ9,2000,2000.00000,0.00000,0.325023,HKD,1.000000,,,,,,,
EQUITY,CHUBU SHIRYO LTD,,J06678106,JP3525400002,6195665,100,100.00000,0.00000,11.019737,JPY,1.000000,,,,,,,
EQUITY,CNH INDUSTRIAL NV,,N20944109,NL0010545661,BDSV2V0,4398,4398.00000,0.00000,10.116370,EUR,1.000000,,,,,,,
EQUITY,COFCO MEAT HOLDINGS LTD,,G22692100,KYG226921008,BYNJJY8,3000,3000.00000,0.00000,0.188641,HKD,1.000000,,,,,,,
EQUITY,COROMANDEL INTERNATIONAL LTD,,Y1754W140,INE169A01031,B0VDZN5,307,307.00000,0.00000,6.110712,INR,1.000000,,,,,,,
EQUITY,COSTA GROUP HOLDINGS LTD,,Q29284108,AU000000CGC2,BYSGKW9,1242,1242.00000,0.00000,3.683207,AUD,1.000000,,,,,,,
EQUITY,CRANSWICK PLC,,G2504J108,GB0002318888,0231888,209,209.00000,0.00000,37.503369,GBP,1.000000,,,,,,,
EQUITY,DARLING INGREDIENTS INC,,237266101,US2372661015,2250289,714,714.00000,0.00000,21.240000,USD,1.000000,,,,,,,
EQUITY,DEERE,,244199105,US2441991054,2261203,1321,1321.00000,0.00000,158.840000,USD,1.000000,,,,,,,
EQUITY,DONGWON INDUSTRIES LTD,,Y2097U106,KR7006040000,6276322,6,6.00000,0.00000,186.618317,KRW,1.000000,,,,,,,
EQUITY,EAGLE HIGH PLANTATIONS,,Y711AG108,ID1000113202,B58PM83,42700,42700.00000,0.00000,0.013577,IDR,1.000000,,,,,,,
EQUITY,EASY BIO INC,,Y2235T102,KR7035810001,6235475,176,176.00000,0.00000,5.448194,KRW,1.000000,,,,,,,
EQUITY,EID PARRY INDIA LTD,,Y67828163,INE126A01031,B083S06,234,234.00000,0.00000,2.844292,INR,1.000000,,,,,,,
EQUITY,ELDERS LTD,,Q3414A186,AU000000ELD6,6357852,485,485.00000,0.00000,4.925219,AUD,1.000000,,,,,,,
EQUITY,ENGRO CORPORATION LTD,,Y2295N102,PK0012101017,6317867,1200,1200.00000,0.00000,2.382433,PKR,1.000000,,,,,,,
EQUITY,ENGRO FERTILIZERS LTD,,Y229A3100,PK0099701010,B668PD7,2500,2522.23809,0.00000,0.540749,PKR,1.000000,,,,,,,
EQUITY,ESCORTS LTD,,Y2296W127,INE042A01014,6099875,263,263.00000,0.00000,10.091881,INR,1.000000,,,,,,,
EQUITY,FARMSCO,,Y3003S102,KR7036580009,6184771,72,72.00000,0.00000,7.500111,KRW,1.000000,,,,,,,
EQUITY,FAUJI FERTILIZER BIN QASIM LTD,,Y2468W129,PK0074601011,6336088,1500,1500.00000,0.00000,0.309935,PKR,1.000000,,,,,,,
EQUITY,FAUJI FERTILIZER COMPANY LTD,,Y24695101,PK0053401011,6332741,2000,2100.00000,0.00000,0.771994,PKR,1.000000,,,,,,,
EQUITY,FGV HOLDINGS BHD,,Y2477B108,MYL5222OO004,B8L1DR5,7300,7300.00000,0.00000,0.225045,MYR,1.000000,,,,,,,
EQUITY,FIRST RESOURCES LTD,,Y2560F107,SG1W35938974,B2927P4,2500,2500.00000,0.00000,1.250092,SGD,1.000000,,,,,,,
EQUITY,FIRST TRACTOR LTD H,,Y25714109,CNE100000320,6002895,2000,2000.00000,0.00000,0.233252,HKD,1.000000,,,,,,,
EQUITY,FMC CORP,,302491303,US3024913036,2328603,583,583.00000,0.00000,79.560000,USD,1.000000,,,,,,,
EQUITY,FORFARMERS NV,,N3325Y102,NL0011832811,BD6S9Q7,156,156.00000,0.00000,9.437251,EUR,1.000000,,,,,,,
EQUITY,FRESH DEL MONTE PRODUCE INC,,G36738105,KYG367381053,2118707,135,135.00000,0.00000,30.480000,USD,1.000000,,,,,,,
EQUITY,GENTING PLANTATIONS,,Y26930100,MYL2291OO002,6057680,1100,1100.00000,0.00000,2.424682,MYR,1.000000,,,,,,,
EQUITY,GFPT NON-VOTING DR PCL,,Y27087124,TH0297010R10,6361109,2200,2200.00000,0.00000,0.417976,THB,1.000000,,,,,,,
EQUITY,GOLDEN AGRI RESOURCES LTD,,V39076134,MU0117U00026,6164472,27900,27900.00000,0.00000,0.191191,SGD,1.000000,,,,,,,
EQUITY,GRAINCORP CLASS A LTD,,Q42655102,AU000000GNC9,6102331,996,996.00000,0.00000,6.516992,AUD,1.000000,,,,,,,
EQUITY,GRIEG SEAFOOD,,R28594100,NO0010365521,B1Y1P66,223,223.00000,0.00000,13.096450,NOK,1.000000,,,,,,,
EQUITY,GRUPA AZOTY SA,,X9868F102,PLZATRM00012,B3B61Y8,196,196.00000,0.00000,9.170908,PLN,1.000000,,,,,,,
EQUITY,GUJARAT NARMADA VALLEY FERTILIZERS,,Y29446120,INE113A01013,6101048,165,165.00000,0.00000,4.970335,INR,1.000000,,,,,,,
EQUITY,HARIM HOLDINGS LTD,,,KR7003380003,BZ404M0,142,142.00000,0.00000,10.967143,KRW,1.000000,,,,,,,
EQUITY,HENAN SHUANGHUI INVESTMENT & DEVEL,,Y3121R101,CNE000000XM3,BD5CP84,0,200.00000,0.00000,3.596858,CNY,1.000000,,,,,,,
EQUITY,HOKUTO CORP,,J2224T102,JP3843250006,6432715,100,100.00000,0.00000,18.146930,JPY,1.000000,,,,,,,
EQUITY,ICL ISRAEL CHEMICALS LTD,,M5920A109,IL0002810146,6455530,3053,3053.00000,0.00000,5.775241,ILS,1.000000,,,,,,,
EQUITY,INDUSTRIAS BACHOCO B,,P5508Z127,MX01BA1D0003,B1FJ6T9,800,800.00000,0.00000,3.778570,MXN,1.000000,,,,,,,
EQUITY,INGHAMS GROUP LTD,,Q4912E100,AU000000ING6,BZCNHW2,1078,1078.00000,0.00000,3.026511,AUD,1.000000,,,,,,,
EQUITY,INGREDION INC,,457187102,US4571871023,B7K24P7,307,307.00000,0.00000,97.940000,USD,1.000000,,,,,,,
EQUITY,INNER MONGOLIA YILI INDUSTRIAL GRO,,Y408DG116,CNE000000JP5,BP3R2V7,400,400.00000,0.00000,3.586582,CNY,1.000000,,,,,,,
EQUITY,INTI AGRI RESOURCES,,Y7131E125,ID1000100506,B05LYZ0,141800,141800.00000,0.00000,0.016039,IDR,1.000000,,,,,,,
EQUITY,INTREPID POTASH INC,,46121Y102,US46121Y1029,B2QVR76,427,427.00000,0.00000,3.100000,USD,1.000000,,,,,,,
EQUITY,IOI CORPORATION,,Y41763106,MYL1961OO001,B1Y3WG1,8100,8100.00000,0.00000,1.125227,MYR,1.000000,,,,,,,
EQUITY,ISEKI LTD,,J24349110,JP3139600005,6466822,100,100.00000,0.00000,14.729532,JPY,1.000000,,,,,,,
EQUITY,ISRAEL CORPORATION LTD,,M8785N109,IL0005760173,6889678,17,17.00000,0.00000,274.493817,ILS,1.000000,,,,,,,
EQUITY,JAIN IRRIGATION SYSTEMS LTD,,Y42531148,INE175A01038,6312345,1232,1232.00000,0.00000,0.860358,INR,1.000000,,,,,,,
EQUITY,JAPFA COMFEED INDONESIA,,Y71281144,ID1000126907,B9DG2Q7,19600,19600.00000,0.00000,0.159690,IDR,1.000000,,,,,,,
EQUITY,JAPFA LTD,,Y4288X105,SG1AB9000005,BPYD720,1600,1600.00000,0.00000,0.566218,SGD,1.000000,,,,,,,
EQUITY,K+S AG,,D48164129,DE000KSAG888,B54C017,837,837.00000,0.00000,18.522451,EUR,1.000000,,,,,,,
EQUITY,KAVERI SEED COMPANY LTD,,Y458A4137,INE455I01029,BJF6Z88,101,101.00000,0.00000,7.801327,INR,1.000000,,,,,,,
EQUITY,KHON KAEN SUGAR INDUSTRY NON-VOTIN,,Y47560126,TH0828010R12,B06DQK4,7300,7302.57142,0.00000,0.099309,THB,1.000000,,,,,,,
EQUITY,KRBL LTD,,Y4991N105,INE001B01026,B02VC93,210,210.00000,0.00000,5.102644,INR,1.000000,,,,,,,
EQUITY,KUALA LUMPUR KEPONG,,Y47153104,MYL2445OO004,6497446,1800,1800.00000,0.00000,5.952813,MYR,1.000000,,,,,,,
EQUITY,KUBOTA CORP,,J36662138,JP3266400005,6497509,4300,4300.00000,0.00000,15.670687,JPY,1.000000,,,,,,,
EQUITY,KUMIAI CHEMICAL INDUSTRY LTD,,J36834117,JP3267600009,6497606,400,400.00000,0.00000,6.167763,JPY,1.000000,,,,,,,
EQUITY,KWS SAAT,,D39062100,DE0007074007,4495044,10,10.00000,0.00000,335.016745,EUR,1.000000,,,,,,,
EQUITY,LEROY SEAFOOD GROUP,,R4279D108,NO0003096208,4691916,1287,1287.00000,0.00000,8.120729,NOK,1.000000,,,,,,,
EQUITY,LINDSAY CORP,,535555106,US5355551061,2516613,47,47.00000,0.00000,87.610000,USD,1.000000,,,,,,,
EQUITY,MARUHA NICHIRO CORP,,J40015109,JP3876600002,BKGHM19,200,200.00000,0.00000,34.767909,JPY,1.000000,,,,,,,
EQUITY,MILLAT TRACTORS LTD,,Y6044N107,PK0009801017,6593117,120,120.00000,0.00000,5.541973,PKR,1.000000,,,,,,,
EQUITY,MITSUI SUGAR LTD,,J4517A105,JP3890400009,6597562,100,100.00000,0.00000,27.110746,JPY,1.000000,,,,,,,
EQUITY,MOSAIC,,61945C103,US61945C1036,B3NPHP6,1585,1585.00000,0.00000,30.970000,USD,1.000000,,,,,,,
