Fund Level
Fund Name,iShares International Developed Property ETF
Fund Ticker,WPS
Fund ISIN,US4642884229
Fund Cusip,464288422
Fund LEI,
Total NAV per share,36.498131,Jan 22 2019
Distribution per Share,,
Fund Size,131393271.60,Jan 22 2019
Shares Outstanding,3600000,Jan 22 2019
Baskets Outstanding,36.000000000000,Jan 22 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 23 2019
Settlement Date,
Shares per Basket (PNU),100000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,19980.66,Jan 23 2019
Projected Cash for Deliverable Basket,71937.16,Jan 23 2019
Confirmed Cash for Deliverable Basket,73356.44,Jan 22 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,ABACUS PROPERTY GROUP STAPLED UNIT,,Q0015N229,AU000000ABP9,6565707,1433,1433.16666,0.00000,2.405505,AUD,1.000000,,,,,,,
EQUITY,ACTIVIA PROPERTIES REIT INC,,J00089102,JP3047490002,B8BSRY1,3,3.05555,0.00000,4184.941520,JPY,1.000000,,,,,,,
EQUITY,ADLER REAL ESTATE AG,,D0190J112,DE0005008007,7100099,151,151.97222,0.00000,15.944526,EUR,1.000000,,,,,,,
EQUITY,ADO GROUP LTD,,M15335108,IL0005050161,6043311,58,58.47361,0.00000,20.298954,ILS,1.000000,,,,,,,
EQUITY,ADO PROPERTIES,,L0120V103,LU1250154413,BYNXBZ5,123,123.50000,0.00000,56.952847,EUR,1.000000,,,,,,,
EQUITY,ADVANCE RESIDENCE INVESTMENT REIT,,J00184101,JP3047160001,B62WZW2,6,6.00000,0.00000,2928.545322,JPY,1.000000,,,,,,,
EQUITY,AEDAS HOMES SA,,E01587109,ES0105287009,BYP70L4,103,103.00000,0.00000,26.278941,EUR,1.000000,,,,,,,
EQUITY,AEDIFICA REIT SA,,B0130A108,BE0003851681,B1G5XP1,80,80.50000,0.00000,87.672179,EUR,1.000000,,,,,,,
EQUITY,AEON MALL LTD,,J10005106,JP3131430005,6534202,400,402.22222,0.00000,16.091009,JPY,1.000000,,,,,,,
EQUITY,AEON REIT INVESTMENT REIT CORP,,J10006104,JP3047650001,BFSSCF9,6,6.00000,0.00000,1193.347953,JPY,1.000000,,,,,,,
EQUITY,AFRICA ISRAEL INVESTMENTS LTD,,M02005102,IL0006110121,6008116,0,0.00277,0.00000,0.033157,ILS,1.000000,,,,,,,
EQUITY,AGELLAN COMMERCIAL REAL ESTATE INV,,00844Y105,CA00844Y1051,B8W6841,76,76.00000,0.00000,10.677464,CAD,1.000000,,,,,,,
EQUITY,AIMS AMP CAPITAL INDUSTRIAL REIT U,,Y0029Z136,SG2D63974620,B58DLN5,2600,2619.02777,0.00000,1.007427,SGD,1.000000,,,,,,,
EQUITY,AIRPORT CITY LTD,,M0367L106,IL0010958358,B0Z7M21,330,330.24250,0.00000,12.482674,ILS,1.000000,,,,,,,
EQUITY,ALLIED PROPERTIES REAL ESTATE INVE,,019456102,CA0194561027,2387701,223,223.00000,0.00000,34.604281,CAD,1.000000,,,,,,,
EQUITY,ALLREAL HOLDING AG,,H0151D100,CH0008837566,5914270,57,57.61111,0.00000,162.690457,CHF,1.000000,,,,,,,
EQUITY,ALONY-HETZ PROPERTIES AND INVESTME,,M0867F104,IL0003900136,6013154,500,500.00000,0.00000,9.783938,ILS,1.000000,,,,,,,
EQUITY,ALSTRIA OFFICE REIT AG,,D0378R100,DE000A0LD2U1,B1VP947,703,703.00000,0.00000,14.479537,EUR,1.000000,,,,,,,
EQUITY,ALTAREA,,F0261X121,FR0000033219,4821638,15,15.86111,0.00000,201.010047,EUR,1.000000,,,,,,,
EQUITY,AMOT INVESTMENTS LTD,,M1035R103,IL0010972789,B18MCB9,637,637.50000,0.00000,4.949042,ILS,1.000000,,,,,,,
EQUITY,ARDEPRO LTD,,J01955103,JP3126160005,6742157,600,658.33333,0.00000,0.429459,JPY,1.000000,,,,,,,
EQUITY,ARENA REIT STAPLED UNITS,,Q0457C152,AU000000ARF6,B99K263,1122,1122.00000,0.00000,1.820190,AUD,1.000000,,,,,,,
EQUITY,ARGOSY PROPERTY LTD,,Q05262102,NZARGE0010S7,B6ZFBN1,3690,3690.33333,0.00000,0.787410,NZD,1.000000,,,,,,,
EQUITY,AROUNDTOWN PROPERTY HOLDINGS SA,,L0269F109,LU1673108939,BF0CK44,3150,3150.00000,0.00000,8.500340,EUR,1.000000,,,,,,,
EQUITY,ARTIS REAL ESTATE INVESTMENT TRUST,,04315L105,CA04315L1058,B0XZXV3,325,325.80555,0.00000,7.535710,CAD,1.000000,,,,,,,
EQUITY,ASCENDAS HOSPITALITY REIT TRUST,,Y02074105,SG2F05983695,B88Z154,3400,3400.00000,0.00000,0.595632,SGD,1.000000,,,,,,,
EQUITY,ASCENDAS REAL ESTATE INVESTMENT TR,,Y0205X103,SG1M77906915,6563875,11200,11201.00000,0.00000,1.992794,SGD,1.000000,,,,,,,
EQUITY,ASCOTT RESIDENCE TRUST UNITS,,Y0261Y102,SG1T08929278,B10SSL7,5400,5401.19444,0.00000,0.845650,SGD,1.000000,,,,,,,
EQUITY,ASSURA REIT PLC,,G2386T109,GB00BVGBWW93,BVGBWW9,10715,10715.00000,0.00000,0.711450,GBP,1.000000,,,,,,,
EQUITY,ASTRO JAPAN PROPERTY GROUP STAPLED,,Q0585A102,AU000000AJA4,B06HD83,0,264.00000,0.00000,0.035690,AUD,1.000000,,,,,,,
EQUITY,AVEO GROUP STAPLED UNITS,,Q1225V100,AU000000AOG1,BGDW134,1947,1947.00000,0.00000,1.102821,AUD,1.000000,,,,,,,
EQUITY,AZRIELI GROUP LTD,,M1571Q105,IL0011194789,B5MN1W0,160,160.00000,0.00000,49.843729,ILS,1.000000,,,,,,,
EQUITY,BAYSIDE LAND LTD,,M1971K112,IL0007590198,6089724,4,4.00000,0.00000,449.517597,ILS,1.000000,,,,,,,
EQUITY,BEFIMMO SA,,B09186105,BE0003678894,4082628,101,101.50000,0.00000,56.044327,EUR,1.000000,,,,,,,
EQUITY,BGP HOLDINGS PLC - UNLISTED,,,MV3357358ZDD,9933572,0,0.00000,55190.33333,0.000011,EUR,1.000000,,,,,,,
EQUITY,BIG SHOPPING CENTERS  LTD,,M2014C109,IL0010972607,B1KZR22,20,20.63888,0.00000,57.888300,ILS,1.000000,,,,,,,
EQUITY,BIG YELLOW GROUP PLC,,G1093E108,GB0002869419,0286941,692,692.00000,0.00000,12.155550,GBP,1.000000,,,,,,,
EQUITY,BOARDWALK REAL ESTATE INVESTMENT T,,096631106,CA0966311064,B011205,99,99.02777,0.00000,29.318037,CAD,1.000000,,,,,,,
EQUITY,BRACK CAPITAL NV,,N1589P106,NL0009690619,B556PC4,11,11.27138,0.00000,94.877021,ILS,1.000000,,,,,,,
EQUITY,BRITISH LAND REIT PLC,,G15540118,GB0001367019,0136701,4316,4316.38888,0.00000,7.218167,GBP,1.000000,,,,,,,
EQUITY,BUKIT SEMBAWANG ESTATES LTD,,Y1008L122,SG1T88932077,B1FMSL4,700,700.00000,0.00000,4.117950,SGD,1.000000,,,,,,,
EQUITY,BUWOG AG,,,AT0000A23KB4,BHZLZW3,0,0.00000,51.91666,0.000001,EUR,1.000000,,,,,,,
EQUITY,BWP TRUST,,Q1892D102,AU000000BWP3,6127453,2170,2170.00000,0.00000,2.612507,AUD,1.000000,,,,,,,
EQUITY,CA IMMOBILIEN ANLAGEN AG,,A1144Q155,AT0000641352,5681046,322,322.52777,0.00000,34.660037,EUR,1.000000,,,,,,,
EQUITY,CACHE LOGISTICS TRUST REIT UNITS,,Y1072M105,SG1Z70955880,B521L46,5200,5202.22222,0.00000,0.544158,SGD,1.000000,,,,,,,
EQUITY,CANADIAN APARTMENT PROPERTIES REAL,,134921105,CA1349211054,2117599,318,318.00000,0.00000,34.109399,CAD,1.000000,,,,,,,
EQUITY,CAPITAL & COUNTIES PROPERTIES PLC,,G19406100,GB00B62G9D36,B62G9D3,3343,3343.50000,0.00000,3.092019,GBP,1.000000,,,,,,,
EQUITY,CAPITAL & REGIONAL REIT PLC,,G1846K138,GB0001741544,0174154,2388,2388.00000,0.00000,0.380995,GBP,1.000000,,,,,,,
EQUITY,CAPITALAND,,Y10923103,SG1J27887962,6309303,11000,11000.00000,0.00000,2.404589,SGD,1.000000,,,,,,,
EQUITY,CAPITALAND COMMERCIAL TRUST,,Y1091N100,SG1P32918333,B011YD2,12300,12301.77777,0.00000,1.345687,SGD,1.000000,,,,,,,
EQUITY,CAPITALAND MALL TRUST,,Y1100L160,SG1M51904654,6420129,12300,12300.00000,0.00000,1.669240,SGD,1.000000,,,,,,,
EQUITY,CAPITALAND RETAIL CHINA TRUST,,Y1092E109,SG1U25933169,B1HL3P8,2700,2701.66666,0.00000,1.036841,SGD,1.000000,,,,,,,
EQUITY,CASTELLUM,,W2084X107,SE0000379190,B0XP0T0,1208,1208.72222,0.00000,18.906272,SEK,1.000000,,,,,,,
EQUITY,CATENA,,W2356E100,SE0001664707,B131GJ7,79,79.00000,0.00000,24.532743,SEK,1.000000,,,,,,,
EQUITY,CDL HOSPITALITY REIT UNITS,,Y1233P104,SG1T66931158,B192HG8,3300,3386.11111,0.00000,1.154497,SGD,1.000000,,,,,,,
EQUITY,CEDAR WOODS PROPERTIES LTD,,Q2156A107,AU000000CWP1,6182281,259,259.00000,0.00000,3.283479,AUD,1.000000,,,,,,,
EQUITY,CHAMPION REAL ESTATE INVESTMENT TR,,Y1292D109,HK2778034606,B14WZ47,9000,9000.00000,0.00000,0.717600,HKD,1.000000,,,,,,,
EQUITY,CHARTER HALL EDUCATION TRUST UNITS,,Q2308H109,AU0000030645,BHJVMY0,1044,1044.00000,0.00000,2.169951,AUD,1.000000,,,,,,,
EQUITY,CHARTER HALL GROUP STAPLED UNITS,,Q2308A138,AU000000CHC0,B15F6S6,2050,2050.63888,0.00000,5.467707,AUD,1.000000,,,,,,,
EQUITY,CHARTER HALL LONG WALE REIT STAPLE,,Q2308E106,AU000000CLW0,BDB46J2,0,0.00000,918.44444,3.112167,AUD,1.000000,,,,,,,
EQUITY,CHARTER HALL RETAIL UNITS,,Q2308D108,AU000000CQR9,6225595,1460,1460.66666,0.00000,3.226375,AUD,1.000000,,,,,,,
EQUITY,CHINA MERCHANTS LAND LTD,,G210AW106,KYG210AW1064,BH35L96,6000,6000.00000,0.00000,0.158050,HKD,1.000000,,,,,,,
EQUITY,CHINESE ESTATES HOLDINGS LTD,,G2108M218,BMG2108M2182,6191180,2000,2194.44444,0.00000,1.074488,HKD,1.000000,,,,,,,
EQUITY,CHIP ENG SENG CORPORATION LTD,,Y1565N107,SG1H36875612,6193926,2600,2600.00000,0.00000,0.511067,SGD,1.000000,,,,,,,
EQUITY,CHOICE PROPERTIES REAL ESTATE INVE,,17039A106,CA17039A1066,BBX46Q3,608,608.16666,0.00000,9.275297,CAD,1.000000,,,,,,,
EQUITY,CITY DEVELOPMENTS LTD,,V23130111,SG1R89002252,6197928,2700,2700.00000,0.00000,6.544599,SGD,1.000000,,,,,,,
EQUITY,CITYCON,,X1422T116,FI0009002471,4491097,1540,1540.80555,0.00000,1.944233,EUR,1.000000,,,,,,,
EQUITY,CIVITAS SOCIAL HOUSING PLC,,G2251U108,GB00BD8HBD32,BD8HBD3,2750,2750.94444,0.00000,1.321819,GBP,1.000000,,,,,,,
EQUITY,CK ASSET HOLDINGS LTD,,G2177B101,KYG2177B1014,BYZQ077,11500,11750.00000,0.00000,8.074590,HKD,1.000000,,,,,,,
EQUITY,COFINIMMO REIT SA,,B25654136,BE0003593044,4177988,93,93.83333,0.00000,126.738538,EUR,1.000000,,,,,,,
EQUITY,COMFORIA RESIDENTIAL REIT INC,,J0816Z106,JP3047540004,B8N6QD5,3,3.00000,0.00000,2675.438596,JPY,1.000000,,,,,,,
EQUITY,COMINAR REAL ESTATE INVESTMENT TRU,,199910100,CA1999101001,2419927,402,402.86111,0.00000,8.900386,CAD,1.000000,,,,,,,
EQUITY,COVIVIO SA,,F3832Y172,FR0000064578,7745638,235,235.00000,0.00000,99.085461,EUR,1.000000,,,,,,,
EQUITY,COVIVIO SA,,F3832Y172,FR0000064578,BHNZH43,0,36.69444,0.00000,99.312591,EUR,1.000000,,,,,,,
EQUITY,CRE LOGISTICS REIT INC,,J7008E106,JP3048680007,BFXZ9X2,1,1.00000,0.00000,920.138889,JPY,1.000000,,,,,,,
EQUITY,CROMBIE REAL ESTATE INVESTMENT TRU,,227107109,CA2271071094,B11YBV5,207,207.00000,0.00000,10.197578,CAD,1.000000,,,,,,,
EQUITY,CROMWELL PROPERTY GROUP STAPLED UN,,Q2995J103,AU000000CMW8,6225476,7421,7421.80555,0.00000,0.735214,AUD,1.000000,,,,,,,
EQUITY,CSI PROPERTIES LTD,,G2581C109,BMG2581C1091,B1WSH52,20000,20222.22222,0.00000,0.046523,HKD,1.000000,,,,,,,
EQUITY,CT REIT UNITS TRUST,,126462100,CA1264621006,BFSRSC5,208,208.00000,0.00000,9.357778,CAD,1.000000,,,,,,,
EQUITY,DAIBIRU CORP,,J08463101,JP3497200000,6661672,200,247.22222,0.00000,9.886696,JPY,1.000000,,,,,,,
EQUITY,DAITO TRUST CONSTRUCTION LTD,,J11151107,JP3486800000,6250508,300,333.33333,0.00000,138.706140,JPY,1.000000,,,,,,,
EQUITY,DAIWA HOUSE INDUSTRY LTD,,J11508124,JP3505000004,6251363,3000,3000.00000,0.00000,32.702851,JPY,1.000000,,,,,,,
EQUITY,DAIWA HOUSE REIT CORP,,J12380101,JP3046390005,B0Z6WY0,8,8.00000,0.00000,2281.615497,JPY,1.000000,,,,,,,
EQUITY,DAIWA OFFICE INVESTMENT REIT CORP,,J1250G109,JP3046310003,B0LNTF5,1,1.47222,0.00000,6396.198830,JPY,1.000000,,,,,,,
EQUITY,DERWENT LONDON REIT PLC,,G27300105,GB0002652740,0265274,491,491.94444,0.00000,38.786311,GBP,1.000000,,,,,,,
EQUITY,DEUTSCHE EUROSHOP AG,,D1854M102,DE0007480204,4754972,225,225.00000,0.00000,29.413335,EUR,1.000000,,,,,,,
EQUITY,DEUTSCHE WOHNEN,,D2046U176,DE000A0HN5C6,B0YZ0Z5,1573,1573.00000,0.00000,47.969855,EUR,1.000000,,,,,,,
EQUITY,DEXUS STAPLED UNITS,,Q3190P134,AU000000DXS1,B033YN6,4479,4479.00000,0.00000,7.980282,AUD,1.000000,,,,,,,
EQUITY,DIC ASSET AG,,D2837E191,DE000A1X3XX4,BD1NML3,198,198.80555,0.00000,10.697823,EUR,1.000000,,,,,,,
EQUITY,DIOS FASTIGHETER,,W2592B100,SE0001634262,B1323T9,379,379.91666,0.00000,6.878029,SEK,1.000000,,,,,,,
EQUITY,DREAM GLOBAL REAL ESTATE INVESTMEN,,26154A106,CA26154A1066,BMJ71D5,432,432.75000,0.00000,9.567728,CAD,1.000000,,,,,,,
EQUITY,DREAM INDUSTRIAL REAL ESTATE INVES,,26153W109,CA26153W1095,BMH4P92,176,176.00000,0.00000,7.903123,CAD,1.000000,,,,,,,
EQUITY,DREAM OFFICE REAL ESTATE UNITS TRU,,26153P104,CA26153P1045,BMJJVS6,141,141.05555,0.00000,17.125933,CAD,1.000000,,,,,,,
EQUITY,DREAM UNLIMITED SUBORDINATE VOTING,,26153M200,CA26153M2004,BB2D0Q9,299,299.00000,0.00000,5.136280,CAD,1.000000,,,,,,,
EQUITY,EMPIRIC STUDENT PROPERTY PLC,,G30381100,GB00BLWDVR75,BLWDVR7,2551,2551.22222,0.00000,1.165015,GBP,1.000000,,,,,,,
EQUITY,ENTRA,,R2R8A2105,NO0010716418,BRJ2VC4,536,536.83333,0.00000,13.724521,NOK,1.000000,,,,,,,
EQUITY,ESR-REIT,,Y2301D106,SG1T70931228,B18TLR9,8700,8702.75000,0.00000,0.389735,SGD,1.000000,,,,,,,
EQUITY,EUROCOMMERCIAL PROPERTIES DUTCH CE,,N31065142,NL0000288876,4798271,181,181.00000,0.00000,30.253716,EUR,1.000000,,,,,,,
EQUITY,FABEGE,,W7888D199,SE0011166974,BFM6T36,1203,1203.00000,0.00000,14.564585,SEK,1.000000,,,,,,,
EQUITY,FAR EAST CONSORTIUM INTERNATIONAL,,G3307Z109,KYG3307Z1090,6331555,5000,5000.00000,0.00000,0.437188,HKD,1.000000,,,,,,,
EQUITY,FAR EAST HOSPITALITY TRUST REIT,,Y24258108,SG2F08984575,B8GM577,3700,3769.44444,0.00000,0.463269,SGD,1.000000,,,,,,,
EQUITY,FASTIGHETS BALDER B,,W30316116,SE0000455057,B0LC9F2,432,432.50000,0.00000,31.100651,SEK,1.000000,,,,,,,
EQUITY,FIRST CAPITAL REALTY INC,,31943B100,CA31943B1004,2185596,779,779.72222,0.00000,15.183894,CAD,1.000000,,,,,,,
EQUITY,FIRST REAL ESTATE INVESTMENT TRUST,,Y2560E100,SG1U27933225,B1L0H71,2700,2700.00000,0.00000,0.757409,SGD,1.000000,,,,,,,
EQUITY,FORTUNE UNITS TRUST,,Y2616W104,SG1O33912138,B5T50H7,6000,6000.00000,0.00000,1.219792,HKD,1.000000,,,,,,,
EQUITY,FRASERS CENTREPOINT UNITS TRUST,,Y2642S101,SG1T60930966,B17NZ47,2400,2486.11111,0.00000,1.669240,SGD,1.000000,,,,,,,
EQUITY,FRASERS COMMERCIAL UNITS TRUST,,Y2643G122,SG2C81967185,B11HJT8,2900,2955.55555,0.00000,1.066255,SGD,1.000000,,,,,,,
EQUITY,FRASERS HOSPITALITY TRUST,,Y2645Q102,SG1AA5000001,BNG6J61,3000,3000.00000,0.00000,0.525774,SGD,1.000000,,,,,,,
EQUITY,FRASERS LOGISTICS & INDUSTRIAL TRU,,Y26465107,SG1CI9000006,BYYFHZ2,7200,7200.00000,0.00000,0.794176,SGD,1.000000,,,,,,,
EQUITY,FRASERS PROPERTY LTD,,Y2620E108,SG2G52000004,BH7T0P3,1600,1686.11111,0.00000,1.286859,SGD,1.000000,,,,,,,
EQUITY,FRONTIER REAL ESTATE INVESTMENT TR,,J1516D106,JP3046200006,B020QY3,2,2.38888,0.00000,3965.643275,JPY,1.000000,,,,,,,
EQUITY,FUKUOKA REIT CORP,,J17128109,JP3046240002,B0B8154,3,3.47222,0.00000,1517.726608,JPY,1.000000,,,,,,,
EQUITY,GAZIT GLOBE LTD,,M4793C102,IL0001260111,6585396,405,405.61111,0.00000,7.658649,ILS,1.000000,,,,,,,
EQUITY,GDI PROPERTY GROUP STAPLED UNITS L,,Q3R72G104,AU000000GDI7,BHB0NV9,2251,2251.83333,0.00000,0.963630,AUD,1.000000,,,,,,,
EQUITY,GECINA REIT SA,,F4268U171,FR0010040865,7742468,243,243.00000,0.00000,135.823738,EUR,1.000000,,,,,,,
