Fund Level
Fund Name,iShares Edge MSCI Min Vol Global ETF
Fund Ticker,ACWV
Fund ISIN,US4642865251
Fund Cusip,464286525
Fund LEI,
Total NAV per share,83.762217,Jan 23 2019
Distribution per Share,,
Fund Size,3735794878.20,Jan 23 2019
Shares Outstanding,44600000,Jan 23 2019
Baskets Outstanding,446.000000000000,Jan 23 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 24 2019
Settlement Date,
Shares per Basket (PNU),100000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,6184.91,Jan 24 2019
Projected Cash for Deliverable Basket,182854.43,Jan 24 2019
Confirmed Cash for Deliverable Basket,182552.77,Jan 23 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,ABBOTT LABORATORIES,,002824100,US0028241000,2002305,377,377.00000,0.00000,69.910000,USD,1.000000,,,,,,,
EQUITY,ABC MART INC,,J00056101,JP3152740001,6292102,100,110.98654,0.00000,56.004013,JPY,1.000000,,,,,,,
EQUITY,ACCENTURE PLC CLASS A,,G1151C101,IE00B4BNMY34,B4BNMY3,73,73.84304,0.00000,148.420000,USD,1.000000,,,,,,,
EQUITY,ADMIRAL GROUP PLC,,G0110T106,GB00B02J6398,B02J639,138,138.00000,0.00000,27.521618,GBP,1.000000,,,,,,,
EQUITY,ADVANCED INFO SERVICE NON-VOTING D,,Y0014U175,TH0268010R11,6412609,500,500.00000,0.00000,5.513982,THB,1.000000,,,,,,,
EQUITY,AGNC INVESTMENT REIT CORP,,00123Q104,US00123Q1040,BYYHJL8,2059,2059.00000,0.00000,18.010000,USD,1.000000,,,,,,,
EQUITY,AGNICO EAGLE MINES LTD,,008474108,CA0084741085,2009823,510,510.00000,0.00000,39.135969,CAD,1.000000,,,,,,,
EQUITY,AGRICULTURAL BANK OF CHINA LTD H,,Y00289119,CNE100000Q43,B60LZR6,13000,13000.00000,0.00000,0.453772,HKD,1.000000,,,,,,,
EQUITY,AIB GROUP,,G0R4HJ106,IE00BF0L3536,BF0L353,1115,1115.00000,0.00000,4.665389,EUR,1.000000,,,,,,,
EQUITY,AIRPORTS OF THAILAND NON-VOTING DR,,Y0028Q129,TH0765010R16,6741206,6600,6600.00000,0.00000,2.181961,THB,1.000000,,,,,,,
EQUITY,AJINOMOTO INC,,J00882126,JP3119600009,6010906,400,400.00000,0.00000,17.302869,JPY,1.000000,,,,,,,
EQUITY,ALLEGHANY  CORP,,017175100,US0171751003,2016801,51,51.00000,0.00000,618.990000,USD,1.000000,,,,,,,
EQUITY,ALLSTATE CORP,,020002101,US0200021014,2019952,427,427.00000,0.00000,85.890000,USD,1.000000,,,,,,,
EQUITY,ALTRIA GROUP INC,,02209S103,US02209S1033,2692632,1003,1003.00000,0.00000,44.700000,USD,1.000000,,,,,,,
EQUITY,AMEREN CORP,,023608102,US0236081024,2050832,129,129.00000,0.00000,68.100000,USD,1.000000,,,,,,,
EQUITY,AMERICAN ELECTRIC POWER INC,,025537101,US0255371017,2026242,358,358.00000,0.00000,77.010000,USD,1.000000,,,,,,,
EQUITY,AMERICAN TOWER REIT CORP,,03027X100,US03027X1000,B7FBFL2,92,92.00000,0.00000,165.790000,USD,1.000000,,,,,,,
EQUITY,AMERICAN WATER WORKS INC,,030420103,US0304201033,B2R3PV1,210,210.00000,0.00000,94.240000,USD,1.000000,,,,,,,
