Fund Level
Fund Name,iShares MSCI BRIC ETF
Fund Ticker,BKF
Fund ISIN,US4642866572
Fund Cusip,464286657
Fund LEI,
Total NAV per share,39.874799,Jan 23 2019
Distribution per Share,,
Fund Size,185417815.35,Jan 23 2019
Shares Outstanding,4650000,Jan 23 2019
Baskets Outstanding,93.000000000000,Jan 23 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 24 2019
Settlement Date,
Shares per Basket (PNU),50000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,1724.05,Jan 24 2019
Projected Cash for Deliverable Basket,69172.45,Jan 24 2019
Confirmed Cash for Deliverable Basket,69432.14,Jan 23 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,3SBIO INC,,G8875G102,KYG8875G1029,BY9D3L9,1000,1000.00000,0.00000,1.473484,HKD,1.000000,,,,,,,
EQUITY,51JOB ADR REPRESENTING INC,,316827104,US3168271043,B02TT74,21,21.00000,0.00000,66.400000,USD,1.000000,,,,,,,
EQUITY,58.COM ADR REPRESENTING  INC CLASS,,31680Q104,US31680Q1040,BG3GS91,73,73.00000,0.00000,60.480000,USD,1.000000,,,,,,,
EQUITY,AAC TECHNOLOGIES HOLDINGS INC,,G2953R114,KYG2953R1149,B85LKS1,500,650.53763,0.00000,5.748628,HKD,1.000000,,,,,,,
EQUITY,ADANI PORTS AND SPECIAL ECONOMIC Z,,Y00130107,INE742F01042,B28XXH2,427,427.00000,0.00000,5.399117,INR,1.000000,,,,,,,
EQUITY,AGILE GROUP HOLDINGS LTD,,G01198103,KYG011981035,B0PR2F4,2000,2000.00000,0.00000,1.190514,HKD,1.000000,,,,,,,
EQUITY,AGRICULTURAL BANK OF CHINA LTD A,,Y00289101,CNE100000RJ0,BP3R228,1800,1851.61290,0.00000,0.528194,CNY,1.000000,,,,,,,
EQUITY,AGRICULTURAL BANK OF CHINA LTD H,,Y00289119,CNE100000Q43,B60LZR6,21000,21000.00000,0.00000,0.453772,HKD,1.000000,,,,,,,
EQUITY,AIR CHINA LTD H,,Y002A6104,CNE1000001S0,B04KNF1,2000,2000.00000,0.00000,0.939410,HKD,1.000000,,,,,,,
EQUITY,AK ALROSA,,X0085A109,RU0007252813,B6QPBP2,2100,2100.00000,0.00000,1.521663,RUB,1.000000,,,,,,,
EQUITY,ALIBABA GROUP HOLDING ADR REPRESEN,,01609W102,US01609W1027,BP41ZD1,998,998.00000,0.00000,152.030000,USD,1.000000,,,,,,,
EQUITY,ALIBABA HEALTH INFORMATION TECH LT,,G0171K101,BMG0171K1018,BRXVS60,2000,2838.70967,0.00000,0.866755,HKD,1.000000,,,,,,,
EQUITY,ALIBABA PICTURES GROUP LTD,,G0171W105,BMG0171W1055,BPYM749,10000,10000.00000,0.00000,0.165703,HKD,1.000000,,,,,,,
EQUITY,ALUMINUM CORPORATION OF CHINA CORP,,Y0094N109,CNE1000001T8,6425395,4000,4000.00000,0.00000,0.353075,HKD,1.000000,,,,,,,
EQUITY,AMBEV SA,,P0273U106,BRABEVACNOR1,BG7ZWY7,3700,3700.69892,0.00000,4.521469,BRL,1.000000,,,,,,,
EQUITY,AMBUJA CEMENTS LTD,,Y6140K106,INE079A01024,B09QQ11,473,473.00000,0.00000,2.977083,INR,1.000000,,,,,,,
EQUITY,ANGANG STEEL LTD A,,Y0132F100,CNE000000SQ4,BD5CQ47,500,525.80645,0.00000,0.763600,CNY,1.000000,,,,,,,
EQUITY,ANHUI CONCH CEMENT LTD H,,Y01373102,CNE1000001W2,6080396,1000,1000.00000,0.00000,5.028456,HKD,1.000000,,,,,,,
EQUITY,ANTA SPORTS PRODUCTS LTD,,G04011105,KYG040111059,B1YVKN8,1000,1000.43010,0.00000,4.824514,HKD,1.000000,,,,,,,
EQUITY,ANXIN TRUST LTD A,,Y0140X101,CNE0000003P4,BP3RD58,400,425.80645,0.00000,0.653253,CNY,1.000000,,,,,,,
