Fund Level
Fund Name,iShares MSCI China A ETF
Fund Ticker,CNYA
Fund ISIN,US46434V5140
Fund Cusip,46434V514
Fund LEI,
Total NAV per share,23.858877,Jan 23 2019
Distribution per Share,,
Fund Size,58454248.65,Jan 23 2019
Shares Outstanding,2450000,Jan 23 2019
Baskets Outstanding,49.000000000000,Jan 23 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 24 2019
Settlement Date,
Shares per Basket (PNU),50000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,1170.69,Jan 24 2019
Projected Cash for Deliverable Basket,10213.4,Jan 24 2019
Confirmed Cash for Deliverable Basket,10221.23,Jan 23 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,360 SECURITY TECHNOLOGY INC A,,Y444T7106,CNE100002RZ2,BDF57C1,600,671.42857,0.00000,2.979365,CNY,1.000000,,,,,,,
EQUITY,AECC AVIATION POWER LTD A,,Y9730A108,CNE000000JW1,BP3R518,1100,1100.00000,0.00000,3.314820,CNY,1.000000,,,,,,,
EQUITY,AGRICULTURAL BANK OF CHINA LTD A,,Y00289101,CNE100000RJ0,BP3R228,36900,36900.00000,0.00000,0.528194,CNY,1.000000,,,,,,,
EQUITY,AIR CHINA LTD A,,Y002A6138,CNE000001NN0,BP3R4G6,2300,2300.00000,0.00000,1.169677,CNY,1.000000,,,,,,,
EQUITY,AISINO CORP A,,Y0050G106,CNE000001FB1,BP3R660,900,900.00000,0.00000,3.656159,CNY,1.000000,,,,,,,
EQUITY,ANGANG STEEL LTD A,,Y0132F100,CNE000000SQ4,BD5CQ47,2100,2100.00000,0.00000,0.763600,CNY,1.000000,,,,,,,
EQUITY,ANHUI CONCH CEMENT LTD A,,Y01373110,CNE0000019V8,BP3R2Z1,2000,2000.00000,0.00000,4.530106,CNY,1.000000,,,,,,,
EQUITY,ANXIN TRUST LTD A,,Y0140X101,CNE0000003P4,BP3RD58,2800,2800.81632,0.00000,0.653253,CNY,1.000000,,,,,,,
EQUITY,AVIC AIRCRAFT LTD A,,Y9723E109,CNE000000RF9,BD5CPB7,1400,1400.00000,0.00000,2.056865,CNY,1.000000,,,,,,,
EQUITY,AVIC CAPITAL LTD A,,Y07709101,CNE000000KC1,BP3R4C2,4600,4600.02040,0.00000,0.648840,CNY,1.000000,,,,,,,
EQUITY,AVIC SHENYANG AIRCRAFT LTD A,,Y7683G106,CNE000000MH6,BF2DZ39,500,500.00000,0.00000,4.488910,CNY,1.000000,,,,,,,
EQUITY,BANK OF BEIJING LTD A,,Y06958113,CNE100000734,BP3R2W8,10500,10500.00000,0.00000,0.851878,CNY,1.000000,,,,,,,
EQUITY,BANK OF CHINA LTD A,,Y13905107,CNE000001N05,BP3R239,24300,24300.00000,0.00000,0.525251,CNY,1.000000,,,,,,,
EQUITY,BANK OF COMMUNICATIONS LTD A,,Y06988110,CNE1000000S2,BP3R2G2,19400,19400.00000,0.00000,0.882775,CNY,1.000000,,,,,,,
EQUITY,BANK OF GUIYANG LTD A,,Y0694A101,CNE100002FX2,BYW5QQ8,1200,1200.00000,0.00000,1.593409,CNY,1.000000,,,,,,,
EQUITY,BANK OF HANGZHOU LTD A,,Y0R98A104,CNE100002GQ4,BYW5MZ9,2500,2501.22448,0.00000,1.110825,CNY,1.000000,,,,,,,
EQUITY,BANK OF JIANGSU CORPORATION LTD A,,Y0698M101,CNE100002G76,BYW5MY8,5800,5800.00000,0.00000,0.894545,CNY,1.000000,,,,,,,
EQUITY,BANK OF NANJING LTD A,,Y0698E109,CNE100000627,BP3R529,4200,4200.00000,0.00000,0.991650,CNY,1.000000,,,,,,,
EQUITY,BANK OF NINGBO LTD A,,Y0698G104,CNE1000005P7,BD5CP06,2500,2500.00000,0.00000,2.487954,CNY,1.000000,,,,,,,
EQUITY,BANK OF SHANGHAI LTD A,,Y0R98R107,CNE100002FM5,BD8P9J9,5400,5400.81632,0.00000,1.641961,CNY,1.000000,,,,,,,
EQUITY,BAOSHAN IRON & STEEL LTD A,,Y0698U103,CNE0000015R4,BP3R2Y0,9200,9200.95918,0.00000,1.012249,CNY,1.000000,,,,,,,
EQUITY,BBMG CORP A,,Y076A3113,CNE1000010M4,BP3R5N0,4100,4100.00000,0.00000,0.513481,CNY,1.000000,,,,,,,
EQUITY,BEIJING CAPITAL LTD A,,Y07716106,CNE000001295,BP3R7K1,2900,2900.00000,0.00000,0.503182,CNY,1.000000,,,,,,,
EQUITY,BEIJING DABEINONG TECHNOLOGY GROUP,,Y0772N108,CNE100000N61,BD5CMP0,2200,2200.00000,0.00000,0.491411,CNY,1.000000,,,,,,,
EQUITY,BEIJING SHIJI INFORMATION TECHNOLO,,Y0772L102,CNE100000668,BD5CMX8,400,400.00000,0.00000,4.059293,CNY,1.000000,,,,,,,
EQUITY,BEIJING TONGRENTANG LTD A,,Y0771B105,CNE000000R69,BP3R5C9,800,800.00000,0.00000,3.959245,CNY,1.000000,,,,,,,
EQUITY,BEIJING XINWEI TECHNOLOGY GROUP LT,,Y07723102,CNE000001FK2,6674506,0,265.46938,0.00000,1.433038,CNY,1.000000,,,,,,,
EQUITY,BOE TECHNOLOGY GROUP LTD A,,Y0920M101,CNE0000016L5,BD5CPL7,16900,16900.06122,0.00000,0.389892,CNY,1.000000,,,,,,,
EQUITY,BYD LTD A,,Y1023R120,CNE100001526,BD5CQ69,900,900.00000,0.00000,7.179902,CNY,1.000000,,,,,,,
EQUITY,CHANGJIANG SECURITIES LTD A,,Y1314J100,CNE000000SH3,BD5CP40,2700,2700.00000,0.00000,0.797440,CNY,1.000000,,,,,,,
EQUITY,CHINA AVIONICS SYSTEMS LTD A,,Y1422Q103,CNE0000018C0,BP3R3Y7,700,700.00000,0.00000,2.027440,CNY,1.000000,,,,,,,
EQUITY,CHINA CITIC BANK CORP LTD A,,Y1434M108,CNE1000000R4,BP3R2H3,2900,2900.00000,0.00000,0.804796,CNY,1.000000,,,,,,,
EQUITY,CHINA COMMUNICATIONS CONSTRUCTION,,Y1R36A107,CNE100001FN5,BP3R3C5,1400,1400.00000,0.00000,1.584581,CNY,1.000000,,,,,,,
EQUITY,CHINA CONSTRUCTION BANK CORP A,,Y1397N119,CNE100000742,BP3R3L4,4700,4700.00000,0.00000,0.978409,CNY,1.000000,,,,,,,
EQUITY,CHINA EASTERN AIRLINES CORP LTD A,,Y1407D101,CNE000000TR0,BP3R5X0,4100,4100.00000,0.00000,0.735646,CNY,1.000000,,,,,,,
EQUITY,CHINA EVERBRIGHT BANK LTD A,,Y1477U116,CNE100000SL4,BP3R2P1,19700,19700.00000,0.00000,0.575275,CNY,1.000000,,,,,,,
EQUITY,CHINA FILM CO LTD A,,Y1R8AC107,CNE100002GX0,BYW5N01,900,900.00000,0.00000,2.226064,CNY,1.000000,,,,,,,
EQUITY,CHINA FORTUNE LAND DEVELOPMENT LTD,,Y1507B104,CNE000001GG8,BP3R3V4,1500,1500.00000,0.00000,3.815059,CNY,1.000000,,,,,,,
EQUITY,CHINA GEZHOUBA GROUP LTD A,,Y1495L114,CNE000000QF1,BP3R693,2300,2300.00000,0.00000,0.922500,CNY,1.000000,,,,,,,
EQUITY,CHINA GRAND AUTOMOTIVE SERVICES LT,,Y1964K100,CNE000001576,BYYFJB2,2800,2800.20408,0.00000,0.670909,CNY,1.000000,,,,,,,
EQUITY,CHINA INTERNATIONAL MARINE CONTAIN,,Y1457J115,CNE000000644,BD5CPX9,700,700.00000,0.00000,1.665502,CNY,1.000000,,,,,,,
EQUITY,CHINA INTERNATIONAL TRAVEL SERVICE,,Y149A3100,CNE100000G29,BP3R466,1000,1000.00000,0.00000,8.696804,CNY,1.000000,,,,,,,
EQUITY,CHINA LIFE INSURANCE LTD A,,Y1477R220,CNE000001Q93,BP3R251,1400,1400.00000,0.00000,3.222128,CNY,1.000000,,,,,,,
EQUITY,CHINA MERCHANTS BANK LTD A,,Y14896107,CNE000001B33,BP3R273,10200,10200.00000,0.00000,3.996028,CNY,1.000000,,,,,,,
EQUITY,CHINA MERCHANTS SECURITIES LTD A,,Y14904109,CNE100000HK9,BP3R303,2800,2800.12244,0.00000,2.065693,CNY,1.000000,,,,,,,
EQUITY,CHINA MERCHANTS SHEKOU INDUSTRIAL,,Y14907102,CNE100002FC6,BD5CPM8,3300,3300.00000,0.00000,2.702762,CNY,1.000000,,,,,,,
EQUITY,CHINA MINSHENG BANKING CORP LTD A,,Y1495M104,CNE0000015Y0,BP3R2C8,17600,17601.63265,0.00000,0.856292,CNY,1.000000,,,,,,,
EQUITY,CHINA MOLYBDENUM LTD A,,Y1503Z113,CNE100001NR0,BP3R574,8800,8800.00000,0.00000,0.572332,CNY,1.000000,,,,,,,
EQUITY,CHINA NATIONAL CHEMICAL ENGINEERIN,,Y1504G106,CNE100000KC0,BP3R4J9,2400,2400.00000,0.00000,0.818038,CNY,1.000000,,,,,,,
EQUITY,CHINA NATIONAL NUCLEAR POWER LTD A,,Y1507R109,CNE1000022N7,BYQDNJ0,5300,5300.00000,0.00000,0.778313,CNY,1.000000,,,,,,,
EQUITY,CHINA NORTHERN RARE EARTH (GROUP),,Y1500E105,CNE000000T18,BP3R370,1800,1800.00000,0.00000,1.309449,CNY,1.000000,,,,,,,
EQUITY,CHINA PACIFIC INSURANCE (GROUP) LT,,Y1505Z111,CNE1000008M8,BP3R2K6,3100,3100.00000,0.00000,4.355023,CNY,1.000000,,,,,,,
EQUITY,CHINA PETROLEUM & CHEMICAL CORP A,,Y15010112,CNE0000018G1,BP3R240,12700,12700.00000,0.00000,0.791555,CNY,1.000000,,,,,,,
EQUITY,CHINA RAILWAY CONSTRUCTION CORP LT,,Y1508P102,CNE1000009T1,BP3R381,5700,5701.53061,0.00000,1.521315,CNY,1.000000,,,,,,,
EQUITY,CHINA RESOURCES SANJIU MEDICAL AND,,Y7503B105,CNE0000011K8,BD5CL42,600,600.00000,0.00000,3.289808,CNY,1.000000,,,,,,,
EQUITY,CHINA SHENHUA ENERGY LTD A,,Y1504C121,CNE100000767,BP3R262,2200,2202.02040,0.00000,2.860191,CNY,1.000000,,,,,,,
