Fund Level
Fund Name,iShares Commodities Select Strategy ETF
Fund Ticker,COMT
Fund ISIN,US46431W8534
Fund Cusip,46431W853
Fund LEI,
Total NAV per share,31.900901,Jan 23 2019
Distribution per Share,,
Fund Size,376430631.80,Jan 23 2019
Shares Outstanding,11800000,Jan 23 2019
Baskets Outstanding,118.000000000000,Jan 23 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 24 2019
Settlement Date,
Shares per Basket (PNU),100000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,771029.5,Jan 24 2019
Projected Cash for Deliverable Basket,2223032.28,Jan 24 2019
Confirmed Cash for Deliverable Basket,2222993.24,Jan 23 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,A SCHULMAN INC,,808CVR104,US808CVR1040,9927791,0,16.00000,0.00000,1.910000,USD,1.000000,,,,,,,
EQUITY,AGCO CORP,,001084102,US0010841023,2010278,56,55.53390,0.00000,61.450000,USD,1.000000,,,,,,,
EQUITY,AGNICO EAGLE MINES LTD,,008474108,CA0084741085,2009834,105,105.41525,0.00000,39.170000,USD,1.000000,,,,,,,
EQUITY,AK STEEL HOLDING CORP,,001547108,US0015471081,2067735,141,141.03390,0.00000,2.620000,USD,1.000000,,,,,,,
EQUITY,ALBEMARLE CORP,,012653101,US0126531013,2046853,89,89.48305,0.00000,73.920000,USD,1.000000,,,,,,,
EQUITY,ALCOA CORP,,013872106,US0138721065,BYNF418,84,83.97458,0.00000,28.300000,USD,1.000000,,,,,,,
EQUITY,ALLEGHENY TECHNOLOGIES INC,,01741R102,US01741R1023,2526117,56,56.20339,0.00000,26.440000,USD,1.000000,,,,,,,
EQUITY,ANADARKO PETROLEUM CORP,,032511107,US0325111070,2032380,103,102.89831,0.00000,45.880000,USD,1.000000,,,,,,,
EQUITY,ANTERO RESOURCES CORP,,03674X106,US03674X1063,BFD2WR8,45,44.55932,0.00000,10.050000,USD,1.000000,,,,,,,
EQUITY,APACHE CORP,,037411105,US0374111054,2043962,77,76.84746,0.00000,30.970000,USD,1.000000,,,,,,,
EQUITY,APERGY CORP,,03755L104,US03755L1044,BFXZQZ3,15,15.49153,0.00000,33.180000,USD,1.000000,,,,,,,
EQUITY,ARCELORMITTAL ADR SA,,03938L203,US03938L2034,BD4H9V1,288,288.13559,0.00000,21.370000,USD,1.000000,,,,,,,
EQUITY,ARCH COAL INC CLASS A,,039380407,US0393804077,BYYHNV6,4,3.93220,0.00000,86.470000,USD,1.000000,,,,,,,
EQUITY,ARCHER DANIELS MIDLAND,,039483102,US0394831020,2047317,473,472.98305,0.00000,43.710000,USD,1.000000,,,,,,,
EQUITY,ARCHROCK INC,,03957W106,US03957W1062,BYRGSX7,26,26.00847,0.00000,8.990000,USD,1.000000,,,,,,,
EQUITY,ASHLAND GLOBAL INC,,044186104,US0441861046,BYND5N1,53,52.61864,0.00000,76.610000,USD,1.000000,,,,,,,
EQUITY,AXALTA COATING SYSTEMS LTD,,G0750C108,BMG0750C1082,BSFWCF5,179,178.94915,0.00000,24.980000,USD,1.000000,,,,,,,
EQUITY,BAKER HUGHES CLASS A,,05722G100,US05722G1004,BDHLTQ5,104,103.84746,0.00000,22.980000,USD,1.000000,,,,,,,
