Fund Level
Fund Name,iShares MSCI China Small-Cap ETF
Fund Ticker,ECNS
Fund ISIN,US46429B2007
Fund Cusip,46429B200
Fund LEI,
Total NAV per share,40.192041,Jan 23 2019
Distribution per Share,,
Fund Size,18086418.45,Jan 23 2019
Shares Outstanding,450000,Jan 23 2019
Baskets Outstanding,9.000000000000,Jan 23 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 24 2019
Settlement Date,
Shares per Basket (PNU),50000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,18861.41,Jan 24 2019
Projected Cash for Deliverable Basket,24308.57,Jan 24 2019
Confirmed Cash for Deliverable Basket,42098.09,Jan 23 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,21VIANET GROUP ADR REPRESENTING SI,,90138A103,US90138A1034,B3Q0VS9,1792,1792.00000,0.00000,8.830000,USD,1.000000,,,,,,,
EQUITY,361 DEGREES INTERNATIONAL LTD,,G88493104,KYG884931042,B51BL70,23000,23000.00000,0.00000,0.205217,HKD,1.000000,,,,,,,
EQUITY,500.COM ADR REPRESENTING  LTD CLAS,,33829R100,US33829R1005,BGK07D3,418,418.00000,0.00000,13.310000,USD,1.000000,,,,,,,
EQUITY,AGM GROUP HOLDINGS INC CLASS A,,G0132V105,VGG0132V1058,BFZP3N8,228,228.00000,0.00000,27.950000,USD,1.000000,,,,,,,
EQUITY,AGTECH HOLDINGS LTD,,G0135Z103,BMG0135Z1032,B1G2FL2,92000,92000.00000,0.00000,0.057359,HKD,1.000000,,,,,,,
EQUITY,AJISEN (CHINA) HOLDINGS LTD,,G0192S109,KYG0192S1093,B1TNRD8,13000,13000.00000,0.00000,0.293167,HKD,1.000000,,,,,,,
EQUITY,AK MEDICAL HOLDINGS LTD,,G02014101,KYG020141019,BFD6SZ0,8000,8000.00000,0.00000,0.514955,HKD,1.000000,,,,,,,
EQUITY,ANHUI EXPRESSWAY LTD H,,Y01374100,CNE1000001X0,6045180,12000,12000.00000,0.00000,0.614377,HKD,1.000000,,,,,,,
EQUITY,ANTON OILFIELD SERVICES GROUP,,G03999102,KYG039991024,B29JZB7,52000,52000.00000,0.00000,0.107070,HKD,1.000000,,,,,,,
EQUITY,ANXIN-CHINA HOLDINGS LTD,,G0400P103,KYG0400P1037,6715182,0,74666.66666,0.00000,0.010197,HKD,1.000000,,,,,,,
EQUITY,APT SATELLITE HOLDINGS LTD,,G0438M106,BMG0438M1064,6039644,10000,10166.66666,0.00000,0.424455,HKD,1.000000,,,,,,,
EQUITY,ASCLETIS PHARMA INC,,G0520K109,KYG0520K1094,BFLTDL2,6000,6000.00000,0.00000,0.771157,HKD,1.000000,,,,,,,
EQUITY,ASIA CEMENT CHINA CORP,,G0539C106,KYG0539C1069,B2R8HK9,13000,12500.00000,0.00000,0.716348,HKD,1.000000,,,,,,,
EQUITY,AVIC INTERNATIONAL HOLDING (HK) LT,,G0719V106,BMG0719V1063,6331618,0,7555.55555,0.00000,0.024346,HKD,1.000000,,,,,,,
EQUITY,AVIC INTERNATIONAL HOLDINGS LTD H,,Y1195F102,CNE1000002B4,6052618,8000,8131.55555,0.00000,0.600356,HKD,1.000000,,,,,,,
EQUITY,BAOYE GROUP LTD H,,Y0699H101,CNE100000213,6649667,6000,6000.00000,0.00000,0.545546,HKD,1.000000,,,,,,,
EQUITY,BEIJING CAPITAL LAND LTD H,,Y0771C103,CNE100000239,6623360,26000,26000.00000,0.00000,0.388765,HKD,1.000000,,,,,,,
EQUITY,BEIJING GAS BLUE SKY HOLDINGS LTD,,G09587109,BMG095871098,BYZD5D9,136000,136000.00000,0.00000,0.029954,HKD,1.000000,,,,,,,
EQUITY,BEIJING NORTH STAR LTD H,,Y0770G105,CNE100000262,6084268,20000,20000.00000,0.00000,0.281696,HKD,1.000000,,,,,,,
EQUITY,BEIJING SPORTS & ENT INDUSTRY GP L,,G1145Y102,KYG1145Y1026,BZ01911,22500,22500.00000,0.00000,0.331407,HKD,1.000000,,,,,,,
EQUITY,BEIJING TONG REN TANG CHINESE MEDI,,Y0774V108,HK0000145638,B7TWG07,7000,7000.00000,0.00000,1.697821,HKD,1.000000,,,,,,,
EQUITY,BEIJING URBAN CONSTRUCTION DESIGN,,Y0776U108,CNE100001SV1,BNG6273,8000,8000.00000,0.00000,0.395139,HKD,1.000000,,,,,,,
EQUITY,BEST PACIFIC INTERNATIONAL HOLDING,,G10689100,KYG106891008,BMN2GZ3,8000,8000.00000,0.00000,0.247280,HKD,1.000000,,,,,,,
EQUITY,BESTWAY GLOBAL HOLDING INC,,G1069R109,KYG1069R1092,BF06LG5,7000,7000.00000,0.00000,0.406610,HKD,1.000000,,,,,,,
EQUITY,BITAUTO HOLDINGS ADR REPRESENTING,,091727107,US0917271076,B531ND8,691,691.00000,0.00000,17.330000,USD,1.000000,,,,,,,
EQUITY,BJ ENT MEDICAL & HEALTH IND GROUP,,G0957Q108,KYG0957Q1082,BYZWFH0,0,30666.66666,0.00000,0.029317,HKD,1.000000,,,,,,,
EQUITY,BOSHIWA INTERNATIONAL HOLDING LTD,,G12623107,KYG126231078,B63MHK3,0,17000.00000,0.00000,0.003824,HKD,1.000000,,,,,,,
EQUITY,BOSIDENG INTERNATIONAL LTD,,G12652106,KYG126521064,B24FZ32,88000,86000.00000,0.00000,0.184823,HKD,1.000000,,,,,,,
EQUITY,C D INTERNATIONAL INVESTMENT GROUP,,G3165D109,KYG3165D1097,BZBY9R5,5000,5000.00000,0.00000,0.903720,HKD,1.000000,,,,,,,
EQUITY,CAMSING INTERNATIONAL HOLDING LTD,,G1809X101,KYG1809X1016,BYQHQT3,12000,12000.00000,0.00000,0.955980,HKD,1.000000,,,,,,,
EQUITY,CANVEST ENVIRONMENTAL PROTECTION G,,G18322100,KYG183221004,BTLWVY8,20000,20000.00000,0.00000,0.537898,HKD,1.000000,,,,,,,
EQUITY,CAPITAL ENVIRONMENT HOLDINGS LTD,,G1941T109,KYG1941T1094,BN54NK8,136000,136000.00000,0.00000,0.021669,HKD,1.000000,,,,,,,
EQUITY,CARNIVAL GROUP INTERNATIONAL HOLDI,,G1991V103,BMG1991V1037,B7W33S4,220000,220288.44444,0.00000,0.015168,HKD,1.000000,,,,,,,
EQUITY,CENTRAL CHINA REAL ESTATE LTD,,G20768100,KYG207681001,B2RDS34,19000,18004.22222,0.00000,0.419357,HKD,1.000000,,,,,,,
EQUITY,CGN NEW ENERGY HOLDINGS LTD,,G20298108,BMG202981087,BQWJ9K9,36000,36000.00000,0.00000,0.138936,HKD,1.000000,,,,,,,
EQUITY,CH GRAND PHARM & HEALTHCARE HLDGS,,G210A7101,BMG210A71016,B00W4D6,24000,24000.00000,0.00000,0.498384,HKD,1.000000,,,,,,,
EQUITY,CHANGYOU.COM ADR REPTG  LTD CLASS,,15911M107,US15911M1071,B65R7B7,481,481.00000,0.00000,17.990000,USD,1.000000,,,,,,,
EQUITY,CHAOWEI POWER HOLDINGS LTD,,G20479104,KYG204791043,B61TX08,17000,16000.00000,0.00000,0.359449,HKD,1.000000,,,,,,,
EQUITY,CHIHO ENVIRONMENTAL GROUP LTD,,G4465A100,KYG4465A1004,B3SZGR6,10000,10000.00000,0.00000,0.150408,HKD,1.000000,,,,,,,
EQUITY,CHINA AIRCRAFT LEASING GROUP HOLDI,,G21124105,KYG211241057,BNY7YW7,7500,7500.00000,0.00000,1.041381,HKD,1.000000,,,,,,,
EQUITY,CHINA ANIMAL HEALTHCARE LTD,,G21115103,BMG211151037,B53NSQ2,0,15555.55555,0.00000,0.007648,HKD,1.000000,,,,,,,
EQUITY,CHINA ANIMATION CHARACTERS LTD,,G21175107,KYG211751071,BW4PYY6,13000,13000.00000,0.00000,0.317385,HKD,1.000000,,,,,,,
