Fund Level
Fund Name,iShares MSCI Emerging Markets ETF
Fund Ticker,EEM
Fund ISIN,US4642872349
Fund Cusip,464287234
Fund LEI,
Total NAV per share,41.023782,Jan 23 2019
Distribution per Share,,
Fund Size,31327811124.30,Jan 23 2019
Shares Outstanding,763650000,Jan 23 2019
Baskets Outstanding,1697.000000000000,Jan 23 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 24 2019
Settlement Date,
Shares per Basket (PNU),450000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,13778.02,Jan 24 2019
Projected Cash for Deliverable Basket,880108.93,Jan 24 2019
Confirmed Cash for Deliverable Basket,902654.06,Jan 23 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,3SBIO INC,,G8875G102,KYG8875G1029,BY9D3L9,4500,4692.39835,0.00000,1.473484,HKD,1.000000,,,,,,,
EQUITY,51JOB ADR REPRESENTING INC,,316827104,US3168271043,B02TT74,91,91.07896,0.00000,66.400000,USD,1.000000,,,,,,,
EQUITY,58.COM ADR REPRESENTING  INC CLASS,,31680Q104,US31680Q1040,BG3GS91,342,340.90807,0.00000,60.480000,USD,1.000000,,,,,,,
EQUITY,AAC TECHNOLOGIES HOLDINGS INC,,G2953R114,KYG2953R1149,B85LKS1,2500,2667.94342,0.00000,5.748628,HKD,1.000000,,,,,,,
EQUITY,ABOITIZ EQUITY VENTURES PHP1 INC,,Y0001Z104,PHY0001Z1040,6068411,7850,7858.32645,0.00000,1.232286,PHP,1.000000,,,,,,,
EQUITY,ABOITIZ POWER CORP,,Y0005M109,PHY0005M1090,B1Z9Q99,4500,4589.54861,0.00000,0.701455,PHP,1.000000,,,,,,,
EQUITY,ABSA GROUP LTD,,S0270C106,ZAE000255915,BFX05H3,2632,2632.47318,0.00000,12.607879,ZAR,1.000000,,,,,,,
EQUITY,ABU DHABI COMMERCIAL BANK,,M0152Q104,AEA000201011,6545464,7979,7979.03005,0.00000,2.365849,AED,1.000000,,,,,,,
EQUITY,ACER,,Y0003F171,TW0002353000,6005850,10000,10739.61166,0.00000,0.614986,TWD,1.000000,,,,,,,
EQUITY,ADANI PORTS AND SPECIAL ECONOMIC Z,,Y00130107,INE742F01042,B28XXH2,1879,1879.72657,0.00000,5.399117,INR,1.000000,,,,,,,
EQUITY,ADARO ENERGY TBK,,Y7087B109,ID1000111305,B3BQFC4,52700,52734.88509,0.00000,0.097320,IDR,1.000000,,,,,,,
EQUITY,ADVANCED INFO SERVICE NON-VOTING D,,Y0014U175,TH0268010R11,6412609,3700,3747.20094,0.00000,5.513982,THB,1.000000,,,,,,,
EQUITY,ADVANTECH LTD,,Y0017P108,TW0002395001,6202673,1000,1304.72952,0.00000,7.379835,TWD,1.000000,,,,,,,
EQUITY,AGILE GROUP HOLDINGS LTD,,G01198103,KYG011981035,B0PR2F4,4000,5734.82616,0.00000,1.190514,HKD,1.000000,,,,,,,
EQUITY,AGRICULTURAL BANK OF CHINA LTD A,,Y00289101,CNE100000RJ0,BP3R228,7300,7355.15615,0.00000,0.528194,CNY,1.000000,,,,,,,
EQUITY,AGRICULTURAL BANK OF CHINA LTD H,,Y00289119,CNE100000Q43,B60LZR6,103000,103707.71950,0.00000,0.453772,HKD,1.000000,,,,,,,
EQUITY,AGUAS ANDINAS SA,,P4171M125,CL0000000035,2311238,10066,10066.36770,0.00000,0.587199,CLP,1.000000,,,,,,,
EQUITY,AIR CHINA LTD H,,Y002A6104,CNE1000001S0,B04KNF1,6000,6935.76900,0.00000,0.939410,HKD,1.000000,,,,,,,
EQUITY,AIRASIA GROUP,,Y0029V101,MYL5099OO006,B03J9L7,5500,5558.69180,0.00000,0.737160,MYR,1.000000,,,,,,,
EQUITY,AIRPORTS OF THAILAND NON-VOTING DR,,Y0028Q129,TH0765010R16,6741206,15600,15632.23335,0.00000,2.181961,THB,1.000000,,,,,,,
EQUITY,AIRTAC INTERNATIONAL GROUP,,G01408106,KYG014081064,B52J816,0,405.42133,0.00000,11.021201,TWD,1.000000,,,,,,,
EQUITY,AK ALROSA,,X0085A109,RU0007252813,B6QPBP2,9570,9480.38892,0.00000,1.521663,RUB,1.000000,,,,,,,
EQUITY,AKBANK A,,M0300L106,TRAAKBNK91N6,B03MN70,10388,10325.16794,0.00000,1.225949,TRY,1.000000,,,,,,,
EQUITY,ALDAR PROPERTIES,,M0517N101,AEA002001013,B0LX3Y2,12617,12617.83794,0.00000,0.413819,AED,1.000000,,,,,,,
EQUITY,ALFA A,,P0156P117,MXP000511016,2043423,11100,11141.77961,0.00000,1.265836,MXN,1.000000,,,,,,,
EQUITY,ALIBABA GROUP HOLDING ADR REPRESEN,,01609W102,US01609W1027,BP41ZD1,4744,4744.22687,0.00000,152.030000,USD,1.000000,,,,,,,
EQUITY,ALIBABA HEALTH INFORMATION TECH LT,,G0171K101,BMG0171K1018,BRXVS60,12000,12879.19858,0.00000,0.866755,HKD,1.000000,,,,,,,
EQUITY,ALIBABA PICTURES GROUP LTD,,G0171W105,BMG0171W1055,BPYM749,50000,52527.99057,0.00000,0.165703,HKD,1.000000,,,,,,,
EQUITY,ALIOR BANK SA,,X0081M123,PLALIOR00045,B8W8F13,332,329.24867,0.00000,14.426647,PLN,1.000000,,,,,,,
EQUITY,ALLIANCE BANK MALAYSIA BHD,,Y0034W102,MYL2488OO004,6556938,3900,3963.05244,0.00000,1.007855,MYR,1.000000,,,,,,,
EQUITY,ALLIANCE GLOBAL GROUP INC,,Y00334105,PHY003341054,6147105,13800,13814.60223,0.00000,0.269207,PHP,1.000000,,,,,,,
EQUITY,ALPHA BANK SA,,X0085P155,GRS015003007,BZ1MXR7,0,4957.15733,0.00000,1.101487,EUR,1.000000,,,,,,,
EQUITY,ALSEA DE CV,,P0212A104,MXP001391012,2563017,1600,1667.17737,0.00000,2.620668,MXN,1.000000,,,,,,,
EQUITY,ALUMINUM CORPORATION OF CHINA CORP,,Y0094N109,CNE1000001T8,6425395,14000,15011.19622,0.00000,0.353075,HKD,1.000000,,,,,,,
EQUITY,AMBEV SA,,P0273U106,BRABEVACNOR1,BG7ZWY7,17200,17211.55863,0.00000,4.521469,BRL,1.000000,,,,,,,
EQUITY,AMBUJA CEMENTS LTD,,Y6140K106,INE079A01024,B09QQ11,2178,2178.73305,0.00000,2.977083,INR,1.000000,,,,,,,
EQUITY,AMERICA MOVIL L,,P0280A101,MXP001691213,2667470,123200,123265.93989,0.00000,0.793111,MXN,1.000000,,,,,,,
EQUITY,AMMB HOLDINGS,,Y0122P100,MYL1015OO006,6047023,6200,6269.75545,0.00000,1.087613,MYR,1.000000,,,,,,,
