Fund Level
Fund Name,iShares MSCI EAFE ETF
Fund Ticker,EFA
Fund ISIN,US4642874659
Fund Cusip,464287465
Fund LEI,
Total NAV per share,61.453598,Jan 23 2019
Distribution per Share,,
Fund Size,63788834724.00,Jan 23 2019
Shares Outstanding,1038000000,Jan 23 2019
Baskets Outstanding,1730.000000000000,Jan 23 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 24 2019
Settlement Date,
Shares per Basket (PNU),600000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,13607.73,Jan 24 2019
Projected Cash for Deliverable Basket,1295585.01,Jan 24 2019
Confirmed Cash for Deliverable Basket,1410614.52,Jan 23 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,1&1 DRILLISCH AG,,D23138106,DE0005545503,5734672,150,150.02716,0.00000,43.991206,EUR,1.000000,,,,,,,
EQUITY,3I GROUP PLC,,G88473148,GB00B1YW4409,B1YW440,2711,2711.94219,0.00000,10.614175,GBP,1.000000,,,,,,,
EQUITY,A P MOLLER MAERSK,,K0514G135,DK0010244425,4253059,9,9.91734,0.00000,1242.827642,DKK,1.000000,,,,,,,
EQUITY,A P MOLLER MAERSK B,,K0514G101,DK0010244508,4253048,18,18.78554,0.00000,1325.276417,DKK,1.000000,,,,,,,
EQUITY,ABB LTD,,H0010V101,CH0012221716,7108899,5183,5163.06878,0.00000,19.040924,CHF,1.000000,,,,,,,
EQUITY,ABC MART INC,,J00056101,JP3152740001,6292102,0,96.87861,0.00000,56.004013,JPY,1.000000,,,,,,,
EQUITY,ABN AMRO GROUP NV,,N0162C102,NL0011540547,BYQP136,1186,1177.78554,0.00000,25.534472,EUR,1.000000,,,,,,,
EQUITY,ACCOR SA,,F00189120,FR0000120404,5852842,527,527.01965,0.00000,44.025343,EUR,1.000000,,,,,,,
EQUITY,ACOM LTD,,J00105106,JP3108600002,6049784,1100,1150.67630,0.00000,3.456925,JPY,1.000000,,,,,,,
EQUITY,ACS ACTIVIDADES DE CONSTRUCCION Y,,E7813W163,ES0167050915,B01FLQ6,718,718.53179,0.00000,40.554749,EUR,1.000000,,,,,,,
EQUITY,ACTIVIDADES DE CONSTRUCCION Y SERV,,,ES06670509E9,BFMXP84,0,0.00000,718.53179,0.523775,EUR,1.000000,,,,,,,
EQUITY,ADECCO GROUP AG,,H00392318,CH0012138605,7110720,454,454.58670,0.00000,50.815968,CHF,1.000000,,,,,,,
EQUITY,ADIDAS N AG,,D0066B185,DE000A1EWWW0,4031976,530,527.40231,0.00000,235.886629,EUR,1.000000,,,,,,,
EQUITY,ADMIRAL GROUP PLC,,G0110T106,GB00B02J6398,B02J639,578,578.58843,0.00000,27.521618,GBP,1.000000,,,,,,,
EQUITY,AEGON NV,,N00927298,NL0000303709,5927375,5041,4998.69653,0.00000,5.079585,EUR,1.000000,,,,,,,
EQUITY,AENA SME SA,,E526K0106,ES0105046009,BVRZ8L1,191,191.39653,0.00000,169.262595,EUR,1.000000,,,,,,,
EQUITY,AEON FINANCIAL SERVICES LTD,,J0021H107,JP3131400008,6037734,200,298.26011,0.00000,19.437224,JPY,1.000000,,,,,,,
EQUITY,AEON LTD,,J00288100,JP3388200002,6480048,1700,1719.71098,0.00000,19.984494,JPY,1.000000,,,,,,,
EQUITY,AEON MALL LTD,,J10005106,JP3131430005,6534202,200,293.87861,0.00000,16.053268,JPY,1.000000,,,,,,,
EQUITY,AERCAP HOLDINGS NV,,N00985106,NL0000687663,B1HHKD3,364,364.00404,0.00000,45.020000,USD,1.000000,,,,,,,
EQUITY,AEROPORTS DE PARIS SA,,F00882104,FR0010340141,B164FY1,82,82.49537,0.00000,188.891367,EUR,1.000000,,,,,,,
EQUITY,AGC INC,,J0025W100,JP3112000009,6055208,500,543.58381,0.00000,32.973047,JPY,1.000000,,,,,,,
EQUITY,AGEAS NV,,B0148L138,BE0974264930,B86S2N0,518,518.91965,0.00000,46.312522,EUR,1.000000,,,,,,,
EQUITY,AGL ENERGY LTD,,Q01630195,AU000000AGL7,BSS7GP5,1838,1838.05202,0.00000,15.019995,AUD,1.000000,,,,,,,
EQUITY,AIA GROUP LTD,,Y002A1105,HK0000069689,B4TX8S1,33800,33984.50867,0.00000,8.724913,HKD,1.000000,,,,,,,
EQUITY,AIB GROUP,,G0R4HJ106,IE00BF0L3536,BF0L353,2252,2252.00115,0.00000,4.665389,EUR,1.000000,,,,,,,
EQUITY,AIR LIQUIDE SA,,F01764103,FR0000120073,B1YXBJ7,1200,1198.87745,0.00000,119.536374,EUR,1.000000,,,,,,,
EQUITY,AIR WATER INC,,J00662114,JP3160670000,6441465,300,397.28323,0.00000,16.190085,JPY,1.000000,,,,,,,
EQUITY,AIRBUS GROUP,,N0280G100,NL0000235190,4012250,1643,1635.81907,0.00000,106.746380,EUR,1.000000,,,,,,,
EQUITY,AISIN SEIKI LTD,,J00714105,JP3102000001,6010702,400,488.15028,0.00000,39.084234,JPY,1.000000,,,,,,,
EQUITY,AJINOMOTO INC,,J00882126,JP3119600009,6010906,1200,1250.92485,0.00000,17.302869,JPY,1.000000,,,,,,,
EQUITY,AKER BP,,R0139K100,NO0010345853,B1L95G3,310,310.83063,0.00000,32.021425,NOK,1.000000,,,,,,,
EQUITY,AKZO NOBEL NV,,,NL0013267909,BJ2KSG2,635,630.19884,0.00000,85.934193,EUR,1.000000,,,,,,,
EQUITY,ALFA LAVAL,,W04008152,SE0000695876,7332687,825,821.35375,0.00000,21.648141,SEK,1.000000,,,,,,,
EQUITY,ALFRESA HOLDINGS CORP,,J0109X107,JP3126340003,6687214,500,501.61849,0.00000,27.363524,JPY,1.000000,,,,,,,
EQUITY,ALLIANZ,,D03080112,DE0008404005,5231485,1211,1204.42138,0.00000,208.554276,EUR,1.000000,,,,,,,
EQUITY,ALPS ALPINE LTD,,J01176114,JP3126400005,6021500,600,600.00000,0.00000,19.729101,JPY,1.000000,,,,,,,
EQUITY,ALSTOM SA,,F0259M475,FR0010220475,B0DJ8Q5,433,433.80578,0.00000,38.916173,EUR,1.000000,,,,,,,
EQUITY,ALUMINA LTD,,Q0269M109,AU000000AWC3,6954985,6807,6807.08670,0.00000,1.647492,AUD,1.000000,,,,,,,
