Fund Level
Fund Name,iShares MSCI EAFE Value ETF
Fund Ticker,EFV
Fund ISIN,US4642888774
Fund Cusip,464288877
Fund LEI,
Total NAV per share,47.336777,Jan 23 2019
Distribution per Share,,
Fund Size,6002303323.60,Jan 23 2019
Shares Outstanding,126800000,Jan 23 2019
Baskets Outstanding,317.000000000000,Jan 23 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 24 2019
Settlement Date,
Shares per Basket (PNU),400000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,-2856.41,Jan 24 2019
Projected Cash for Deliverable Basket,465624.43,Jan 24 2019
Confirmed Cash for Deliverable Basket,502861.7,Jan 23 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,1&1 DRILLISCH AG,,D23138106,DE0005545503,5734672,77,77.11041,0.00000,43.991206,EUR,1.000000,,,,,,,
EQUITY,3I GROUP PLC,,G88473148,GB00B1YW4409,B1YW440,2776,2776.00000,0.00000,10.614175,GBP,1.000000,,,,,,,
EQUITY,A P MOLLER MAERSK,,K0514G135,DK0010244425,4253059,9,9.56151,0.00000,1242.827642,DKK,1.000000,,,,,,,
EQUITY,A P MOLLER MAERSK B,,K0514G101,DK0010244508,4253048,19,19.44479,0.00000,1325.276417,DKK,1.000000,,,,,,,
EQUITY,ABN AMRO GROUP NV,,N0162C102,NL0011540547,BYQP136,1237,1237.54574,0.00000,25.534472,EUR,1.000000,,,,,,,
EQUITY,ACS ACTIVIDADES DE CONSTRUCCION Y,,E7813W163,ES0167050915,B01FLQ6,755,755.13564,0.00000,40.554749,EUR,1.000000,,,,,,,
EQUITY,ACTIVIDADES DE CONSTRUCCION Y SERV,,,ES06670509E9,BFMXP84,0,0.00000,767.04416,0.523775,EUR,1.000000,,,,,,,
EQUITY,ADECCO GROUP AG,,H00392318,CH0012138605,7110720,442,442.15141,0.00000,50.815968,CHF,1.000000,,,,,,,
EQUITY,ADMIRAL GROUP PLC,,G0110T106,GB00B02J6398,B02J639,521,508.39747,0.00000,27.521618,GBP,1.000000,,,,,,,
EQUITY,AEGON NV,,N00927298,NL0000303709,5927375,5206,5206.02208,0.00000,5.079585,EUR,1.000000,,,,,,,
