Fund Level
Fund Name,iShares MSCI Indonesia ETF
Fund Ticker,EIDO
Fund ISIN,US46429B3096
Fund Cusip,46429B309
Fund LEI,
Total NAV per share,26.667044,Jan 23 2019
Distribution per Share,,
Fund Size,658675986.80,Jan 23 2019
Shares Outstanding,24700000,Jan 23 2019
Baskets Outstanding,494.000000000000,Jan 23 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 24 2019
Settlement Date,
Shares per Basket (PNU),50000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,1347.69,Jan 24 2019
Projected Cash for Deliverable Basket,3696.6,Jan 24 2019
Confirmed Cash for Deliverable Basket,3717.58,Jan 23 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,ACE HARDWARE INDONESIA,,Y000CY105,ID1000125503,B7JW351,94900,94933.56072,0.00000,0.126234,IDR,1.000000,,,,,,,
EQUITY,ADARO ENERGY TBK,,Y7087B109,ID1000111305,B3BQFC4,144200,144283.68218,0.00000,0.097320,IDR,1.000000,,,,,,,
EQUITY,ADHI KARYA (PERSERO),,Y7115S108,ID1000097207,B00D9M3,21200,21268.64372,0.00000,0.121298,IDR,1.000000,,,,,,,
EQUITY,AKR CORPORINDO,,Y71161163,ID1000106701,6048156,20000,20016.39676,0.00000,0.316643,IDR,1.000000,,,,,,,
EQUITY,ALAM SUTERA REALTY,,Y7126F103,ID1000108400,B29Y9F4,175000,175001.24696,0.00000,0.024118,IDR,1.000000,,,,,,,
EQUITY,ANEKA TAMBANG,,Y7116R158,ID1000106602,6053859,83500,83555.57489,0.00000,0.060649,IDR,1.000000,,,,,,,
EQUITY,ASTRA INTERNATIONAL,,Y7117N172,ID1000122807,B800MQ5,184900,184902.48987,0.00000,0.576516,IDR,1.000000,,,,,,,
EQUITY,BANK CENTRAL ASIA,,Y7123P138,ID1000109507,B01C1P6,84500,84520.76518,0.00000,1.939351,IDR,1.000000,,,,,,,
EQUITY,BANK DANAMON INDONESIA,,Y71188190,ID1000094204,6580034,33100,33127.04453,0.00000,0.643512,IDR,1.000000,,,,,,,
EQUITY,BANK MANDIRI (PERSERO),,Y7123S108,ID1000095003,6651048,165400,165481.70040,0.00000,0.527151,IDR,1.000000,,,,,,,
EQUITY,BANK NEGARA INDONESIA,,Y74568166,ID1000096605,6727121,80000,80009.02429,0.00000,0.638223,IDR,1.000000,,,,,,,
EQUITY,BANK PEMBANGUNAN DAERAH JAWA BARAT,,Y71174109,ID1000115702,B3Z3L12,31800,31872.74493,0.00000,0.155853,IDR,1.000000,,,,,,,
EQUITY,BANK PEMBANGUNAN DAERAH JAWA TIMUR,,Y712CN109,ID1000123904,B8FQLP0,111100,111115.99190,0.00000,0.050423,IDR,1.000000,,,,,,,
EQUITY,BANK RAKYAT INDONESIA (PERSERO),,Y0697U112,ID1000118201,6709099,506500,506508.42105,0.00000,0.265867,IDR,1.000000,,,,,,,
EQUITY,BUMI RESOURCES,,Y7122M110,ID1000068703,6043485,506600,506633.19838,0.00000,0.012694,IDR,1.000000,,,,,,,
EQUITY,BUMI SERPONG DAMAI,,Y7125J106,ID1000110802,B2RJPM0,85300,85342.75708,0.00000,0.101551,IDR,1.000000,,,,,,,
EQUITY,CHAROEN POKPHAND INDONESIA,,Y71207164,ID1000117708,6315344,74200,74275.75910,0.00000,0.571227,IDR,1.000000,,,,,,,
EQUITY,CIPUTRA DEVELOPMENT,,Y7121J134,ID1000115306,6291767,108000,108062.57692,0.00000,0.069817,IDR,1.000000,,,,,,,
EQUITY,DELTA DUNIA MAKMUR,,Y2036T103,ID1000110505,6334468,46800,46803.03643,0.00000,0.046544,IDR,1.000000,,,,,,,
EQUITY,EAGLE HIGH PLANTATIONS,,Y711AG108,ID1000113202,B58PM83,87500,87540.38866,0.00000,0.013611,IDR,1.000000,,,,,,,
EQUITY,GLOBAL MEDIACOM,,Y7119T144,ID1000105604,B1W5678,64100,64162.55060,0.00000,0.024824,IDR,1.000000,,,,,,,
EQUITY,GUDANG GARAM,,Y7121F165,ID1000068604,6366999,5000,5067.69635,0.00000,5.775740,IDR,1.000000,,,,,,,
EQUITY,HANSON INTERNATIONAL,,Y71225166,ID1000059603,6129813,723500,723520.31376,0.00000,0.007757,IDR,1.000000,,,,,,,
EQUITY,HM SAMPOERNA,,Y7121Z146,ID1000074008,6404242,96400,96405.87044,0.00000,0.264457,IDR,1.000000,,,,,,,
EQUITY,INDAH KIAT PULP & PAPER,,Y71278116,ID1000062201,6462422,27100,27162.95546,0.00000,0.877997,IDR,1.000000,,,,,,,
EQUITY,INDOCEMENT TUNGGAL PRAKARSA,,Y7127B135,ID1000061302,6454861,18400,18453.12550,0.00000,1.401622,IDR,1.000000,,,,,,,
EQUITY,INDOFOOD CBP SUKSES MAKMUR,,Y71260106,ID1000116700,B4LD3M8,28600,28648.89473,0.00000,0.738717,IDR,1.000000,,,,,,,
EQUITY,INDOFOOD SUKSES MAKMUR,,Y7128X128,ID1000057003,6283979,50500,50545.80971,0.00000,0.539492,IDR,1.000000,,,,,,,
EQUITY,INDUSTRI JAMU DAN FARMASI SIDO MUN,,Y712DF105,ID1000130305,BH7HMM8,47600,47681.37651,0.00000,0.052891,IDR,1.000000,,,,,,,
EQUITY,INOVISI INFRACOM,,Y71249109,ID1000112709,B3LVVL0,0,19182.99595,0.00000,0.000000,IDR,1.000000,,,,,,,
EQUITY,INTI AGRI RESOURCES,,Y7131E125,ID1000100506,B05LYZ0,310100,310113.56275,0.00000,0.017348,IDR,1.000000,,,,,,,
EQUITY,JAPFA COMFEED INDONESIA,,Y71281144,ID1000126907,B9DG2Q7,48500,48512.55060,0.00000,0.167137,IDR,1.000000,,,,,,,
EQUITY,JASA MARGA,,Y71285103,ID1000108103,B28T1S7,25700,25761.95951,0.00000,0.354372,IDR,1.000000,,,,,,,
EQUITY,KALBE FARMA,,Y71287208,ID1000125107,B7311V6,221800,221868.39068,0.00000,0.112835,IDR,1.000000,,,,,,,
EQUITY,KRAKATAU STEEL (PERSERO),,Y71262102,ID1000117005,B1RGJX3,47400,47424.68218,0.00000,0.033709,IDR,1.000000,,,,,,,
EQUITY,KRESNA GRAHA INVESTAMA,,Y71333101,ID1000124308,B7DZ3H8,160200,160279.95951,0.00000,0.042666,IDR,1.000000,,,,,,,
EQUITY,LINK NET,,Y71398104,ID1000131808,BMS8CQ9,14800,14879.55465,0.00000,0.315938,IDR,1.000000,,,,,,,
EQUITY,LIPPO KARAWACI,,Y7129W186,ID1000108905,B19HDX2,113800,113859.23481,0.00000,0.020310,IDR,1.000000,,,,,,,
