Fund Level
Fund Name,iShares Edge MSCI Multifactor Emerging Markets ETF
Fund Ticker,EMGF
Fund ISIN,US46434G8895
Fund Cusip,46434G889
Fund LEI,
Total NAV per share,40.901216,Jan 23 2019
Distribution per Share,,
Fund Size,257677660.80,Jan 23 2019
Shares Outstanding,6300000,Jan 23 2019
Baskets Outstanding,63.000000000000,Jan 23 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 24 2019
Settlement Date,
Shares per Basket (PNU),100000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,15397.17,Jan 24 2019
Projected Cash for Deliverable Basket,144634.51,Jan 24 2019
Confirmed Cash for Deliverable Basket,144683.22,Jan 23 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,51JOB ADR REPRESENTING INC,,316827104,US3168271043,B02TT74,203,203.00000,0.00000,66.400000,USD,1.000000,,,,,,,
EQUITY,ADARO ENERGY TBK,,Y7087B109,ID1000111305,B3BQFC4,118800,118800.00000,0.00000,0.097320,IDR,1.000000,,,,,,,
EQUITY,AGILE GROUP HOLDINGS LTD,,G01198103,KYG011981035,B0PR2F4,12000,12000.00000,0.00000,1.190514,HKD,1.000000,,,,,,,
EQUITY,AIRASIA GROUP,,Y0029V101,MYL5099OO006,B03J9L7,12400,12400.00000,0.00000,0.737160,MYR,1.000000,,,,,,,
EQUITY,ALDAR PROPERTIES,,M0517N101,AEA002001013,B0LX3Y2,32694,32694.00000,0.00000,0.413819,AED,1.000000,,,,,,,
EQUITY,ALIBABA GROUP HOLDING ADR REPRESEN,,01609W102,US01609W1027,BP41ZD1,516,516.00000,0.00000,152.030000,USD,1.000000,,,,,,,
EQUITY,ALLIANCE BANK MALAYSIA BHD,,Y0034W102,MYL2488OO004,6556938,8600,8600.00000,0.00000,1.007855,MYR,1.000000,,,,,,,
EQUITY,AMMB HOLDINGS,,Y0122P100,MYL1015OO006,6047023,13400,13400.00000,0.00000,1.087613,MYR,1.000000,,,,,,,
EQUITY,ANGANG STEEL LTD A,,Y0132F100,CNE000000SQ4,BD5CQ47,100,100.00000,0.00000,0.763600,CNY,1.000000,,,,,,,
EQUITY,ANGANG STEEL LTD H,,Y0132D105,CNE1000001V4,6015644,8000,9682.53968,0.00000,0.707425,HKD,1.000000,,,,,,,
EQUITY,ANHUI CONCH CEMENT LTD A,,Y01373110,CNE0000019V8,BP3R2Z1,600,600.00000,0.00000,4.530106,CNY,1.000000,,,,,,,
EQUITY,ANHUI CONCH CEMENT LTD H,,Y01373102,CNE1000001W2,6080396,10000,10000.00000,0.00000,5.028456,HKD,1.000000,,,,,,,
EQUITY,ANTA SPORTS PRODUCTS LTD,,G04011105,KYG040111059,B1YVKN8,1000,1000.00000,0.00000,4.824514,HKD,1.000000,,,,,,,
EQUITY,ASIA CEMENT CORP,,Y0275F107,TW0001102002,6056331,18000,18000.00000,0.00000,1.165237,TWD,1.000000,,,,,,,
EQUITY,AU OPTRONICS CORP,,Y0453H107,TW0002409000,6288190,71000,71000.00000,0.00000,0.401359,TWD,1.000000,,,,,,,
EQUITY,BANK DANAMON INDONESIA,,Y71188190,ID1000094204,6580034,23800,23800.00000,0.00000,0.643512,IDR,1.000000,,,,,,,
EQUITY,BANK NEGARA INDONESIA,,Y74568166,ID1000096605,6727121,3700,3700.00000,0.00000,0.638223,IDR,1.000000,,,,,,,
EQUITY,BARWA REAL ESTATE,,M1995R101,QA000A0KD6J5,B0YTG26,1586,1586.00000,0.00000,10.921035,QAR,1.000000,,,,,,,
EQUITY,BB SEGURIDADE SA,,P1R1WJ103,BRBBSEACNOR5,B9N3SQ0,5800,5800.00000,0.00000,7.803350,BRL,1.000000,,,,,,,
EQUITY,BEIJING CAPITAL INTERNATIONAL AIRP,,Y07717104,CNE100000221,6208422,14000,14000.00000,0.00000,0.922840,HKD,1.000000,,,,,,,
EQUITY,BIDVEST GROUP LTD,,S1201R162,ZAE000117321,6100089,2782,2782.00000,0.00000,14.636791,ZAR,1.000000,,,,,,,
EQUITY,BNK FINANCIAL GROUP INC,,Y0R7ZV102,KR7138930003,B3S98W7,2237,2237.00000,0.00000,6.244733,KRW,1.000000,,,,,,,
EQUITY,BOC AVIATION LTD,,Y09292106,SG9999015267,BYZJV17,1700,1700.00000,0.00000,7.991995,HKD,1.000000,,,,,,,
EQUITY,BYD ELECTRONIC (INTERNATIONAL) LTD,,Y1045N107,HK0285041858,B29SHS5,5500,5500.00000,0.00000,1.157373,HKD,1.000000,,,,,,,
EQUITY,CAPITEC LTD,,S15445109,ZAE000035861,6440859,333,333.00000,0.00000,81.497651,ZAR,1.000000,,,,,,,
