Fund Level
Fund Name,iShares MSCI Emerging Markets ex China ETF
Fund Ticker,EMXC
Fund ISIN,US46434G7640
Fund Cusip,46434G764
Fund LEI,
Total NAV per share,47.649888,Jan 23 2019
Distribution per Share,,
Fund Size,9529977.60,Jan 23 2019
Shares Outstanding,200000,Jan 23 2019
Baskets Outstanding,2.000000000000,Jan 23 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 24 2019
Settlement Date,
Shares per Basket (PNU),100000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,24617.38,Jan 24 2019
Projected Cash for Deliverable Basket,141739.7,Jan 24 2019
Confirmed Cash for Deliverable Basket,141792.68,Jan 23 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,ABOITIZ EQUITY VENTURES PHP1 INC,,Y0001Z104,PHY0001Z1040,6068411,3650,3650.00000,0.00000,1.232286,PHP,1.000000,,,,,,,
EQUITY,ABSA GROUP LTD,,S0270C106,ZAE000255915,BFX05H3,980,980.00000,0.00000,12.607879,ZAR,1.000000,,,,,,,
EQUITY,ABU DHABI COMMERCIAL BANK,,M0152Q104,AEA000201011,6545464,3068,3068.00000,0.00000,2.365849,AED,1.000000,,,,,,,
EQUITY,ACER,,Y0003F171,TW0002353000,6005850,4000,4000.00000,0.00000,0.614986,TWD,1.000000,,,,,,,
EQUITY,ADARO ENERGY TBK,,Y7087B109,ID1000111305,B3BQFC4,22400,22400.00000,0.00000,0.097320,IDR,1.000000,,,,,,,
EQUITY,ADVANCED INFO SERVICE NON-VOTING D,,Y0014U175,TH0268010R11,6412609,1700,1700.00000,0.00000,5.513982,THB,1.000000,,,,,,,
EQUITY,AIRPORTS OF THAILAND NON-VOTING DR,,Y0028Q129,TH0765010R16,6741206,6900,6900.00000,0.00000,2.181961,THB,1.000000,,,,,,,
EQUITY,AK ALROSA,,X0085A109,RU0007252813,B6QPBP2,3900,3900.00000,0.00000,1.521663,RUB,1.000000,,,,,,,
EQUITY,AKBANK A,,M0300L106,TRAAKBNK91N6,B03MN70,4742,4742.40000,0.00000,1.225949,TRY,1.000000,,,,,,,
EQUITY,ALDAR PROPERTIES,,M0517N101,AEA002001013,B0LX3Y2,8731,8731.00000,0.00000,0.413819,AED,1.000000,,,,,,,
EQUITY,ALFA A,,P0156P117,MXP000511016,2043423,4900,4900.00000,0.00000,1.265836,MXN,1.000000,,,,,,,
EQUITY,ALIOR BANK SA,,X0081M123,PLALIOR00045,B8W8F13,192,192.00000,0.00000,14.426647,PLN,1.000000,,,,,,,
EQUITY,ALPHA BANK SA,,X0085P155,GRS015003007,BZ1MXR7,0,2227.00000,0.00000,1.101487,EUR,1.000000,,,,,,,
EQUITY,AMBEV SA,,P0273U106,BRABEVACNOR1,BG7ZWY7,6500,6500.00000,0.00000,4.521469,BRL,1.000000,,,,,,,
EQUITY,AMERICA MOVIL L,,P0280A101,MXP001691213,2667470,46100,46100.00000,0.00000,0.793111,MXN,1.000000,,,,,,,
EQUITY,AMOREG,,Y0126C105,KR7002790004,6665931,36,36.00000,0.00000,57.479931,KRW,1.000000,,,,,,,
EQUITY,AMOREPACIFIC CORP,,Y01258105,KR7090430000,B15SK50,49,49.00000,0.00000,157.892403,KRW,1.000000,,,,,,,
EQUITY,ANGLO AMERICAN PLATINUM LTD,,S9122P108,ZAE000013181,6761000,37,37.00000,0.00000,42.823997,ZAR,1.000000,,,,,,,
EQUITY,ANGLOGOLD ASHANTI LTD,,S04255196,ZAE000043485,6565655,569,569.00000,0.00000,12.461149,ZAR,1.000000,,,,,,,
EQUITY,ARCA CONTINENTAL,,P0448R103,MX01AC100006,2823885,600,600.00000,0.00000,5.572715,MXN,1.000000,,,,,,,
EQUITY,ASE INDUSTRIAL HOLDING LTD,,Y0249T100,TW0003711008,BFXZDY1,5000,5000.00000,0.00000,1.887037,TWD,1.000000,,,,,,,
