Fund Level
Fund Name,iShares ESG MSCI EAFE ETF
Fund Ticker,ESGD
Fund ISIN,US46435G5163
Fund Cusip,46435G516
Fund LEI,
Total NAV per share,59.813249,Jan 23 2019
Distribution per Share,,
Fund Size,568225865.50,Jan 23 2019
Shares Outstanding,9500000,Jan 23 2019
Baskets Outstanding,95.000000000000,Jan 23 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 24 2019
Settlement Date,
Shares per Basket (PNU),100000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,28323.69,Jan 24 2019
Projected Cash for Deliverable Basket,148159.72,Jan 24 2019
Confirmed Cash for Deliverable Basket,161094.32,Jan 23 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,3I GROUP PLC,,G88473148,GB00B1YW4409,B1YW440,811,811.06315,0.00000,10.614175,GBP,1.000000,,,,,,,
EQUITY,A P MOLLER MAERSK,,K0514G135,DK0010244425,4253059,4,4.76842,0.00000,1242.827642,DKK,1.000000,,,,,,,
EQUITY,ABB LTD,,H0010V101,CH0012221716,7108899,1018,1018.04210,0.00000,19.040924,CHF,1.000000,,,,,,,
EQUITY,ABN AMRO GROUP NV,,N0162C102,NL0011540547,BYQP136,227,219.12631,0.00000,25.534472,EUR,1.000000,,,,,,,
EQUITY,ADECCO GROUP AG,,H00392318,CH0012138605,7110720,151,151.32631,0.00000,50.815968,CHF,1.000000,,,,,,,
EQUITY,ADIDAS N AG,,D0066B185,DE000A1EWWW0,4031976,99,99.13684,0.00000,235.886629,EUR,1.000000,,,,,,,
EQUITY,AEGON NV,,N00927298,NL0000303709,5927375,1024,1024.00000,0.00000,5.079585,EUR,1.000000,,,,,,,
EQUITY,AEON FINANCIAL SERVICES LTD,,J0021H107,JP3131400008,6037734,300,300.00000,0.00000,19.437224,JPY,1.000000,,,,,,,
EQUITY,AEON LTD,,J00288100,JP3388200002,6480048,600,600.00000,0.00000,19.984494,JPY,1.000000,,,,,,,
EQUITY,AIA GROUP LTD,,Y002A1105,HK0000069689,B4TX8S1,5400,5400.00000,0.00000,8.724913,HKD,1.000000,,,,,,,
EQUITY,AIR LIQUIDE SA,,F01764103,FR0000120073,B1YXBJ7,106,106.52631,0.00000,119.536374,EUR,1.000000,,,,,,,
EQUITY,AIRBUS GROUP,,N0280G100,NL0000235190,4012250,222,222.46315,0.00000,106.746380,EUR,1.000000,,,,,,,
EQUITY,AJINOMOTO INC,,J00882126,JP3119600009,6010906,400,400.00000,0.00000,17.302869,JPY,1.000000,,,,,,,
EQUITY,AKZO NOBEL NV,,,NL0013267909,BJ2KSG2,130,130.18947,0.00000,85.934193,EUR,1.000000,,,,,,,
EQUITY,ALFRESA HOLDINGS CORP,,J0109X107,JP3126340003,6687214,200,201.05263,0.00000,27.363524,JPY,1.000000,,,,,,,
EQUITY,ALLIANZ,,D03080112,DE0008404005,5231485,246,246.40000,0.00000,208.554276,EUR,1.000000,,,,,,,
EQUITY,ALUMINA LTD,,Q0269M109,AU000000AWC3,6954985,3552,3552.80000,0.00000,1.647492,AUD,1.000000,,,,,,,
EQUITY,AMADEUS IT GROUP SA,,E04648114,ES0109067019,B3MSM28,242,242.32631,0.00000,74.031761,EUR,1.000000,,,,,,,
EQUITY,AMCOR LTD,,Q03080100,AU000000AMC4,6066608,642,642.25263,0.00000,9.628202,AUD,1.000000,,,,,,,
EQUITY,AMP LTD,,Q0344G101,AU000000AMP6,6709958,3266,3266.47368,0.00000,1.847188,AUD,1.000000,,,,,,,
EQUITY,ANGLO AMERICAN PLC,,G03764134,GB00B1XZS820,B1XZS82,707,707.26315,0.00000,23.522036,GBP,1.000000,,,,,,,
EQUITY,ANHEUSER BUSCH INBEV NV,,B639CJ108,BE0974293251,BYYHL23,401,398.16842,0.00000,73.485569,EUR,1.000000,,,,,,,
EQUITY,ANTOFAGASTA PLC,,G0398N128,GB0000456144,0045614,598,598.27368,0.00000,10.462656,GBP,1.000000,,,,,,,
EQUITY,APA GROUP UNITS,,Q0437B100,AU000000APA1,6247306,1706,1706.37894,0.00000,6.383141,AUD,1.000000,,,,,,,
EQUITY,ARISTOCRAT LEISURE LTD,,Q0521T108,AU000000ALL7,6253983,324,324.06315,0.00000,17.266575,AUD,1.000000,,,,,,,
EQUITY,ASAHI KASEI CORP,,J0242P110,JP3111200006,6054603,1000,1001.05263,0.00000,10.361655,JPY,1.000000,,,,,,,
EQUITY,ASHTEAD GROUP PLC,,G05320109,GB0000536739,0053673,290,290.22105,0.00000,24.425925,GBP,1.000000,,,,,,,
EQUITY,ASML HOLDING NV,,N07059202,NL0010273215,B929F46,211,211.26315,0.00000,162.287270,EUR,1.000000,,,,,,,
EQUITY,ASSA ABLOY B,,W0817X204,SE0007100581,BYPC1T4,490,490.52631,0.00000,18.405078,SEK,1.000000,,,,,,,
EQUITY,ASSICURAZIONI GENERALI,,T05040109,IT0000062072,4056719,683,683.41052,0.00000,17.500899,EUR,1.000000,,,,,,,
EQUITY,ASSOCIATED BRITISH FOODS PLC,,G05600138,GB0006731235,0673123,227,227.27368,0.00000,31.022232,GBP,1.000000,,,,,,,
EQUITY,ASTELLAS PHARMA INC,,J03393105,JP3942400007,6985383,1400,1400.00000,0.00000,14.146942,JPY,1.000000,,,,,,,
EQUITY,ASTRAZENECA PLC,,G0593M107,GB0009895292,0989529,687,684.26315,0.00000,72.742235,GBP,1.000000,,,,,,,
EQUITY,ASX LTD,,Q0604U105,AU000000ASX7,6129222,158,158.25263,0.00000,45.987144,AUD,1.000000,,,,,,,
EQUITY,ATLAS COPCO CLASS A,,W1R924161,SE0011166610,BD97BN2,533,533.20000,0.00000,24.735981,SEK,1.000000,,,,,,,
EQUITY,ATOS,,F06116101,FR0000051732,5654781,96,96.33684,0.00000,82.884622,EUR,1.000000,,,,,,,
EQUITY,AUCKLAND INTERNATIONAL AIRPORT LTD,,Q06213146,NZAIAE0002S6,BKX3XG2,1670,1670.56842,0.00000,5.048785,NZD,1.000000,,,,,,,
EQUITY,AURIZON HOLDINGS LTD,,Q0695Q104,AU000000AZJ1,B87CVM3,1902,1902.46315,0.00000,3.145213,AUD,1.000000,,,,,,,
EQUITY,AUSTRALIA AND NEW ZEALAND BANKING,,Q09504137,AU000000ANZ3,6065586,1479,1479.08421,0.00000,18.336375,AUD,1.000000,,,,,,,
EQUITY,AVIVA PLC,,G0683Q109,GB0002162385,0216238,2824,2824.31578,0.00000,5.393297,GBP,1.000000,,,,,,,
EQUITY,AXA SA,,F06106102,FR0000120628,7088429,1235,1235.37894,0.00000,23.065229,EUR,1.000000,,,,,,,
EQUITY,BAE SYSTEMS PLC,,G06940103,GB0002634946,0263494,1452,1424.15789,0.00000,6.648554,GBP,1.000000,,,,,,,
EQUITY,BANCO BILBAO VIZCAYA ARGENTARIA,,E11805103,ES0113211835,5501906,4495,4495.74736,0.00000,5.947802,EUR,1.000000,,,,,,,
EQUITY,BANCO SANTANDER SA,,E19790109,ES0113900J37,5705946,6298,6298.81052,0.00000,4.955554,EUR,1.000000,,,,,,,
EQUITY,BANK HAPOALIM BM,,M1586M115,IL0006625771,6075808,2160,1997.75789,0.00000,6.564027,ILS,1.000000,,,,,,,
EQUITY,BANK LEUMI LE ISRAEL,,M16043107,IL0006046119,6076425,920,849.54736,0.00000,6.425178,ILS,1.000000,,,,,,,
EQUITY,BARCLAYS PLC,,G08036124,GB0031348658,3134865,6333,6333.08421,0.00000,2.127276,GBP,1.000000,,,,,,,
EQUITY,BARRATT DEVELOPMENTS PLC,,G08288105,GB0000811801,0081180,1048,1022.68421,0.00000,6.980329,GBP,1.000000,,,,,,,
EQUITY,BARRY CALLEBAUT AG,,H05072105,CH0009002962,5476929,4,4.04210,0.00000,1607.833291,CHF,1.000000,,,,,,,
EQUITY,BASF N,,D06216317,DE000BASF111,5086577,477,477.32631,0.00000,71.869751,EUR,1.000000,,,,,,,
EQUITY,BEIERSDORF AG,,D08792109,DE0005200000,5107401,64,64.69473,0.00000,98.587639,EUR,1.000000,,,,,,,
EQUITY,BENESSE HOLDINGS INC,,J0429N102,JP3835620000,6121927,200,200.00000,0.00000,25.849409,JPY,1.000000,,,,,,,
EQUITY,BERKELEY GROUP HOLDINGS (THE) PLC,,G1191G120,GB00B02L3W35,B02L3W3,150,150.06315,0.00000,49.504950,GBP,1.000000,,,,,,,
EQUITY,BLUESCOPE STEEL LTD,,Q1415L177,AU000000BSL0,6533232,657,636.09473,0.00000,8.544137,AUD,1.000000,,,,,,,
EQUITY,BMW AG,,D12096109,DE0005190003,5756029,188,188.65263,0.00000,82.190503,EUR,1.000000,,,,,,,
EQUITY,BMW PREF AG,,D12096125,DE0005190037,5756030,41,41.45263,0.00000,71.801477,EUR,1.000000,,,,,,,
EQUITY,BNP PARIBAS SA,,F1058Q238,FR0000131104,7309681,473,473.31578,0.00000,47.308184,EUR,1.000000,,,,,,,
EQUITY,BOC HONG KONG HOLDINGS LTD,,Y0920U103,HK2388011192,6536112,3000,3000.00000,0.00000,3.836668,HKD,1.000000,,,,,,,
EQUITY,BOLIDEN,,W2R820110,SE0011088665,BDFD9D0,513,505.69473,0.00000,23.843446,SEK,1.000000,,,,,,,
EQUITY,BOUYGUES SA,,F11487125,FR0000120503,4002121,175,175.22105,0.00000,33.772866,EUR,1.000000,,,,,,,
EQUITY,BP PLC,,G12793108,GB0007980591,0798059,12573,12500.16842,0.00000,6.642023,GBP,1.000000,,,,,,,
EQUITY,BRAMBLES LTD,,Q6634U106,AU000000BXB1,B1FJ0C0,1455,1455.40000,0.00000,7.631241,AUD,1.000000,,,,,,,
EQUITY,BRENNTAG AG,,D12459117,DE000A1DAHH0,B4YVF56,122,122.64210,0.00000,47.655244,EUR,1.000000,,,,,,,
EQUITY,BRIDGESTONE CORP,,J04578126,JP3830800003,6132101,300,300.00000,0.00000,38.263328,JPY,1.000000,,,,,,,
EQUITY,BRITISH LAND REIT PLC,,G15540118,GB0001367019,0136701,1518,1492.00000,0.00000,7.348677,GBP,1.000000,,,,,,,
EQUITY,BT GROUP PLC,,G16612106,GB0030913577,3091357,4475,4475.26315,0.00000,3.107448,GBP,1.000000,,,,,,,
EQUITY,BURBERRY GROUP PLC,,G1700D105,GB0031743007,3174300,263,263.04210,0.00000,23.877322,GBP,1.000000,,,,,,,
EQUITY,CAIXABANK SA,,E2427M123,ES0140609019,B283W97,1453,1453.43157,0.00000,3.839274,EUR,1.000000,,,,,,,
EQUITY,CALTEX AUSTRALIA LTD,,Q19884107,AU000000CTX1,6161503,298,298.31578,0.00000,18.778559,AUD,1.000000,,,,,,,
EQUITY,CANON INC,,J05124144,JP3242800005,6172323,400,400.00000,0.00000,27.883431,JPY,1.000000,,,,,,,
EQUITY,CAPGEMINI,,F4973Q101,FR0000125338,4163437,88,86.77894,0.00000,108.692189,EUR,1.000000,,,,,,,
EQUITY,CAPITALAND,,Y10923103,SG1J27887962,6309303,4500,4564.21052,0.00000,2.405031,SGD,1.000000,,,,,,,
EQUITY,CARLSBERG AS  CL B,,K36628137,DK0010181759,4169219,68,68.20000,0.00000,110.825783,DKK,1.000000,,,,,,,
EQUITY,CARREFOUR SA,,F13923119,FR0000120172,5641567,295,295.13684,0.00000,19.873420,EUR,1.000000,,,,,,,
EQUITY,CENTRAL JAPAN RAILWAY,,J05523105,JP3566800003,6183552,100,100.00000,0.00000,213.435490,JPY,1.000000,,,,,,,
EQUITY,CENTRICA PLC,,G2018Z143,GB00B033F229,B033F22,3306,3306.45263,0.00000,1.713080,GBP,1.000000,,,,,,,
EQUITY,CHOCOLADEFABRIKEN LINDT & SPRUENGL,,H49983176,CH0010570759,5962309,0,0.05263,0.00000,72909.866934,CHF,1.000000,,,,,,,
EQUITY,CHR HANSEN HOLDING,,K1830B107,DK0060227585,B573M11,64,64.30526,0.00000,94.671310,DKK,1.000000,,,,,,,
EQUITY,CHUGAI PHARMACEUTICAL LTD,,J06930101,JP3519400000,6196408,200,200.00000,0.00000,59.470060,JPY,1.000000,,,,,,,
EQUITY,CITY DEVELOPMENTS LTD,,V23130111,SG1R89002252,6197928,1500,1500.00000,0.00000,6.575222,SGD,1.000000,,,,,,,
EQUITY,CK HUTCHISON HOLDINGS LTD,,G21765105,KYG217651051,BW9P816,500,500.00000,0.00000,10.069659,HKD,1.000000,,,,,,,
EQUITY,CLARIANT AG,,H14843165,CH0012142631,7113990,283,283.74736,0.00000,19.442631,CHF,1.000000,,,,,,,
EQUITY,CLP HOLDINGS LTD,,Y1660Q104,HK0002007356,6097017,1000,1000.00000,0.00000,11.643840,HKD,1.000000,,,,,,,
EQUITY,CNH INDUSTRIAL NV,,N20944109,NL0010545661,BDSV2V0,843,843.52631,0.00000,10.002139,EUR,1.000000,,,,,,,
EQUITY,CNP ASSURANCES SA,,F1876N318,FR0000120222,5543986,288,288.55789,0.00000,22.621448,EUR,1.000000,,,,,,,
EQUITY,COCA COLA EUROPEAN PARTNERS PLC,,G25839104,GB00BDCPN049,BYQQ3P5,256,256.77894,0.00000,46.700000,USD,1.000000,,,,,,,
EQUITY,COCA COLA HBC AG,,H1512E100,CH0198251305,B9895B7,270,270.68421,0.00000,33.308080,GBP,1.000000,,,,,,,
EQUITY,COCA-COLA AMATIL LTD,,Q2594P146,AU000000CCL2,6123451,817,817.31578,0.00000,6.040805,AUD,1.000000,,,,,,,
EQUITY,COLOPLAST B,,K16018192,DK0060448595,B8FMRX8,81,81.13684,0.00000,93.269223,DKK,1.000000,,,,,,,
EQUITY,COMMERZBANK AG,,D172W1279,DE000CBK1001,B90LKT4,679,679.48421,0.00000,7.769580,EUR,1.000000,,,,,,,
EQUITY,COMMONWEALTH BANK OF AUSTRALIA,,Q26915100,AU000000CBA7,6215035,887,878.00000,0.00000,51.443125,AUD,1.000000,,,,,,,
EQUITY,COMPAGNIE DE SAINT GOBAIN SA,,F80343100,FR0000125007,7380482,282,282.30526,0.00000,33.807003,EUR,1.000000,,,,,,,
EQUITY,COMPASS GROUP PLC,,G23296208,GB00BD6K4575,BD6K457,694,694.45263,0.00000,21.219206,GBP,1.000000,,,,,,,
EQUITY,CONTINENTAL AG,,D16212140,DE0005439004,4598589,53,53.32631,0.00000,151.283779,EUR,1.000000,,,,,,,
EQUITY,CREDIT AGRICOLE SA,,F22797108,FR0000045072,7262610,474,474.17894,0.00000,11.501891,EUR,1.000000,,,,,,,
EQUITY,CREDIT SUISSE GROUP AG,,H3698D419,CH0012138530,7171589,1076,1058.70526,0.00000,12.282199,CHF,1.000000,,,,,,,
EQUITY,CRH PLC,,G25508105,IE0001827041,4182249,631,631.72631,0.00000,28.310947,EUR,1.000000,,,,,,,
EQUITY,CRODA INTERNATIONAL PLC,,G25536148,GB00BYZWX769,BYZWX76,226,226.37894,0.00000,62.540819,GBP,1.000000,,,,,,,
EQUITY,CSL LTD,,Q3018U109,AU000000CSL8,6185495,214,214.57894,0.00000,140.857024,AUD,1.000000,,,,,,,
EQUITY,DAI-ICHI LIFE HOLDINGS INC,,J09748112,JP3476480003,B601QS4,300,300.00000,0.00000,15.597209,JPY,1.000000,,,,,,,
EQUITY,DAIFUKU LTD,,J08988107,JP3497400006,6250025,100,101.05263,0.00000,47.065262,JPY,1.000000,,,,,,,
EQUITY,DAIICHI SANKYO LTD,,J11257102,JP3475350009,B0J7D91,300,300.00000,0.00000,33.912528,JPY,1.000000,,,,,,,
EQUITY,DAIKIN INDUSTRIES LTD,,J10038115,JP3481800005,6250724,200,200.00000,0.00000,108.040316,JPY,1.000000,,,,,,,
EQUITY,DAIMLER AG,,D1668R123,DE0007100000,5529027,417,417.70526,0.00000,57.213602,EUR,1.000000,,,,,,,
EQUITY,DAINIPPON SUMITOMO PHARMA LTD,,J10542116,JP3495000006,6250865,200,204.21052,0.00000,34.706070,JPY,1.000000,,,,,,,
EQUITY,DAIWA HOUSE INDUSTRY LTD,,J11508124,JP3505000004,6251363,400,402.10526,0.00000,32.498746,JPY,1.000000,,,,,,,
EQUITY,DANONE SA,,F12033134,FR0000120644,B1Y9TB3,437,437.26315,0.00000,71.323560,EUR,1.000000,,,,,,,
EQUITY,DASSAULT SYSTEMES,,F2457H472,FR0000130650,5330047,62,62.18947,0.00000,125.737928,EUR,1.000000,,,,,,,
EQUITY,DBS GROUP HOLDINGS LTD,,Y20246107,SG1L01001701,6175203,1200,1208.42105,0.00000,17.769279,SGD,1.000000,,,,,,,
EQUITY,DCC PLC,,G2689P101,IE0002424939,0242493,123,123.38947,0.00000,83.857990,GBP,1.000000,,,,,,,
EQUITY,DENSO CORP,,J12075107,JP3551500006,6640381,400,400.00000,0.00000,46.007206,JPY,1.000000,,,,,,,
EQUITY,DEUTSCHE BANK AG,,D18190898,DE0005140008,5750355,871,871.04210,0.00000,9.072475,EUR,1.000000,,,,,,,
