Fund Level
Fund Name,iShares ESG MSCI EM ETF
Fund Ticker,ESGE
Fund ISIN,US46434G8630
Fund Cusip,46434G863
Fund LEI,
Total NAV per share,32.280822,Jan 23 2019
Distribution per Share,,
Fund Size,439019179.20,Jan 23 2019
Shares Outstanding,13600000,Jan 23 2019
Baskets Outstanding,136.000000000000,Jan 23 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 24 2019
Settlement Date,
Shares per Basket (PNU),100000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,3492.05,Jan 24 2019
Projected Cash for Deliverable Basket,78446.96,Jan 24 2019
Confirmed Cash for Deliverable Basket,78255.3,Jan 23 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,3SBIO INC,,G8875G102,KYG8875G1029,BY9D3L9,2000,2000.00000,0.00000,1.473484,HKD,1.000000,,,,,,,
EQUITY,AAC TECHNOLOGIES HOLDINGS INC,,G2953R114,KYG2953R1149,B85LKS1,500,750.00000,0.00000,5.748628,HKD,1.000000,,,,,,,
EQUITY,ABSA GROUP LTD,,S0270C106,ZAE000255915,BFX05H3,368,368.00000,0.00000,12.607879,ZAR,1.000000,,,,,,,
EQUITY,ABU DHABI COMMERCIAL BANK,,M0152Q104,AEA000201011,6545464,3471,3471.00000,0.00000,2.365849,AED,1.000000,,,,,,,
EQUITY,ACER,,Y0003F171,TW0002353000,6005850,11000,11000.00000,0.00000,0.614986,TWD,1.000000,,,,,,,
EQUITY,AGRICULTURAL BANK OF CHINA LTD H,,Y00289119,CNE100000Q43,B60LZR6,10000,10000.00000,0.00000,0.453772,HKD,1.000000,,,,,,,
EQUITY,AK ALROSA,,X0085A109,RU0007252813,B6QPBP2,2700,2700.00000,0.00000,1.521663,RUB,1.000000,,,,,,,
EQUITY,ALIBABA GROUP HOLDING ADR REPRESEN,,01609W102,US01609W1027,BP41ZD1,803,803.00000,0.00000,152.030000,USD,1.000000,,,,,,,
EQUITY,ALIBABA HEALTH INFORMATION TECH LT,,G0171K101,BMG0171K1018,BRXVS60,4000,4000.00000,0.00000,0.866755,HKD,1.000000,,,,,,,
EQUITY,ALIBABA PICTURES GROUP LTD,,G0171W105,BMG0171W1055,BPYM749,30000,30000.00000,0.00000,0.165703,HKD,1.000000,,,,,,,
EQUITY,ALSEA DE CV,,P0212A104,MXP001391012,2563017,2200,2200.00000,0.00000,2.620668,MXN,1.000000,,,,,,,
EQUITY,AMOREG,,Y0126C105,KR7002790004,6665931,103,103.00000,0.00000,57.479931,KRW,1.000000,,,,,,,
EQUITY,AMOREPACIFIC CORP,,Y01258105,KR7090430000,B15SK50,36,36.00000,0.00000,157.892403,KRW,1.000000,,,,,,,
EQUITY,ANADOLU EFES BIRACILIK VE MALT SAN,,M10225106,TRAAEFES91A9,B03MNV4,835,835.00000,0.00000,4.056227,TRY,1.000000,,,,,,,
EQUITY,ARCA CONTINENTAL,,P0448R103,MX01AC100006,2823885,2200,2200.00000,0.00000,5.572715,MXN,1.000000,,,,,,,
EQUITY,ARCELIK A,,M1490L104,TRAARCLK91H5,B03MP18,2624,2624.00000,0.00000,3.509469,TRY,1.000000,,,,,,,
EQUITY,ASE INDUSTRIAL HOLDING LTD,,Y0249T100,TW0003711008,BFXZDY1,5000,5001.36764,0.00000,1.887037,TWD,1.000000,,,,,,,
EQUITY,ASELSAN ELEKTRONIK SANAYI VE TICAR,,M1501H100,TRAASELS91H2,B03MP41,622,622.00000,0.00000,4.672986,TRY,1.000000,,,,,,,
EQUITY,ASIAN PAINTS LTD,,Y03638114,INE021A01026,BCRWL65,1042,1042.00000,0.00000,19.574602,INR,1.000000,,,,,,,
EQUITY,ASPEN PHARMACARE LTD,,S0754A105,ZAE000066692,B09C0Z1,288,288.00000,0.00000,11.351644,ZAR,1.000000,,,,,,,
EQUITY,ASTRA INTERNATIONAL,,Y7117N172,ID1000122807,B800MQ5,26700,26700.00000,0.00000,0.576516,IDR,1.000000,,,,,,,
EQUITY,ATACADAO CARREFOUR SA,,P0565P138,BRCRFBACNOR2,BF7LBH4,1000,1000.00000,0.00000,5.258379,BRL,1.000000,,,,,,,
EQUITY,AXIATA GROUP,,Y0488A101,MYL6888OO001,B2QZGV5,4500,4500.00000,0.00000,0.986103,MYR,1.000000,,,,,,,
EQUITY,AXIS BANK GDR LTD,,05462W109,US05462W1099,B06CDW2,405,405.00000,0.00000,45.800000,USD,1.000000,,,,,,,
EQUITY,B3 BRASIL BOLSA BALCAO SA,,P1909G107,BRB3SAACNOR6,BG36ZK1,3000,3000.00000,0.00000,8.200755,BRL,1.000000,,,,,,,
EQUITY,BAIC MOTOR CORP LTD H,,Y0506H104,CNE100001TJ4,BTF8BT7,6000,6000.00000,0.00000,0.614377,HKD,1.000000,,,,,,,
EQUITY,BAIDU ADR REPTG   INC CLASS A,,056752108,US0567521085,B0FXT17,115,115.00000,0.00000,163.260000,USD,1.000000,,,,,,,
EQUITY,BAJAJ FINANCE LTD,,Y0547D112,INE296A01024,BD2N0P2,188,188.00000,0.00000,36.924101,INR,1.000000,,,,,,,
EQUITY,BANCO BRADESCO PREF SA,,P1808G117,BRBBDCACNPR8,B00FM53,3300,3300.40441,0.00000,11.243141,BRL,1.000000,,,,,,,
EQUITY,BANCO BRADESCO SA,,P1808G109,BRBBDCACNOR1,B00FM86,900,900.01470,0.00000,10.032503,BRL,1.000000,,,,,,,
EQUITY,BANCO DO BRASIL SA,,P11427112,BRBBASACNOR3,2328595,900,900.00000,0.00000,12.948561,BRL,1.000000,,,,,,,
EQUITY,BANCO SANTANDER B SA,,P1507S164,MX41BS060005,BF1FXN2,2500,2500.00000,0.00000,1.413465,MXN,1.000000,,,,,,,
EQUITY,BANCO SANTANDER BRASIL UNITS SA,,P1505Z160,BRSANBCDAM13,B4V5RY4,700,708.82352,0.00000,13.106470,BRL,1.000000,,,,,,,
EQUITY,BANCO SANTANDER CHILE,,P1506A107,CLP1506A1070,2000257,85254,85254.00000,0.00000,0.080281,CLP,1.000000,,,,,,,
EQUITY,BANCOLOMBIA SA,,P1329P141,COB07PA00078,BJ62K57,295,295.00000,0.00000,10.795433,COP,1.000000,,,,,,,
EQUITY,BANK CENTRAL ASIA,,Y7123P138,ID1000109507,B01C1P6,3800,3800.00000,0.00000,1.939351,IDR,1.000000,,,,,,,
EQUITY,BANK DANAMON INDONESIA,,Y71188190,ID1000094204,6580034,6100,6100.00000,0.00000,0.643512,IDR,1.000000,,,,,,,
EQUITY,BANK MANDIRI (PERSERO),,Y7123S108,ID1000095003,6651048,17100,17100.00000,0.00000,0.527151,IDR,1.000000,,,,,,,
EQUITY,BANK OF CHINA LTD H,,Y0698A107,CNE1000001Z5,B154564,19000,19000.00000,0.00000,0.443575,HKD,1.000000,,,,,,,
EQUITY,BANK PEKAO SA,,X0R77T117,PLPEKAO00016,5473113,110,110.00000,0.00000,30.112973,PLN,1.000000,,,,,,,
