Fund Level
Fund Name,iShares ESG MSCI USA Small-Cap ETF ETF
Fund Ticker,ESML
Fund ISIN,US46435U6635
Fund Cusip,46435U663
Fund LEI,
Total NAV per share,24.604486,Jan 23 2019
Distribution per Share,,
Fund Size,15992915.90,Jan 23 2019
Shares Outstanding,650000,Jan 23 2019
Baskets Outstanding,13.000000000000,Jan 23 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 24 2019
Settlement Date,
Shares per Basket (PNU),50000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,6920.04,Jan 24 2019
Projected Cash for Deliverable Basket,41272.13,Jan 24 2019
Confirmed Cash for Deliverable Basket,41211.75,Jan 23 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,2U INC,,90214J101,US90214J1016,BKWBZZ0,23,22.76923,0.00000,55.830000,USD,1.000000,,,,,,,
EQUITY,3D SYSTEMS CORP,,88554D205,US88554D2053,2889768,51,50.76923,0.00000,10.810000,USD,1.000000,,,,,,,
EQUITY,8X8 INC,,282914100,US2829141009,2037170,36,35.69231,0.00000,20.000000,USD,1.000000,,,,,,,
EQUITY,AAON INC,,000360206,US0003602069,2268130,31,30.92308,0.00000,36.260000,USD,1.000000,,,,,,,
EQUITY,AARONS INC,,002535300,US0025353006,2002918,37,36.84615,0.00000,47.540000,USD,1.000000,,,,,,,
EQUITY,ABM INDUSTRIES INC,,000957100,US0009571003,2024901,43,42.69231,0.00000,34.570000,USD,1.000000,,,,,,,
EQUITY,ACADIA HEALTHCARE COMPANY INC,,00404A109,US00404A1097,B65VZ37,26,25.61538,0.00000,27.890000,USD,1.000000,,,,,,,
EQUITY,ACADIA PHARMACEUTICALS INC,,004225108,US0042251084,2713317,60,60.15385,0.00000,20.810000,USD,1.000000,,,,,,,
EQUITY,ACCELERATE DIAGNOSTICS INC,,00430H102,US00430H1023,B8QZWL9,48,47.92308,0.00000,16.560000,USD,1.000000,,,,,,,
EQUITY,ACCELERON PHARMA INC,,00434H108,US00434H1086,BDGTXQ8,22,21.69231,0.00000,41.150000,USD,1.000000,,,,,,,
EQUITY,ACCO BRANDS CORP,,00081T108,US00081T1088,B0G7SZ5,78,77.92308,0.00000,8.730000,USD,1.000000,,,,,,,
EQUITY,ACI WORLDWIDE INC,,004498101,US0044981019,2889155,67,66.69231,0.00000,28.430000,USD,1.000000,,,,,,,
EQUITY,ACLARIS THERAPEUTICS INC,,00461U105,US00461U1051,BYV2W40,72,72.00000,0.00000,6.060000,USD,1.000000,,,,,,,
EQUITY,ACORDA THERAPEUTICS INC,,00484M106,US00484M1062,2925844,33,33.15385,0.00000,16.010000,USD,1.000000,,,,,,,
EQUITY,ACTUANT CORP CLASS A,,00508X203,US00508X2036,2716792,44,44.07692,0.00000,21.900000,USD,1.000000,,,,,,,
EQUITY,ADDUS HOMECARE CORP,,006739106,US0067391062,B55BN47,11,10.69231,0.00000,62.500000,USD,1.000000,,,,,,,
EQUITY,ADTALEM GLOBAL EDUCATION INC,,00737L103,US00737L1035,BZ12TX5,11,11.15385,0.00000,49.150000,USD,1.000000,,,,,,,
EQUITY,ADTRAN INC,,00738A106,US00738A1060,2052924,55,54.76923,0.00000,12.270000,USD,1.000000,,,,,,,
EQUITY,ADVANCED DRAINAGE SYSTEMS INC,,00790R104,US00790R1041,BP7RS59,42,41.92308,0.00000,24.630000,USD,1.000000,,,,,,,
EQUITY,AECOM,,00766T100,US00766T1007,B1VZ431,157,156.61538,0.00000,29.570000,USD,1.000000,,,,,,,
EQUITY,AEGION CORP CLASS A,,00770F104,US00770F1049,B764L34,34,33.84615,0.00000,18.220000,USD,1.000000,,,,,,,
EQUITY,AERIE PHARMACEUTICALS INC,,00771V108,US00771V1089,BFRTDG1,19,19.23077,0.00000,43.640000,USD,1.000000,,,,,,,
EQUITY,AEROVIRONMENT INC,,008073108,US0080731088,B1P5YY8,7,7.15385,0.00000,73.600000,USD,1.000000,,,,,,,
EQUITY,AGCO CORP,,001084102,US0010841023,2010278,32,31.76923,0.00000,61.450000,USD,1.000000,,,,,,,
EQUITY,AGIOS PHARMACEUTICALS INC,,00847X104,US00847X1046,BCBVTX1,23,23.23077,0.00000,52.030000,USD,1.000000,,,,,,,
EQUITY,AGREE REALTY REIT CORP,,008492100,US0084921008,2062161,11,10.76923,0.00000,61.290000,USD,1.000000,,,,,,,
EQUITY,AIMMUNE THERAPEUTICS INC,,00900T107,US00900T1079,BYVDTK8,26,26.07692,0.00000,21.690000,USD,1.000000,,,,,,,
EQUITY,AIR LEASE CORP CLASS A,,00912X302,US00912X3026,B3XS562,20,20.00000,0.00000,35.800000,USD,1.000000,,,,,,,
EQUITY,AIRCASTLE LTD,,G0129K104,BMG0129K1045,B1BDJQ3,33,32.84615,0.00000,19.970000,USD,1.000000,,,,,,,
EQUITY,AKCEA THERAPEUTICS INC,,00972L107,US00972L1070,BF47GP8,21,21.00000,0.00000,28.230000,USD,1.000000,,,,,,,
EQUITY,ALAMO GROUP INC,,011311107,US0113111076,2021634,10,10.00000,0.00000,85.720000,USD,1.000000,,,,,,,
EQUITY,ALCOA CORP,,013872106,US0138721065,BYNF418,84,84.15385,0.00000,28.300000,USD,1.000000,,,,,,,
EQUITY,ALDER BIOPHARMACEUTICALS INC,,014339105,US0143391052,BLZHCS4,49,48.69231,0.00000,12.240000,USD,1.000000,,,,,,,
EQUITY,ALLISON TRANSMISSION HOLDINGS INC,,01973R101,US01973R1014,B4PZ892,50,49.69231,0.00000,47.810000,USD,1.000000,,,,,,,
EQUITY,ALLSCRIPTS HEALTHCARE SOLUTIONS IN,,01988P108,US01988P1084,2710039,173,172.92308,0.00000,11.860000,USD,1.000000,,,,,,,
EQUITY,ALTISOURCE PORTFOLIO SOLUTIONS SA,,L0175J104,LU0445408270,B3VL8R5,29,29.00000,0.00000,22.650000,USD,1.000000,,,,,,,
EQUITY,AMEDISYS INC,,023436108,US0234361089,2024332,14,13.92308,0.00000,128.150000,USD,1.000000,,,,,,,
EQUITY,AMERICAN AXLE AND MANUFACTURING HO,,024061103,US0240611030,2382416,62,61.76923,0.00000,14.180000,USD,1.000000,,,,,,,
EQUITY,AMERICAN CAMPUS COMMUNITIES REIT I,,024835100,US0248351001,B02H871,102,101.92308,0.00000,44.100000,USD,1.000000,,,,,,,
EQUITY,AMERICAN EAGLE OUTFITTERS INC,,02553E106,US02553E1064,2048592,101,100.92308,0.00000,20.210000,USD,1.000000,,,,,,,
EQUITY,AMERICAN EQUITY INVESTMENT LIFE HO,,025676206,US0256762065,2191300,0,19.84615,0.00000,30.360000,USD,1.000000,,,,,,,
EQUITY,AMERICAN PUBLIC EDUCATION INC,,02913V103,US02913V1035,B292GM4,21,21.23077,0.00000,30.240000,USD,1.000000,,,,,,,
EQUITY,AMERICOLD REALTY TRUST,,03064D108,US03064D1081,B3SKZK7,44,43.92308,0.00000,28.280000,USD,1.000000,,,,,,,
EQUITY,AMERIS BANCORP,,03076K108,US03076K1088,2038849,21,20.69231,0.00000,35.450000,USD,1.000000,,,,,,,
EQUITY,AMICUS THERAPEUTICS INC,,03152W109,US03152W1099,B19FQ48,85,85.15385,0.00000,11.470000,USD,1.000000,,,,,,,
EQUITY,AMN HEALTHCARE INC,,001744101,US0017441017,2813552,29,28.84615,0.00000,63.530000,USD,1.000000,,,,,,,
EQUITY,ANAPTYSBIO INC,,032724106,US0327241065,BDRW1L7,10,9.76923,0.00000,68.870000,USD,1.000000,,,,,,,
EQUITY,ANGI HOMESERVICES INC CLASS A,,00183L102,US00183L1026,BF4VWH4,38,38.23077,0.00000,16.080000,USD,1.000000,,,,,,,
EQUITY,ANGIODYNAMICS INC,,03475V101,US03475V1017,B00CR04,41,40.76923,0.00000,20.840000,USD,1.000000,,,,,,,
EQUITY,ANIXTER INTERNATIONAL INC,,035290105,US0352901054,2468844,16,16.00000,0.00000,59.360000,USD,1.000000,,,,,,,
EQUITY,APARTMENT INVESTMENT AND MANAGEMEN,,03748R101,US03748R1014,2057059,28,28.07692,0.00000,47.390000,USD,1.000000,,,,,,,
EQUITY,APERGY CORP,,03755L104,US03755L1044,BFXZQZ3,39,38.84615,0.00000,33.180000,USD,1.000000,,,,,,,
EQUITY,APOLLO COMMERCIAL REAL ESTATE FINA,,03762U105,US03762U1051,B4JTYX6,100,99.76923,0.00000,17.640000,USD,1.000000,,,,,,,
EQUITY,APTARGROUP INC,,038336103,US0383361039,2045247,38,37.69231,0.00000,97.380000,USD,1.000000,,,,,,,
EQUITY,AQUA AMERICA INC,,03836W103,US03836W1036,2685234,45,45.07692,0.00000,34.530000,USD,1.000000,,,,,,,
EQUITY,ARCBEST CORP,,03937C105,US03937C1053,BLTFST7,21,20.76923,0.00000,38.290000,USD,1.000000,,,,,,,
EQUITY,ARCHROCK INC,,03957W106,US03957W1062,BYRGSX7,78,78.30769,0.00000,8.990000,USD,1.000000,,,,,,,
EQUITY,ARENA PHARMACEUTICALS INC,,040047607,US0400476075,BF3N4P3,16,15.84615,0.00000,42.860000,USD,1.000000,,,,,,,
EQUITY,ARGAN INC,,04010E109,US04010E1091,2804501,16,15.76923,0.00000,40.750000,USD,1.000000,,,,,,,
EQUITY,ARLO TECHNOLOGIES INC,,04206A101,US04206A1016,BYWPZY9,24,24.07692,0.00000,7.310000,USD,1.000000,,,,,,,
EQUITY,ARMSTRONG FLOORING INC,,04238R106,US04238R1068,BYY97H6,39,39.15385,0.00000,12.830000,USD,1.000000,,,,,,,
EQUITY,ARMSTRONG WORLD INDUSTRIES INC,,04247X102,US04247X1028,B1FT462,37,36.76923,0.00000,64.590000,USD,1.000000,,,,,,,
EQUITY,ARRAY BIOPHARMA INC,,04269X105,US04269X1054,2678654,78,78.00000,0.00000,17.170000,USD,1.000000,,,,,,,
EQUITY,ARRIS INTERNATIONAL PLC,,G0551A103,GB00BZ04Y379,BZ04Y37,58,58.23077,0.00000,30.840000,USD,1.000000,,,,,,,
EQUITY,ASBURY AUTOMOTIVE GROUP INC.,,043436104,US0434361046,2855855,12,12.23077,0.00000,69.320000,USD,1.000000,,,,,,,
EQUITY,ASGN INC,,00191U102,US00191U1025,BFY8W20,22,21.92308,0.00000,60.280000,USD,1.000000,,,,,,,
EQUITY,ASPEN INSURANCE HOLDINGS LTD,,G05384105,BMG053841059,2172372,39,38.92308,0.00000,42.230000,USD,1.000000,,,,,,,
EQUITY,ASPEN TECHNOLOGY INC,,045327103,US0453271035,2051868,14,14.00000,0.00000,89.160000,USD,1.000000,,,,,,,
EQUITY,ASSURED GUARANTY LTD,,G0585R106,BMG0585R1060,B00V7H8,25,25.15385,0.00000,39.890000,USD,1.000000,,,,,,,
EQUITY,ASTRONICS CORP,,046433108,US0464331083,2060518,21,21.07692,0.00000,30.240000,USD,1.000000,,,,,,,
EQUITY,AT HOME GROUP INC,,04650Y100,US04650Y1001,BDCHR42,25,24.84615,0.00000,21.680000,USD,1.000000,,,,,,,
EQUITY,ATARA BIOTHERAPEUTICS INC,,046513107,US0465131078,BP4WT09,17,17.23077,0.00000,35.020000,USD,1.000000,,,,,,,
EQUITY,ATHENAHEALTH INC,,04685W103,US04685W1036,B24FJV8,18,17.92308,0.00000,134.150000,USD,1.000000,,,,,,,
EQUITY,ATKORE INTERNATIONAL GROUP INC,,047649108,US0476491081,BDHF495,44,44.00000,0.00000,21.500000,USD,1.000000,,,,,,,
EQUITY,ATRICURE INC,,04963C209,US04963C2098,B0C8KV2,27,26.92308,0.00000,31.040000,USD,1.000000,,,,,,,
EQUITY,ATRION CORP,,049904105,US0499041053,2012735,1,0.92308,0.00000,774.000000,USD,1.000000,,,,,,,
EQUITY,AUDENTES THERAPEUTICS INC,,05070R104,US05070R1041,BD0CZD4,27,27.00000,0.00000,23.190000,USD,1.000000,,,,,,,
EQUITY,AUTONATION INC,,05329W102,US05329W1027,2732635,22,22.00000,0.00000,36.430000,USD,1.000000,,,,,,,
EQUITY,AVANOS MEDICAL INC,,05350V106,US05350V1061,BFFVV54,14,14.00000,0.00000,44.090000,USD,1.000000,,,,,,,
EQUITY,AVAYA HOLDINGS CORP,,05351X101,US05351X1019,BD9G9B3,67,66.76923,0.00000,14.570000,USD,1.000000,,,,,,,
EQUITY,AVIS BUDGET GROUP INC,,053774105,US0537741052,B1CL8J2,37,36.76923,0.00000,24.330000,USD,1.000000,,,,,,,
EQUITY,AVISTA CORP,,05379B107,US05379B1070,2942605,83,83.15385,0.00000,41.070000,USD,1.000000,,,,,,,
EQUITY,AVNET INC,,053807103,US0538071038,2066505,63,62.84615,0.00000,40.530000,USD,1.000000,,,,,,,
EQUITY,AVON PRODUCTS INC,,054303102,US0543031027,2066721,310,310.15385,0.00000,1.930000,USD,1.000000,,,,,,,
EQUITY,AXIS CAPITAL HOLDINGS LTD,,G0692U109,BMG0692U1099,2677606,29,28.92308,0.00000,55.020000,USD,1.000000,,,,,,,
EQUITY,AXON ENTERPRISE INC,,05464C101,US05464C1018,BDT5S35,28,28.07692,0.00000,48.060000,USD,1.000000,,,,,,,
EQUITY,B AND G FOODS INC,,05508R106,US05508R1068,B034L49,22,22.23077,0.00000,28.410000,USD,1.000000,,,,,,,
EQUITY,BADGER METER INC,,056525108,US0565251081,2069128,33,33.00000,0.00000,51.800000,USD,1.000000,,,,,,,
EQUITY,BANCFIRST CORP,,05945F103,US05945F1030,2078782,22,21.76923,0.00000,53.300000,USD,1.000000,,,,,,,
EQUITY,BANCORPSOUTH,,05971J102,US05971J1025,BF3BNF0,93,92.69231,0.00000,28.540000,USD,1.000000,,,,,,,
EQUITY,BANK OF HAWAII CORP.,,062540109,US0625401098,2074070,74,73.61538,0.00000,75.710000,USD,1.000000,,,,,,,
EQUITY,BANK OZK,,06417N103,US06417N1037,BZ56Q65,64,64.15385,0.00000,31.580000,USD,1.000000,,,,,,,
EQUITY,BANKUNITED INC,,06652K103,US06652K1034,B3NNTZ4,45,45.00000,0.00000,33.640000,USD,1.000000,,,,,,,
EQUITY,BANNER CORP,,06652V208,US06652V2088,2346003,0,12.61538,0.00000,56.710000,USD,1.000000,,,,,,,
EQUITY,BARNES GROUP INC,,067806109,US0678061096,2080732,36,36.00000,0.00000,56.420000,USD,1.000000,,,,,,,
EQUITY,BBX CAPITAL CORP CLASS A,,05491N104,US05491N1046,BDG0NQ1,0,46.69231,0.00000,6.100000,USD,1.000000,,,,,,,
EQUITY,BEACON ROOFING SUPPLY INC,,073685109,US0736851090,B02TS99,40,40.23077,0.00000,33.930000,USD,1.000000,,,,,,,
EQUITY,BELDEN INC,,077454106,US0774541066,B01WL78,18,18.00000,0.00000,49.380000,USD,1.000000,,,,,,,
EQUITY,BEMIS INC,,081437105,US0814371052,2090173,22,21.92308,0.00000,47.850000,USD,1.000000,,,,,,,
EQUITY,BENCHMARK ELECTRONICS INC,,08160H101,US08160H1014,2090816,29,28.92308,0.00000,23.250000,USD,1.000000,,,,,,,
EQUITY,BENEFITFOCUS INC,,08180D106,US08180D1063,BDFN1P6,14,14.23077,0.00000,53.200000,USD,1.000000,,,,,,,
EQUITY,BERRY GLOBAL GROUP INC,,08579W103,US08579W1036,B8BR3H3,42,42.07692,0.00000,50.290000,USD,1.000000,,,,,,,
EQUITY,BIG LOTS INC,,089302103,US0893021032,2218447,25,25.15385,0.00000,32.350000,USD,1.000000,,,,,,,
EQUITY,BIO RAD LABORATORIES INC CLASS A,,090572207,US0905722072,2098508,4,4.00000,0.00000,237.090000,USD,1.000000,,,,,,,
EQUITY,BIO TECHNE CORP,,09073M104,US09073M1045,BSHZ3Q0,11,11.30769,0.00000,162.130000,USD,1.000000,,,,,,,
EQUITY,BIOCRYST PHARMACEUTICALS INC,,09058V103,US09058V1035,2100362,71,71.00000,0.00000,8.810000,USD,1.000000,,,,,,,
EQUITY,BIOTELEMETRY INC,,090672106,US0906721065,BCD7L64,19,18.84615,0.00000,67.500000,USD,1.000000,,,,,,,
EQUITY,BLACK KNIGHT INC,,09215C105,US09215C1053,BDG75V1,59,59.15385,0.00000,48.180000,USD,1.000000,,,,,,,
EQUITY,BLACKBAUD INC,,09227Q100,US09227Q1004,2458878,27,26.84615,0.00000,68.210000,USD,1.000000,,,,,,,
EQUITY,BLACKLINE INC,,09239B109,US09239B1098,BD3WZS6,29,29.07692,0.00000,44.360000,USD,1.000000,,,,,,,
EQUITY,BLUEBIRD BIO INC,,09609G100,US09609G1004,BBFL7S1,23,22.76923,0.00000,119.730000,USD,1.000000,,,,,,,
EQUITY,BLUEPRINT MEDICINES CORP,,09627Y109,US09627Y1091,BWY52P3,16,16.00000,0.00000,66.770000,USD,1.000000,,,,,,,
EQUITY,BOINGO WIRELESS INC,,09739C102,US09739C1027,B603XW3,46,46.00000,0.00000,22.160000,USD,1.000000,,,,,,,
EQUITY,BOISE CASCADE,,09739D100,US09739D1000,B9BP4R1,93,92.92308,0.00000,25.080000,USD,1.000000,,,,,,,
EQUITY,BOK FINANCIAL CORP,,05561Q201,US05561Q2012,2109091,12,11.76923,0.00000,80.740000,USD,1.000000,,,,,,,
EQUITY,BOOZ ALLEN HAMILTON HOLDING CORP C,,099502106,US0995021062,B5367T7,74,74.07692,0.00000,47.430000,USD,1.000000,,,,,,,
EQUITY,BOSTON BEER INC CLASS A,,100557107,US1005571070,2113393,2,2.23077,0.00000,248.960000,USD,1.000000,,,,,,,
EQUITY,BOX INC CLASS A,,10316T104,US10316T1043,BVB3BV2,38,38.07692,0.00000,19.290000,USD,1.000000,,,,,,,
EQUITY,BOYD GAMING CORP,,103304101,US1033041013,2117232,56,56.23077,0.00000,25.650000,USD,1.000000,,,,,,,
EQUITY,BRADY NONVOTING  CORP CLASS A,,104674106,US1046741062,2117726,51,50.92308,0.00000,45.400000,USD,1.000000,,,,,,,
EQUITY,BRANDYWINE REALTY TRUST REIT,,105368203,US1053682035,2518954,400,400.23077,0.00000,14.500000,USD,1.000000,,,,,,,
EQUITY,BRIGGS AND STRATTON CORP,,109043109,US1090431099,2156581,60,59.69231,0.00000,13.700000,USD,1.000000,,,,,,,
EQUITY,BRIGHT HORIZONS FAMILY SOLUTIONS I,,109194100,US1091941005,B7MJWP2,61,61.07692,0.00000,115.280000,USD,1.000000,,,,,,,
EQUITY,BRINKER INTERNATIONAL INC,,109641100,US1096411004,2193544,25,25.00000,0.00000,47.580000,USD,1.000000,,,,,,,
EQUITY,BRINKS,,109696104,US1096961040,2691305,13,13.07692,0.00000,70.510000,USD,1.000000,,,,,,,
EQUITY,BRIXMOR PROPERTY GROUP REIT INC,,11120U105,US11120U1051,BFTDJL8,231,230.84615,0.00000,16.170000,USD,1.000000,,,,,,,
EQUITY,BROOKDALE SENIOR LIVING INC,,112463104,US1124631045,B0PZN33,91,90.69231,0.00000,8.060000,USD,1.000000,,,,,,,
EQUITY,BROOKS AUTOMATION INC,,114340102,US1143401024,2145460,39,39.07692,0.00000,27.770000,USD,1.000000,,,,,,,
EQUITY,BROWN & BROWN INC,,115236101,US1152361010,2692687,66,65.69231,0.00000,28.430000,USD,1.000000,,,,,,,
EQUITY,BRUKER CORP,,116794108,US1167941087,2616137,67,66.76923,0.00000,34.240000,USD,1.000000,,,,,,,
EQUITY,BRUNSWICK CORP,,117043109,US1170431092,2149309,12,12.07692,0.00000,48.540000,USD,1.000000,,,,,,,
EQUITY,BRYN MAWR BANK CORP,,117665109,US1176651099,2619642,16,16.00000,0.00000,37.500000,USD,1.000000,,,,,,,
EQUITY,BUCKLE INC,,118440106,US1184401065,2149934,31,30.76923,0.00000,17.400000,USD,1.000000,,,,,,,
EQUITY,BUILDERS FIRSTSOURCE INC,,12008R107,US12008R1077,B0BV2M7,79,79.00000,0.00000,12.100000,USD,1.000000,,,,,,,
EQUITY,BWX TECHNOLOGIES INC,,05605H100,US05605H1005,BZ0W624,104,103.84615,0.00000,43.200000,USD,1.000000,,,,,,,
EQUITY,C J ENERGY SVCS INC,,12674R100,US12674R1005,BD8PMN4,49,49.23077,0.00000,15.540000,USD,1.000000,,,,,,,
EQUITY,CABLE ONE INC,,12685J105,US12685J1051,BZ07DS4,2,1.69231,0.00000,852.260000,USD,1.000000,,,,,,,
EQUITY,CABOT MICROELECTRONICS CORP,,12709P103,US12709P1030,2572381,24,23.92308,0.00000,94.380000,USD,1.000000,,,,,,,
EQUITY,CACI INTERNATIONAL INC CLASS A,,127190304,US1271903049,2159267,10,9.69231,0.00000,154.820000,USD,1.000000,,,,,,,
EQUITY,CACTUS INC CLASS A,,127203107,US1272031071,BF1GM16,22,21.76923,0.00000,31.240000,USD,1.000000,,,,,,,
EQUITY,CADENCE BANCORPORATION CLASS A,,12739A100,US12739A1007,BYWVH74,140,139.53846,0.00000,18.690000,USD,1.000000,,,,,,,
EQUITY,CAESARS ENTERTAINMENT CORP,,127686103,US1276861036,B3TDL41,311,310.69231,0.00000,8.660000,USD,1.000000,,,,,,,
EQUITY,CALERES INC,,129500104,US1295001044,BWX4MD9,30,30.15385,0.00000,28.480000,USD,1.000000,,,,,,,
EQUITY,CALIFORNIA RESOURCES CORP,,13057Q206,US13057Q2066,BZBY210,29,29.07692,0.00000,19.560000,USD,1.000000,,,,,,,
EQUITY,CALLAWAY GOLF,,131193104,US1311931042,2173933,66,65.92308,0.00000,16.540000,USD,1.000000,,,,,,,
EQUITY,CALLON PETROLEUM,,13123X102,US13123X1028,2186072,111,111.07692,0.00000,7.880000,USD,1.000000,,,,,,,
EQUITY,CANTEL MEDICAL CORP,,138098108,US1380981084,2188153,12,11.69231,0.00000,77.360000,USD,1.000000,,,,,,,
EQUITY,CARBONITE INC,,141337105,US1413371055,B53C331,24,23.69231,0.00000,27.500000,USD,1.000000,,,,,,,
EQUITY,CARDIOVASCULAR SYSTEMS INC,,141619106,US1416191062,B17HG57,23,23.07692,0.00000,28.680000,USD,1.000000,,,,,,,
EQUITY,CARDTRONICS PLC CLASS A,,G1991C105,GB00BYT18414,BYT1841,21,21.00000,0.00000,29.400000,USD,1.000000,,,,,,,
EQUITY,CARLISLE COMPANIES INC,,142339100,US1423391002,2176318,36,35.84615,0.00000,107.100000,USD,1.000000,,,,,,,
EQUITY,CARRIAGE SERVICES INC,,143905107,US1439051079,2177786,124,124.00000,0.00000,19.660000,USD,1.000000,,,,,,,
EQUITY,CARRIZO OIL AND GAS INC,,144577103,US1445771033,2092801,41,40.53846,0.00000,11.350000,USD,1.000000,,,,,,,
EQUITY,CARTERS INC,,146229109,US1462291097,2980939,12,11.69231,0.00000,80.860000,USD,1.000000,,,,,,,
