Fund Level
Fund Name,iShares MSCI Australia ETF
Fund Ticker,EWA
Fund ISIN,US4642861037
Fund Cusip,464286103
Fund LEI,
Total NAV per share,20.133647,Jan 23 2019
Distribution per Share,,
Fund Size,1123457502.60,Jan 23 2019
Shares Outstanding,55800000,Jan 23 2019
Baskets Outstanding,279.000000000000,Jan 23 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 24 2019
Settlement Date,
Shares per Basket (PNU),200000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,-3308.75,Jan 24 2019
Projected Cash for Deliverable Basket,25698.42,Jan 24 2019
Confirmed Cash for Deliverable Basket,25752.67,Jan 23 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,AGL ENERGY LTD,,Q01630195,AU000000AGL7,BSS7GP5,2911,2911.36559,0.00000,15.019995,AUD,1.000000,,,,,,,
EQUITY,ALUMINA LTD,,Q0269M109,AU000000AWC3,6954985,10835,10835.45161,0.00000,1.647492,AUD,1.000000,,,,,,,
EQUITY,AMCOR LTD,,Q03080100,AU000000AMC4,6066608,5141,5141.26881,0.00000,9.628202,AUD,1.000000,,,,,,,
EQUITY,AMP LTD,,Q0344G101,AU000000AMP6,6709958,12985,12985.45519,0.00000,1.847188,AUD,1.000000,,,,,,,
EQUITY,APA GROUP UNITS,,Q0437B100,AU000000APA1,6247306,5241,5241.39068,0.00000,6.383141,AUD,1.000000,,,,,,,
EQUITY,ARISTOCRAT LEISURE LTD,,Q0521T108,AU000000ALL7,6253983,2551,2551.44802,0.00000,17.266575,AUD,1.000000,,,,,,,
EQUITY,ASX LTD,,Q0604U105,AU000000ASX7,6129222,859,859.69892,0.00000,45.987144,AUD,1.000000,,,,,,,
EQUITY,AURIZON HOLDINGS LTD,,Q0695Q104,AU000000AZJ1,B87CVM3,8847,8847.36200,0.00000,3.145213,AUD,1.000000,,,,,,,
EQUITY,AUSNET SERVICES,,Q0708Q109,AU000000AST5,BPXR7J0,8001,8001.25448,0.00000,1.183912,AUD,1.000000,,,,,,,
EQUITY,AUSTRALIA AND NEW ZEALAND BANKING,,Q09504137,AU000000ANZ3,6065586,12756,12756.68458,0.00000,18.336375,AUD,1.000000,,,,,,,
EQUITY,BANK OF QUEENSLAND LTD,,Q12764116,AU000000BOQ8,6076243,1758,1758.70609,0.00000,7.260377,AUD,1.000000,,,,,,,
EQUITY,BENDIGO AND ADELAIDE BANK LTD,,Q1458B102,AU000000BEN6,6091280,2145,2145.87813,0.00000,7.859465,AUD,1.000000,,,,,,,
EQUITY,BGP HOLDINGS PLC - UNLISTED,,,MV3357358ZDD,9933572,0,0.00000,67700.25806,0.000011,EUR,1.000000,,,,,,,
EQUITY,BHP GROUP LTD,,Q1498M100,AU000000BHP4,6144690,13077,13077.34767,0.00000,23.271720,AUD,1.000000,,,,,,,
EQUITY,BLUESCOPE STEEL LTD,,Q1415L177,AU000000BSL0,6533232,2422,2422.06093,0.00000,8.544137,AUD,1.000000,,,,,,,
EQUITY,BORAL LTD,,Q16969109,AU000000BLD2,6218670,5189,5189.31541,0.00000,3.530341,AUD,1.000000,,,,,,,
EQUITY,BRAMBLES LTD,,Q6634U106,AU000000BXB1,B1FJ0C0,7067,7067.29032,0.00000,7.631241,AUD,1.000000,,,,,,,
EQUITY,CALTEX AUSTRALIA LTD,,Q19884107,AU000000CTX1,6161503,1154,1154.48028,0.00000,18.778559,AUD,1.000000,,,,,,,
EQUITY,CHALLENGER LTD,,Q22685103,AU000000CGF5,6726300,2433,2433.55555,0.00000,5.455981,AUD,1.000000,,,,,,,
EQUITY,CIMIC GROUP LTD,,Q2424E105,AU000000CIM7,BX17Q13,430,430.59856,0.00000,31.637557,AUD,1.000000,,,,,,,
EQUITY,COCA-COLA AMATIL LTD,,Q2594P146,AU000000CCL2,6123451,2243,2243.34767,0.00000,6.040805,AUD,1.000000,,,,,,,
EQUITY,COCHLEAR LTD,,Q25953102,AU000000COH5,6211798,256,256.27240,0.00000,137.697548,AUD,1.000000,,,,,,,
EQUITY,COLES GROUP LTD,,Q26203408,AU0000030678,BYWR0T5,5033,5033.39068,0.00000,8.979190,AUD,1.000000,,,,,,,
EQUITY,COMMONWEALTH BANK OF AUSTRALIA,,Q26915100,AU000000CBA7,6215035,7812,7812.36917,0.00000,51.443125,AUD,1.000000,,,,,,,
EQUITY,COMPUTERSHARE LTD,,Q2721E105,AU000000CPU5,6180412,2052,2052.39068,0.00000,12.702094,AUD,1.000000,,,,,,,
EQUITY,CROWN RESORTS LTD,,Q3015N108,AU000000CWN6,B29LCJ0,1673,1673.58064,0.00000,8.629721,AUD,1.000000,,,,,,,
EQUITY,CSL LTD,,Q3018U109,AU000000CSL8,6185495,2008,2008.31182,0.00000,140.857024,AUD,1.000000,,,,,,,
EQUITY,DEXUS STAPLED UNITS,,Q3190P134,AU000000DXS1,B033YN6,4502,4502.61290,0.00000,8.030633,AUD,1.000000,,,,,,,
EQUITY,DOMINOS PIZZA ENTERPRISES LTD,,Q32503106,AU000000DMP0,B07SFG7,265,265.31541,0.00000,32.215250,AUD,1.000000,,,,,,,
EQUITY,FLIGHT CENTRE TRAVEL GROUP LTD,,Q39175106,AU000000FLT9,6352147,246,246.82078,0.00000,32.022685,AUD,1.000000,,,,,,,
EQUITY,FORTESCUE METALS GROUP LTD,,Q39360104,AU000000FMG4,6086253,6930,6930.52329,0.00000,3.337777,AUD,1.000000,,,,,,,
EQUITY,GOODMAN GROUP UNITS,,Q4229W132,AU000000GMG2,B03FYZ4,7247,7247.03584,0.00000,8.372969,AUD,1.000000,,,,,,,
EQUITY,GPT GROUP STAPLED UNITS,,Q4252X155,AU000000GPT8,6365866,7989,7989.32258,0.00000,3.972525,AUD,1.000000,,,,,,,
EQUITY,HARVEY NORMAN HOLDINGS LTD,,Q4525E117,AU000000HVN7,6173508,2628,2628.78494,0.00000,2.424880,AUD,1.000000,,,,,,,
EQUITY,INCITEC PIVOT LTD,,Q4887E101,AU000000IPL1,6673042,7237,7237.34408,0.00000,2.524728,AUD,1.000000,,,,,,,
EQUITY,INSURANCE AUSTRALIA GROUP LTD,,Q49361100,AU000000IAG3,6271026,10257,10257.77419,0.00000,5.063721,AUD,1.000000,,,,,,,
EQUITY,JAMES HARDIE INDUSTRIES CDI PLC,,G4253H119,AU000000JHX1,B60QWJ2,1965,1965.31899,0.00000,10.776454,AUD,1.000000,,,,,,,
EQUITY,LENDLEASE GROUP STAPLED UNITS,,Q55368114,AU000000LLC3,6512004,2555,2555.48745,0.00000,8.608325,AUD,1.000000,,,,,,,
EQUITY,MACQUARIE GROUP LTD DEF,,Q57085286,AU000000MQG1,B28YTC2,1435,1435.49103,0.00000,82.938042,AUD,1.000000,,,,,,,
EQUITY,MEDIBANK PRIVATE LTD,,Q5921Q109,AU000000MPL3,BRTNNQ5,12254,12254.75627,0.00000,1.847188,AUD,1.000000,,,,,,,
EQUITY,MIRVAC GROUP STAPLED UNITS,,Q62377108,AU000000MGR9,6161978,16450,16450.01433,0.00000,1.618964,AUD,1.000000,,,,,,,
EQUITY,NATIONAL AUSTRALIA BANK LTD,,Q65336119,AU000000NAB4,6624608,12137,12137.36917,0.00000,17.480535,AUD,1.000000,,,,,,,
EQUITY,NEWCREST MINING LTD,,Q6651B114,AU000000NCM7,6637101,3408,3408.19713,0.00000,16.403603,AUD,1.000000,,,,,,,
EQUITY,OIL SEARCH LTD,,Y64695110,PG0008579883,6657604,6093,6093.42652,0.00000,5.349001,AUD,1.000000,,,,,,,
EQUITY,ORICA LTD,,Q7160T109,AU000000ORI1,6458001,1688,1688.00716,0.00000,12.409682,AUD,1.000000,,,,,,,
EQUITY,ORIGIN ENERGY LTD,,Q71610101,AU000000ORG5,6214861,7813,7813.78136,0.00000,5.049457,AUD,1.000000,,,,,,,
EQUITY,QBE INSURANCE GROUP LTD,,Q78063114,AU000000QBE9,6715740,5972,5972.33333,0.00000,7.773881,AUD,1.000000,,,,,,,
EQUITY,RAMSAY HEALTH CARE LTD,,Q7982Y104,AU000000RHC8,6041995,629,629.08243,0.00000,41.358475,AUD,1.000000,,,,,,,
EQUITY,REA GROUP LTD,,Q8051B108,AU000000REA9,6198578,233,233.21505,0.00000,54.352981,AUD,1.000000,,,,,,,
EQUITY,RIO TINTO LTD,,Q81437107,AU000000RIO1,6220103,1647,1647.72759,0.00000,56.770730,AUD,1.000000,,,,,,,
EQUITY,SANTOS LTD,,Q82869118,AU000000STO6,6776703,7867,7867.84229,0.00000,4.250673,AUD,1.000000,,,,,,,
EQUITY,SCENTRE GROUP,,Q8351E109,AU000000SCG8,BLZH0Z7,23603,23603.43369,0.00000,2.852800,AUD,1.000000,,,,,,,
EQUITY,SEEK LTD,,Q8382E102,AU000000SEK6,B0767Y3,1476,1476.59139,0.00000,12.602246,AUD,1.000000,,,,,,,
EQUITY,SONIC HEALTHCARE LTD,,Q8563C107,AU000000SHL7,6821120,1926,1926.07168,0.00000,16.318019,AUD,1.000000,,,,,,,
EQUITY,SOUTH32 LTD,,Q86668102,AU000000S320,BWSW5D9,22725,22725.57347,0.00000,2.382088,AUD,1.000000,,,,,,,
EQUITY,STOCKLAND STAPLED UNITS LTD,,Q8773B105,AU000000SGP0,6850856,10776,10776.13978,0.00000,2.674500,AUD,1.000000,,,,,,,
EQUITY,SUNCORP GROUP LTD,,Q88040110,AU000000SUN6,6585084,5764,5764.37275,0.00000,9.093302,AUD,1.000000,,,,,,,
EQUITY,SYDNEY AIRPORT STAPLED UNITS LTD,,Q8808P103,AU000000SYD9,B70DWB2,4914,4914.55197,0.00000,4.635801,AUD,1.000000,,,,,,,
