Fund Level
Fund Name,iShares MSCI Germany ETF
Fund Ticker,EWG
Fund ISIN,US4642868065
Fund Cusip,464286806
Fund LEI,
Total NAV per share,26.423294,Jan 23 2019
Distribution per Share,,
Fund Size,2290899589.80,Jan 23 2019
Shares Outstanding,86700000,Jan 23 2019
Baskets Outstanding,289.000000000000,Jan 23 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 24 2019
Settlement Date,
Shares per Basket (PNU),300000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,-67.2,Jan 24 2019
Projected Cash for Deliverable Basket,61984.11,Jan 24 2019
Confirmed Cash for Deliverable Basket,62088.89,Jan 23 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,1&1 DRILLISCH AG,,D23138106,DE0005545503,5734672,360,360.00000,0.00000,43.991206,EUR,1.000000,,,,,,,
EQUITY,ADIDAS N AG,,D0066B185,DE000A1EWWW0,4031976,1282,1282.39792,0.00000,235.886629,EUR,1.000000,,,,,,,
EQUITY,ALLIANZ,,D03080112,DE0008404005,5231485,2927,2927.71626,0.00000,208.554276,EUR,1.000000,,,,,,,
EQUITY,AROUNDTOWN PROPERTY HOLDINGS SA,,L0269F109,LU1673108939,BF0CK44,5265,5265.42560,0.00000,8.602522,EUR,1.000000,,,,,,,
EQUITY,AXEL SPRINGER,,D76169115,DE0005501357,4647317,329,329.69896,0.00000,58.374260,EUR,1.000000,,,,,,,
EQUITY,BASF N,,D06216317,DE000BASF111,5086577,6255,6255.33564,0.00000,71.869751,EUR,1.000000,,,,,,,
EQUITY,BAYER AG,,D0712D163,DE000BAY0017,5069211,6351,6351.17993,0.00000,75.101387,EUR,1.000000,,,,,,,
EQUITY,BEIERSDORF AG,,D08792109,DE0005200000,5107401,687,687.37370,0.00000,98.587639,EUR,1.000000,,,,,,,
EQUITY,BMW AG,,D12096109,DE0005190003,5756029,2256,2256.69896,0.00000,82.190503,EUR,1.000000,,,,,,,
EQUITY,BMW PREF AG,,D12096125,DE0005190037,5756030,379,379.21799,0.00000,71.801477,EUR,1.000000,,,,,,,
EQUITY,BRENNTAG AG,,D12459117,DE000A1DAHH0,B4YVF56,1055,1055.08650,0.00000,47.655244,EUR,1.000000,,,,,,,
EQUITY,COMMERZBANK AG,,D172W1279,DE000CBK1001,B90LKT4,6835,6835.01038,0.00000,7.769580,EUR,1.000000,,,,,,,
EQUITY,CONTINENTAL AG,,D16212140,DE0005439004,4598589,749,749.80968,0.00000,151.283779,EUR,1.000000,,,,,,,
EQUITY,COVESTRO AG,,D0R41Z100,DE0006062144,BYTBWY9,1311,1311.17301,0.00000,51.467208,EUR,1.000000,,,,,,,
EQUITY,DAIMLER AG,,D1668R123,DE0007100000,5529027,6193,6193.23183,0.00000,57.213602,EUR,1.000000,,,,,,,
EQUITY,DELIVERY HERO,,D1T0KZ103,DE000A2E4K43,BZCNB42,634,634.00346,0.00000,38.005853,EUR,1.000000,,,,,,,
EQUITY,DEUTSCHE BANK AG,,D18190898,DE0005140008,5750355,13382,13382.08996,0.00000,9.072475,EUR,1.000000,,,,,,,
EQUITY,DEUTSCHE BOERSE AG,,D1882G119,DE0005810055,7021963,1315,1315.45674,0.00000,130.346422,EUR,1.000000,,,,,,,
EQUITY,DEUTSCHE LUFTHANSA AG,,D1908N106,DE0008232125,5287488,1615,1615.05190,0.00000,25.033796,EUR,1.000000,,,,,,,
EQUITY,DEUTSCHE POST AG,,D19225107,DE0005552004,4617859,6717,6717.01730,0.00000,29.391952,EUR,1.000000,,,,,,,
EQUITY,DEUTSCHE TELEKOM N AG,,D2035M136,DE0005557508,5842359,22699,22699.61937,0.00000,16.448342,EUR,1.000000,,,,,,,
EQUITY,DEUTSCHE WOHNEN,,D2046U176,DE000A0HN5C6,B0YZ0Z5,2433,2433.99307,0.00000,48.611080,EUR,1.000000,,,,,,,
EQUITY,E.ON N,,D24914133,DE000ENAG999,4942904,14969,14969.59515,0.00000,10.431127,EUR,1.000000,,,,,,,
EQUITY,EVONIK INDUSTRIES AG,,D2R90Y117,DE000EVNK013,B5ZQ9D3,1107,1107.23529,0.00000,26.353759,EUR,1.000000,,,,,,,
EQUITY,FRAPORT FRANKFURT AIRPORT SERVICES,,D3856U108,DE0005773303,7107551,282,282.55363,0.00000,75.966191,EUR,1.000000,,,,,,,
EQUITY,FRESENIUS MEDICAL CARE AG,,D2734Z107,DE0005785802,5129074,1474,1474.20415,0.00000,70.253934,EUR,1.000000,,,,,,,
EQUITY,FRESENIUS SE AND CO KGAA,,D27348263,DE0005785604,4352097,2836,2836.61591,0.00000,48.702111,EUR,1.000000,,,,,,,
EQUITY,FUCHS PETROLUB PREF,,D27462122,DE0005790430,4354350,471,471.93079,0.00000,46.267006,EUR,1.000000,,,,,,,
