Fund Level
Fund Name,iShares MSCI Malaysia ETF
Fund Ticker,EWM
Fund ISIN,US46434G8143
Fund Cusip,46434G814
Fund LEI,
Total NAV per share,30.032369,Jan 23 2019
Distribution per Share,,
Fund Size,536077786.65,Jan 23 2019
Shares Outstanding,17850000,Jan 23 2019
Baskets Outstanding,238.000000000000,Jan 23 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 24 2019
Settlement Date,
Shares per Basket (PNU),75000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,3684.34,Jan 24 2019
Projected Cash for Deliverable Basket,42285.46,Jan 24 2019
Confirmed Cash for Deliverable Basket,42313.14,Jan 23 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,AIRASIA GROUP,,Y0029V101,MYL5099OO006,B03J9L7,28700,28762.60504,0.00000,0.737160,MYR,1.000000,,,,,,,
EQUITY,ALLIANCE BANK MALAYSIA BHD,,Y0034W102,MYL2488OO004,6556938,19200,19249.15966,0.00000,1.007855,MYR,1.000000,,,,,,,
EQUITY,AMMB HOLDINGS,,Y0122P100,MYL1015OO006,6047023,31600,31670.32352,0.00000,1.087613,MYR,1.000000,,,,,,,
EQUITY,AXIATA GROUP,,Y0488A101,MYL6888OO001,B2QZGV5,52000,52053.36134,0.00000,0.986103,MYR,1.000000,,,,,,,
EQUITY,BRITISH AMERICAN TOBACCO (MALAYSIA,,Y0971P110,MYL4162OO003,6752349,2700,2728.57142,0.00000,9.174622,MYR,1.000000,,,,,,,
EQUITY,CIMB GROUP HOLDINGS,,Y1636J101,MYL1023OO000,6075745,89500,89558.87394,0.00000,1.367976,MYR,1.000000,,,,,,,
EQUITY,DIALOG GROUP,,Y20641109,MYL7277OO006,B00MRS2,70100,70161.57142,0.00000,0.732326,MYR,1.000000,,,,,,,
EQUITY,DIGI.COM,,Y2070F100,MYL6947OO005,6086242,59400,59481.93277,0.00000,1.092447,MYR,1.000000,,,,,,,
EQUITY,FRASER & NEAVE HOLDINGS,,Y26429103,MYL3689OO006,6555946,2400,2455.46218,0.00000,8.241692,MYR,1.000000,,,,,,,
EQUITY,GAMUDA,,Y2679X106,MYL5398OO002,6359881,37700,37752.94117,0.00000,0.640483,MYR,1.000000,,,,,,,
EQUITY,GENTING,,Y26926116,MYL3182OO002,B1VXJL8,40600,40656.30252,0.00000,1.612085,MYR,1.000000,,,,,,,
EQUITY,GENTING MALAYSIA,,Y2698A103,MYL4715OO008,B1VXKN7,56800,56813.02521,0.00000,0.787915,MYR,1.000000,,,,,,,
EQUITY,GENTING PLANTATIONS,,Y26930100,MYL2291OO002,6057680,4600,4629.41176,0.00000,2.421752,MYR,1.000000,,,,,,,
EQUITY,HAP SENG CONSOLIDATED,,Y6579W100,MYL3034OO005,6297743,11900,11900.42016,0.00000,2.387915,MYR,1.000000,,,,,,,
EQUITY,HARTALEGA HOLDINGS,,Y31139101,MYL5168OO009,B2QPJK5,25300,25372.26890,0.00000,1.329305,MYR,1.000000,,,,,,,
EQUITY,HONG LEONG BANK,,Y36503103,MYL5819OO007,6436892,12400,12436.30252,0.00000,4.998187,MYR,1.000000,,,,,,,
EQUITY,HONG LEONG FINANCIAL GROUP,,Y36592106,MYL1082OO006,6436450,4300,4389.07563,0.00000,4.712991,MYR,1.000000,,,,,,,
EQUITY,IHH HEALTHCARE,,Y374AH103,MYL5225OO007,B83X6P8,47300,47307.98319,0.00000,1.380060,MYR,1.000000,,,,,,,
EQUITY,IJM CORPORATION,,Y3882M101,MYL3336OO004,6455217,55600,55616.72268,0.00000,0.413293,MYR,1.000000,,,,,,,
EQUITY,IOI CORPORATION,,Y41763106,MYL1961OO001,B1Y3WG1,36000,36022.39495,0.00000,1.123867,MYR,1.000000,,,,,,,
EQUITY,IOI PROPERTIES GROUP,,Y417A6104,MYL5249OO007,BH7JFJ2,31400,31485.39915,0.00000,0.384290,MYR,1.000000,,,,,,,
EQUITY,KUALA LUMPUR KEPONG,,Y47153104,MYL2445OO004,6497446,8100,8164.70588,0.00000,5.945619,MYR,1.000000,,,,,,,
EQUITY,MALAYAN BANKING,,Y54671105,MYL1155OO000,6556325,73200,73262.52521,0.00000,2.305740,MYR,1.000000,,,,,,,
EQUITY,MALAYSIA AIRPORTS HOLDINGS,,Y5585D106,MYL5014OO005,6188193,0,17079.41176,0.00000,1.962538,MYR,1.000000,,,,,,,
EQUITY,MAXIS,,Y58460109,MYL6012OO008,B5387L5,44800,44853.78151,0.00000,1.387311,MYR,1.000000,,,,,,,
EQUITY,MISC,,Y6080H105,MYL3816OO005,6557997,21300,21321.51260,0.00000,1.604834,MYR,1.000000,,,,,,,
EQUITY,NESTLE MALAYSIA,,Y6269X103,MYL4707OO005,6629335,1100,1120.16806,0.00000,35.770393,MYR,1.000000,,,,,,,
EQUITY,PETRONAS CHEMICALS GROUP,,Y6811G103,MYL5183OO008,B5KQGT3,45900,45900.84033,0.00000,2.035045,MYR,1.000000,,,,,,,
EQUITY,PETRONAS DAGANGAN,,Y6885A107,MYL5681OO001,6695938,3800,3804.62184,0.00000,6.187311,MYR,1.000000,,,,,,,
EQUITY,PETRONAS GAS,,Y6885J116,MYL6033OO004,6703972,13200,13244.95798,0.00000,4.273112,MYR,1.000000,,,,,,,
EQUITY,PPB GROUP,,Y70879104,MYL4065OO008,6681669,10800,10881.59243,0.00000,4.321450,MYR,1.000000,,,,,,,
EQUITY,PRESS METAL ALUMINIUM HOLDINGS,,Y7079E103,MYL8869OO009,BF0J5S4,26200,26271.84873,0.00000,1.010272,MYR,1.000000,,,,,,,
EQUITY,PUBLIC BANK,,Y71497104,MYL1295OO004,B012W42,55600,55681.00840,0.00000,5.993958,MYR,1.000000,,,,,,,
EQUITY,QL RESOURCES,,Y7171B106,MYL7084OO006,B00G234,12400,12404.20168,0.00000,1.667674,MYR,1.000000,,,,,,,
EQUITY,RHB BANK,,Y72783106,MYL1066OO009,6244675,19100,19157.57142,0.00000,1.326888,MYR,1.000000,,,,,,,
EQUITY,RHB CAPITAL BHD- COAC CAM# 3611452,,,,,0,0.00000,6811.76470,0.000002,MYR,1.000000,,,,,,,
EQUITY,S P SETIA,,Y8132G101,MYL8664OO004,6868774,29800,29858.82352,0.00000,0.589728,MYR,1.000000,,,,,,,
EQUITY,SIME DARBY,,Y7962G108,MYL4197OO009,B29TTR1,45400,45489.30672,0.00000,0.551057,MYR,1.000000,,,,,,,
