Fund Level
Fund Name,iShares MSCI Netherlands ETF
Fund Ticker,EWN
Fund ISIN,US4642868149
Fund Cusip,464286814
Fund LEI,
Total NAV per share,27.463660,Jan 23 2019
Distribution per Share,,
Fund Size,127706019.00,Jan 23 2019
Shares Outstanding,4650000,Jan 23 2019
Baskets Outstanding,93.000000000000,Jan 23 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 24 2019
Settlement Date,
Shares per Basket (PNU),50000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,409.8,Jan 24 2019
Projected Cash for Deliverable Basket,9060.36,Jan 24 2019
Confirmed Cash for Deliverable Basket,9078.17,Jan 23 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,AALBERTS INDUSTRIES NV,,N00089271,NL0000852564,B1W8P14,341,341.30107,0.00000,33.568044,EUR,1.000000,,,,,,,
EQUITY,ABN AMRO GROUP NV,,N0162C102,NL0011540547,BYQP136,1275,1275.76344,0.00000,25.534472,EUR,1.000000,,,,,,,
EQUITY,ACCELL GROUP NV,,N00432257,NL0009767532,B051DV9,143,143.64516,0.00000,21.369758,EUR,1.000000,,,,,,,
EQUITY,AEGON NV,,N00927298,NL0000303709,5927375,5390,5390.41935,0.00000,5.079585,EUR,1.000000,,,,,,,
EQUITY,AERCAP HOLDINGS NV,,N00985106,NL0000687663,B1HHKD3,399,399.72043,0.00000,45.020000,USD,1.000000,,,,,,,
EQUITY,AKZO NOBEL NV,,,NL0013267909,BJ2KSG2,646,646.70967,0.00000,85.934193,EUR,1.000000,,,,,,,
EQUITY,AMG ADVANCED METALLURGICAL GROUP N,,N04897109,NL0000888691,B1Z95S1,77,77.39784,0.00000,34.228026,EUR,1.000000,,,,,,,
EQUITY,ARCADIS NV,,N0605M147,NL0006237562,5769209,334,334.24731,0.00000,13.028953,EUR,1.000000,,,,,,,
EQUITY,ASM INTERNATIONAL NV,,N07045201,NL0000334118,5165294,174,174.61290,0.00000,42.944338,EUR,1.000000,,,,,,,
EQUITY,ASML HOLDING NV,,N07059202,NL0010273215,B929F46,1102,1102.83870,0.00000,162.287270,EUR,1.000000,,,,,,,
EQUITY,ASR NEDERLAND NV,,N0709G103,NL0011872643,BD9PNF2,381,381.58064,0.00000,42.329873,EUR,1.000000,,,,,,,
EQUITY,BAM GROEP KONINKLIJKE NV,,N0157T177,NL0000337319,B12W5Y9,774,774.16129,0.00000,3.273738,EUR,1.000000,,,,,,,
EQUITY,BASIC-FIT NV,,N10058100,NL0011872650,BD9Y9B7,78,78.23655,0.00000,29.642290,EUR,1.000000,,,,,,,
EQUITY,BE SEMICONDUCTOR INDUSTRIES NV,,N13107144,NL0012866412,BG0SCK9,280,280.95698,0.00000,21.895468,EUR,1.000000,,,,,,,
EQUITY,BINCKBANK NV,,N1375D101,NL0000335578,5531215,507,507.73118,0.00000,7.066358,EUR,1.000000,,,,,,,
EQUITY,BRUNEL INTERNATIONAL NV,,N1677J186,NL0010776944,BN573R4,168,168.61290,0.00000,13.358944,EUR,1.000000,,,,,,,
EQUITY,COCA COLA EUROPEAN PARTNERS PLC,,G25839104,GB00BDCPN049,BYQQ3P5,593,593.52688,0.00000,46.700000,USD,1.000000,,,,,,,
EQUITY,CONSTELLIUM NV CLASS A,,N22035104,NL0010489522,B9B3DX4,318,318.19354,0.00000,8.100000,USD,1.000000,,,,,,,
EQUITY,CORBION NV,,N2334V109,NL0010583399,BFRSRR7,245,245.03225,0.00000,28.925413,EUR,1.000000,,,,,,,
EQUITY,EUROCOMMERCIAL PROPERTIES DUTCH CE,,N31065142,NL0000288876,4798271,183,183.16129,0.00000,30.723295,EUR,1.000000,,,,,,,
EQUITY,FLOW TRADERS NV,,N33101101,NL0011279492,BYT05J2,141,141.58064,0.00000,32.634966,EUR,1.000000,,,,,,,
EQUITY,FORFARMERS NV,,N3325Y102,NL0011832811,BD6S9Q7,94,94.62365,0.00000,9.478705,EUR,1.000000,,,,,,,
EQUITY,FUGRO NV,,N3385Q197,NL0000352565,B096LW7,314,314.03225,0.00000,10.061310,EUR,1.000000,,,,,,,
EQUITY,GEMALTO NV,,N3465M108,NL0000400653,B9MS8P5,265,265.76344,0.00000,57.623246,EUR,1.000000,,,,,,,
EQUITY,HEINEKEN HOLDING NV,,N39338194,NL0000008977,B0CCH46,145,145.18279,0.00000,84.375270,EUR,1.000000,,,,,,,
EQUITY,HEINEKEN NV,,N39427211,NL0000009165,7792559,543,543.19354,0.00000,86.707965,EUR,1.000000,,,,,,,
EQUITY,IMCD NV,,N4447S106,NL0010801007,BNCBD46,187,187.10752,0.00000,69.468783,EUR,1.000000,,,,,,,
EQUITY,ING GROEP NV,,N4578E595,NL0011821202,BZ57390,10420,10420.81720,0.00000,11.886501,EUR,1.000000,,,,,,,
EQUITY,INTERTRUST NV,,N4584R101,NL0010937058,BZ24134,203,203.79569,0.00000,16.317483,EUR,1.000000,,,,,,,
EQUITY,INTERXION HOLDING NV,,N47279109,NL0009693779,B66QLT9,245,245.94623,0.00000,58.390000,USD,1.000000,,,,,,,
EQUITY,KENDRION NV,,N48485168,NL0000852531,B1VYCB2,103,103.39784,0.00000,24.806216,EUR,1.000000,,,,,,,
EQUITY,KONINKILIJKE DSM NV,,N5017D122,NL0000009827,B0HZL93,527,527.23655,0.00000,90.781646,EUR,1.000000,,,,,,,
EQUITY,KONINKLIJKE AHOLD DELHAIZE NV,,N0074E105,NL0011794037,BD0Q398,2451,2451.77419,0.00000,26.370828,EUR,1.000000,,,,,,,
EQUITY,KONINKLIJKE BOSKALIS WESTMINSTER N,,N14952266,NL0000852580,B1XF882,319,319.67741,0.00000,25.591367,EUR,1.000000,,,,,,,
EQUITY,KONINKLIJKE KPN NV,,N4297B146,NL0000009082,5956078,10295,10295.80645,0.00000,2.832233,EUR,1.000000,,,,,,,
EQUITY,KONINKLIJKE PHILIPS NV,,N7637U112,NL0000009538,5986622,2368,2368.81720,0.00000,36.207972,EUR,1.000000,,,,,,,
EQUITY,KONINKLIJKE VOLKER WESSELS NV,,N5075E103,NL0012294466,BD45RJ9,81,81.56989,0.00000,16.442652,EUR,1.000000,,,,,,,
EQUITY,KONINKLIJKE VOPAK NV,,N5075T159,NL0009432491,5809428,250,250.83870,0.00000,49.555536,EUR,1.000000,,,,,,,
EQUITY,KONINKLIJKE WESSANEN NV,,N95242165,NL0000395317,7271166,355,355.84946,0.00000,10.275235,EUR,1.000000,,,,,,,
EQUITY,NIBC HOLDING NV,,N6305E103,NL0012756316,BG0SJ20,72,72.07526,0.00000,10.079516,EUR,1.000000,,,,,,,
EQUITY,NN GROUP NV,,N64038107,NL0010773842,BNG8PQ9,899,899.79569,0.00000,42.102293,EUR,1.000000,,,,,,,
EQUITY,NSI NV,,N6S10A115,NL0012365084,BZBY737,110,110.70967,0.00000,41.021288,EUR,1.000000,,,,,,,
EQUITY,NXP SEMICONDUCTORS NV,,N6596X109,NL0009538784,B505PN7,768,768.84946,0.00000,78.900000,USD,1.000000,,,,,,,
EQUITY,OCI NV,,N6667A111,NL0010558797,BD4TZK8,304,304.36559,0.00000,21.307174,EUR,1.000000,,,,,,,
EQUITY,PHARMING GROUP NV,,N69603145,NL0010391025,B8RC747,1483,1483.88172,0.00000,0.935923,EUR,1.000000,,,,,,,
EQUITY,POSTNL NV,,N7203C108,NL0009739416,5481558,1666,1666.82795,0.00000,2.465829,EUR,1.000000,,,,,,,
EQUITY,PROQR THERAPEUTICS NV,,N71542109,NL0010872495,BQRX1W2,67,67.08602,0.00000,15.170000,USD,1.000000,,,,,,,
EQUITY,RANDSTAD HOLDING,,N7291Y137,NL0000379121,5228658,375,375.06451,0.00000,47.621107,EUR,1.000000,,,,,,,
EQUITY,SBM OFFSHORE NV,,N7752F148,NL0000360618,B156T57,635,635.19354,0.00000,16.101282,EUR,1.000000,,,,,,,
EQUITY,SIF HOLDING NV,,N79954108,NL0011660485,BD980H2,29,29.00000,0.00000,11.071765,EUR,1.000000,,,,,,,
EQUITY,SIGNIFY NV,,N8063K107,NL0011821392,BYY7VY5,297,297.35483,0.00000,23.952791,EUR,1.000000,,,,,,,
EQUITY,SNS REAAL N.V.,,N8126Z109,NL0000390706,B14SR61,0,0.00000,741.41935,0.000011,EUR,1.000000,,,,,,,
EQUITY,TAKEAWAY.COM NV,,N84437107,NL0012015705,BYQ7HZ6,95,95.60215,0.00000,61.446589,EUR,1.000000,,,,,,,
EQUITY,TKH GROUP NV,,N8661A121,NL0000852523,B1WFDQ6,158,158.04301,0.00000,45.811846,EUR,1.000000,,,,,,,
