Fund Level
Fund Name,iShares MSCI France ETF
Fund Ticker,EWQ
Fund ISIN,US4642867075
Fund Cusip,464286707
Fund LEI,
Total NAV per share,27.148216,Jan 23 2019
Distribution per Share,,
Fund Size,564682892.80,Jan 23 2019
Shares Outstanding,20800000,Jan 23 2019
Baskets Outstanding,104.000000000000,Jan 23 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 24 2019
Settlement Date,
Shares per Basket (PNU),200000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,164.69,Jan 24 2019
Projected Cash for Deliverable Basket,13276.12,Jan 24 2019
Confirmed Cash for Deliverable Basket,13348.27,Jan 23 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,ACCOR SA,,F00189120,FR0000120404,5852842,728,728.40384,0.00000,44.025343,EUR,1.000000,,,,,,,
EQUITY,AEROPORTS DE PARIS SA,,F00882104,FR0010340141,B164FY1,113,113.29807,0.00000,188.891367,EUR,1.000000,,,,,,,
EQUITY,AIR LIQUIDE SA,,F01764103,FR0000120073,B1YXBJ7,1639,1639.69230,0.00000,119.536374,EUR,1.000000,,,,,,,
EQUITY,AIRBUS GROUP,,N0280G100,NL0000235190,4012250,2228,2228.51923,0.00000,106.746380,EUR,1.000000,,,,,,,
EQUITY,ALSTOM SA,,F0259M475,FR0010220475,B0DJ8Q5,594,594.22115,0.00000,38.916173,EUR,1.000000,,,,,,,
EQUITY,AMUNDI SA,,F0300Q103,FR0004125920,BYZR014,228,228.70192,0.00000,55.779848,EUR,1.000000,,,,,,,
EQUITY,ARCELORMITTAL SA,,L0302D210,LU1598757687,BYPBS67,2540,2540.28846,0.00000,21.244589,EUR,1.000000,,,,,,,
EQUITY,ARKEMA SA,,F0392W125,FR0010313833,B0Z5YZ2,262,262.42307,0.00000,93.011930,EUR,1.000000,,,,,,,
EQUITY,ATOS,,F06116101,FR0000051732,5654781,368,368.00961,0.00000,82.884622,EUR,1.000000,,,,,,,
EQUITY,AXA SA,,F06106102,FR0000120628,7088429,7419,7419.64423,0.00000,23.065229,EUR,1.000000,,,,,,,
EQUITY,BIC SA,,F10080103,FR0000120966,5298781,99,99.05769,0.00000,102.524772,EUR,1.000000,,,,,,,
EQUITY,BIOMERIEUX SA,,F1149Y232,FR0013280286,BF0LBX7,161,161.32692,0.00000,69.867048,EUR,1.000000,,,,,,,
EQUITY,BNP PARIBAS SA,,F1058Q238,FR0000131104,7309681,4304,4304.19230,0.00000,47.308184,EUR,1.000000,,,,,,,
EQUITY,BOLLORE SA,,F10659260,FR0000039299,4572709,3355,3355.26923,0.00000,4.069130,EUR,1.000000,,,,,,,
EQUITY,BOUYGUES SA,,F11487125,FR0000120503,4002121,839,839.64423,0.00000,33.772866,EUR,1.000000,,,,,,,
EQUITY,BUREAU VERITAS SA,,F96888114,FR0006174348,B28DTJ6,1014,1014.05769,0.00000,21.745265,EUR,1.000000,,,,,,,
EQUITY,CAPGEMINI,,F4973Q101,FR0000125338,4163437,613,613.68269,0.00000,108.692189,EUR,1.000000,,,,,,,
EQUITY,CARREFOUR SA,,F13923119,FR0000120172,5641567,2270,2270.81730,0.00000,19.873420,EUR,1.000000,,,,,,,
EQUITY,CASINO GUICHARD PERRACHON SA,,F14133106,FR0000125585,4178419,210,210.71153,0.00000,45.186001,EUR,1.000000,,,,,,,
EQUITY,CNP ASSURANCES SA,,F1876N318,FR0000120222,5543986,655,655.13461,0.00000,22.621448,EUR,1.000000,,,,,,,
EQUITY,COMPAGNIE DE SAINT GOBAIN SA,,F80343100,FR0000125007,7380482,1909,1909.89423,0.00000,33.807003,EUR,1.000000,,,,,,,
EQUITY,COVIVIO SA,,F3832Y172,FR0000064578,7745638,174,174.25961,0.00000,99.736918,EUR,1.000000,,,,,,,
EQUITY,CREDIT AGRICOLE SA,,F22797108,FR0000045072,7262610,4379,4379.95192,0.00000,11.501891,EUR,1.000000,,,,,,,
EQUITY,DANONE SA,,F12033134,FR0000120644,B1Y9TB3,2360,2360.25000,0.00000,71.323560,EUR,1.000000,,,,,,,
EQUITY,DASSAULT AVIATION SA,,F24539102,FR0000121725,4067164,9,9.54807,0.00000,1458.787545,EUR,1.000000,,,,,,,
EQUITY,DASSAULT SYSTEMES,,F2457H472,FR0000130650,5330047,500,500.54807,0.00000,125.737928,EUR,1.000000,,,,,,,
EQUITY,EDENRED SA,,F3192L109,FR0010908533,B62G1B5,916,916.25961,0.00000,41.044046,EUR,1.000000,,,,,,,
