Fund Level
Fund Name,iShares MSCI Taiwan ETF
Fund Ticker,EWT
Fund ISIN,US46434G7723
Fund Cusip,46434G772
Fund LEI,
Total NAV per share,31.978735,Jan 23 2019
Distribution per Share,,
Fund Size,3328986313.50,Jan 23 2019
Shares Outstanding,104100000,Jan 23 2019
Baskets Outstanding,1041.000000000000,Jan 23 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 24 2019
Settlement Date,
Shares per Basket (PNU),100000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,14743.68,Jan 24 2019
Projected Cash for Deliverable Basket,134046.69,Jan 24 2019
Confirmed Cash for Deliverable Basket,134088.45,Jan 23 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,ACER,,Y0003F171,TW0002353000,6005850,22000,22000.70797,0.00000,0.614986,TWD,1.000000,,,,,,,
EQUITY,ADVANTECH LTD,,Y0017P108,TW0002395001,6202673,2000,2591.36791,0.00000,7.379835,TWD,1.000000,,,,,,,
EQUITY,AIRTAC INTERNATIONAL GROUP,,G01408106,KYG014081064,B52J816,1000,1000.00000,0.00000,11.021201,TWD,1.000000,,,,,,,
EQUITY,ASE INDUSTRIAL HOLDING LTD,,Y0249T100,TW0003711008,BFXZDY1,22000,22000.41498,0.00000,1.887037,TWD,1.000000,,,,,,,
EQUITY,ASIA CEMENT CORP,,Y0275F107,TW0001102002,6056331,16000,16000.13064,0.00000,1.165237,TWD,1.000000,,,,,,,
EQUITY,ASUSTEK COMPUTER INC,,Y04327105,TW0002357001,6051046,4000,4602.16810,0.00000,7.315100,TWD,1.000000,,,,,,,
EQUITY,AU OPTRONICS CORP,,Y0453H107,TW0002409000,6288190,58000,58000.79731,0.00000,0.401359,TWD,1.000000,,,,,,,
EQUITY,CATCHER TECHNOLOGY LTD,,Y1148A101,TW0002474004,6186669,4000,4170.74255,0.00000,7.088526,TWD,1.000000,,,,,,,
EQUITY,CATHAY FINANCIAL HOLDING LTD,,Y11654103,TW0002882008,6425663,49000,49000.46397,0.00000,1.416087,TWD,1.000000,,,,,,,
EQUITY,CHAILEASE HOLDING LTD,,G20288109,KYG202881093,B58J1S8,8000,8162.30067,0.00000,3.560447,TWD,1.000000,,,,,,,
