Fund Level
Fund Name,iShares MSCI Eurozone ETF
Fund Ticker,EZU
Fund ISIN,US4642866085
Fund Cusip,464286608
Fund LEI,
Total NAV per share,36.544510,Jan 23 2019
Distribution per Share,,
Fund Size,6271037916.00,Jan 23 2019
Shares Outstanding,171600000,Jan 23 2019
Baskets Outstanding,1716.000000000000,Jan 23 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 24 2019
Settlement Date,
Shares per Basket (PNU),100000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,-58.86,Jan 24 2019
Projected Cash for Deliverable Basket,42833.17,Jan 24 2019
Confirmed Cash for Deliverable Basket,43677.09,Jan 23 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,1&1 DRILLISCH AG,,D23138106,DE0005545503,5734672,46,46.99417,0.00000,43.991206,EUR,1.000000,,,,,,,
EQUITY,ABN AMRO GROUP NV,,N0162C102,NL0011540547,BYQP136,372,372.98310,0.00000,25.534472,EUR,1.000000,,,,,,,
EQUITY,ACCOR SA,,F00189120,FR0000120404,5852842,166,166.46561,0.00000,44.025343,EUR,1.000000,,,,,,,
EQUITY,ACS ACTIVIDADES DE CONSTRUCCION Y,,E7813W163,ES0167050915,B01FLQ6,222,222.15268,0.00000,40.554749,EUR,1.000000,,,,,,,
EQUITY,ACTIVIDADES DE CONSTRUCCION Y SERV,,,ES06670509E9,BFMXP84,0,0.00000,225.90442,0.523775,EUR,1.000000,,,,,,,
EQUITY,ADIDAS N AG,,D0066B185,DE000A1EWWW0,4031976,166,166.35664,0.00000,235.886629,EUR,1.000000,,,,,,,
EQUITY,AEGON NV,,N00927298,NL0000303709,5927375,1574,1574.62587,0.00000,5.079585,EUR,1.000000,,,,,,,
EQUITY,AENA SME SA,,E526K0106,ES0105046009,BVRZ8L1,59,59.60139,0.00000,169.262595,EUR,1.000000,,,,,,,
EQUITY,AERCAP HOLDINGS NV,,N00985106,NL0000687663,B1HHKD3,111,111.01748,0.00000,45.020000,USD,1.000000,,,,,,,
EQUITY,AEROPORTS DE PARIS SA,,F00882104,FR0010340141,B164FY1,26,26.18240,0.00000,188.891367,EUR,1.000000,,,,,,,
