Fund Level
Fund Name,iShares MSCI Global Energy Producers ETF
Fund Ticker,FILL
Fund ISIN,US4642863439
Fund Cusip,464286343
Fund LEI,
Total NAV per share,19.539342,Jan 23 2019
Distribution per Share,,
Fund Size,46894420.80,Jan 23 2019
Shares Outstanding,2400000,Jan 23 2019
Baskets Outstanding,24.000000000000,Jan 23 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 24 2019
Settlement Date,
Shares per Basket (PNU),100000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,3639.69,Jan 24 2019
Projected Cash for Deliverable Basket,9191.71,Jan 24 2019
Confirmed Cash for Deliverable Basket,9829.92,Jan 23 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,ADARO ENERGY TBK,,Y7087B109,ID1000111305,B3BQFC4,12400,12400.00000,0.00000,0.097320,IDR,1.000000,,,,,,,
EQUITY,ADVANTAGE OIL AND GAS LTD,,00765F101,CA00765F1018,B66PKS8,163,163.00000,0.00000,1.684636,CAD,1.000000,,,,,,,
EQUITY,AKER BP,,R0139K100,NO0010345853,B1L95G3,96,96.00000,0.00000,32.021425,NOK,1.000000,,,,,,,
EQUITY,ANADARKO PETROLEUM CORP,,032511107,US0325111070,2032380,447,447.00000,0.00000,45.880000,USD,1.000000,,,,,,,
EQUITY,ANTERO RESOURCES CORP,,03674X106,US03674X1063,BFD2WR8,182,182.00000,0.00000,10.050000,USD,1.000000,,,,,,,
EQUITY,APACHE CORP,,037411105,US0374111054,2043962,334,334.00000,0.00000,30.970000,USD,1.000000,,,,,,,
EQUITY,ARC RESOURCES LTD,,00208D408,CA00208D4084,B6463M8,304,304.00000,0.00000,7.180294,CAD,1.000000,,,,,,,
EQUITY,ARCH COAL INC CLASS A,,039380407,US0393804077,BYYHNV6,17,17.00000,0.00000,86.470000,USD,1.000000,,,,,,,
EQUITY,ATHABASCA OIL CORP,,04682R107,CA04682R1073,B8DG7Z4,388,388.00000,0.00000,0.718778,CAD,1.000000,,,,,,,
EQUITY,BANGCHAK CORPORATION ORS NON-VOTIN,,Y0586K118,TH0420010R18,6360032,300,300.00000,0.00000,1.047657,THB,1.000000,,,,,,,
EQUITY,BANPU NON-VOTING DR PCL,,Y0697Z160,TH0148010R15,6368348,1800,1800.00000,0.00000,0.519890,THB,1.000000,,,,,,,
EQUITY,BAYTEX ENERGY CORP,,07317Q105,CA07317Q1054,B4VGVM3,498,498.37500,0.00000,1.639712,CAD,1.000000,,,,,,,
EQUITY,BEACH ENERGY LTD,,Q13921103,AU000000BPT9,6088204,1547,1547.00000,0.00000,1.176780,AUD,1.000000,,,,,,,
EQUITY,BERRY PETROLEUM CORP,,08579X101,US08579X1019,BF01Q65,19,19.00000,0.00000,10.310000,USD,1.000000,,,,,,,
EQUITY,BHARAT PETROLEUM LTD,,Y0882Z116,INE029A01011,6099723,661,661.00000,0.00000,5.005957,INR,1.000000,,,,,,,
EQUITY,BIRCHCLIFF ENERGY LTD,,090697103,CA0906971035,B0B55N1,226,226.00000,0.00000,2.418389,CAD,1.000000,,,,,,,
EQUITY,BONANZA CREEK ENERGY INC,,097793400,US0977934001,BYXGJD8,14,14.00000,0.00000,24.260000,USD,1.000000,,,,,,,
EQUITY,BONTERRA ENERGY CORP,,098546104,CA0985461049,B3K3G89,27,27.00000,0.00000,4.267745,CAD,1.000000,,,,,,,
EQUITY,BP PLC,,G12793108,GB0007980591,0798059,17445,17445.00000,0.00000,6.642023,GBP,1.000000,,,,,,,
EQUITY,BUMI RESOURCES,,Y7122M110,ID1000068703,6043485,48400,48400.00000,0.00000,0.012694,IDR,1.000000,,,,,,,
EQUITY,CABOT OIL & GAS CORP,,127097103,US1270971039,2162340,385,385.00000,0.00000,24.960000,USD,1.000000,,,,,,,
EQUITY,CAIRN ENERGY PLC,,G17528269,GB00B74CDH82,B74CDH8,509,509.00000,0.00000,2.400794,GBP,1.000000,,,,,,,
EQUITY,CALIFORNIA RESOURCES CORP,,13057Q206,US13057Q2066,BZBY210,39,39.00000,0.00000,19.560000,USD,1.000000,,,,,,,
EQUITY,CALLON PETROLEUM,,13123X102,US13123X1028,2186072,197,197.00000,0.00000,7.880000,USD,1.000000,,,,,,,
EQUITY,CAMECO CORP,,13321L108,CA13321L1085,2166160,347,347.00000,0.00000,11.492962,CAD,1.000000,,,,,,,
EQUITY,CANACOL ENERGY LTD,,134808203,CA1348082035,B97DSV1,107,107.00000,0.00000,3.309374,CAD,1.000000,,,,,,,
EQUITY,CANADIAN NATURAL RESOURCES LTD,,136385101,CA1363851017,2171573,1064,1064.00000,0.00000,25.643905,CAD,1.000000,,,,,,,
EQUITY,CARDINAL ENERGY LTD,,14150G400,CA14150G4007,BH8B735,160,160.00000,0.00000,1.632225,CAD,1.000000,,,,,,,
EQUITY,CARRIZO OIL AND GAS INC,,144577103,US1445771033,2092801,84,84.00000,0.00000,11.350000,USD,1.000000,,,,,,,
EQUITY,CENOVUS ENERGY INC,,15135U109,CA15135U1093,B57FG04,906,906.00000,0.00000,7.577119,CAD,1.000000,,,,,,,
EQUITY,CENTENNIAL RESOURCE DEVELOPMENT IN,,15136A102,US15136A1025,BYM4Z79,144,144.00000,0.00000,12.940000,USD,1.000000,,,,,,,
EQUITY,CHAPARRAL ENERGY INC CLASS A,,15942R208,US15942R2085,BD0XKX2,45,45.00000,0.00000,7.760000,USD,1.000000,,,,,,,
EQUITY,CHESAPEAKE ENERGY CORP,,165167107,US1651671075,2182779,813,813.00000,0.00000,2.690000,USD,1.000000,,,,,,,
EQUITY,CHEVRON CORP,,166764100,US1667641005,2838555,1677,1677.00000,0.00000,111.390000,USD,1.000000,,,,,,,
EQUITY,CHINA COAL ENERGY LTD H,,Y1434L100,CNE100000528,B1JNK84,1000,1000.00000,0.00000,0.419357,HKD,1.000000,,,,,,,
EQUITY,CHINA SHENHUA ENERGY LTD H,,Y1504C113,CNE1000002R0,B09N7M0,3000,3000.00000,0.00000,2.457507,HKD,1.000000,,,,,,,
EQUITY,CIMAREX ENERGY,,171798101,US1717981013,2987521,83,83.00000,0.00000,72.380000,USD,1.000000,,,,,,,
EQUITY,CNOOC LTD,,Y1662W117,HK0883013259,B00G0S5,16000,16000.00000,0.00000,1.608596,HKD,1.000000,,,,,,,
EQUITY,CNX RESOURCES CORP,,12653C108,US12653C1080,BF3FTF4,152,152.00000,0.00000,12.750000,USD,1.000000,,,,,,,
EQUITY,COAL INDIA LTD,,Y1668L107,INE522F01014,B4Z9XF5,563,563.00000,0.00000,3.161399,INR,1.000000,,,,,,,
EQUITY,CONCHO RESOURCES INC,,20605P101,US20605P1012,B1YWRK7,175,175.00000,0.00000,115.230000,USD,1.000000,,,,,,,
EQUITY,CONOCOPHILLIPS,,20825C104,US20825C1045,2685717,1016,1016.00000,0.00000,65.860000,USD,1.000000,,,,,,,
EQUITY,CONSOL ENERGY INC,,20854L108,US20854L1089,BF4L070,22,22.00000,0.00000,34.830000,USD,1.000000,,,,,,,
EQUITY,CONTINENTAL RESOURCES INC,,212015101,US2120151012,B1XGWS3,82,82.00000,0.00000,45.310000,USD,1.000000,,,,,,,
EQUITY,COOPER ENERGY LTD,,Q2833M102,AU000000COE2,6515616,1482,1482.00000,0.00000,0.317374,AUD,1.000000,,,,,,,
EQUITY,COSMO ENERGY HOLDINGS LTD,,J08906109,JP3298000005,BYSJJ43,0,34.83333,0.00000,21.297943,JPY,1.000000,,,,,,,
EQUITY,CRESCENT POINT ENERGY CORP,,22576C101,CA22576C1014,B67C8W8,471,471.00000,0.00000,3.009883,CAD,1.000000,,,,,,,
EQUITY,CVR ENERGY INC,,12662P108,US12662P1084,B23PS12,28,28.00000,0.00000,38.310000,USD,1.000000,,,,,,,
EQUITY,DELEK US HOLDINGS INC,,24665A103,US24665A1034,BF5P189,68,68.00000,0.00000,31.590000,USD,1.000000,,,,,,,
EQUITY,DELTA DUNIA MAKMUR,,Y2036T103,ID1000110505,6334468,4500,4500.00000,0.00000,0.046544,IDR,1.000000,,,,,,,
EQUITY,DENBURY RESOURCES INC,,247916208,US2479162081,2418474,387,387.00000,0.00000,2.000000,USD,1.000000,,,,,,,
EQUITY,DEVON ENERGY CORP,,25179M103,US25179M1036,2480677,444,444.00000,0.00000,26.320000,USD,1.000000,,,,,,,
EQUITY,DIAMONDBACK ENERGY INC,,25278X109,US25278X1090,B7Y8YR3,137,137.20833,0.00000,101.330000,USD,1.000000,,,,,,,
EQUITY,DNOORD,,R6007G105,NO0003921009,B15GGN4,562,562.00000,0.00000,1.870051,NOK,1.000000,,,,,,,
EQUITY,DOMMO ENERGIA SA,,P3601L103,BRDMMOACNOR0,BYXHG74,900,900.00000,0.00000,0.223705,BRL,1.000000,,,,,,,
EQUITY,ECLIPSE RESOURCES CORP,,27890G100,US27890G1004,BN89V84,121,121.00000,0.00000,1.080000,USD,1.000000,,,,,,,
EQUITY,ECOPETROL SA,,P3661P101,COC04PA00016,B2473N4,4371,4371.00000,0.00000,0.896973,COP,1.000000,,,,,,,
EQUITY,ENCANA,,292505104,CA2925051047,2793193,837,837.00000,0.00000,6.746032,CAD,1.000000,,,,,,,
EQUITY,ENERPLUS CORP,,292766102,CA2927661025,B584T89,210,210.00000,0.00000,8.460617,CAD,1.000000,,,,,,,
EQUITY,ENI,,T3643A145,IT0003132476,7145056,2225,2225.00000,0.00000,16.290174,EUR,1.000000,,,,,,,
EQUITY,ENQUEST PLC,,G3159S104,GB00B635TG28,B635TG2,1792,1792.00000,0.00000,0.238773,GBP,1.000000,,,,,,,
EQUITY,EOG RESOURCES INC,,26875P101,US26875P1012,2318024,507,507.00000,0.00000,96.570000,USD,1.000000,,,,,,,
EQUITY,EQT CORP,,26884L109,US26884L1098,2319414,230,230.00000,0.00000,19.050000,USD,1.000000,,,,,,,
EQUITY,EQUINOR,,R2R90P103,NO0010096985,7133608,1033,1033.00000,0.00000,21.931765,NOK,1.000000,,,,,,,
EQUITY,ESSO (THAILAND) NON-VOTING DR PCL,,Y23188116,TH0975010R11,B2R3W54,800,800.00000,0.00000,0.346593,THB,1.000000,,,,,,,
EQUITY,ESSO SOCIETE ANONYME FRANCAISE SA,,F31710100,FR0000120669,4320986,3,3.00000,0.00000,37.721378,EUR,1.000000,,,,,,,
EQUITY,EXTRACTION OIL GAS INC,,30227M105,US30227M1053,BZ0CD34,77,77.00000,0.00000,4.380000,USD,1.000000,,,,,,,
EQUITY,EXXARO RESOURCES LTD,,S26949107,ZAE000084992,6418801,219,219.00000,0.00000,10.530538,ZAR,1.000000,,,,,,,
EQUITY,EXXON MOBIL CORP,,30231G102,US30231G1022,2326618,3708,3708.00000,0.00000,71.300000,USD,1.000000,,,,,,,
EQUITY,FAROE PETROLEUM PLC,,G33303101,GB0033032904,3303290,0,277.00000,0.00000,2.089919,GBP,1.000000,,,,,,,
EQUITY,FREEHOLD ROYALTIES LTD,,356500108,CA3565001086,B3SJKB0,86,86.00000,0.00000,6.461515,CAD,1.000000,,,,,,,
EQUITY,GALP ENERGIA SGPS SA,,X3078L108,PTGAL0AM0009,B1FW751,437,437.00000,0.00000,15.816807,EUR,1.000000,,,,,,,
EQUITY,GRAN TIERRA ENERGY INC,,38500T101,US38500T1016,B09R9V5,323,323.00000,0.00000,2.320000,USD,1.000000,,,,,,,
EQUITY,GRUPA LOTOS SA,,X32440103,PLLOTOS00025,B0B8Z41,79,79.00000,0.00000,25.591386,PLN,1.000000,,,,,,,
EQUITY,GUJARAT MINERAL DEVELOPMENT CORPOR,,Y2946M131,INE131A01031,6101639,82,82.00000,0.00000,1.183685,INR,1.000000,,,,,,,
EQUITY,GULF KEYSTONE PETROLEUM LTD,,G4209G207,BMG4209G2077,BYVGFL0,201,201.00000,0.00000,2.834452,GBP,1.000000,,,,,,,
EQUITY,GULFPORT ENERGY CORP,,402635304,US4026353049,2398684,137,137.00000,0.00000,8.620000,USD,1.000000,,,,,,,
EQUITY,HALCON RESOURCES CORP,,40537Q605,US40537Q6052,BYVBXW2,103,103.00000,0.00000,1.690000,USD,1.000000,,,,,,,
EQUITY,HENGYUAN REFINING COMPANY,,Y77403106,MYL4324OO009,6803504,100,100.00000,0.00000,1.179456,MYR,1.000000,,,,,,,
EQUITY,HESS CORP,,42809H107,US42809H1077,2023748,237,237.00000,0.00000,51.050000,USD,1.000000,,,,,,,
EQUITY,HIBISCUS PETROLEUM,,Y3184C108,MYL5199OO004,B5VN637,900,900.00000,0.00000,0.235650,MYR,1.000000,,,,,,,
EQUITY,HIGHPOINT RESOURCES CORP,,43114K108,US43114K1088,BDF0CY3,107,107.00000,0.00000,2.770000,USD,1.000000,,,,,,,
EQUITY,HINDUSTAN PETROLEUM CORP LTD,,Y3224R123,INE094A01015,6100476,541,541.00000,0.00000,3.389866,INR,1.000000,,,,,,,
EQUITY,HOLLYFRONTIER CORP,,436106108,US4361061082,B5VX1H6,147,147.00000,0.00000,54.210000,USD,1.000000,,,,,,,
EQUITY,HURRICANE ENERGY PLC,,G4708G120,GB00B580MF54,B580MF5,1187,1187.00000,0.00000,0.596149,GBP,1.000000,,,,,,,
EQUITY,HUSKY ENERGY INC,,448055103,CA4480551031,2623836,313,313.00000,0.00000,11.889787,CAD,1.000000,,,,,,,
EQUITY,IDEMITSU KOSAN LTD,,J2388K103,JP3142500002,B1FF8P7,100,100.00000,0.00000,34.523647,JPY,1.000000,,,,,,,
EQUITY,IMPERIAL OIL LTD,,453038408,CA4530384086,2454241,246,246.00000,0.00000,27.336029,CAD,1.000000,,,,,,,
EQUITY,INDIAN OIL CORP LTD,,Y3925Y112,INE242A01010,6253767,1258,1258.00000,0.00000,1.907632,INR,1.000000,,,,,,,
EQUITY,INNER MONGOLIA YITAI COAL LTD B,,Y40848106,CNE000000SK7,6019011,800,800.00000,0.00000,1.197000,USD,1.000000,,,,,,,
EQUITY,INPEX CORP,,J2467E101,JP3294460005,B10RB15,900,900.00000,0.00000,9.212387,JPY,1.000000,,,,,,,
EQUITY,IRPC NON-VOTING DR PCL,,Y4177E127,TH0471010R11,6366171,9100,9100.00000,0.00000,0.189051,THB,1.000000,,,,,,,
EQUITY,JAGGED PEAK ENERGY INC,,47009K107,US47009K1079,BDRW1M8,48,48.00000,0.00000,10.200000,USD,1.000000,,,,,,,
EQUITY,JAPAN PETROLEUM EXPLORATION LTD,,J2740Q103,JP3421100003,6711696,0,4.16666,0.00000,18.899074,JPY,1.000000,,,,,,,
EQUITY,JOEL JERUSALEM OIL EXPLORATION LTD,,M6189Z108,IL0005830133,6477073,8,8.00000,0.00000,60.276882,ILS,1.000000,,,,,,,
EQUITY,JXTG HOLDINGS INC,,J29699105,JP3386450005,B627LW9,2900,2900.00000,0.00000,5.174442,JPY,1.000000,,,,,,,
EQUITY,KELT EXPLORATION LTD,,488295106,CA4882951060,B9KF5Q8,126,126.29166,0.00000,3.466607,CAD,1.000000,,,,,,,
EQUITY,KOSMOS ENERGY LTD,,500688106,US5006881065,BHK15K6,227,227.00000,0.00000,4.760000,USD,1.000000,,,,,,,
EQUITY,LAREDO PETROLEUM INC,,516806106,US5168061068,B7DX5X2,138,138.00000,0.00000,3.530000,USD,1.000000,,,,,,,
EQUITY,LUBELSKI WEGIEL BOGDANKA SA,,,PLLWBGD00016,B543NN3,7,7.33333,0.00000,14.479686,PLN,1.000000,,,,,,,
EQUITY,LUNDIN PETROLEUM,,W64566107,SE0000825820,7187627,163,163.00000,0.00000,28.893755,SEK,1.000000,,,,,,,
EQUITY,MARATHON OIL CORP,,565849106,US5658491064,2910970,745,745.00000,0.00000,15.560000,USD,1.000000,,,,,,,
EQUITY,MARATHON PETROLEUM CORP,,56585A102,US56585A1025,B3K3L40,603,603.00000,0.00000,64.850000,USD,1.000000,,,,,,,
EQUITY,MATADOR RESOURCES,,576485205,US5764852050,B7MSLL8,91,91.00000,0.00000,18.520000,USD,1.000000,,,,,,,
EQUITY,MAUREL ET PROM SA,,F60858101,FR0000051070,B05DY78,39,39.00000,0.00000,3.931444,EUR,1.000000,,,,,,,
EQUITY,MEDCO ENERGI INTERNASIONAL,,Y7129J136,ID1000053705,6254511,7400,7444.41666,0.00000,0.058181,IDR,1.000000,,,,,,,
EQUITY,MEG ENERGY CORP,,552704108,CA5527041084,B4XF9J1,211,211.00000,0.00000,3.915843,CAD,1.000000,,,,,,,
