Fund Level
Fund Name,iShares MSCI Frontier 100 ETF
Fund Ticker,FM
Fund ISIN,US4642861458
Fund Cusip,464286145
Fund LEI,
Total NAV per share,27.635998,Jan 23 2019
Distribution per Share,,
Fund Size,483629965.00,Jan 23 2019
Shares Outstanding,17500000,Jan 23 2019
Baskets Outstanding,350.000000000000,Jan 23 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 24 2019
Settlement Date,
Shares per Basket (PNU),50000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,1815.57,Jan 24 2019
Projected Cash for Deliverable Basket,333211.27,Jan 24 2019
Confirmed Cash for Deliverable Basket,333241.02,Jan 23 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,ACCESS BANK OF NIGERIA,,V0014P104,NGACCESS0005,6222808,210343,210343.28857,0.00000,0.015608,NGN,1.000000,,,,,,,
EQUITY,ACME LABORATORIES LTD,,Y000MV100,BD0491ACME00,BYQJSG0,0,2402.53142,0.00000,1.082787,BDT,1.000000,,,,,,,
EQUITY,ADECOAGRO SA,,L00849106,LU0584671464,B65BNQ6,1083,1083.08000,0.00000,7.390000,USD,1.000000,,,,,,,
EQUITY,AFRILAND PROPERTIES PLC,,,,B849R30,0,22.91428,0.00000,0.005500,NGN,1.000000,,,,,,,
EQUITY,AHLI UNITED BANK,,M0403T105,BH0005508765,B17M2Q5,67953,67953.23714,0.00000,0.748187,KWD,1.000000,,,,,,,
EQUITY,ALIMTIAZ INVESTMENT,,M0835J105,KW0EQ0202832,B50N7B3,8926,8926.72000,0.00000,0.438365,KWD,1.000000,,,,,,,
EQUITY,ALUMINUM BAHRAIN,,M0868P101,BH0006000044,B4MWYQ5,0,2173.75428,0.00000,1.551724,BHD,1.000000,,,,,,,
EQUITY,ARAB BANK PLC,,M12702102,JO1302311013,B074509,1296,1298.93142,0.00000,8.709132,JOD,1.000000,,,,,,,
EQUITY,ARCOS DORADOS HOLDINGS INC CLASS A,,G0457F107,VGG0457F1071,B529PQ0,1337,1337.52285,0.00000,8.350000,USD,1.000000,,,,,,,
EQUITY,ATTIJARIWAFA BANK SA,,V0378K147,MA0000011926,6088334,628,628.09142,0.00000,47.071130,MAD,1.000000,,,,,,,
EQUITY,BANCA TRANSILVAN SA,,X0308Q105,ROTLVAACNOR1,5393307,56104,56104.67714,0.00000,0.418758,RON,1.000000,,,,,,,
EQUITY,BANCO MACRO ADR REPRESENTING TEN S,,05961W105,US05961W1053,B0Y62M9,499,499.80285,0.00000,54.970000,USD,1.000000,,,,,,,
EQUITY,BANK FOR INVESTMENT AND DEVELOPMEN,,Y444EY103,VN000000BID9,BJ4WY68,0,2220.37142,0.00000,1.409604,VND,1.000000,,,,,,,
EQUITY,BANK MUSCAT,,M1681X107,OM0000002796,B11WYH6,14039,14039.00571,0.00000,1.054545,OMR,1.000000,,,,,,,
EQUITY,BANK NIZWA,,M1682G103,OM0000004420,B81ZHC0,10761,10761.40857,0.00000,0.228571,OMR,1.000000,,,,,,,
EQUITY,BANK OF JORDAN PLC,,M1670P107,JO1102211017,6079758,894,894.84571,0.00000,3.410372,JOD,1.000000,,,,,,,
EQUITY,BANK OF KENYA LTD,,V2485J104,KE1000001568,B3FLD54,33400,33415.02857,0.00000,0.147552,KES,1.000000,,,,,,,
EQUITY,BANK SOHAR,,M1837R103,OM0000003398,B1TRHD0,6002,6002.90000,0.00000,0.303896,OMR,1.000000,,,,,,,
EQUITY,BANQUE CENTRALE POPULAIRE SA,,V0985N104,MA0000011884,B01J1K2,372,372.04857,0.00000,28.640167,MAD,1.000000,,,,,,,
EQUITY,BAOVIET HOLDINGS,,,VN000000BVH3,B61NT57,0,305.48571,0.00000,3.892577,VND,1.000000,,,,,,,
EQUITY,BBVA BANCO FRANCES ADR REPTG  SA,,07329M100,US07329M1009,2072029,770,770.32857,0.00000,12.550000,USD,1.000000,,,,,,,
EQUITY,BEXIMCO LTD,,Y0881C100,BD0613BXLTD6,6097987,0,12248.84571,0.00000,0.304943,BDT,1.000000,,,,,,,
EQUITY,BEXIMCO PHARMACEUTICALS LTD,,Y08752118,BD0453BXPH04,6090276,0,5968.73714,0.00000,1.037522,BDT,1.000000,,,,,,,
EQUITY,BOUBYAN BANK,,M2035S117,KW0EQ0102065,B15DYL9,8058,8058.72571,0.00000,1.901780,KWD,1.000000,,,,,,,
EQUITY,BOUBYAN PETROCHM,,M2033T109,KW0EQ0500979,6000208,3649,3649.27428,0.00000,3.032301,KWD,1.000000,,,,,,,
EQUITY,BRAC BANK LTD,,Y0969T108,BD0138BRACB9,B1QS725,0,10092.34285,0.00000,0.989875,BDT,1.000000,,,,,,,
EQUITY,BRD - GROUPE SG SA,,X0300N100,ROBRDBACNOR2,B07GYB9,3172,3172.55142,0.00000,2.543143,RON,1.000000,,,,,,,
EQUITY,BURGAN BANK,,M20497109,KW0EQ0100077,6155818,7501,7501.49714,0.00000,0.965722,KWD,1.000000,,,,,,,
EQUITY,CENTRAL PUERTO ADR REPRESENTING  S,,155038201,US1550382014,BDVP1Y5,811,811.03428,0.00000,9.950000,USD,1.000000,,,,,,,
EQUITY,COMPAGNIE SUCRERIE MAROCAINE ET DE,,V2507Z151,MA0000012247,BV8Q556,451,451.16000,0.00000,17.479079,MAD,1.000000,,,,,,,
EQUITY,CORPORACION AMERICA AIRPORTS SA,,L1995B107,LU1756447840,BD45SN0,354,354.66857,0.00000,6.300000,USD,1.000000,,,,,,,
EQUITY,CRESUD ADR REPTG,,226406106,US2264061068,2226893,372,372.10857,0.00000,12.900000,USD,1.000000,,,,,,,
EQUITY,DANGOTE CEMENT PLC,,V27546106,NGDANGCEM008,B4TFNR1,24129,24129.15714,0.00000,0.524862,NGN,1.000000,,,,,,,
