Fund Level
Fund Name,iShares U.S. Insurance ETF
Fund Ticker,IAK
Fund ISIN,US4642887867
Fund Cusip,464288786
Fund LEI,
Total NAV per share,61.313298,Jan 23 2019
Distribution per Share,,
Fund Size,101166941.70,Jan 23 2019
Shares Outstanding,1650000,Jan 23 2019
Baskets Outstanding,33.000000000000,Jan 23 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 24 2019
Settlement Date,
Shares per Basket (PNU),50000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,-13505.42,Jan 24 2019
Projected Cash for Deliverable Basket,268420.74,Jan 24 2019
Confirmed Cash for Deliverable Basket,268581.99,Jan 23 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,AFLAC INC,,001055102,US0010551028,2026361,3782,3781.69697,0.00000,47.640000,USD,1.000000,,,,,,,
EQUITY,ALLEGHANY  CORP,,017175100,US0171751003,2016801,85,85.00000,0.00000,618.990000,USD,1.000000,,,,,,,
EQUITY,ALLSTATE CORP,,020002101,US0200021014,2019952,1738,1738.03030,0.00000,85.890000,USD,1.000000,,,,,,,
EQUITY,AMBAC FINANCIAL GROUP INC,,023139884,US0231398845,B7ZKH46,342,342.12121,0.00000,18.200000,USD,1.000000,,,,,,,
EQUITY,AMERICAN EQUITY INVESTMENT LIFE HO,,025676206,US0256762065,2191300,0,626.60606,0.00000,30.360000,USD,1.000000,,,,,,,
EQUITY,AMERICAN FINANCIAL GROUP INC,,025932104,US0259321042,2134532,0,442.57576,0.00000,95.690000,USD,1.000000,,,,,,,
EQUITY,AMERICAN INTERNATIONAL GROUP INC,,026874784,US0268747849,2027342,4381,4381.06061,0.00000,42.820000,USD,1.000000,,,,,,,
EQUITY,AMERICAN NATIONAL INSURANCE,,028591105,US0285911055,2028420,62,62.33333,0.00000,134.270000,USD,1.000000,,,,,,,
EQUITY,AMERISAFE INC,,03071H100,US03071H1005,B0PPHS6,0,145.33333,0.00000,56.590000,USD,1.000000,,,,,,,
EQUITY,ARCH CAPITAL GROUP LTD,,G0450A105,BMG0450A1053,2740542,2270,2269.66667,0.00000,28.570000,USD,1.000000,,,,,,,
EQUITY,ARGO GROUP INTERNATIONAL HOLDINGS,,G0464B107,BMG0464B1072,2499543,225,225.24242,0.00000,64.300000,USD,1.000000,,,,,,,
EQUITY,ARTHUR J GALLAGHER,,363576109,US3635761097,2359506,1004,1003.63636,0.00000,73.700000,USD,1.000000,,,,,,,
EQUITY,ASSURANT INC,,04621X108,US04621X1081,2331430,320,320.45455,0.00000,95.580000,USD,1.000000,,,,,,,
EQUITY,ASSURED GUARANTY LTD,,G0585R106,BMG0585R1060,B00V7H8,659,658.84848,0.00000,39.890000,USD,1.000000,,,,,,,
EQUITY,ATHENE HOLDING LTD CLASS A,,G0684D107,BMG0684D1074,BZ13MZ1,773,773.09091,0.00000,42.530000,USD,1.000000,,,,,,,
EQUITY,AXIS CAPITAL HOLDINGS LTD,,G0692U109,BMG0692U1099,2677606,517,516.51515,0.00000,55.020000,USD,1.000000,,,,,,,
EQUITY,BRIGHTHOUSE FINANCIAL INC,,10922N103,US10922N1037,BF429K9,744,743.63636,0.00000,35.580000,USD,1.000000,,,,,,,
EQUITY,BROWN & BROWN INC,,115236101,US1152361010,2692687,1397,1397.03030,0.00000,28.430000,USD,1.000000,,,,,,,
EQUITY,CHUBB LTD,,H1467J104,CH0044328745,B3BQMF6,2143,2143.12121,0.00000,132.060000,USD,1.000000,,,,,,,
EQUITY,CINCINNATI FINANCIAL CORP,,172062101,US1720621010,2196888,840,840.12121,0.00000,79.660000,USD,1.000000,,,,,,,
EQUITY,CNA FINANCIAL CORP,,126117100,US1261171003,2204866,194,194.30303,0.00000,45.430000,USD,1.000000,,,,,,,
EQUITY,CNO FINANCIAL GROUP INC,,12621E103,US12621E1038,2657750,1079,1078.63636,0.00000,17.520000,USD,1.000000,,,,,,,
EQUITY,EHEALTH INC,,28238P109,US28238P1093,B1G0F83,126,125.72727,0.00000,51.320000,USD,1.000000,,,,,,,
EQUITY,EMPLOYERS HOLDINGS INC,,292218104,US2922181043,B1Q1RR9,0,243.12121,0.00000,43.660000,USD,1.000000,,,,,,,
EQUITY,ERIE INDEMNITY CLASS A,,29530P102,US29530P1021,2311711,130,130.42424,0.00000,141.850000,USD,1.000000,,,,,,,
