Fund Level
Fund Name,iShares Evolved U.S. Innovative Healthcare ETF
Fund Ticker,IEIH
Fund ISIN,US46431W6223
Fund Cusip,46431W622
Fund LEI,
Total NAV per share,25.178270,Jan 23 2019
Distribution per Share,,
Fund Size,5035654.00,Jan 23 2019
Shares Outstanding,200000,Jan 23 2019
Baskets Outstanding,4.000000000000,Jan 23 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 24 2019
Settlement Date,
Shares per Basket (PNU),50000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,10801.25,Jan 24 2019
Projected Cash for Deliverable Basket,10582.12,Jan 24 2019
Confirmed Cash for Deliverable Basket,10587.48,Jan 23 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,ABBOTT LABORATORIES,,002824100,US0028241000,2002305,428,427.75000,0.00000,69.910000,USD,1.000000,,,,,,,
EQUITY,ABBVIE INC,,00287Y109,US00287Y1091,B92SR70,658,657.50000,0.00000,88.450000,USD,1.000000,,,,,,,
EQUITY,ABEONA THERAPEUTICS INC,,00289Y107,US00289Y1073,BYNS0T7,34,34.00000,0.00000,6.750000,USD,1.000000,,,,,,,
EQUITY,ABIOMED INC,,003654100,US0036541003,2003698,11,11.25000,0.00000,336.980000,USD,1.000000,,,,,,,
EQUITY,ACADIA PHARMACEUTICALS INC,,004225108,US0042251084,2713317,103,103.00000,0.00000,20.810000,USD,1.000000,,,,,,,
EQUITY,ACCELERON PHARMA INC,,00434H108,US00434H1086,BDGTXQ8,47,47.00000,0.00000,41.150000,USD,1.000000,,,,,,,
EQUITY,ACHAOGEN INC,,004449104,US0044491043,BK35H22,38,38.00000,0.00000,1.230000,USD,1.000000,,,,,,,
EQUITY,ACHILLION PHARMACEUTICALS INC,,00448Q201,US00448Q2012,B17T9T8,156,156.00000,0.00000,2.180000,USD,1.000000,,,,,,,
EQUITY,ACLARIS THERAPEUTICS INC,,00461U105,US00461U1051,BYV2W40,34,34.00000,0.00000,6.060000,USD,1.000000,,,,,,,
EQUITY,ACORDA THERAPEUTICS INC,,00484M106,US00484M1062,2925844,51,51.00000,0.00000,16.010000,USD,1.000000,,,,,,,
EQUITY,ADAMAS PHARMACEUTICALS INC,,00548A106,US00548A1060,BL25XY4,23,23.00000,0.00000,8.610000,USD,1.000000,,,,,,,
EQUITY,ADURO BIOTECH INC,,00739L101,US00739L1017,BWTVW89,46,46.00000,0.00000,2.580000,USD,1.000000,,,,,,,
EQUITY,AERIE PHARMACEUTICALS INC,,00771V108,US00771V1089,BFRTDG1,45,45.00000,0.00000,43.640000,USD,1.000000,,,,,,,
EQUITY,AGENUS INC,,00847G705,US00847G7051,B58J3K4,87,87.00000,0.00000,3.540000,USD,1.000000,,,,,,,
EQUITY,AGIOS PHARMACEUTICALS INC,,00847X104,US00847X1046,BCBVTX1,57,57.00000,0.00000,52.030000,USD,1.000000,,,,,,,
