Fund Level
Fund Name,iShares Core MSCI Emerging Markets ETF
Fund Ticker,IEMG
Fund ISIN,US46434G1031
Fund Cusip,46434G103
Fund LEI,
Total NAV per share,49.336114,Jan 23 2019
Distribution per Share,,
Fund Size,54348663182.40,Jan 23 2019
Shares Outstanding,1101600000,Jan 23 2019
Baskets Outstanding,1836.000000000000,Jan 23 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 24 2019
Settlement Date,
Shares per Basket (PNU),600000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,42529.25,Jan 24 2019
Projected Cash for Deliverable Basket,1303862.11,Jan 24 2019
Confirmed Cash for Deliverable Basket,1225197.77,Jan 23 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,21VIANET GROUP ADR REPRESENTING SI,,90138A103,US90138A1034,B3Q0VS9,376,376.59531,0.00000,8.830000,USD,1.000000,,,,,,,
EQUITY,361 DEGREES INTERNATIONAL LTD,,G88493104,KYG884931042,B51BL70,6000,6125.27233,0.00000,0.205217,HKD,1.000000,,,,,,,
EQUITY,3SBIO INC,,G8875G102,KYG8875G1029,BY9D3L9,7000,7220.31590,0.00000,1.473484,HKD,1.000000,,,,,,,
EQUITY,500.COM ADR REPRESENTING  LTD CLAS,,33829R100,US33829R1005,BGK07D3,0,5.11982,0.00000,13.310000,USD,1.000000,,,,,,,
EQUITY,51JOB ADR REPRESENTING INC,,316827104,US3168271043,B02TT74,139,139.13616,0.00000,66.400000,USD,1.000000,,,,,,,
EQUITY,58.COM ADR REPRESENTING  INC CLASS,,31680Q104,US31680Q1040,BG3GS91,493,493.04575,0.00000,60.480000,USD,1.000000,,,,,,,
EQUITY,AAC TECHNOLOGIES HOLDINGS INC,,G2953R114,KYG2953R1149,B85LKS1,3500,3825.70806,0.00000,5.748628,HKD,1.000000,,,,,,,
EQUITY,AARTI INDUSTRIES LTD,,Y0000F133,INE769A01020,B0VX289,0,0.23910,0.00000,21.537599,INR,1.000000,,,,,,,
EQUITY,ABOITIZ EQUITY VENTURES PHP1 INC,,Y0001Z104,PHY0001Z1040,6068411,10970,10975.50653,0.00000,1.232286,PHP,1.000000,,,,,,,
EQUITY,ABOITIZ POWER CORP,,Y0005M109,PHY0005M1090,B1Z9Q99,7400,7402.28758,0.00000,0.701455,PHP,1.000000,,,,,,,
EQUITY,ABSA GROUP LTD,,S0270C106,ZAE000255915,BFX05H3,3616,3616.02233,0.00000,12.607879,ZAR,1.000000,,,,,,,
EQUITY,ABU DHABI COMMERCIAL BANK,,M0152Q104,AEA000201011,6545464,11881,11881.09204,0.00000,2.365849,AED,1.000000,,,,,,,
