Fund Level
Fund Name,iShares U.S. Oil & Gas Exploration & Production ETF
Fund Ticker,IEO
Fund ISIN,US4642888519
Fund Cusip,464288851
Fund LEI,
Total NAV per share,56.748670,Jan 23 2019
Distribution per Share,,
Fund Size,346166887.00,Jan 23 2019
Shares Outstanding,6100000,Jan 23 2019
Baskets Outstanding,122.000000000000,Jan 23 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 24 2019
Settlement Date,
Shares per Basket (PNU),50000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,1524.43,Jan 24 2019
Projected Cash for Deliverable Basket,1450.03,Jan 24 2019
Confirmed Cash for Deliverable Basket,1479.87,Jan 23 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,ANADARKO PETROLEUM CORP,,032511107,US0325111070,2032380,2698,2698.08197,0.00000,45.880000,USD,1.000000,,,,,,,
EQUITY,ANTERO RESOURCES CORP,,03674X106,US03674X1063,BFD2WR8,1301,1300.91803,0.00000,10.050000,USD,1.000000,,,,,,,
EQUITY,APACHE CORP,,037411105,US0374111054,2043962,2097,2096.84426,0.00000,30.970000,USD,1.000000,,,,,,,
EQUITY,BONANZA CREEK ENERGY INC,,097793400,US0977934001,BYXGJD8,117,117.27869,0.00000,24.260000,USD,1.000000,,,,,,,
EQUITY,CABOT OIL & GAS CORP,,127097103,US1270971039,2162340,2393,2392.74590,0.00000,24.960000,USD,1.000000,,,,,,,
EQUITY,CALIFORNIA RESOURCES CORP,,13057Q206,US13057Q2066,BZBY210,296,295.90984,0.00000,19.560000,USD,1.000000,,,,,,,
EQUITY,CALLON PETROLEUM,,13123X102,US13123X1028,2186072,1357,1357.33607,0.00000,7.880000,USD,1.000000,,,,,,,
EQUITY,CARRIZO OIL AND GAS INC,,144577103,US1445771033,2092801,516,515.76230,0.00000,11.350000,USD,1.000000,,,,,,,
EQUITY,CENTENNIAL RESOURCE DEVELOPMENT IN,,15136A102,US15136A1025,BYM4Z79,1116,1116.40164,0.00000,12.940000,USD,1.000000,,,,,,,
EQUITY,CHENIERE ENERGY INC,,16411R208,US16411R2085,2654364,1214,1213.69672,0.00000,62.730000,USD,1.000000,,,,,,,
EQUITY,CHESAPEAKE ENERGY CORP,,165167107,US1651671075,2182779,5386,5386.34426,0.00000,2.690000,USD,1.000000,,,,,,,
EQUITY,CIMAREX ENERGY,,171798101,US1717981013,2987521,540,539.68852,0.00000,72.380000,USD,1.000000,,,,,,,
EQUITY,CNX RESOURCES CORP,,12653C108,US12653C1080,BF3FTF4,1195,1194.63115,0.00000,12.750000,USD,1.000000,,,,,,,
EQUITY,CONCHO RESOURCES INC,,20605P101,US20605P1012,B1YWRK7,1075,1074.82787,0.00000,115.230000,USD,1.000000,,,,,,,
EQUITY,CONOCOPHILLIPS,,20825C104,US20825C1045,2685717,5908,5908.08197,0.00000,65.860000,USD,1.000000,,,,,,,
EQUITY,CONTINENTAL RESOURCES INC,,212015101,US2120151012,B1XGWS3,499,498.82787,0.00000,45.310000,USD,1.000000,,,,,,,
EQUITY,CVR ENERGY INC,,12662P108,US12662P1084,B23PS12,177,177.26230,0.00000,38.310000,USD,1.000000,,,,,,,
EQUITY,DELEK US HOLDINGS INC,,24665A103,US24665A1034,BF5P189,440,440.07377,0.00000,31.590000,USD,1.000000,,,,,,,
EQUITY,DENBURY RESOURCES INC,,247916208,US2479162081,2418474,2809,2809.31148,0.00000,2.000000,USD,1.000000,,,,,,,
EQUITY,DEVON ENERGY CORP,,25179M103,US25179M1036,2480677,2579,2579.27049,0.00000,26.320000,USD,1.000000,,,,,,,
EQUITY,DIAMONDBACK ENERGY INC,,25278X109,US25278X1090,B7Y8YR3,844,843.81148,0.00000,101.330000,USD,1.000000,,,,,,,
EQUITY,EOG RESOURCES INC,,26875P101,US26875P1012,2318024,3002,3002.39344,0.00000,96.570000,USD,1.000000,,,,,,,
EQUITY,EQT CORP,,26884L109,US26884L1098,2319414,1454,1454.19672,0.00000,19.050000,USD,1.000000,,,,,,,
EQUITY,EXTRACTION OIL GAS INC,,30227M105,US30227M1053,BZ0CD34,723,723.00820,0.00000,4.380000,USD,1.000000,,,,,,,
EQUITY,GULFPORT ENERGY CORP,,402635304,US4026353049,2398684,947,946.81148,0.00000,8.620000,USD,1.000000,,,,,,,
EQUITY,HALCON RESOURCES CORP,,40537Q605,US40537Q6052,BYVBXW2,934,934.41803,0.00000,1.690000,USD,1.000000,,,,,,,
EQUITY,HESS CORP,,42809H107,US42809H1077,2023748,1370,1370.31967,0.00000,51.050000,USD,1.000000,,,,,,,
EQUITY,HIGHPOINT RESOURCES CORP,,43114K108,US43114K1088,BDF0CY3,702,701.77049,0.00000,2.770000,USD,1.000000,,,,,,,
EQUITY,HOLLYFRONTIER CORP,,436106108,US4361061082,B5VX1H6,890,890.18852,0.00000,54.210000,USD,1.000000,,,,,,,
EQUITY,JAGGED PEAK ENERGY INC,,47009K107,US47009K1079,BDRW1M8,384,384.20492,0.00000,10.200000,USD,1.000000,,,,,,,
EQUITY,KOSMOS ENERGY LTD,,500688106,US5006881065,BHK15K6,1415,1414.71311,0.00000,4.760000,USD,1.000000,,,,,,,
EQUITY,LAREDO PETROLEUM INC,,516806106,US5168061068,B7DX5X2,944,943.63934,0.00000,3.530000,USD,1.000000,,,,,,,
EQUITY,MAGNOLIA OIL GAS CORP CLASS A,,559663109,US5596631094,BF2GC59,525,525.43443,0.00000,11.960000,USD,1.000000,,,,,,,
EQUITY,MARATHON OIL CORP,,565849106,US5658491064,2910970,4574,4574.04918,0.00000,15.560000,USD,1.000000,,,,,,,
EQUITY,MARATHON PETROLEUM CORP,,56585A102,US56585A1025,B3K3L40,3633,3633.44262,0.00000,64.850000,USD,1.000000,,,,,,,
EQUITY,MATADOR RESOURCES,,576485205,US5764852050,B7MSLL8,615,614.56557,0.00000,18.520000,USD,1.000000,,,,,,,
EQUITY,MURPHY OIL CORP,,626717102,US6267171022,2611206,934,933.55738,0.00000,26.820000,USD,1.000000,,,,,,,
EQUITY,NEWFIELD EXPLORATION,,651290108,US6512901082,2635079,1167,1166.63115,0.00000,17.850000,USD,1.000000,,,,,,,
EQUITY,NOBLE ENERGY INC,,655044105,US6550441058,2640761,2659,2659.49180,0.00000,21.570000,USD,1.000000,,,,,,,
EQUITY,NORTHERN OIL AND GAS INC,,665531109,US6655311099,B0WRP81,1374,1373.67213,0.00000,2.630000,USD,1.000000,,,,,,,
EQUITY,OASIS PETROLEUM INC,,674215108,US6742151086,B64R5J2,1598,1597.57377,0.00000,6.060000,USD,1.000000,,,,,,,
EQUITY,PAR PACIFIC HOLDINGS INC,,69888T207,US69888T2078,BJH08C3,176,176.18033,0.00000,15.750000,USD,1.000000,,,,,,,
EQUITY,PARSLEY ENERGY INC CLASS A,,701877102,US7018771029,BMMV736,1512,1511.67213,0.00000,18.160000,USD,1.000000,,,,,,,
EQUITY,PBF ENERGY INC CLASS A,,69318G106,US69318G1067,B7F4TJ7,692,691.92623,0.00000,35.320000,USD,1.000000,,,,,,,
EQUITY,PDC ENERGY INC,,69327R101,US69327R1014,B89M5F2,390,390.47541,0.00000,33.800000,USD,1.000000,,,,,,,
EQUITY,PENN VA CORP,,70788V102,US70788V1026,BZCD9S2,83,82.56557,0.00000,52.760000,USD,1.000000,,,,,,,
EQUITY,PHILLIPS,,718546104,US7185461040,B78C4Y8,2238,2237.63934,0.00000,92.630000,USD,1.000000,,,,,,,
EQUITY,PIONEER NATURAL RESOURCE,,723787107,US7237871071,2690830,916,915.76230,0.00000,137.420000,USD,1.000000,,,,,,,
EQUITY,QEP RESOURCES INC,,74733V100,US74733V1008,B60X657,1413,1412.58197,0.00000,8.340000,USD,1.000000,,,,,,,
EQUITY,RANGE RESOURCES CORP,,75281A109,US75281A1097,2523334,1214,1213.95082,0.00000,10.590000,USD,1.000000,,,,,,,
EQUITY,RESOLUTE ENERGY CORP,,76116A306,US76116A3068,BD047X4,125,125.01639,0.00000,32.150000,USD,1.000000,,,,,,,
EQUITY,RING ENERGY INC,,76680V108,US76680V1089,B1TGYD6,360,359.76230,0.00000,5.390000,USD,1.000000,,,,,,,
EQUITY,SANDRIDGE ENERGY INC,,80007P869,US80007P8692,BD1XH30,191,191.07377,0.00000,7.870000,USD,1.000000,,,,,,,
EQUITY,SM ENERGY,,78454L100,US78454L1008,2764188,613,612.64754,0.00000,19.190000,USD,1.000000,,,,,,,
EQUITY,SOUTHWESTERN ENERGY,,845467109,US8454671095,2828619,3425,3425.29508,0.00000,4.210000,USD,1.000000,,,,,,,
EQUITY,SRC ENERGY INC,,78470V108,US78470V1089,BD8ZX20,1468,1467.72131,0.00000,4.980000,USD,1.000000,,,,,,,
EQUITY,TALOS ENERGY INC,,87484T108,US87484T1088,BDT56V9,137,136.51639,0.00000,20.560000,USD,1.000000,,,,,,,
EQUITY,TARGA RESOURCES CORP,,87612G101,US87612G1013,B55PZY3,1276,1275.70492,0.00000,41.270000,USD,1.000000,,,,,,,
EQUITY,TELLURIAN INC,,87968A104,US87968A1043,BD3DWD3,582,581.64754,0.00000,8.120000,USD,1.000000,,,,,,,
EQUITY,ULTRA PETROLEUM CORP,,903914208,CA9039142083,BZ0VZQ8,1264,1263.50000,0.00000,0.850100,USD,1.000000,,,,,,,
EQUITY,VALERO ENERGY CORP,,91913Y100,US91913Y1001,2041364,2255,2255.31148,0.00000,79.780000,USD,1.000000,,,,,,,
EQUITY,W AND T OFFSHORE INC,,92922P106,US92922P1066,B01Z7M4,576,576.25410,0.00000,5.260000,USD,1.000000,,,,,,,
EQUITY,WHITING PETROLEUM CORP,,966387409,US9663874090,BYWSWR0,533,533.18852,0.00000,26.400000,USD,1.000000,,,,,,,
EQUITY,WILDHORSE RESOURCE DEVELOPMENT COR,,96812T102,US96812T1025,BD09869,161,160.66393,0.00000,17.290000,USD,1.000000,,,,,,,
EQUITY,WORLD FUEL SERVICES CORP,,981475106,US9814751064,2469450,403,402.85246,0.00000,23.630000,USD,1.000000,,,,,,,
EQUITY,WPX ENERGY INC,,98212B103,US98212B1035,B40PCD9,2259,2259.16393,0.00000,12.110000,USD,1.000000,,,,,,,
,,,,,,88663,88660.26229,0.00000

Holdings: Synthetics
ASSET CLASS,NAME,RIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),PRICE MULTIPLIER,CONTRACT SIZE,AVERAGE CONTRACT OPEN PRICE,BLOOMBERG TICKER

FX Rates
Base Currency,USD

FX Forwards
Currency Pair,Value Date,Nominal,Rate,Value,Currency

Swaps
Swap Notional,
Swap Spread,
Swap Mkt Value,

Disclaimers
CAREFULLY CONSIDER THE FUNDS INVESTMENT OBJECTIVES RISK FACTORS AND CHARGES AND EXPENSES BEFORE INVESTING. THIS AND OTHER INFORMATION CAN BE FOUND IN THE FUNDS
PROSPECTUSES OR IF AVAILABLE THE SUMMARY PROSPECTUSES WHICH MAY BE OBTAINED BY VISITING www.iShares.com OR www.blackrock.com. READ THE PROSPECTUS CAREFULLY BEFORE
INVESTING. INVESTING INVOLVES RISK INCLUDING POSSIBLE LOSS OF PRINCIPAL.
The iShares Funds are distributed by BlackRock Investments LLC (together with its affiliates BlackRock).
The iShares Funds are not sponsored endorsed issued sold or promoted by Barclays Bloomberg Finance L.P. BlackRock Index Services LLC Cohen & Steers Capital Management Inc. European Public Real Estate
Association (EPRA) FTSE International Limited (FTSE) ICE Data Services LLC India Index Services & Products Limited JPMorgan Chase & Co. Japan Exchange Group MSCI Inc. Markit Indices Limited Morningstar
Inc. The NASDAQ OMX Group Inc. National Association of Real Estate Investment Trusts (NAREIT) New York Stock Exchange Inc. Russell or S&P Dow Jones Indices LLC. None of these companies make any
representation regarding the advisability of investing in the Funds. With the exception of BlackRock Index Services LLC who is an affiliate BlackRock Investments LLC is not affiliated with the companies listed above.
Neither FTSE nor NAREIT makes any warranty regarding the FTSE NAREIT Equity REITS Index FTSE NAREIT All Residential Capped Index or FTSE NAREIT All Mortgage Capped Index; all rights vest in NAREIT.
Neither FTSE nor NAREIT makes any warranty regarding the FTSE EPRA/NAREIT Developed Real Estate ex-U.S. Index FTSE EPRA/NAREIT Developed Europe Index or FTSE EPRA/NAREIT Global REIT Index;
all rights vest in FTSE NAREIT and EPRA. FTSE is a trademark of London Stock Exchange Group companies and is used by FTSE under license.
As a prior condition to gaining access to information for certain BlackRock funds and iShares ETFs (the Data) on a BlackRock operated FTP site (the FTP Site) you as the user of the FTP Site must acknowledge
and agree to these Terms of Use available for download at https://www.ishares.com/us/literature/holdings/fdf-terms-of-use.pdf.
By accessing the FTP Site downloading or using the Data from the FTP Site and/or producing any derivative works or materials based on or incorporating any Data you acknowledge and agree to these Terms of Use which
apply to the access download and use of the Data from the FTP Site. If you do not wish to be bound by these Terms of Use please do not access the FTP Site download or use any of the Data contained in the FTP Site.
Copyright 2019 BlackRock. All rights reserved. iShares and BlackRock are registered trademarks of BlackRock. All other trademarks servicemarks or registered trademarks are the property of their respective owners.
ICRMH0119U-694529-1/1
