Fund Level
Fund Name,iShares Evolved U.S. Technology ETF
Fund Ticker,IETC
Fund ISIN,US46431W6488
Fund Cusip,46431W648
Fund LEI,
Total NAV per share,24.404062,Jan 23 2019
Distribution per Share,,
Fund Size,4880812.40,Jan 23 2019
Shares Outstanding,200000,Jan 23 2019
Baskets Outstanding,4.000000000000,Jan 23 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 24 2019
Settlement Date,
Shares per Basket (PNU),50000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,10693.72,Jan 24 2019
Projected Cash for Deliverable Basket,10264.77,Jan 24 2019
Confirmed Cash for Deliverable Basket,10270.05,Jan 23 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,2U INC,,90214J101,US90214J1016,BKWBZZ0,7,7.00000,0.00000,55.830000,USD,1.000000,,,,,,,
EQUITY,ACCENTURE PLC CLASS A,,G1151C101,IE00B4BNMY34,B4BNMY3,106,105.50000,0.00000,148.420000,USD,1.000000,,,,,,,
EQUITY,ACI WORLDWIDE INC,,004498101,US0044981019,2889155,20,20.00000,0.00000,28.430000,USD,1.000000,,,,,,,
EQUITY,ACTIVISION BLIZZARD INC,,00507V109,US00507V1098,2575818,71,71.00000,0.00000,46.020000,USD,1.000000,,,,,,,
EQUITY,ADOBE INC,,00724F101,US00724F1012,2008154,98,98.00000,0.00000,245.140000,USD,1.000000,,,,,,,
EQUITY,ADVANCED MICRO DEVICES INC,,007903107,US0079031078,2007849,154,154.00000,0.00000,19.800000,USD,1.000000,,,,,,,
EQUITY,AGILENT TECHNOLOGIES INC,,00846U101,US00846U1016,2520153,20,20.00000,0.00000,71.650000,USD,1.000000,,,,,,,
EQUITY,AKAMAI TECHNOLOGIES INC,,00971T101,US00971T1016,2507457,30,30.00000,0.00000,64.350000,USD,1.000000,,,,,,,
EQUITY,ALIGN TECHNOLOGY INC,,016255101,US0162551016,2679204,7,7.00000,0.00000,217.220000,USD,1.000000,,,,,,,
EQUITY,ALLIANCE DATA SYSTEMS CORP,,018581108,US0185811082,2762030,5,5.00000,0.00000,173.720000,USD,1.000000,,,,,,,
EQUITY,ALPHABET INC CLASS A,,02079K305,US02079K3059,BYVY8G0,55,54.75000,0.00000,1084.410000,USD,1.000000,,,,,,,
