Fund Level
Fund Name,iShares Core MSCI Europe ETF
Fund Ticker,IEUR
Fund ISIN,US46434V7385
Fund Cusip,46434V738
Fund LEI,
Total NAV per share,43.256987,Jan 23 2019
Distribution per Share,,
Fund Size,3213994134.10,Jan 23 2019
Shares Outstanding,74300000,Jan 23 2019
Baskets Outstanding,743.000000000000,Jan 23 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 24 2019
Settlement Date,
Shares per Basket (PNU),100000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,3604.26,Jan 24 2019
Projected Cash for Deliverable Basket,69730.43,Jan 24 2019
Confirmed Cash for Deliverable Basket,70479.21,Jan 23 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,1&1 DRILLISCH AG,,D23138106,DE0005545503,5734672,27,27.09690,0.00000,43.991206,EUR,1.000000,,,,,,,
EQUITY,3I GROUP PLC,,G88473148,GB00B1YW4409,B1YW440,437,437.29878,0.00000,10.614175,GBP,1.000000,,,,,,,
EQUITY,A P MOLLER MAERSK,,K0514G135,DK0010244425,4253059,2,2.00538,0.00000,1242.827642,DKK,1.000000,,,,,,,
EQUITY,A P MOLLER MAERSK B,,K0514G101,DK0010244508,4253048,2,2.75773,0.00000,1325.276417,DKK,1.000000,,,,,,,
EQUITY,A2A,,T0579B105,IT0001233417,5499131,825,825.37685,0.00000,1.784796,EUR,1.000000,,,,,,,
EQUITY,AA PLC,,G0013T104,GB00BMSKPJ95,BMSKPJ9,296,296.93405,0.00000,0.990360,GBP,1.000000,,,,,,,
EQUITY,AAK,,W9609S117,SE0011337708,BF2FPV3,113,113.36339,0.00000,14.622058,SEK,1.000000,,,,,,,
EQUITY,AALBERTS INDUSTRIES NV,,N00089271,NL0000852564,B1W8P14,59,59.23687,0.00000,33.568044,EUR,1.000000,,,,,,,
EQUITY,AAREAL BANK AG,,D00379111,DE0005408116,7380062,30,30.23553,0.00000,32.669103,EUR,1.000000,,,,,,,
EQUITY,ABB LTD,,H0010V101,CH0012221716,7108899,832,832.53970,0.00000,19.040924,CHF,1.000000,,,,,,,
EQUITY,ABC ARBITRAGE SA,,F0011K106,FR0004040608,4121714,91,91.32436,0.00000,6.998084,EUR,1.000000,,,,,,,
EQUITY,ABCAM PLC,,G0060R118,GB00B6774699,B677469,102,102.47240,0.00000,16.131560,GBP,1.000000,,,,,,,
EQUITY,ABN AMRO GROUP NV,,N0162C102,NL0011540547,BYQP136,191,191.31897,0.00000,25.534472,EUR,1.000000,,,,,,,
EQUITY,ACACIA MINING PLC,,G0067D104,GB00B61D2N63,B61D2N6,147,147.22745,0.00000,2.403407,GBP,1.000000,,,,,,,
EQUITY,ACCIONA SA,,E0008Z109,ES0125220311,5579107,12,12.86002,0.00000,92.147126,EUR,1.000000,,,,,,,
EQUITY,ACCOR SA,,F00189120,FR0000120404,5852842,85,85.50740,0.00000,44.025343,EUR,1.000000,,,,,,,
EQUITY,ACERINOX SA,,E00460233,ES0132105018,B01ZVZ5,85,85.82234,0.00000,10.311648,EUR,1.000000,,,,,,,
EQUITY,ACKERMANS & VAN HAAREN NV,,B01165156,BE0003764785,5715774,12,12.22745,0.00000,159.078392,EUR,1.000000,,,,,,,
EQUITY,ACS ACTIVIDADES DE CONSTRUCCION Y,,E7813W163,ES0167050915,B01FLQ6,119,119.48048,0.00000,40.554749,EUR,1.000000,,,,,,,
EQUITY,ACTIVIDADES DE CONSTRUCCION Y SERV,,,ES06670509E9,BFMXP84,0,0.00000,117.71870,0.523775,EUR,1.000000,,,,,,,
EQUITY,ADECCO GROUP AG,,H00392318,CH0012138605,7110720,77,77.60834,0.00000,50.815968,CHF,1.000000,,,,,,,
EQUITY,ADIDAS N AG,,D0066B185,DE000A1EWWW0,4031976,86,86.33512,0.00000,235.886629,EUR,1.000000,,,,,,,
EQUITY,ADMIRAL GROUP PLC,,G0110T106,GB00B02J6398,B02J639,96,96.38627,0.00000,27.521618,GBP,1.000000,,,,,,,
EQUITY,ADO PROPERTIES,,L0120V103,LU1250154413,BYNXBZ5,15,15.61372,0.00000,57.634625,EUR,1.000000,,,,,,,
EQUITY,AEGON NV,,N00927298,NL0000303709,5927375,801,801.42799,0.00000,5.079585,EUR,1.000000,,,,,,,
EQUITY,AENA SME SA,,E526K0106,ES0105046009,BVRZ8L1,30,30.54777,0.00000,169.262595,EUR,1.000000,,,,,,,
EQUITY,AERCAP HOLDINGS NV,,N00985106,NL0000687663,B1HHKD3,62,62.05383,0.00000,45.020000,USD,1.000000,,,,,,,
EQUITY,AEROPORTS DE PARIS SA,,F00882104,FR0010340141,B164FY1,14,14.86675,0.00000,188.891367,EUR,1.000000,,,,,,,
EQUITY,AF CLASS B,,W05244111,SE0005999836,BN791J6,41,41.69448,0.00000,18.116806,SEK,1.000000,,,,,,,
EQUITY,AGEAS NV,,B0148L138,BE0974264930,B86S2N0,86,86.40646,0.00000,46.312522,EUR,1.000000,,,,,,,
EQUITY,AGFA-GEVAERT NV,,B0302M104,BE0003755692,5689051,125,125.65545,0.00000,3.793758,EUR,1.000000,,,,,,,
EQUITY,AGGREKO PLC,,G0116S185,GB00BK1PTB77,BK1PTB7,132,132.06191,0.00000,9.195643,GBP,1.000000,,,,,,,
EQUITY,AHLSELL,,W0300J126,SE0009155005,BD6DG27,221,221.85464,0.00000,5.909582,SEK,1.000000,,,,,,,
EQUITY,AIB GROUP,,G0R4HJ106,IE00BF0L3536,BF0L353,383,383.72409,0.00000,4.665389,EUR,1.000000,,,,,,,
EQUITY,AIR FRANCE-KLM SA,,F01699135,FR0000031122,4916039,93,93.47913,0.00000,12.585172,EUR,1.000000,,,,,,,
EQUITY,AIR LIQUIDE SA,,F01764103,FR0000120073,B1YXBJ7,193,193.49932,0.00000,119.536374,EUR,1.000000,,,,,,,
EQUITY,AIRBUS GROUP,,N0280G100,NL0000235190,4012250,266,266.88425,0.00000,106.746380,EUR,1.000000,,,,,,,
EQUITY,AIXTRON,,D0257Y135,DE000A0WMPJ6,5468346,57,57.68102,0.00000,9.449120,EUR,1.000000,,,,,,,
EQUITY,AKASTOR,,R0046B102,NO0010215684,B1VLVW7,122,122.33647,0.00000,1.502096,NOK,1.000000,,,,,,,
EQUITY,AKER BP,,R0139K100,NO0010345853,B1L95G3,63,63.44952,0.00000,32.021425,NOK,1.000000,,,,,,,
EQUITY,AKER SOLUTIONS,,R0138P118,NO0010716582,BQN1C50,107,107.87483,0.00000,5.379599,NOK,1.000000,,,,,,,
EQUITY,AKZO NOBEL NV,,,NL0013267909,BJ2KSG2,103,103.59219,0.00000,85.934193,EUR,1.000000,,,,,,,
EQUITY,ALD SA,,F0195N108,FR0013258662,BF03BV1,53,53.14670,0.00000,13.404460,EUR,1.000000,,,,,,,
EQUITY,ALFA LAVAL,,W04008152,SE0000695876,7332687,136,136.52759,0.00000,21.648141,SEK,1.000000,,,,,,,
EQUITY,ALLIANZ,,D03080112,DE0008404005,5231485,197,197.15208,0.00000,208.554276,EUR,1.000000,,,,,,,
EQUITY,ALLREAL HOLDING AG,,H0151D100,CH0008837566,5914270,8,8.04845,0.00000,163.293999,CHF,1.000000,,,,,,,
EQUITY,ALSTOM SA,,F0259M475,FR0010220475,B0DJ8Q5,71,71.74831,0.00000,38.916173,EUR,1.000000,,,,,,,
EQUITY,ALSTRIA OFFICE REIT AG,,D0378R100,DE000A0LD2U1,B1VP947,92,92.09555,0.00000,14.565117,EUR,1.000000,,,,,,,
EQUITY,ALTEN SA,,F02626103,FR0000071946,5608915,16,16.93270,0.00000,88.585500,EUR,1.000000,,,,,,,
EQUITY,ALTRAN TECHNOLOGIES SA,,F02646101,FR0000034639,4907732,124,124.86675,0.00000,9.342157,EUR,1.000000,,,,,,,
EQUITY,AMADEUS IT GROUP SA,,E04648114,ES0109067019,B3MSM28,202,202.84522,0.00000,74.031761,EUR,1.000000,,,,,,,
EQUITY,AMBU CLASS B,,K03293147,DK0060946788,BD9G333,82,82.47240,0.00000,23.606867,DKK,1.000000,,,,,,,
EQUITY,AMER SPORTS,,X01416118,FI0009000285,4024006,58,58.80080,0.00000,44.196028,EUR,1.000000,,,,,,,
EQUITY,AMPLIFON,,T0388E118,IT0004056880,B14NJ71,48,48.16285,0.00000,18.172260,EUR,1.000000,,,,,,,
EQUITY,AMS AG,,A0400Q115,AT0000A18XM4,BPF0548,38,38.12516,0.00000,24.534271,CHF,1.000000,,,,,,,
EQUITY,AMUNDI SA,,F0300Q103,FR0004125920,BYZR014,28,28.24764,0.00000,55.779848,EUR,1.000000,,,,,,,
