Fund Level
Fund Name,iShares U.S. Pharmaceuticals ETF
Fund Ticker,IHE
Fund ISIN,US4642888360
Fund Cusip,464288836
Fund LEI,
Total NAV per share,145.717297,Jan 23 2019
Distribution per Share,,
Fund Size,386150837.05,Jan 23 2019
Shares Outstanding,2650000,Jan 23 2019
Baskets Outstanding,53.000000000000,Jan 23 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 24 2019
Settlement Date,
Shares per Basket (PNU),50000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,7920.19,Jan 24 2019
Projected Cash for Deliverable Basket,7820.11,Jan 24 2019
Confirmed Cash for Deliverable Basket,7890.65,Jan 23 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,ACLARIS THERAPEUTICS INC,,00461U105,US00461U1051,BYV2W40,5554,5553.77358,0.00000,6.060000,USD,1.000000,,,,,,,
EQUITY,AERIE PHARMACEUTICALS INC,,00771V108,US00771V1089,BFRTDG1,2279,2278.84906,0.00000,43.640000,USD,1.000000,,,,,,,
EQUITY,AKCEA THERAPEUTICS INC,,00972L107,US00972L1070,BF47GP8,1793,1793.43396,0.00000,28.230000,USD,1.000000,,,,,,,
EQUITY,AKORN INC,,009728106,US0097281069,2012100,12080,12080.45283,0.00000,3.850000,USD,1.000000,,,,,,,
EQUITY,ALLERGAN,,G0177J108,IE00BY9D5467,BY9D546,2552,2551.86792,0.00000,160.790000,USD,1.000000,,,,,,,
EQUITY,AMAG PHARMACEUTICALS INC,,00163U106,US00163U1060,2008121,3557,3556.62264,0.00000,16.720000,USD,1.000000,,,,,,,
EQUITY,AMICUS THERAPEUTICS INC,,03152W109,US03152W1099,B19FQ48,9449,9448.77358,0.00000,11.470000,USD,1.000000,,,,,,,
EQUITY,AMNEAL PHARMACEUTICALS INC CLASS A,,03168L105,US03168L1052,BFNF1D6,5161,5160.81132,0.00000,12.490000,USD,1.000000,,,,,,,
EQUITY,AMPHASTAR PHARMACEUTICALS INC,,03209R103,US03209R1032,BNFWZS4,3165,3164.98113,0.00000,22.600000,USD,1.000000,,,,,,,
EQUITY,ASSEMBLY BIOSCIENCES INC,,045396108,US0453961080,BP4WW00,2342,2341.92453,0.00000,20.320000,USD,1.000000,,,,,,,
EQUITY,ASSERTIO THERAPEUTICS INC,,04545L107,US04545L1070,BG85PC5,10339,10339.18868,0.00000,3.930000,USD,1.000000,,,,,,,
EQUITY,BRISTOL MYERS SQUIBB,,110122108,US1101221083,2126335,9322,9321.88679,0.00000,49.960000,USD,1.000000,,,,,,,
EQUITY,CATALENT  INC,,148806102,US1488061029,BP96PQ4,4211,4210.60377,0.00000,35.310000,USD,1.000000,,,,,,,
EQUITY,CORCEPT THERAPEUTICS INC,,218352102,US2183521028,B00SCY1,5714,5713.98113,0.00000,14.970000,USD,1.000000,,,,,,,
EQUITY,CYMABAY THERAPEUTICS INC,,23257D103,US23257D1037,BJ3WDH3,6619,6618.50943,0.00000,8.440000,USD,1.000000,,,,,,,
EQUITY,DERMIRA INC,,24983L104,US24983L1044,BQZJ3G0,4664,4664.15094,0.00000,6.190000,USD,1.000000,,,,,,,
EQUITY,ELI LILLY,,532457108,US5324571083,2516152,4762,4762.15094,0.00000,118.790000,USD,1.000000,,,,,,,
EQUITY,ENDO INTERNATIONAL PLC,,G30401106,IE00BJ3V9050,BJ3V905,9538,9537.50943,0.00000,9.460000,USD,1.000000,,,,,,,
EQUITY,HORIZON PHARMA PLC,,G4617B105,IE00BQPVQZ61,BQPVQZ6,6380,6380.30189,0.00000,21.880000,USD,1.000000,,,,,,,
EQUITY,INNOVIVA INC,,45781M101,US45781M1018,BDDXF67,4667,4666.90566,0.00000,19.690000,USD,1.000000,,,,,,,
EQUITY,INTERSECT ENT INC,,46071F103,US46071F1030,BP7RS48,2359,2359.47170,0.00000,28.970000,USD,1.000000,,,,,,,
EQUITY,INTRA CELLULAR THERAPIES INC,,46116X101,US46116X1019,BHCB0P4,4360,4360.05660,0.00000,11.750000,USD,1.000000,,,,,,,
EQUITY,IRONWOOD PHARMA INC CLASS A,,46333X108,US46333X1081,B3MZ6K5,8085,8085.43396,0.00000,12.420000,USD,1.000000,,,,,,,
EQUITY,JAZZ PHARMACEUTICALS PLC,,G50871105,IE00B4Q5ZN47,B4Q5ZN4,1330,1330.13208,0.00000,128.010000,USD,1.000000,,,,,,,
EQUITY,JOHNSON & JOHNSON,,478160104,US4781601046,2475833,6383,6383.18868,0.00000,128.800000,USD,1.000000,,,,,,,
EQUITY,MADRIGAL PHARMACEUTICALS INC,,558868105,US5588681057,BD59BS7,658,657.66038,0.00000,108.960000,USD,1.000000,,,,,,,
EQUITY,MALLINCKRODT,,G5785G107,IE00BBGT3753,BBJTYC4,4612,4612.32075,0.00000,20.180000,USD,1.000000,,,,,,,
EQUITY,MEDICINES,,584688105,US5846881051,2616773,3933,3933.49057,0.00000,19.400000,USD,1.000000,,,,,,,
EQUITY,MERCK & CO INC,,58933Y105,US58933Y1055,2778844,9103,9102.69811,0.00000,75.440000,USD,1.000000,,,,,,,
EQUITY,MYLAN NV,,N59465109,NL0011031208,BVFMFG8,7968,7967.73585,0.00000,28.060000,USD,1.000000,,,,,,,
EQUITY,MYOKARDIA INC,,62857M105,US62857M1053,BYNZF59,1774,1774.20755,0.00000,42.750000,USD,1.000000,,,,,,,
EQUITY,OMEROS CORP,,682143102,US6821431029,B4NB858,4466,4466.39623,0.00000,13.070000,USD,1.000000,,,,,,,
EQUITY,PACIRA PHARMACEUTICALS INC,,695127100,US6951271005,B3X26D8,2133,2133.16981,0.00000,39.810000,USD,1.000000,,,,,,,
EQUITY,PERRIGO PLC,,G97822103,IE00BGH1M568,BGH1M56,2996,2995.66038,0.00000,44.970000,USD,1.000000,,,,,,,
EQUITY,PFIZER INC,,717081103,US7170811035,2684703,17710,17709.64151,0.00000,42.160000,USD,1.000000,,,,,,,
EQUITY,PHIBRO ANIMAL HEALTH CORP CLASS A,,71742Q106,US71742Q1067,BL95N25,1959,1959.05660,0.00000,32.230000,USD,1.000000,,,,,,,
EQUITY,PRESTIGE CONSUMER HEALTHCARE INC,,74112D101,US74112D1019,B0650P3,2865,2864.50943,0.00000,27.110000,USD,1.000000,,,,,,,
EQUITY,REATA PHARMACEUTICALS INC CLASS A,,75615P103,US75615P1030,BYY9FX8,1229,1228.77358,0.00000,75.710000,USD,1.000000,,,,,,,
EQUITY,REVANCE THERAPEUTICS INC,,761330109,US7613301099,BJFSR99,3004,3003.88679,0.00000,17.180000,USD,1.000000,,,,,,,
EQUITY,SPECTRUM PHARMACEUTICALS INC,,84763A108,US84763A1088,2982924,6692,6691.56604,0.00000,10.430000,USD,1.000000,,,,,,,
EQUITY,THERAPEUTICSMD INC,,88338N107,US88338N1072,B6WXT12,16869,16868.86792,0.00000,5.100000,USD,1.000000,,,,,,,
