Fund Level
Fund Name,iShares Core S&P Mid-Cap ETF
Fund Ticker,IJH
Fund ISIN,US4642875078
Fund Cusip,464287507
Fund LEI,
Total NAV per share,178.435414,Jan 23 2019
Distribution per Share,,
Fund Size,44760523601.90,Jan 23 2019
Shares Outstanding,250850000,Jan 23 2019
Baskets Outstanding,5017.000000000000,Jan 23 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 24 2019
Settlement Date,
Shares per Basket (PNU),50000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,2629.25,Jan 24 2019
Projected Cash for Deliverable Basket,319092.61,Jan 24 2019
Confirmed Cash for Deliverable Basket,500816.29,Jan 23 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,AARONS INC,,002535300,US0025353006,2002918,386,385.57465,0.00000,47.540000,USD,1.000000,,,,,,,
EQUITY,ACADIA HEALTHCARE COMPANY INC,,00404A109,US00404A1097,B65VZ37,497,497.04923,0.00000,27.890000,USD,1.000000,,,,,,,
EQUITY,ACI WORLDWIDE INC,,004498101,US0044981019,2889155,652,652.38409,0.00000,28.430000,USD,1.000000,,,,,,,
EQUITY,ACUITY BRANDS INC,,00508Y102,US00508Y1029,2818461,226,225.50050,0.00000,115.550000,USD,1.000000,,,,,,,
EQUITY,ADIENT PLC,,G0084W101,IE00BD845X29,BD845X2,487,486.92326,0.00000,17.860000,USD,1.000000,,,,,,,
EQUITY,ADTALEM GLOBAL EDUCATION INC,,00737L103,US00737L1035,BZ12TX5,330,330.48834,0.00000,49.150000,USD,1.000000,,,,,,,
EQUITY,AECOM,,00766T100,US00766T1007,B1VZ431,879,879.47538,0.00000,29.570000,USD,1.000000,,,,,,,
EQUITY,AGCO CORP,,001084102,US0010841023,2010278,370,369.89017,0.00000,61.450000,USD,1.000000,,,,,,,
EQUITY,ALEXANDER & BALDWIN INC,,014491104,US0144911049,B827VB2,381,381.16763,0.00000,21.900000,USD,1.000000,,,,,,,
EQUITY,ALLEGHANY  CORP,,017175100,US0171751003,2016801,83,83.45744,0.00000,618.990000,USD,1.000000,,,,,,,
EQUITY,ALLEGHENY TECHNOLOGIES INC,,01741R102,US01741R1023,2526117,708,708.07574,0.00000,26.440000,USD,1.000000,,,,,,,
EQUITY,ALLETE INC,,018522300,US0185223007,B02R1L6,289,289.26370,0.00000,76.300000,USD,1.000000,,,,,,,
EQUITY,ALLSCRIPTS HEALTHCARE SOLUTIONS IN,,01988P108,US01988P1084,2710039,980,980.28663,0.00000,11.860000,USD,1.000000,,,,,,,
EQUITY,AMC NETWORKS CLASS A INC,,00164V103,US00164V1035,B4MG4Z6,253,253.26071,0.00000,63.190000,USD,1.000000,,,,,,,
EQUITY,AMERICAN CAMPUS COMMUNITIES REIT I,,024835100,US0248351001,B02H871,771,770.79569,0.00000,44.100000,USD,1.000000,,,,,,,
EQUITY,AMERICAN EAGLE OUTFITTERS INC,,02553E106,US02553E1064,2048592,949,948.53518,0.00000,20.210000,USD,1.000000,,,,,,,
EQUITY,AMERICAN FINANCIAL GROUP INC,,025932104,US0259321042,2134532,0,395.47279,0.00000,95.690000,USD,1.000000,,,,,,,
EQUITY,APERGY CORP,,03755L104,US03755L1044,BFXZQZ3,436,436.17301,0.00000,33.180000,USD,1.000000,,,,,,,
EQUITY,APTARGROUP INC,,038336103,US0383361039,2045247,353,353.32749,0.00000,97.380000,USD,1.000000,,,,,,,
EQUITY,AQUA AMERICA INC,,03836W103,US03836W1036,2685234,1001,1000.90891,0.00000,34.530000,USD,1.000000,,,,,,,
EQUITY,ARRIS INTERNATIONAL PLC,,G0551A103,GB00BZ04Y379,BZ04Y37,919,919.27028,0.00000,30.840000,USD,1.000000,,,,,,,
EQUITY,ARROW ELECTRONICS INC,,042735100,US0427351004,2051404,490,490.34104,0.00000,73.110000,USD,1.000000,,,,,,,
EQUITY,ASGN INC,,00191U102,US00191U1025,BFY8W20,295,295.18118,0.00000,60.280000,USD,1.000000,,,,,,,
EQUITY,ASHLAND GLOBAL INC,,044186104,US0441861046,BYND5N1,351,351.48694,0.00000,76.610000,USD,1.000000,,,,,,,
EQUITY,ASPEN INSURANCE HOLDINGS LTD,,G05384105,BMG053841059,2172372,337,336.71337,0.00000,42.230000,USD,1.000000,,,,,,,
EQUITY,ASSOCIATED BANCORP,,045487105,US0454871056,2055718,933,932.52063,0.00000,21.290000,USD,1.000000,,,,,,,
EQUITY,ATMOS ENERGY CORP,,049560105,US0495601058,2315359,657,657.32270,0.00000,96.160000,USD,1.000000,,,,,,,
EQUITY,AUTONATION INC,,05329W102,US05329W1027,2732635,325,324.66115,0.00000,36.430000,USD,1.000000,,,,,,,
EQUITY,AVANOS MEDICAL INC,,05350V106,US05350V1061,BFFVV54,267,266.96332,0.00000,44.090000,USD,1.000000,,,,,,,
EQUITY,AVIS BUDGET GROUP INC,,053774105,US0537741052,B1CL8J2,367,366.91130,0.00000,24.330000,USD,1.000000,,,,,,,
EQUITY,AVNET INC,,053807103,US0538071038,2066505,626,625.64421,0.00000,40.530000,USD,1.000000,,,,,,,
EQUITY,BANCORPSOUTH,,05971J102,US05971J1025,BF3BNF0,511,510.52103,0.00000,28.540000,USD,1.000000,,,,,,,
EQUITY,BANK OF HAWAII CORP.,,062540109,US0625401098,2074070,236,235.53538,0.00000,75.710000,USD,1.000000,,,,,,,
EQUITY,BANK OZK,,06417N103,US06417N1037,BZ56Q65,681,680.65139,0.00000,31.580000,USD,1.000000,,,,,,,
EQUITY,BED BATH AND BEYOND INC,,075896100,US0758961009,2085878,776,776.16105,0.00000,14.460000,USD,1.000000,,,,,,,
EQUITY,BELDEN INC,,077454106,US0774541066,B01WL78,227,227.18816,0.00000,49.380000,USD,1.000000,,,,,,,
EQUITY,BEMIS INC,,081437105,US0814371052,2090173,512,511.96731,0.00000,47.850000,USD,1.000000,,,,,,,
EQUITY,BIG LOTS INC,,089302103,US0893021032,2218447,226,226.19314,0.00000,32.350000,USD,1.000000,,,,,,,
EQUITY,BIO RAD LABORATORIES INC CLASS A,,090572207,US0905722072,2098508,113,113.26709,0.00000,237.090000,USD,1.000000,,,,,,,
EQUITY,BIO TECHNE CORP,,09073M104,US09073M1045,BSHZ3Q0,212,212.43293,0.00000,162.130000,USD,1.000000,,,,,,,
EQUITY,BLACK HILLS CORP,,092113109,US0921131092,2101741,304,303.62228,0.00000,65.590000,USD,1.000000,,,,,,,
EQUITY,BLACKBAUD INC,,09227Q100,US09227Q1004,2458878,274,273.61312,0.00000,68.210000,USD,1.000000,,,,,,,
EQUITY,BOSTON BEER INC CLASS A,,100557107,US1005571070,2113393,48,48.38888,0.00000,248.960000,USD,1.000000,,,,,,,
EQUITY,BOYD GAMING CORP,,103304101,US1033041013,2117232,452,451.87044,0.00000,25.650000,USD,1.000000,,,,,,,
EQUITY,BRINKER INTERNATIONAL INC,,109641100,US1096411004,2193544,217,216.85270,0.00000,47.580000,USD,1.000000,,,,,,,
EQUITY,BRINKS,,109696104,US1096961040,2691305,285,285.48894,0.00000,70.510000,USD,1.000000,,,,,,,
EQUITY,BROWN & BROWN INC,,115236101,US1152361010,2692687,1319,1319.31752,0.00000,28.430000,USD,1.000000,,,,,,,
