Fund Level
Fund Name,iShares S&P Small-Cap 600 Growth ETF
Fund Ticker,IJT
Fund ISIN,US4642878874
Fund Cusip,464287887
Fund LEI,
Total NAV per share,171.539168,Jan 23 2019
Distribution per Share,,
Fund Size,5420637708.80,Jan 23 2019
Shares Outstanding,31600000,Jan 23 2019
Baskets Outstanding,632.000000000000,Jan 23 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 24 2019
Settlement Date,
Shares per Basket (PNU),50000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,3559.28,Jan 24 2019
Projected Cash for Deliverable Basket,855973.21,Jan 24 2019
Confirmed Cash for Deliverable Basket,855790.85,Jan 23 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,3D SYSTEMS CORP,,88554D205,US88554D2053,2889768,2694,2693.70253,0.00000,10.810000,USD,1.000000,,,,,,,
EQUITY,8X8 INC,,282914100,US2829141009,2037170,2248,2247.98734,0.00000,20.000000,USD,1.000000,,,,,,,
EQUITY,AAON INC,,000360206,US0003602069,2268130,622,622.44146,0.00000,36.260000,USD,1.000000,,,,,,,
EQUITY,AAR CORP,,000361105,US0003611052,2001119,375,374.56487,0.00000,37.010000,USD,1.000000,,,,,,,
EQUITY,ACADIA REALTY TRUST REIT,,004239109,US0042391096,2566522,1104,1103.91297,0.00000,26.460000,USD,1.000000,,,,,,,
EQUITY,ACORDA THERAPEUTICS INC,,00484M106,US00484M1062,2925844,434,433.72785,0.00000,16.010000,USD,1.000000,,,,,,,
EQUITY,ACTUANT CORP CLASS A,,00508X203,US00508X2036,2716792,758,758.23259,0.00000,21.900000,USD,1.000000,,,,,,,
EQUITY,ADDUS HOMECARE CORP,,006739106,US0067391062,B55BN47,238,238.04589,0.00000,62.500000,USD,1.000000,,,,,,,
EQUITY,ADVANCED ENERGY INDUSTRIES INC,,007973100,US0079731008,2049175,382,381.51741,0.00000,45.250000,USD,1.000000,,,,,,,
EQUITY,AEROJET ROCKETDYNE HOLDINGS INC,,007800105,US0078001056,BWD7PX9,1702,1702.31962,0.00000,38.850000,USD,1.000000,,,,,,,
EQUITY,AEROVIRONMENT INC,,008073108,US0080731088,B1P5YY8,503,503.28323,0.00000,73.600000,USD,1.000000,,,,,,,
EQUITY,AGILISYS INC,,00847J105,US00847J1051,2689162,424,423.94778,0.00000,14.270000,USD,1.000000,,,,,,,
EQUITY,AGREE REALTY REIT CORP,,008492100,US0084921008,2062161,813,812.56329,0.00000,61.290000,USD,1.000000,,,,,,,
EQUITY,AK STEEL HOLDING CORP,,001547108,US0015471081,2067735,4479,4478.74367,0.00000,2.620000,USD,1.000000,,,,,,,
EQUITY,AKORN INC,,009728106,US0097281069,2012100,879,879.27373,0.00000,3.850000,USD,1.000000,,,,,,,
EQUITY,ALARM.COM HOLDINGS INC,,011642105,US0116421050,BYN7H26,495,494.95570,0.00000,60.170000,USD,1.000000,,,,,,,
EQUITY,ALBANY INTERNATIONAL CORP CLASS A,,012348108,US0123481089,2012757,683,683.42722,0.00000,67.050000,USD,1.000000,,,,,,,
EQUITY,ALLEGIANT TRAVEL,,01748X102,US01748X1028,B15M2C3,301,301.35759,0.00000,119.040000,USD,1.000000,,,,,,,
EQUITY,AMEDISYS INC,,023436108,US0234361089,2024332,684,683.93196,0.00000,128.150000,USD,1.000000,,,,,,,
EQUITY,AMERICAN ASSETS TRUST REIT INC,,024013104,US0240131047,B3NTLD4,504,503.92089,0.00000,40.630000,USD,1.000000,,,,,,,
EQUITY,AMERICAN EQUITY INVESTMENT LIFE HO,,025676206,US0256762065,2191300,0,998.29430,0.00000,30.360000,USD,1.000000,,,,,,,
EQUITY,AMERICAN PUBLIC EDUCATION INC,,02913V103,US02913V1035,B292GM4,384,384.16772,0.00000,30.240000,USD,1.000000,,,,,,,
EQUITY,AMERICAN STATES WATER,,029899101,US0298991011,2267171,587,587.20728,0.00000,65.580000,USD,1.000000,,,,,,,
EQUITY,AMERISAFE INC,,03071H100,US03071H1005,B0PPHS6,0,250.93671,0.00000,56.590000,USD,1.000000,,,,,,,
EQUITY,AMN HEALTHCARE INC,,001744101,US0017441017,2813552,1105,1104.70095,0.00000,63.530000,USD,1.000000,,,,,,,
EQUITY,AMPHASTAR PHARMACEUTICALS INC,,03209R103,US03209R1032,BNFWZS4,813,812.55696,0.00000,22.600000,USD,1.000000,,,,,,,
EQUITY,ANGIODYNAMICS INC,,03475V101,US03475V1017,B00CR04,875,875.25949,0.00000,20.840000,USD,1.000000,,,,,,,
EQUITY,ANI PHARMACEUTICALS INC,,00182C103,US00182C1036,BCDWBX6,195,195.40190,0.00000,53.630000,USD,1.000000,,,,,,,
