Fund Level
Fund Name,iShares MSCI India ETF
Fund Ticker,INDA
Fund ISIN,US46435G7896
Fund Cusip,46429B598
Fund LEI,
Total NAV per share,32.395357,Jan 23 2019
Distribution per Share,,
Fund Size,4604999997.55,Jan 23 2019
Shares Outstanding,142150000,Jan 23 2019
Baskets Outstanding,2843.000000000000,Jan 23 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 24 2019
Settlement Date,
Shares per Basket (PNU),50000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,1171.01,Jan 24 2019
Projected Cash for Deliverable Basket,3722.13,Jan 24 2019
Confirmed Cash for Deliverable Basket,2989.95,Jan 23 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,ADANI PORTS AND SPECIAL ECONOMIC Z,,Y00130107,INE742F01042,B28XXH2,1898,1898.41646,0.00000,5.399117,INR,1.000000,,,,,,,
EQUITY,AMBUJA CEMENTS LTD,,Y6140K106,INE079A01024,B09QQ11,2184,2184.26064,0.00000,2.977083,INR,1.000000,,,,,,,
EQUITY,ASHOK LEYLAND LTD,,Y0266N143,INE208A01029,B01NFT1,4304,4304.90819,0.00000,1.249562,INR,1.000000,,,,,,,
EQUITY,ASIAN PAINTS LTD,,Y03638114,INE021A01026,BCRWL65,1055,1055.14210,0.00000,19.574602,INR,1.000000,,,,,,,
EQUITY,AUROBINDO PHARMA LTD,,Y04527142,INE406A01037,6702634,966,966.76996,0.00000,10.976242,INR,1.000000,,,,,,,
EQUITY,AVENUE SUPERMARTS LTD,,Y04895101,INE192R01011,BYW1G33,457,457.67252,0.00000,19.585115,INR,1.000000,,,,,,,
EQUITY,AXIS BANK LTD,,Y0487S137,INE238A01034,BPFJHC7,6592,6592.05627,0.00000,9.273250,INR,1.000000,,,,,,,
EQUITY,BAJAJ AUTO LTD,,Y05490100,INE917I01010,B2QKXW0,307,307.67569,0.00000,37.481253,INR,1.000000,,,,,,,
EQUITY,BAJAJ FINANCE LTD,,Y0547D112,INE296A01024,BD2N0P2,635,635.78016,0.00000,36.924101,INR,1.000000,,,,,,,
EQUITY,BAJAJ FINSERV LTD,,Y0548X109,INE918I01018,B2QKWK1,140,140.04220,0.00000,91.010582,INR,1.000000,,,,,,,
EQUITY,BHARAT FORGE LTD,,Y08825179,INE465A01025,B0C1DM3,767,767.89201,0.00000,6.869437,INR,1.000000,,,,,,,
EQUITY,BHARAT PETROLEUM LTD,,Y0882Z116,INE029A01011,6099723,2783,2783.93914,0.00000,5.005957,INR,1.000000,,,,,,,
EQUITY,BHARTI AIRTEL LTD,,Y0885K108,INE397D01024,6442327,5130,5130.11607,0.00000,4.256780,INR,1.000000,,,,,,,
EQUITY,BHARTI INFRATEL LTD,,Y0R86J109,INE121J01017,B92P9G4,1221,1221.49278,0.00000,3.882543,INR,1.000000,,,,,,,
EQUITY,BOSCH LTD,,Y6139L131,INE323A01026,B01NFV3,26,26.85895,0.00000,267.575163,INR,1.000000,,,,,,,
EQUITY,BRITANNIA INDUSTRIES LTD,,Y0969R151,INE216A01030,BGSQG47,211,211.48505,0.00000,44.906441,INR,1.000000,,,,,,,
EQUITY,CADILA HEALTHCARE LTD,,Y1R73U123,INE010B01027,BYM8TG8,751,751.20225,0.00000,4.794309,INR,1.000000,,,,,,,
EQUITY,CIPLA LTD,,Y1R6LH108,INE059A01026,B011108,1269,1269.58811,0.00000,7.138552,INR,1.000000,,,,,,,
EQUITY,COAL INDIA LTD,,Y1668L107,INE522F01014,B4Z9XF5,2503,2503.71333,0.00000,3.161399,INR,1.000000,,,,,,,
EQUITY,CONTAINER CORPORATION OF INDIA LTD,,Y1740A152,INE111A01025,BG0ZVG9,607,607.63629,0.00000,9.249422,INR,1.000000,,,,,,,
EQUITY,DABUR INDIA LTD,,Y1855D140,INE016A01026,6297356,1942,1942.72564,0.00000,6.036162,INR,1.000000,,,,,,,
EQUITY,DIVIS LABORATORIES LTD,,Y2076F112,INE361B01024,6602518,292,292.01899,0.00000,21.070853,INR,1.000000,,,,,,,
EQUITY,DR REDDYS LABORATORIES LTD,,Y21089159,INE089A01023,6410959,419,419.83186,0.00000,37.097905,INR,1.000000,,,,,,,
EQUITY,EICHER MOTORS LTD,,Y2251M114,INE066A01013,6099819,48,48.99226,0.00000,281.577546,INR,1.000000,,,,,,,
EQUITY,GAIL INDIA LTD,,Y2R78N114,INE129A01019,6133405,2894,2894.07492,0.00000,4.684281,INR,1.000000,,,,,,,
EQUITY,GLENMARK PHARMACEUTICALS LTD,,Y2711C144,INE935A01035,6698755,506,506.72951,0.00000,9.102250,INR,1.000000,,,,,,,
EQUITY,GODREJ CONSUMER PRODUCTS LTD,,Y2732X135,INE102D01028,B1BDGY0,1311,1311.81041,0.00000,11.070152,INR,1.000000,,,,,,,
EQUITY,GRASIM INDUSTRIES LTD,,Y2851U102,INE047A01021,BYQKH33,1205,1205.58811,0.00000,10.962927,INR,1.000000,,,,,,,
EQUITY,HAVELLS INDIA LTD,,Y3116C119,INE176B01034,BQGZWP9,917,917.38163,0.00000,9.758217,INR,1.000000,,,,,,,
EQUITY,HCL TECHNOLOGIES LTD,,Y3121G147,INE860A01027,6294896,1989,1989.96236,0.00000,13.237788,INR,1.000000,,,,,,,
EQUITY,HERO MOTOCORP LTD,,Y3194B108,INE158A01026,6327327,183,183.07316,0.00000,39.189151,INR,1.000000,,,,,,,
EQUITY,HINDALCO INDUSTRIES LTD,,Y3196V185,INE038A01020,B0GWF48,4281,4281.09989,0.00000,2.879669,INR,1.000000,,,,,,,
EQUITY,HINDUSTAN PETROLEUM CORP LTD,,Y3224R123,INE094A01015,6100476,2234,2234.99190,0.00000,3.389866,INR,1.000000,,,,,,,
EQUITY,HINDUSTAN UNILEVER LTD,,Y3222L102,INE030A01027,6261674,2381,2381.16461,0.00000,24.769781,INR,1.000000,,,,,,,
EQUITY,HOUSING DEVELOPMENT FINANCE CORPOR,,Y37246207,INE001A01036,6171900,5889,5889.64544,0.00000,27.447614,INR,1.000000,,,,,,,
EQUITY,ICICI BANK LTD,,Y3860Z132,INE090A01021,BSZ2BY7,8729,8729.22863,0.00000,5.149625,INR,1.000000,,,,,,,
EQUITY,INDIABULLS HOUSING FINANCE LTD,,Y3R12A119,INE148I01020,B98CG57,1016,1016.92472,0.00000,10.914570,INR,1.000000,,,,,,,
EQUITY,INDIAN OIL CORP LTD,,Y3925Y112,INE242A01010,6253767,5341,5341.61976,0.00000,1.907632,INR,1.000000,,,,,,,
EQUITY,INFOSYS LTD,,Y4082C133,INE009A01021,6205122,12814,12814.22159,0.00000,10.255098,INR,1.000000,,,,,,,
EQUITY,INTERGLOBE AVIATION LTD,,Y4R97L111,INE646L01027,BYYZ7D0,338,338.20858,0.00000,15.548392,INR,1.000000,,,,,,,
EQUITY,ITC LTD,,Y4211T171,INE154A01025,B0JGGP5,12557,12557.80372,0.00000,3.886747,INR,1.000000,,,,,,,
EQUITY,JSW STEEL LTD,,Y44680158,INE019A01038,BZBYJJ7,3102,3102.17164,0.00000,3.937207,INR,1.000000,,,,,,,
EQUITY,LARSEN AND TOUBRO LTD,,Y5217N159,INE018A01030,B0166K8,1747,1747.85121,0.00000,18.241643,INR,1.000000,,,,,,,
EQUITY,LIC HOUSING FINANCE LTD,,Y5278Z133,INE115A01026,6101026,1091,1091.77981,0.00000,6.544958,INR,1.000000,,,,,,,
EQUITY,LUPIN LTD,,Y5362X101,INE326A01037,6143761,812,812.41962,0.00000,12.118579,INR,1.000000,,,,,,,
EQUITY,MAHINDRA AND MAHINDRA FINANCIAL SE,,Y53987122,INE774D01024,B8F8822,1109,1109.94336,0.00000,6.092929,INR,1.000000,,,,,,,
EQUITY,MAHINDRA AND MAHINDRA LTD,,Y54164150,INE101A01026,6100186,2735,2735.08723,0.00000,9.753311,INR,1.000000,,,,,,,
EQUITY,MARICO LTD,,Y5841R170,INE196A01026,B1S34K5,1656,1656.64790,0.00000,5.277875,INR,1.000000,,,,,,,
EQUITY,MARUTI SUZUKI INDIA LTD,,Y7565Y100,INE585B01010,6633712,387,387.67850,0.00000,98.751139,INR,1.000000,,,,,,,
EQUITY,MOTHERSON SUMI SYSTEMS LTD,,Y6139B141,INE775A01035,6743990,3473,3473.60780,0.00000,2.208284,INR,1.000000,,,,,,,
EQUITY,NESTLE INDIA LTD,,Y6268T111,INE239A01016,6128605,84,84.84769,0.00000,158.608172,INR,1.000000,,,,,,,
EQUITY,NTPC LTD,,Y6421X116,INE733E01010,B037HF1,7256,7256.17762,0.00000,1.972808,INR,1.000000,,,,,,,
EQUITY,OIL AND NATURAL GAS LTD,,Y64606133,INE213A01029,6139362,5175,5175.03165,0.00000,2.008550,INR,1.000000,,,,,,,
EQUITY,PAGE INDUSTRIES LTD,,Y6592S102,INE761H01022,B1VJS64,20,20.04009,0.00000,319.697947,INR,1.000000,,,,,,,
EQUITY,PETRONET LNG LTD,,Y68259103,INE347G01014,B00KT68,2200,2200.05135,0.00000,3.178919,INR,1.000000,,,,,,,
EQUITY,PIDILITE INDUSTRIES LTD,,Y6977T139,INE318A01026,B0JJV59,446,446.89236,0.00000,15.858855,INR,1.000000,,,,,,,
EQUITY,PIRAMAL ENTERPRISES LTD,,Y6941N101,INE140A01024,B058J56,298,298.15441,0.00000,33.048567,INR,1.000000,,,,,,,
EQUITY,POWER GRID CORPORATION OF INDIA LT,,Y7028N105,INE752E01010,B233HS6,5754,5754.88251,0.00000,2.611255,INR,1.000000,,,,,,,
EQUITY,REC LTD,,Y73650106,INE020B01018,B2Q7WL3,2536,2536.02532,0.00000,1.695283,INR,1.000000,,,,,,,
EQUITY,RELIANCE INDUSTRIES LTD,,Y72596102,INE002A01018,6099626,10457,10457.36545,0.00000,17.188310,INR,1.000000,,,,,,,
EQUITY,SHREE CEMENT LTD,,Y7757Y132,INE070A01015,6100357,30,30.65740,0.00000,225.710982,INR,1.000000,,,,,,,
EQUITY,SHRIRAM TRANSPORT FINANCE COMPANY,,Y7758E119,INE721A01013,6802608,541,541.00809,0.00000,15.250543,INR,1.000000,,,,,,,
EQUITY,STATE BANK OF INDIA,,Y8155P103,INE062A01020,BSQCB24,6544,6544.84980,0.00000,4.017801,INR,1.000000,,,,,,,
EQUITY,SUN PHARMACEUTICAL INDUSTRIES LTD,,Y8523Y158,INE044A01036,6582483,3079,3079.12873,0.00000,6.041068,INR,1.000000,,,,,,,
EQUITY,TATA CONSULTANCY SERVICES LTD,,Y85279100,INE467B01029,B01NPJ1,3302,3302.17551,0.00000,26.289158,INR,1.000000,,,,,,,
EQUITY,TATA MOTORS LTD,,Y85740267,INE155A01022,B611LV1,5822,5822.95497,0.00000,2.526456,INR,1.000000,,,,,,,
EQUITY,TATA POWER LTD,,Y85481169,INE245A01021,B6Z1L73,4063,4063.78332,0.00000,1.054033,INR,1.000000,,,,,,,
EQUITY,TATA STEEL LTD,,Y8547N139,INE081A01012,6101156,1280,1280.46746,0.00000,6.512019,INR,1.000000,,,,,,,
EQUITY,TECH MAHINDRA LTD,,Y85491127,INE669C01036,BWFGD63,1726,1726.06929,0.00000,10.101619,INR,1.000000,,,,,,,
