Fund Level
Fund Name,iShares Core MSCI Pacific ETF
Fund Ticker,IPAC
Fund ISIN,US46434V6965
Fund Cusip,46434V696
Fund LEI,
Total NAV per share,53.010549,Jan 23 2019
Distribution per Share,,
Fund Size,927684607.50,Jan 23 2019
Shares Outstanding,17500000,Jan 23 2019
Baskets Outstanding,175.000000000000,Jan 23 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 24 2019
Settlement Date,
Shares per Basket (PNU),100000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,634.78,Jan 24 2019
Projected Cash for Deliverable Basket,244281.82,Jan 24 2019
Confirmed Cash for Deliverable Basket,244295.04,Jan 23 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,ABACUS PROPERTY GROUP STAPLED UNIT,,Q0015N229,AU000000ABP9,6565707,540,540.76000,0.00000,2.424880,AUD,1.000000,,,,,,,
EQUITY,ACCENT GROUP LTD,,Q0R618101,AU000000AX19,BD20RS5,793,793.76000,0.00000,0.891500,AUD,1.000000,,,,,,,
EQUITY,ACOM LTD,,J00105106,JP3108600002,6049784,400,400.00000,0.00000,3.456925,JPY,1.000000,,,,,,,
EQUITY,ADEKA CORP,,J0011Q109,JP3114800000,6054904,100,101.71428,0.00000,15.679299,JPY,1.000000,,,,,,,
EQUITY,ADELAIDE BRIGHTON LTD,,Q0109N101,AU000000ABC7,6006886,502,502.53714,0.00000,3.230797,AUD,1.000000,,,,,,,
EQUITY,ADVANCE RESIDENCE INVESTMENT REIT,,J00184101,JP3047160001,B62WZW2,1,1.01714,0.00000,2900.533589,JPY,1.000000,,,,,,,
EQUITY,ADVANTEST CORP,,J00210104,JP3122400009,6870490,200,200.57142,0.00000,19.719980,JPY,1.000000,,,,,,,
EQUITY,AEON FINANCIAL SERVICES LTD,,J0021H107,JP3131400008,6037734,100,101.71428,0.00000,19.437224,JPY,1.000000,,,,,,,
EQUITY,AEON LTD,,J00288100,JP3388200002,6480048,600,600.00000,0.00000,19.984494,JPY,1.000000,,,,,,,
EQUITY,AEON MALL LTD,,J10005106,JP3131430005,6534202,200,200.57142,0.00000,16.053268,JPY,1.000000,,,,,,,
EQUITY,AEON REIT INVESTMENT REIT CORP,,J10006104,JP3047650001,BFSSCF9,2,2.00571,0.00000,1174.807315,JPY,1.000000,,,,,,,
EQUITY,AFTERPAY TOUCH GROUP LTD,,Q3583G105,AU000000APT1,BF5L8B9,166,166.00000,0.00000,10.869170,AUD,1.000000,,,,,,,
EQUITY,AGC INC,,J0025W100,JP3112000009,6055208,200,200.00000,0.00000,32.973047,JPY,1.000000,,,,,,,
EQUITY,AGL ENERGY LTD,,Q01630195,AU000000AGL7,BSS7GP5,581,581.70857,0.00000,15.019995,AUD,1.000000,,,,,,,
EQUITY,AIA GROUP LTD,,Y002A1105,HK0000069689,B4TX8S1,11200,11200.00000,0.00000,8.724913,HKD,1.000000,,,,,,,
EQUITY,AICA KOGYO LTD,,J00252106,JP3100800006,6010047,100,100.00000,0.00000,33.429106,JPY,1.000000,,,,,,,
EQUITY,AIDA ENGINEERING LTD,,J00546101,JP3102400003,6010326,300,300.00000,0.00000,6.932093,JPY,1.000000,,,,,,,
EQUITY,AIFUL CORP,,J00557108,JP3105040004,6019419,900,900.00000,0.00000,2.426232,JPY,1.000000,,,,,,,
EQUITY,AIR NEW ZEALAND LTD,,Q0169V100,NZAIRE0001S2,6426484,542,542.70857,0.00000,2.249559,NZD,1.000000,,,,,,,
EQUITY,AISIN SEIKI LTD,,J00714105,JP3102000001,6010702,200,200.00000,0.00000,39.084234,JPY,1.000000,,,,,,,
