Fund Level
Fund Name,iShares International Preferred Stock ETF
Fund Ticker,IPFF
Fund ISIN,US46429B1355
Fund Cusip,46429B135
Fund LEI,
Total NAV per share,15.632138,Jan 23 2019
Distribution per Share,,
Fund Size,45333200.20,Jan 23 2019
Shares Outstanding,2900000,Jan 23 2019
Baskets Outstanding,58.000000000000,Jan 23 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 24 2019
Settlement Date,
Shares per Basket (PNU),50000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,4300.38,Jan 24 2019
Projected Cash for Deliverable Basket,10573.6,Jan 24 2019
Confirmed Cash for Deliverable Basket,9954.37,Jan 23 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,ALTAGAS LTD,,021361837,CA0213618378,BDZPJQ9,470,470.79310,0.00000,13.319856,CAD,1.000000,,,,,,,
EQUITY,AVIVA   % CUM IRRD PREF PLC,,G0683Q125,GB0002114154,0211415,3923,3923.27586,0.00000,1.763369,GBP,1.000000,,,,,,,
EQUITY,AVIVA   % CUM IRRD PREF PLC,,G0683Q117,GB0002124963,0212496,3923,3923.27586,0.00000,1.822148,GBP,1.000000,,,,,,,
EQUITY,BALFOUR BEATTY PLC,,G10920141,GB0000978204,0097820,4394,4394.06896,0.00000,1.410695,GBP,1.000000,,,,,,,
EQUITY,BANK NOVA SCOTIA HALIFAX PFD 3.7%,,064149610,CA0641496108,B3PWHT9,437,437.87931,0.00000,17.400419,CAD,1.000000,,,,,,,
EQUITY,BANK OF MONTREAL,,063679609,CA0636796090,BN7N5S5,627,627.72413,0.00000,14.143456,CAD,1.000000,,,,,,,
EQUITY,BANK OF MONTREAL,,06367X705,CA06367X7053,BDDR826,925,941.58620,0.00000,19.159928,CAD,1.000000,,,,,,,
EQUITY,BANK OF MONTREAL,,06367X887,CA06367X8879,BF4LSR6,625,627.79310,0.00000,17.385445,CAD,1.000000,,,,,,,
EQUITY,BANK OF MONTREAL,,06368A209,CA06368A2092,BD36NX9,784,784.65517,0.00000,17.894579,CAD,1.000000,,,,,,,
EQUITY,BANK OF MONTREAL,,06368B207,CA06368B2075,BG1VP31,627,627.72413,0.00000,17.333034,CAD,1.000000,,,,,,,
EQUITY,BANK OF MONTREAL  YEAR RATE RESET,,063679880,CA0636798807,BPNNRB0,247,247.70689,0.00000,14.165918,CAD,1.000000,,,,,,,
EQUITY,BANK OF MONTREAL  YEAR RESET NON C,,063679401,CA0636794012,BLTNVS1,784,784.65517,0.00000,14.660078,CAD,1.000000,,,,,,,
EQUITY,BANK OF NOVA SCOTIA,,064151111,CA0641511112,BZ6SJY9,784,784.65517,0.00000,18.927823,CAD,1.000000,,,,,,,
EQUITY,BANK OF NOVA SCOTIA,,06415E303,CA06415E3032,BGNBYN2,470,470.79310,0.00000,17.437856,CAD,1.000000,,,,,,,
EQUITY,BANK OF NOVA SCOTIA PFD 5.5 SER 34,,064149552,CA0641495522,BD59VG5,275,289.01724,0.00000,19.347110,CAD,1.000000,,,,,,,
EQUITY,BCE INC 1ST PFD SER AK,,05534B679,CA05534B6796,B3NY8F0,892,892.39655,0.00000,11.545373,CAD,1.000000,,,,,,,
EQUITY,BROOKFIELD ASSET MANAGEMENT CUM CL,,112585484,CA1125854846,BYZFG10,205,205.29310,0.00000,19.159928,CAD,1.000000,,,,,,,
EQUITY,BROOKFIELD ASSET MANAGEMENT INC,,112585427,CA1125854275,BF3VKY8,247,247.70689,0.00000,18.201557,CAD,1.000000,,,,,,,
EQUITY,BROOKFIELD ASSET MANAGEMENT INC,,112585450,CA1125854507,BD6NFX1,245,245.56896,0.00000,18.980234,CAD,1.000000,,,,,,,
EQUITY,BROOKFIELD ASSET MGMT INC CUM CLA,,112585641,CA1125856411,B75L8Q8,247,247.36206,0.00000,16.644205,CAD,1.000000,,,,,,,
EQUITY,BROOKFIELD INFRASTRUCTURE SERIES,,G16252184,BMG162521840,BYYYYB4,247,247.70689,0.00000,17.220725,CAD,1.000000,,,,,,,
EQUITY,BROOKFIELD OFFICE PPTYS INC CL AAA,,112900766,CA1129007664,B7R7358,206,206.43103,0.00000,14.487871,CAD,1.000000,,,,,,,
EQUITY,BROOKFIELD OFFICE PROPERTIES INC,,112900626,CA1129006260,BDG1S36,431,431.56896,0.00000,15.086852,CAD,1.000000,,,,,,,
EQUITY,BROOKFIELD OFFICE PROPERTIES INC,,112900642,CA1129006427,BD8BY36,227,227.06896,0.00000,16.696616,CAD,1.000000,,,,,,,
EQUITY,CANADIAN IMPERIAL BANK,,136069424,CA1360694246,BTK6J47,247,247.70689,0.00000,14.001198,CAD,1.000000,,,,,,,
EQUITY,CANADIAN IMPERIAL BANK,,136069440,CA1360694402,BN8KS20,325,330.27586,0.00000,14.210842,CAD,1.000000,,,,,,,
EQUITY,CANADIAN IMPERIAL BANK OF COMMERCE,,136070208,CA1360702080,BYWDKG0,1255,1255.44827,0.00000,17.333034,CAD,1.000000,,,,,,,
EQUITY,CANADIAN IMPERIAL BANK OF COMMERCE,,136070877,CA1360708772,BFMDCH2,706,706.18965,0.00000,15.423780,CAD,1.000000,,,,,,,
EQUITY,CITY DEVELOPMENTS PREF LTD,,Y1640S113,SG1P70918864,B01CK60,6000,6822.91379,0.00000,0.794322,SGD,1.000000,,,,,,,
EQUITY,DORIC NIMROD AIR THREE PRF LTD,,G2898H106,GG00B92LHN58,B92LHN5,8631,8631.20689,0.00000,1.345385,GBP,1.000000,,,,,,,
EQUITY,DORIC NIMROD AIR TWO PREF LTD,,G28985102,GG00B3Z62522,B3Z6252,6777,6777.46551,0.00000,2.873638,GBP,1.000000,,,,,,,
EQUITY,ECCLESIASTICAL INSURANCE OFFICE .6,,G2917K122,GB0003035382,0303538,4176,4176.32758,0.00000,1.854803,GBP,1.000000,,,,,,,
EQUITY,ELEMENT FINANCIAL CORP,,286181789,CA2861817898,BYN7TV9,0,60.84482,0.00000,15.521114,CAD,1.000000,,,,,,,
EQUITY,EMERA INC,,290876507,CA2908765076,B8C11K3,206,206.43103,0.00000,15.887990,CAD,1.000000,,,,,,,
EQUITY,EMERA INCORPORATED,,290876861,CA2908768617,BF2QB74,470,470.79310,0.00000,17.595088,CAD,1.000000,,,,,,,
EQUITY,ENBRIDGE CUMULATIVE REDEEMABLE PRE,,29250N709,CA29250N7099,B3Z1R85,400,418.44827,0.00000,11.275831,CAD,1.000000,,,,,,,
EQUITY,ENBRIDGE INC,,29250N519,CA29250N5192,BF3D3L2,458,458.22413,0.00000,17.070979,CAD,1.000000,,,,,,,
EQUITY,ENBRIDGE INC,,29250N535,CA29250N5358,BZCP5V3,687,687.34482,0.00000,17.857143,CAD,1.000000,,,,,,,
EQUITY,ENBRIDGE INC,,29250N576,CA29250N5762,BP8CZ52,320,320.75862,0.00000,12.758311,CAD,1.000000,,,,,,,
