Fund Level
Fund Name,iShares Robotics and Artificial Intelligence ETF
Fund Ticker,IRBO
Fund ISIN,US46435U5561
Fund Cusip,46435U556
Fund LEI,
Total NAV per share,21.590502,Jan 23 2019
Distribution per Share,,
Fund Size,17272401.60,Jan 23 2019
Shares Outstanding,800000,Jan 23 2019
Baskets Outstanding,4.000000000000,Jan 23 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 24 2019
Settlement Date,
Shares per Basket (PNU),200000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,6498.8,Jan 24 2019
Projected Cash for Deliverable Basket,9814.59,Jan 24 2019
Confirmed Cash for Deliverable Basket,9823.34,Jan 23 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,21VIANET GROUP ADR REPRESENTING SI,,90138A103,US90138A1034,B3Q0VS9,4896,4896.00000,0.00000,8.830000,USD,1.000000,,,,,,,
EQUITY,3D SYSTEMS CORP,,88554D205,US88554D2053,2889768,4360,4360.00000,0.00000,10.810000,USD,1.000000,,,,,,,
EQUITY,ADOBE INC,,00724F101,US00724F1012,2008154,204,204.00000,0.00000,245.140000,USD,1.000000,,,,,,,
EQUITY,ADVANCED MICRO DEVICES INC,,007903107,US0079031078,2007849,2331,2331.00000,0.00000,19.800000,USD,1.000000,,,,,,,
EQUITY,ALIBABA GROUP HOLDING ADR REPRESEN,,01609W102,US01609W1027,BP41ZD1,314,314.00000,0.00000,152.030000,USD,1.000000,,,,,,,
EQUITY,ALPHABET INC CLASS A,,02079K305,US02079K3059,BYVY8G0,45,45.00000,0.00000,1084.410000,USD,1.000000,,,,,,,
EQUITY,ALTAIR ENGINEERING INC CLASS A,,021369103,US0213691035,BD6D4Y5,1707,1707.00000,0.00000,31.450000,USD,1.000000,,,,,,,
EQUITY,ALTERYX INC CLASS A,,02156B103,US02156B1035,BYWMQJ2,726,726.00000,0.00000,71.210000,USD,1.000000,,,,,,,
EQUITY,AMAZON COM INC,,023135106,US0231351067,2000019,30,30.00000,0.00000,1640.020000,USD,1.000000,,,,,,,
EQUITY,AMBARELLA INC,,G037AX101,KYG037AX1015,B7KH3G6,1244,1244.00000,0.00000,36.000000,USD,1.000000,,,,,,,
