Fund Level
Fund Name,iShares Edge MSCI Intl Size Factor ETF
Fund Ticker,ISZE
Fund ISIN,US46435G5080
Fund Cusip,46435G508
Fund LEI,
Total NAV per share,25.092053,Jan 23 2019
Distribution per Share,,
Fund Size,5018410.60,Jan 23 2019
Shares Outstanding,200000,Jan 23 2019
Baskets Outstanding,1.000000000000,Jan 23 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 24 2019
Settlement Date,
Shares per Basket (PNU),200000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,12722.41,Jan 24 2019
Projected Cash for Deliverable Basket,60256.62,Jan 24 2019
Confirmed Cash for Deliverable Basket,60329.52,Jan 23 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,1&1 DRILLISCH AG,,D23138106,DE0005545503,5734672,93,93.00000,0.00000,43.991206,EUR,1.000000,,,,,,,
EQUITY,3I GROUP PLC,,G88473148,GB00B1YW4409,B1YW440,464,464.00000,0.00000,10.614175,GBP,1.000000,,,,,,,
EQUITY,A P MOLLER MAERSK B,,K0514G101,DK0010244508,4253048,5,5.00000,0.00000,1325.276417,DKK,1.000000,,,,,,,
EQUITY,ABB LTD,,H0010V101,CH0012221716,7108899,356,356.00000,0.00000,19.040924,CHF,1.000000,,,,,,,
EQUITY,ABC MART INC,,J00056101,JP3152740001,6292102,100,100.00000,0.00000,56.004013,JPY,1.000000,,,,,,,
EQUITY,ABN AMRO GROUP NV,,N0162C102,NL0011540547,BYQP136,127,127.00000,0.00000,25.534472,EUR,1.000000,,,,,,,
EQUITY,ACCOR SA,,F00189120,FR0000120404,5852842,103,103.00000,0.00000,44.025343,EUR,1.000000,,,,,,,
EQUITY,ACS ACTIVIDADES DE CONSTRUCCION Y,,E7813W163,ES0167050915,B01FLQ6,108,108.00000,0.00000,40.554749,EUR,1.000000,,,,,,,
EQUITY,ACTIVIDADES DE CONSTRUCCION Y SERV,,,ES06670509E9,BFMXP84,0,0.00000,108.00000,0.523775,EUR,1.000000,,,,,,,
EQUITY,ADECCO GROUP AG,,H00392318,CH0012138605,7110720,111,111.00000,0.00000,50.815968,CHF,1.000000,,,,,,,
