Fund Level
Fund Name,iShares Russell 2000 Index Fund
Fund Ticker,IWM
Fund ISIN,US4642876555
Fund Cusip,464287655
Fund LEI,
Total NAV per share,144.558067,Jan 23 2019
Distribution per Share,,
Fund Size,41040035221.30,Jan 23 2019
Shares Outstanding,283900000,Jan 23 2019
Baskets Outstanding,5678.000000000000,Jan 23 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 24 2019
Settlement Date,
Shares per Basket (PNU),50000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,732.19,Jan 24 2019
Projected Cash for Deliverable Basket,405136.75,Jan 24 2019
Confirmed Cash for Deliverable Basket,404995.86,Jan 23 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,1-800 FLOWERS.COM INC CLASS A,,68243Q106,US68243Q1067,2444123,100,100.25625,0.00000,13.400000,USD,1.000000,,,,,,,
EQUITY,1ST CONSTITUTION BANCORP,,31986N102,US31986N1028,2554345,27,27.35664,0.00000,19.650000,USD,1.000000,,,,,,,
EQUITY,1ST SOURCE CORP,,336901103,US3369011032,2341848,59,59.10391,0.00000,44.380000,USD,1.000000,,,,,,,
EQUITY,3D SYSTEMS CORP,,88554D205,US88554D2053,2889768,405,405.20201,0.00000,10.810000,USD,1.000000,,,,,,,
EQUITY,8X8 INC,,282914100,US2829141009,2037170,353,353.13367,0.00000,20.000000,USD,1.000000,,,,,,,
EQUITY,A SCHULMAN INC,,808CVR104,US808CVR1040,9927791,0,97.91828,0.00000,1.910000,USD,1.000000,,,,,,,
EQUITY,A10 NETWORKS INC,,002121101,US0021211018,BKQVBN6,194,193.53012,0.00000,6.560000,USD,1.000000,,,,,,,
EQUITY,AAC HLDG INC,,000307108,US0003071083,BQZJBY4,53,53.17260,0.00000,2.510000,USD,1.000000,,,,,,,
EQUITY,AAON INC,,000360206,US0003602069,2268130,156,156.01902,0.00000,36.260000,USD,1.000000,,,,,,,
EQUITY,AAR CORP,,000361105,US0003611052,2001119,124,123.97341,0.00000,37.010000,USD,1.000000,,,,,,,
EQUITY,AARONS INC,,002535300,US0025353006,2002918,259,258.96971,0.00000,47.540000,USD,1.000000,,,,,,,
EQUITY,ABEONA THERAPEUTICS INC,,00289Y107,US00289Y1073,BYNS0T7,115,114.91300,0.00000,6.750000,USD,1.000000,,,,,,,
EQUITY,ABERCROMBIE AND FITCH CLASS A,,002896207,US0028962076,2004185,249,248.50335,0.00000,20.080000,USD,1.000000,,,,,,,
