Fund Level
Fund Name,iShares Russell 3000 Index Fund
Fund Ticker,IWV
Fund ISIN,US4642876894
Fund Cusip,464287689
Fund LEI,
Total NAV per share,155.191514,Jan 23 2019
Distribution per Share,,
Fund Size,9443403626.90,Jan 23 2019
Shares Outstanding,60850000,Jan 23 2019
Baskets Outstanding,1217.000000000000,Jan 23 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 24 2019
Settlement Date,
Shares per Basket (PNU),50000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,905.03,Jan 24 2019
Projected Cash for Deliverable Basket,67151.96,Jan 24 2019
Confirmed Cash for Deliverable Basket,66960.15,Jan 23 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,1-800 FLOWERS.COM INC CLASS A,,68243Q106,US68243Q1067,2444123,7,6.88003,0.00000,13.400000,USD,1.000000,,,,,,,
EQUITY,1ST CONSTITUTION BANCORP,,31986N102,US31986N1028,2554345,4,3.83730,0.00000,19.650000,USD,1.000000,,,,,,,
EQUITY,1ST SOURCE CORP,,336901103,US3369011032,2341848,4,4.29827,0.00000,44.380000,USD,1.000000,,,,,,,
EQUITY,2U INC,,90214J101,US90214J1016,BKWBZZ0,16,15.68283,0.00000,55.830000,USD,1.000000,,,,,,,
EQUITY,3D SYSTEMS CORP,,88554D205,US88554D2053,2889768,29,29.35497,0.00000,10.810000,USD,1.000000,,,,,,,
EQUITY,3M,,88579Y101,US88579Y1010,2595708,166,166.24569,0.00000,192.290000,USD,1.000000,,,,,,,
EQUITY,8X8 INC,,282914100,US2829141009,2037170,26,25.63599,0.00000,20.000000,USD,1.000000,,,,,,,
EQUITY,A O SMITH CORP,,831865209,US8318652091,2816023,41,40.73131,0.00000,46.480000,USD,1.000000,,,,,,,
EQUITY,A SCHULMAN INC,,808CVR104,US808CVR1040,9927791,0,6.85703,0.00000,1.910000,USD,1.000000,,,,,,,
EQUITY,A10 NETWORKS INC,,002121101,US0021211018,BKQVBN6,16,16.16763,0.00000,6.560000,USD,1.000000,,,,,,,
EQUITY,AAC HLDG INC,,000307108,US0003071083,BQZJBY4,2,1.60641,0.00000,2.510000,USD,1.000000,,,,,,,
EQUITY,AAON INC,,000360206,US0003602069,2268130,11,11.05998,0.00000,36.260000,USD,1.000000,,,,,,,
EQUITY,AAR CORP,,000361105,US0003611052,2001119,10,10.14955,0.00000,37.010000,USD,1.000000,,,,,,,
EQUITY,AARONS INC,,002535300,US0025353006,2002918,20,20.19063,0.00000,47.540000,USD,1.000000,,,,,,,
EQUITY,ABBOTT LABORATORIES,,002824100,US0028241000,2002305,499,498.93919,0.00000,69.910000,USD,1.000000,,,,,,,
EQUITY,ABBVIE INC,,00287Y109,US00287Y1091,B92SR70,442,441.79869,0.00000,88.450000,USD,1.000000,,,,,,,
EQUITY,ABEONA THERAPEUTICS INC,,00289Y107,US00289Y1073,BYNS0T7,7,6.89975,0.00000,6.750000,USD,1.000000,,,,,,,
EQUITY,ABERCROMBIE AND FITCH CLASS A,,002896207,US0028962076,2004185,20,19.61216,0.00000,20.080000,USD,1.000000,,,,,,,
EQUITY,ABIOMED INC,,003654100,US0036541003,2003698,12,12.37469,0.00000,336.980000,USD,1.000000,,,,,,,
EQUITY,ABM INDUSTRIES INC,,000957100,US0009571003,2024901,19,19.05094,0.00000,34.570000,USD,1.000000,,,,,,,
EQUITY,ABRAXAS PETROLEUM CORP,,003830106,US0038301067,2003030,46,46.11832,0.00000,1.210000,USD,1.000000,,,,,,,
EQUITY,ACACIA COMMUNICATIONS INC,,00401C108,US00401C1080,BYXPCC5,8,7.85785,0.00000,42.080000,USD,1.000000,,,,,,,
EQUITY,ACACIA RESEARCH CORP,,003881307,US0038813079,2169589,0,10.86113,0.00000,3.050000,USD,1.000000,,,,,,,
EQUITY,ACADIA HEALTHCARE COMPANY INC,,00404A109,US00404A1097,B65VZ37,25,24.97371,0.00000,27.890000,USD,1.000000,,,,,,,
EQUITY,ACADIA PHARMACEUTICALS INC,,004225108,US0042251084,2713317,28,28.14626,0.00000,20.810000,USD,1.000000,,,,,,,
EQUITY,ACADIA REALTY TRUST REIT,,004239109,US0042391096,2566522,23,22.74445,0.00000,26.460000,USD,1.000000,,,,,,,
EQUITY,ACCELERATE DIAGNOSTICS INC,,00430H102,US00430H1023,B8QZWL9,6,5.99918,0.00000,16.560000,USD,1.000000,,,,,,,
EQUITY,ACCELERON PHARMA INC,,00434H108,US00434H1086,BDGTXQ8,11,10.84141,0.00000,41.150000,USD,1.000000,,,,,,,
EQUITY,ACCENTURE PLC CLASS A,,G1151C101,IE00B4BNMY34,B4BNMY3,188,187.63353,0.00000,148.420000,USD,1.000000,,,,,,,
EQUITY,ACCESS NATIONAL CORP,,004337101,US0043371014,B01Y8T5,0,3.77239,0.00000,23.990000,USD,1.000000,,,,,,,
EQUITY,ACCO BRANDS CORP,,00081T108,US00081T1088,B0G7SZ5,30,30.17913,0.00000,8.730000,USD,1.000000,,,,,,,
EQUITY,ACCURAY INC,,004397105,US0043971052,B1R2HW6,19,19.14380,0.00000,4.420000,USD,1.000000,,,,,,,
EQUITY,ACHAOGEN INC,,004449104,US0044491043,BK35H22,8,8.19392,0.00000,1.230000,USD,1.000000,,,,,,,
EQUITY,ACHILLION PHARMACEUTICALS INC,,00448Q201,US00448Q2012,B17T9T8,31,31.16845,0.00000,2.180000,USD,1.000000,,,,,,,
EQUITY,ACI WORLDWIDE INC,,004498101,US0044981019,2889155,32,32.07642,0.00000,28.430000,USD,1.000000,,,,,,,
EQUITY,ACLARIS THERAPEUTICS INC,,00461U105,US00461U1051,BYV2W40,7,6.70666,0.00000,6.060000,USD,1.000000,,,,,,,
EQUITY,ACM RESEARCH CLASS A INC,,00108J109,US00108J1097,BF5C2N2,6,6.36154,0.00000,9.270000,USD,1.000000,,,,,,,
EQUITY,ACNB CORP,,000868109,US0008681092,2412012,2,1.72802,0.00000,36.700000,USD,1.000000,,,,,,,
EQUITY,ACORDA THERAPEUTICS INC,,00484M106,US00484M1062,2925844,12,12.10435,0.00000,16.010000,USD,1.000000,,,,,,,
EQUITY,ACTIVISION BLIZZARD INC,,00507V109,US00507V1098,2575818,219,219.06574,0.00000,46.020000,USD,1.000000,,,,,,,
EQUITY,ACTUANT CORP CLASS A,,00508X203,US00508X2036,2716792,17,17.18077,0.00000,21.900000,USD,1.000000,,,,,,,
EQUITY,ACUITY BRANDS INC,,00508Y102,US00508Y1029,2818461,11,11.37634,0.00000,115.550000,USD,1.000000,,,,,,,
EQUITY,ACUSHNET HOLDINGS CORP,,005098108,US0050981085,BD3WG50,10,10.20542,0.00000,23.170000,USD,1.000000,,,,,,,
EQUITY,ADAMAS PHARMACEUTICALS INC,,00548A106,US00548A1060,BL25XY4,6,6.06491,0.00000,8.610000,USD,1.000000,,,,,,,
EQUITY,ADAMS RESOURCES AND ENERGY INC,,006351308,US0063513081,2007526,1,0.70419,0.00000,40.810000,USD,1.000000,,,,,,,
EQUITY,ADDUS HOMECARE CORP,,006739106,US0067391062,B55BN47,3,2.83402,0.00000,62.500000,USD,1.000000,,,,,,,
EQUITY,ADESTO TECHNOLOGIES CORP,,00687D101,US00687D1019,BZ4SM86,9,9.11504,0.00000,4.900000,USD,1.000000,,,,,,,
EQUITY,ADIENT PLC,,G0084W101,IE00BD845X29,BD845X2,27,27.01479,0.00000,17.860000,USD,1.000000,,,,,,,
EQUITY,ADMA BIOLOGICS INC,,000899104,US0008991046,B9NSBM2,17,16.57765,0.00000,3.220000,USD,1.000000,,,,,,,
EQUITY,ADOBE INC,,00724F101,US00724F1012,2008154,143,143.37223,0.00000,245.140000,USD,1.000000,,,,,,,
EQUITY,ADT INC,,00090Q103,US00090Q1031,BFWCP81,30,30.39606,0.00000,7.000000,USD,1.000000,,,,,,,
EQUITY,ADTALEM GLOBAL EDUCATION INC,,00737L103,US00737L1035,BZ12TX5,17,16.90304,0.00000,49.150000,USD,1.000000,,,,,,,
EQUITY,ADTRAN INC,,00738A106,US00738A1060,2052924,15,15.29006,0.00000,12.270000,USD,1.000000,,,,,,,
