Fund Level
Fund Name,iShares Global Energy ETF
Fund Ticker,IXC
Fund ISIN,US4642873412
Fund Cusip,464287341
Fund LEI,
Total NAV per share,31.357568,Jan 23 2019
Distribution per Share,,
Fund Size,1269981504.00,Jan 23 2019
Shares Outstanding,40500000,Jan 23 2019
Baskets Outstanding,270.000000000000,Jan 23 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 24 2019
Settlement Date,
Shares per Basket (PNU),150000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,9439.62,Jan 24 2019
Projected Cash for Deliverable Basket,21468.54,Jan 24 2019
Confirmed Cash for Deliverable Basket,21400.26,Jan 23 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,ANADARKO PETROLEUM CORP,,032511107,US0325111070,2032380,1027,1027.71111,0.00000,45.880000,USD,1.000000,,,,,,,
EQUITY,APACHE CORP,,037411105,US0374111054,2043962,773,773.67777,0.00000,30.970000,USD,1.000000,,,,,,,
EQUITY,ARC RESOURCES LTD,,00208D408,CA00208D4084,B6463M8,724,724.00000,0.00000,7.180294,CAD,1.000000,,,,,,,
EQUITY,BAKER HUGHES CLASS A,,05722G100,US05722G1004,BDHLTQ5,1043,1043.66666,0.00000,22.980000,USD,1.000000,,,,,,,
EQUITY,BP PLC,,G12793108,GB0007980591,0798059,40694,40694.97037,0.00000,6.642023,GBP,1.000000,,,,,,,
EQUITY,CABOT OIL & GAS CORP,,127097103,US1270971039,2162340,877,877.88888,0.00000,24.960000,USD,1.000000,,,,,,,
EQUITY,CALTEX AUSTRALIA LTD,,Q19884107,AU000000CTX1,6161503,560,560.70740,0.00000,18.778559,AUD,1.000000,,,,,,,
EQUITY,CAMECO CORP,,13321L108,CA13321L1085,2166160,816,816.00370,0.00000,11.492962,CAD,1.000000,,,,,,,
EQUITY,CANADIAN NATURAL RESOURCES LTD,,136385101,CA1363851017,2171573,2461,2461.16296,0.00000,25.643905,CAD,1.000000,,,,,,,
EQUITY,CENOVUS ENERGY INC,,15135U109,CA15135U1093,B57FG04,2070,2070.09629,0.00000,7.577119,CAD,1.000000,,,,,,,
