Fund Level
Fund Name,iShares Core MSCI Total International Stock ETF
Fund Ticker,IXUS
Fund ISIN,US46432F8344
Fund Cusip,46432F834
Fund LEI,
Total NAV per share,55.040903,Jan 23 2019
Distribution per Share,,
Fund Size,12962132656.50,Jan 23 2019
Shares Outstanding,235500000,Jan 23 2019
Baskets Outstanding,2355.000000000000,Jan 23 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 24 2019
Settlement Date,
Shares per Basket (PNU),100000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,201.9,Jan 24 2019
Projected Cash for Deliverable Basket,1059892.72,Jan 24 2019
Confirmed Cash for Deliverable Basket,1028110.84,Jan 23 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,1&1 DRILLISCH AG,,D23138106,DE0005545503,5734672,12,12.16220,0.00000,43.991206,EUR,1.000000,,,,,,,
EQUITY,21VIANET GROUP ADR REPRESENTING SI,,90138A103,US90138A1034,B3Q0VS9,25,25.11507,0.00000,8.830000,USD,1.000000,,,,,,,
EQUITY,3I GROUP PLC,,G88473148,GB00B1YW4409,B1YW440,243,243.02717,0.00000,10.614175,GBP,1.000000,,,,,,,
EQUITY,3SBIO INC,,G8875G102,KYG8875G1029,BY9D3L9,0,468.36518,0.00000,1.473484,HKD,1.000000,,,,,,,
EQUITY,51JOB ADR REPRESENTING INC,,316827104,US3168271043,B02TT74,8,8.50700,0.00000,66.400000,USD,1.000000,,,,,,,
EQUITY,58.COM ADR REPRESENTING  INC CLASS,,31680Q104,US31680Q1040,BG3GS91,24,24.38089,0.00000,60.480000,USD,1.000000,,,,,,,
EQUITY,77 BANK LTD,,J71348106,JP3352000008,6804165,0,25.18046,0.00000,17.795412,JPY,1.000000,,,,,,,
EQUITY,A P MOLLER MAERSK,,K0514G135,DK0010244425,4253059,0,0.94182,0.00000,1242.827642,DKK,1.000000,,,,,,,
EQUITY,A P MOLLER MAERSK B,,K0514G101,DK0010244508,4253048,1,1.56815,0.00000,1325.276417,DKK,1.000000,,,,,,,
EQUITY,A2A,,T0579B105,IT0001233417,5499131,416,416.59957,0.00000,1.784796,EUR,1.000000,,,,,,,
EQUITY,AA PLC,,G0013T104,GB00BMSKPJ95,BMSKPJ9,173,173.62675,0.00000,0.990360,GBP,1.000000,,,,,,,
EQUITY,AAC TECHNOLOGIES HOLDINGS INC,,G2953R114,KYG2953R1149,B85LKS1,0,189.17197,0.00000,5.748628,HKD,1.000000,,,,,,,
EQUITY,AAK,,W9609S117,SE0011337708,BF2FPV3,60,60.33290,0.00000,14.622058,SEK,1.000000,,,,,,,
EQUITY,AALBERTS INDUSTRIES NV,,N00089271,NL0000852564,B1W8P14,22,21.05222,0.00000,33.568044,EUR,1.000000,,,,,,,
EQUITY,AANNEMINGSMAATSCHAPPIJ CFE NV,,B27818135,BE0003883031,4318260,3,3.40254,0.00000,105.028152,EUR,1.000000,,,,,,,
EQUITY,AAREAL BANK AG,,D00379111,DE0005408116,7380062,13,13.45690,0.00000,32.669103,EUR,1.000000,,,,,,,
