Fund Level
Fund Name,iShares U.S. Energy ETF
Fund Ticker,IYE
Fund ISIN,US4642877967
Fund Cusip,464287796
Fund LEI,
Total NAV per share,33.669882,Jan 23 2019
Distribution per Share,,
Fund Size,845114038.20,Jan 23 2019
Shares Outstanding,25100000,Jan 23 2019
Baskets Outstanding,502.000000000000,Jan 23 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 24 2019
Settlement Date,
Shares per Basket (PNU),50000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,2581.26,Jan 24 2019
Projected Cash for Deliverable Basket,2536.22,Jan 24 2019
Confirmed Cash for Deliverable Basket,2529.63,Jan 23 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,ANADARKO PETROLEUM CORP,,032511107,US0325111070,2032380,640,640.11554,0.00000,45.880000,USD,1.000000,,,,,,,
EQUITY,ANTERO RESOURCES CORP,,03674X106,US03674X1063,BFD2WR8,281,281.31474,0.00000,10.050000,USD,1.000000,,,,,,,
EQUITY,APACHE CORP,,037411105,US0374111054,2043962,485,484.83865,0.00000,30.970000,USD,1.000000,,,,,,,
EQUITY,APERGY CORP,,03755L104,US03755L1044,BFXZQZ3,98,97.90040,0.00000,33.180000,USD,1.000000,,,,,,,
EQUITY,BAKER HUGHES CLASS A,,05722G100,US05722G1004,BDHLTQ5,644,644.44422,0.00000,22.980000,USD,1.000000,,,,,,,
EQUITY,CABOT OIL & GAS CORP,,127097103,US1270971039,2162340,552,552.35259,0.00000,24.960000,USD,1.000000,,,,,,,
EQUITY,CENTENNIAL RESOURCE DEVELOPMENT IN,,15136A102,US15136A1025,BYM4Z79,241,240.75896,0.00000,12.940000,USD,1.000000,,,,,,,
EQUITY,CHENIERE ENERGY INC,,16411R208,US16411R2085,2654364,280,280.12749,0.00000,62.730000,USD,1.000000,,,,,,,
EQUITY,CHESAPEAKE ENERGY CORP,,165167107,US1651671075,2182779,1156,1156.37450,0.00000,2.690000,USD,1.000000,,,,,,,
EQUITY,CHEVRON CORP,,166764100,US1667641005,2838555,2426,2425.98805,0.00000,111.390000,USD,1.000000,,,,,,,
