Fund Level
Fund Name,iShares U.S. Basic Materials ETF
Fund Ticker,IYM
Fund ISIN,US4642878387
Fund Cusip,464287838
Fund LEI,
Total NAV per share,87.400567,Jan 23 2019
Distribution per Share,,
Fund Size,419522721.60,Jan 23 2019
Shares Outstanding,4800000,Jan 23 2019
Baskets Outstanding,96.000000000000,Jan 23 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 24 2019
Settlement Date,
Shares per Basket (PNU),50000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,11048.46,Jan 24 2019
Projected Cash for Deliverable Basket,11191.7,Jan 24 2019
Confirmed Cash for Deliverable Basket,11243.14,Jan 23 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,AIR PRODUCTS AND CHEMICALS INC,,009158106,US0091581068,2011602,1636,1635.97917,0.00000,156.150000,USD,1.000000,,,,,,,
EQUITY,ALBEMARLE CORP,,012653101,US0126531013,2046853,791,791.09375,0.00000,73.920000,USD,1.000000,,,,,,,
EQUITY,ALCOA CORP,,013872106,US0138721065,BYNF418,1390,1389.72917,0.00000,28.300000,USD,1.000000,,,,,,,
EQUITY,ALLEGHENY TECHNOLOGIES INC,,01741R102,US01741R1023,2526117,937,936.57292,0.00000,26.440000,USD,1.000000,,,,,,,
EQUITY,ASHLAND GLOBAL INC,,044186104,US0441861046,BYND5N1,466,465.64583,0.00000,76.610000,USD,1.000000,,,,,,,
EQUITY,AXALTA COATING SYSTEMS LTD,,G0750C108,BMG0750C1082,BSFWCF5,1583,1582.93750,0.00000,24.980000,USD,1.000000,,,,,,,
EQUITY,CABOT CORP,,127055101,US1270551013,2162500,447,447.08333,0.00000,45.260000,USD,1.000000,,,,,,,
EQUITY,CARPENTER TECHNOLOGY CORP,,144285103,US1442851036,2177504,353,353.02083,0.00000,42.670000,USD,1.000000,,,,,,,
EQUITY,CELANESE CORP,,150870103,US1508701034,B05MZT4,997,996.55208,0.00000,93.370000,USD,1.000000,,,,,,,
EQUITY,CF INDUSTRIES HOLDINGS INC,,125269100,US1252691001,B0G4K50,1719,1719.40625,0.00000,42.120000,USD,1.000000,,,,,,,
EQUITY,CHEMOURS,,163851108,US1638511089,BZ0CTP8,1274,1274.01042,0.00000,33.490000,USD,1.000000,,,,,,,
EQUITY,COMMERCIAL METALS,,201723103,US2017231034,2213260,877,876.65625,0.00000,16.440000,USD,1.000000,,,,,,,
EQUITY,COMPASS MINERALS INTERNATIONAL INC,,20451N101,US20451N1019,2202763,252,252.26042,0.00000,48.080000,USD,1.000000,,,,,,,
EQUITY,DOMTAR CORP,,257559203,US2575592033,B1T84Z4,469,468.71875,0.00000,44.560000,USD,1.000000,,,,,,,
EQUITY,DOWDUPONT INC,,26078J100,US26078J1007,BYP66M4,17094,17094.33333,0.00000,56.430000,USD,1.000000,,,,,,,
EQUITY,EASTMAN CHEMICAL,,277432100,US2774321002,2298386,1043,1043.38542,0.00000,77.640000,USD,1.000000,,,,,,,
EQUITY,ECOLAB INC,,278865100,US2788651006,2304227,1894,1894.31250,0.00000,152.970000,USD,1.000000,,,,,,,
EQUITY,FMC CORP,,302491303,US3024913036,2328603,1003,1003.44792,0.00000,78.090000,USD,1.000000,,,,,,,
EQUITY,FREEPORT MCMORAN INC,,35671D857,US35671D8570,2352118,10798,10797.95833,0.00000,12.310000,USD,1.000000,,,,,,,
EQUITY,GCP APPLIED TECHNOLOGIES INC,,36164Y101,US36164Y1010,BYW8TV3,538,537.77083,0.00000,24.550000,USD,1.000000,,,,,,,
EQUITY,HB FULLER,,359694106,US3596941068,2354664,378,377.80208,0.00000,45.170000,USD,1.000000,,,,,,,
EQUITY,HUNTSMAN CORP,,447011107,US4470111075,B0650B9,1598,1598.25000,0.00000,20.680000,USD,1.000000,,,,,,,
EQUITY,INGEVITY CORP,,45688C107,US45688C1071,BD4LHG4,313,312.72917,0.00000,88.140000,USD,1.000000,,,,,,,
EQUITY,INTERNATIONAL FLAVORS & FRAGRANCES,,459506101,US4595061015,2464165,755,754.78125,0.00000,137.340000,USD,1.000000,,,,,,,
EQUITY,LINDE PLC,,G5494J103,IE00BZ12WP82,BZ12WP8,4106,4106.42708,0.00000,158.930000,USD,1.000000,,,,,,,
EQUITY,LYONDELLBASELL INDUSTRIES NV CLASS,,N53745100,NL0009434992,B3SPXZ3,2344,2343.62500,0.00000,84.430000,USD,1.000000,,,,,,,
EQUITY,MINERALS TECHNOLOGIES INC,,603158106,US6031581068,2595612,263,262.75000,0.00000,53.340000,USD,1.000000,,,,,,,
EQUITY,MOSAIC,,61945C103,US61945C1036,B3NPHP6,2643,2642.66667,0.00000,31.160000,USD,1.000000,,,,,,,
EQUITY,NEWMARKET CORP,,651587107,US6515871076,B01CGF1,66,66.27083,0.00000,397.860000,USD,1.000000,,,,,,,
EQUITY,NEWMONT MINING CORP,,651639106,US6516391066,2636607,3969,3969.18750,0.00000,32.200000,USD,1.000000,,,,,,,
EQUITY,NUCOR CORP,,670346105,US6703461052,2651086,2339,2339.02083,0.00000,57.280000,USD,1.000000,,,,,,,
EQUITY,OLIN CORP,,680665205,US6806652052,2658526,1243,1243.19792,0.00000,23.000000,USD,1.000000,,,,,,,
EQUITY,PEABODY ENERGY CORP,,704551100,US7045511000,BDVPZV0,580,580.18750,0.00000,34.500000,USD,1.000000,,,,,,,
EQUITY,PLATFORM SPECIALTY PRODUCTS CORP,,72766Q105,US72766Q1058,BJ62YZ5,1740,1740.36458,0.00000,10.890000,USD,1.000000,,,,,,,
EQUITY,POLYONE CORP,,73179P106,US73179P1066,2624561,594,594.12500,0.00000,31.070000,USD,1.000000,,,,,,,
EQUITY,PPG INDUSTRIES INC,,693506107,US6935061076,2698470,1787,1787.26042,0.00000,102.050000,USD,1.000000,,,,,,,
EQUITY,RELIANCE STEEL & ALUMINUM,,759509102,US7595091023,2729068,525,524.54167,0.00000,76.550000,USD,1.000000,,,,,,,
EQUITY,ROYAL GOLD INC,,780287108,US7802871084,2755706,488,488.16667,0.00000,81.740000,USD,1.000000,,,,,,,
EQUITY,RPM INTERNATIONAL INC,,749685103,US7496851038,2756174,989,988.87500,0.00000,55.460000,USD,1.000000,,,,,,,
EQUITY,SCOTTS MIRACLE GRO,,810186106,US8101861065,2781518,292,291.82292,0.00000,67.470000,USD,1.000000,,,,,,,
EQUITY,SENSIENT TECHNOLOGIES CORP,,81725T100,US81725T1007,2923741,315,315.04167,0.00000,61.200000,USD,1.000000,,,,,,,
EQUITY,STEEL DYNAMICS INC,,858119100,US8581191009,2849472,1710,1709.79167,0.00000,34.820000,USD,1.000000,,,,,,,
EQUITY,TRINSEO,,L9340P101,LU1057788488,BN65SJ4,316,315.96875,0.00000,44.510000,USD,1.000000,,,,,,,
EQUITY,US STEEL CORP,,912909108,US9129091081,2824770,1321,1320.98958,0.00000,20.630000,USD,1.000000,,,,,,,
EQUITY,VALVOLINE INC,,92047W101,US92047W1018,BDG22J3,1402,1401.76042,0.00000,21.920000,USD,1.000000,,,,,,,
EQUITY,WESTLAKE CHEMICAL CORP,,960413102,US9604131022,B01ZP20,269,269.18750,0.00000,72.500000,USD,1.000000,,,,,,,
EQUITY,WORTHINGTON INDUSTRIES INC,,981811102,US9818111026,2981932,300,299.52083,0.00000,36.650000,USD,1.000000,,,,,,,
EQUITY,WR GRACE,,38388F108,US38388F1084,2232685,499,499.40625,0.00000,68.500000,USD,1.000000,,,,,,,
,,,,,,78705,78704.59376,0.00000

Holdings: Synthetics
ASSET CLASS,NAME,RIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),PRICE MULTIPLIER,CONTRACT SIZE,AVERAGE CONTRACT OPEN PRICE,BLOOMBERG TICKER

FX Rates
Base Currency,USD

FX Forwards
Currency Pair,Value Date,Nominal,Rate,Value,Currency

Swaps
Swap Notional,
Swap Spread,
Swap Mkt Value,

Disclaimers
CAREFULLY CONSIDER THE FUNDS INVESTMENT OBJECTIVES RISK FACTORS AND CHARGES AND EXPENSES BEFORE INVESTING. THIS AND OTHER INFORMATION CAN BE FOUND IN THE FUNDS
