Fund Level
Fund Name,iShares U.S. Real Estate ETF
Fund Ticker,IYR
Fund ISIN,US4642877397
Fund Cusip,464287739
Fund LEI,
Total NAV per share,79.437778,Jan 23 2019
Distribution per Share,,
Fund Size,3388021231.70,Jan 23 2019
Shares Outstanding,42650000,Jan 23 2019
Baskets Outstanding,853.000000000000,Jan 23 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 24 2019
Settlement Date,
Shares per Basket (PNU),50000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,221.32,Jan 24 2019
Projected Cash for Deliverable Basket,42892.58,Jan 24 2019
Confirmed Cash for Deliverable Basket,42937.74,Jan 23 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,ACADIA REALTY TRUST REIT,,004239109,US0042391096,2566522,314,313.76671,0.00000,26.460000,USD,1.000000,,,,,,,
EQUITY,AGNC INVESTMENT REIT CORP,,00123Q104,US00123Q1040,BYYHJL8,2025,2025.45252,0.00000,18.010000,USD,1.000000,,,,,,,
EQUITY,ALEXANDRIA REAL ESTATE EQUITIES RE,,015271109,US0152711091,2009210,413,412.53810,0.00000,123.800000,USD,1.000000,,,,,,,
EQUITY,AMERICAN CAMPUS COMMUNITIES REIT I,,024835100,US0248351001,B02H871,526,525.82063,0.00000,44.100000,USD,1.000000,,,,,,,
EQUITY,AMERICAN HOMES  RENT REIT CLASS A,,02665T306,US02665T3068,BCF5RR9,988,987.69637,0.00000,21.140000,USD,1.000000,,,,,,,
EQUITY,AMERICAN TOWER REIT CORP,,03027X100,US03027X1000,B7FBFL2,1690,1689.99062,0.00000,165.790000,USD,1.000000,,,,,,,
EQUITY,ANNALY CAPITAL MANAGEMENT REIT INC,,035710409,US0357104092,2113456,5323,5323.11958,0.00000,10.310000,USD,1.000000,,,,,,,
EQUITY,APARTMENT INVESTMENT AND MANAGEMEN,,03748R101,US03748R1014,2057059,597,597.18523,0.00000,47.390000,USD,1.000000,,,,,,,
EQUITY,APPLE HOSPITALITY REIT INC,,03784Y200,US03784Y2000,BXRTX56,823,822.82298,0.00000,15.410000,USD,1.000000,,,,,,,
EQUITY,AVALONBAY COMMUNITIES REIT INC,,053484101,US0534841012,2131179,530,530.29660,0.00000,184.940000,USD,1.000000,,,,,,,
EQUITY,BLACKSTONE MORTGAGE TRUST REIT CLA,,09257W100,US09257W1009,B94QHZ0,463,463.49824,0.00000,33.300000,USD,1.000000,,,,,,,
EQUITY,BOSTON PROPERTIES REIT INC,,101121101,US1011211018,2019479,593,592.50762,0.00000,120.780000,USD,1.000000,,,,,,,
EQUITY,BRANDYWINE REALTY TRUST REIT,,105368203,US1053682035,2518954,686,686.26729,0.00000,14.500000,USD,1.000000,,,,,,,
EQUITY,BRIXMOR PROPERTY GROUP REIT INC,,11120U105,US11120U1051,BFTDJL8,1150,1150.45135,0.00000,16.170000,USD,1.000000,,,,,,,
EQUITY,CAMDEN PROPERTY TRUST REIT,,133131102,US1331311027,2166320,357,357.35756,0.00000,92.560000,USD,1.000000,,,,,,,
EQUITY,CBRE GROUP INC CLASS A,,12504L109,US12504L1098,B6WVMH3,1216,1216.28605,0.00000,43.250000,USD,1.000000,,,,,,,
EQUITY,CHIMERA INVESTMENT CORP,,16934Q208,US16934Q2084,BVZCNC0,716,715.50410,0.00000,18.790000,USD,1.000000,,,,,,,
EQUITY,COLONY CAPITAL INC CLASS A,,19626G108,US19626G1085,BG5QFV0,1884,1884.38218,0.00000,5.430000,USD,1.000000,,,,,,,
EQUITY,COLUMBIA PROPERTY REIT INC TRUST,,198287203,US1982872038,BFLY9C0,452,452.23447,0.00000,20.830000,USD,1.000000,,,,,,,
EQUITY,CORECIVIC REIT INC,,21871N101,US21871N1019,BZ8VC58,456,456.38687,0.00000,19.100000,USD,1.000000,,,,,,,
EQUITY,CORESITE REALTY REIT CORP,,21870Q105,US21870Q1058,B3T3VV8,141,140.80774,0.00000,93.790000,USD,1.000000,,,,,,,
EQUITY,CORPORATE OFFICE PROPERTIES TRUST,,22002T108,US22002T1088,2756152,415,415.22274,0.00000,23.620000,USD,1.000000,,,,,,,
EQUITY,COSTAR GROUP INC,,22160N109,US22160N1090,2262864,140,139.73388,0.00000,371.490000,USD,1.000000,,,,,,,
EQUITY,COUSINS PROPERTIES REIT INC,,222795106,US2227951066,2229922,0,1688.30715,0.00000,8.530000,USD,1.000000,,,,,,,
EQUITY,CROWN CASTLE INTERNATIONAL REIT CO,,22822V101,US22822V1017,BTGQCX1,1592,1591.62134,0.00000,110.270000,USD,1.000000,,,,,,,
EQUITY,CUBESMART REIT,,229663109,US2296631094,B6SW913,713,713.08089,0.00000,29.070000,USD,1.000000,,,,,,,
EQUITY,CYRUSONE REIT INC,,23283R100,US23283R1005,B7YRLH9,406,406.41970,0.00000,50.000000,USD,1.000000,,,,,,,
EQUITY,DIAMONDROCK HOSPITALITY REIT,,252784301,US2527843013,B090B96,793,793.04220,0.00000,9.740000,USD,1.000000,,,,,,,
EQUITY,DIGITAL REALTY TRUST REIT INC,,253868103,US2538681030,B03GQS4,791,791.42204,0.00000,104.030000,USD,1.000000,,,,,,,
EQUITY,DOUGLAS EMMETT REIT INC,,25960P109,US25960P1093,B1G3M58,619,619.09379,0.00000,36.170000,USD,1.000000,,,,,,,
EQUITY,DUKE REALTY REIT CORP,,264411505,US2644115055,2284084,1375,1374.76319,0.00000,28.400000,USD,1.000000,,,,,,,
EQUITY,EASTGROUP PROPERTIES REIT INC,,277276101,US2772761019,2455761,0,144.74326,0.00000,98.610000,USD,1.000000,,,,,,,
EQUITY,EPR PROPERTIES REIT,,26884U109,US26884U1097,B8XXZP1,285,285.41149,0.00000,70.840000,USD,1.000000,,,,,,,
EQUITY,EQUINIX REIT INC,,29444U700,US29444U7000,BVLZX12,308,308.44431,0.00000,365.260000,USD,1.000000,,,,,,,
EQUITY,EQUITY COMMONWEALTH REIT,,294628102,US2946281027,BPH3N63,465,464.67175,0.00000,31.360000,USD,1.000000,,,,,,,
EQUITY,EQUITY LIFESTYLE PROPERTIES REIT I,,29472R108,US29472R1086,2563125,344,344.33411,0.00000,101.610000,USD,1.000000,,,,,,,
EQUITY,EQUITY RESIDENTIAL REIT,,29476L107,US29476L1070,2319157,1414,1413.55217,0.00000,70.340000,USD,1.000000,,,,,,,
EQUITY,ESSEX PROPERTY TRUST REIT INC,,297178105,US2971781057,2316619,253,253.45955,0.00000,261.800000,USD,1.000000,,,,,,,
EQUITY,EXTRA SPACE STORAGE REIT INC,,30225T102,US30225T1025,B02HWR9,485,485.38570,0.00000,92.130000,USD,1.000000,,,,,,,
EQUITY,FEDERAL REALTY INVESTMENT TRUST RE,,313747206,US3137472060,2333931,283,283.40328,0.00000,126.100000,USD,1.000000,,,,,,,
EQUITY,FIRST INDUSTRIAL REALTY TRUST INC,,32054K103,US32054K1034,2360757,485,484.65299,0.00000,31.440000,USD,1.000000,,,,,,,
EQUITY,GAMING AND LEISURE PROPERTIES REIT,,36467J108,US36467J1088,BFPK4S5,772,772.08558,0.00000,35.800000,USD,1.000000,,,,,,,
EQUITY,GEO GROUP REIT INC,,36162J106,US36162J1060,BNLYWQ1,468,468.16999,0.00000,22.110000,USD,1.000000,,,,,,,
EQUITY,HCP REIT INC,,40414L109,US40414L1098,2417578,1832,1831.91559,0.00000,29.890000,USD,1.000000,,,,,,,
EQUITY,HEALTHCARE REALTY TRUST REIT INC,,421946104,US4219461047,2417921,479,479.08089,0.00000,30.820000,USD,1.000000,,,,,,,
EQUITY,HEALTHCARE TRUST OF AMERICA REIT I,,42225P501,US42225P5017,BT9QF28,794,793.99297,0.00000,27.070000,USD,1.000000,,,,,,,
EQUITY,HIGHWOODS PROPERTIES REIT INC,,431284108,US4312841087,2420640,397,397.07151,0.00000,43.070000,USD,1.000000,,,,,,,
EQUITY,HOSPITALITY PROPERTIES TRUST REIT,,44106M102,US44106M1027,2438966,631,630.95662,0.00000,25.720000,USD,1.000000,,,,,,,
EQUITY,HOST HOTELS & RESORTS REIT INC,,44107P104,US44107P1049,2567503,2847,2847.01758,0.00000,17.050000,USD,1.000000,,,,,,,
EQUITY,HOWARD HUGHES CORP,,44267D107,US44267D1072,B5VR4H9,150,149.70926,0.00000,104.290000,USD,1.000000,,,,,,,
EQUITY,HUDSON PACIFIC PROPERTIES REIT INC,,444097109,US4440971095,B64B9P8,602,601.85111,0.00000,30.880000,USD,1.000000,,,,,,,
EQUITY,INVESCO MORTGAGE CAPITAL REIT INC,,46131B100,US46131B1008,B5ZW0F0,426,425.84760,0.00000,15.870000,USD,1.000000,,,,,,,
EQUITY,INVITATION HOMES INC,,46187W107,US46187W1071,BD81GW9,1138,1138.45604,0.00000,21.100000,USD,1.000000,,,,,,,
EQUITY,IRON MOUNTAIN INC,,46284V101,US46284V1017,BVFTF03,1098,1098.13013,0.00000,35.700000,USD,1.000000,,,,,,,
EQUITY,JBG SMITH PROPERTIES,,46590V100,US46590V1008,BD3BX01,417,416.67292,0.00000,37.310000,USD,1.000000,,,,,,,
EQUITY,JONES LANG LASALLE INC,,48020Q107,US48020Q1076,2040640,175,174.82767,0.00000,137.310000,USD,1.000000,,,,,,,
EQUITY,KILROY REALTY REIT CORP,,49427F108,US49427F1084,2495529,387,386.52755,0.00000,67.880000,USD,1.000000,,,,,,,
EQUITY,KIMCO REALTY REIT CORP,,49446R109,US49446R1095,2491594,1617,1616.71864,0.00000,16.280000,USD,1.000000,,,,,,,
EQUITY,LAMAR ADVERTISING COMPANY  CLAS,,512816109,US5128161099,BSPHGN6,327,326.59555,0.00000,73.380000,USD,1.000000,,,,,,,
EQUITY,LEXINGTON REALTY TRUST REIT,,529043101,US5290431015,2139151,807,806.88394,0.00000,9.170000,USD,1.000000,,,,,,,
EQUITY,LIBERTY PROPERTY REIT TRUST,,531172104,US5311721048,2513681,567,567.14068,0.00000,44.870000,USD,1.000000,,,,,,,
EQUITY,LIFE STORAGE INC,,53223X107,US53223X1072,BDCSFJ6,179,178.96717,0.00000,93.280000,USD,1.000000,,,,,,,
EQUITY,MACERICH REIT,,554382101,US5543821012,2543967,406,406.19461,0.00000,44.810000,USD,1.000000,,,,,,,
EQUITY,MACK-CALI REALTY REIT CORP,,554489104,US5544891048,2192314,347,347.02814,0.00000,20.460000,USD,1.000000,,,,,,,
EQUITY,MEDICAL PROPERTIES TRUST REIT INC,,58463J304,US58463J3041,B0JL5L9,1400,1400.24971,0.00000,17.140000,USD,1.000000,,,,,,,
EQUITY,MFA FINANCIAL REIT INC,,55272X102,US55272X1028,2418162,1717,1717.16295,0.00000,7.210000,USD,1.000000,,,,,,,
EQUITY,MID AMERICA APARTMENT COMMUNITIES,,59522J103,US59522J1034,2589132,437,436.75733,0.00000,99.630000,USD,1.000000,,,,,,,
