Fund Level
Fund Name,iShares Morningstar Large-Cap Value ETF
Fund Ticker,JKF
Fund ISIN,US4642881092
Fund Cusip,464288109
Fund LEI,
Total NAV per share,101.260653,Jan 23 2019
Distribution per Share,,
Fund Size,455672938.50,Jan 23 2019
Shares Outstanding,4500000,Jan 23 2019
Baskets Outstanding,90.000000000000,Jan 23 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 24 2019
Settlement Date,
Shares per Basket (PNU),50000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,12656.39,Jan 24 2019
Projected Cash for Deliverable Basket,13161.45,Jan 24 2019
Confirmed Cash for Deliverable Basket,13195.7,Jan 23 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,AFLAC INC,,001055102,US0010551028,2026361,726,725.51111,0.00000,47.640000,USD,1.000000,,,,,,,
EQUITY,AMERICAN ELECTRIC POWER INC,,025537101,US0255371017,2026242,457,457.43333,0.00000,77.010000,USD,1.000000,,,,,,,
EQUITY,AMERICAN INTERNATIONAL GROUP INC,,026874784,US0268747849,2027342,847,846.94444,0.00000,42.820000,USD,1.000000,,,,,,,
EQUITY,AMGEN INC,,031162100,US0311621009,2023607,523,523.38889,0.00000,201.560000,USD,1.000000,,,,,,,
EQUITY,ARCHER DANIELS MIDLAND,,039483102,US0394831020,2047317,571,570.85556,0.00000,43.710000,USD,1.000000,,,,,,,
EQUITY,AT&T INC,,00206R102,US00206R1023,2831811,5815,5814.73333,0.00000,30.890000,USD,1.000000,,,,,,,
EQUITY,BANK OF NEW YORK MELLON CORP,,064058100,US0640581007,B1Z77F6,828,828.32222,0.00000,53.060000,USD,1.000000,,,,,,,
EQUITY,BB AND T CORP,,054937107,US0549371070,2830904,730,729.52222,0.00000,49.410000,USD,1.000000,,,,,,,
EQUITY,BERKSHIRE HATHAWAY INC CLASS B,,084670702,US0846707026,2073390,1530,1530.47778,0.00000,201.150000,USD,1.000000,,,,,,,
EQUITY,CAPITAL ONE FINANCIAL CORP,,14040H105,US14040H1059,2654461,444,443.68889,0.00000,78.200000,USD,1.000000,,,,,,,
EQUITY,CHUBB LTD,,H1467J104,CH0044328745,B3BQMF6,403,403.48889,0.00000,132.060000,USD,1.000000,,,,,,,
EQUITY,CISCO SYSTEMS INC,,17275R102,US17275R1023,2198163,3601,3600.58889,0.00000,45.460000,USD,1.000000,,,,,,,
EQUITY,CITIGROUP INC,,172967424,US1729674242,2297907,1995,1994.88889,0.00000,62.130000,USD,1.000000,,,,,,,
EQUITY,COLGATE-PALMOLIVE,,194162103,US1941621039,2209106,763,763.48889,0.00000,62.350000,USD,1.000000,,,,,,,
EQUITY,CONOCOPHILLIPS,,20825C104,US20825C1045,2685717,983,983.24444,0.00000,65.860000,USD,1.000000,,,,,,,
EQUITY,CONSOLIDATED EDISON INC,,209115104,US2091151041,2216850,314,313.90000,0.00000,76.980000,USD,1.000000,,,,,,,
EQUITY,CUMMINS INC,,231021106,US2310211063,2240202,160,160.08889,0.00000,143.450000,USD,1.000000,,,,,,,
EQUITY,DEERE,,244199105,US2441991054,2261203,289,289.47778,0.00000,157.610000,USD,1.000000,,,,,,,
EQUITY,DISCOVER FINANCIAL SERVICES,,254709108,US2547091080,B1YLC43,359,359.05556,0.00000,66.160000,USD,1.000000,,,,,,,
EQUITY,DOMINION ENERGY INC,,25746U109,US25746U1097,2542049,672,671.70000,0.00000,69.430000,USD,1.000000,,,,,,,
EQUITY,DOWDUPONT INC,,26078J100,US26078J1007,BYP66M4,1886,1885.66667,0.00000,56.430000,USD,1.000000,,,,,,,
EQUITY,DUKE ENERGY CORP,,26441C204,US26441C2044,B7VD3F2,618,617.67778,0.00000,86.130000,USD,1.000000,,,,,,,
EQUITY,EATON PLC,,G29183103,IE00B8KQN827,B8KQN82,422,421.73333,0.00000,70.150000,USD,1.000000,,,,,,,
EQUITY,EBAY INC,,278642103,US2786421030,2293819,911,911.01111,0.00000,32.610000,USD,1.000000,,,,,,,
EQUITY,EXELON CORP,,30161N101,US30161N1019,2670519,877,876.86667,0.00000,46.870000,USD,1.000000,,,,,,,
EQUITY,EXXON MOBIL CORP,,30231G102,US30231G1022,2326618,3345,3345.34444,0.00000,71.300000,USD,1.000000,,,,,,,
EQUITY,F MOTOR,,345370860,US3453708600,2615468,3738,3737.84444,0.00000,8.340000,USD,1.000000,,,,,,,
EQUITY,GENERAL ELECTRIC,,369604103,US3696041033,2380498,7576,7576.11111,0.00000,8.730000,USD,1.000000,,,,,,,
EQUITY,GENERAL MILLS INC,,370334104,US3703341046,2367026,625,625.11111,0.00000,44.010000,USD,1.000000,,,,,,,
EQUITY,GENERAL MOTORS,,37045V100,US37045V1008,B665KZ5,1188,1188.05556,0.00000,37.670000,USD,1.000000,,,,,,,
EQUITY,GILEAD SCIENCES INC,,375558103,US3755581036,2369174,1092,1091.51111,0.00000,68.250000,USD,1.000000,,,,,,,
EQUITY,GOLDMAN SACHS GROUP INC,,38141G104,US38141G1040,2407966,302,302.46667,0.00000,196.900000,USD,1.000000,,,,,,,
EQUITY,HEWLETT PACKARD ENTERPRISE,,42824C109,US42824C1099,BYVYWS0,1532,1532.00000,0.00000,14.440000,USD,1.000000,,,,,,,
EQUITY,HP INC,,40434L105,US40434L1052,BYX4D52,1501,1500.86667,0.00000,21.440000,USD,1.000000,,,,,,,
EQUITY,INTEL CORPORATION CORP,,458140100,US4581401001,2463247,3647,3647.27778,0.00000,47.940000,USD,1.000000,,,,,,,
EQUITY,INTERNATIONAL BUSINESS MACHINES CO,,459200101,US4592001014,2005973,752,752.12222,0.00000,132.890000,USD,1.000000,,,,,,,
EQUITY,JOHNSON CONTROLS INTERNATIONAL PLC,,G51502105,IE00BY7QL619,BY7QL61,907,906.66667,0.00000,32.040000,USD,1.000000,,,,,,,
EQUITY,JPMORGAN CHASE & CO,,46625H100,US46625H1005,2190385,2625,2624.96667,0.00000,102.680000,USD,1.000000,,,,,,,
EQUITY,KIMBERLY CLARK CORP,,494368103,US4943681035,2491839,320,319.63333,0.00000,112.150000,USD,1.000000,,,,,,,
EQUITY,KRAFT HEINZ,,500754106,US5007541064,BYRY499,610,610.33333,0.00000,47.060000,USD,1.000000,,,,,,,
EQUITY,KROGER,,501044101,US5010441013,2497406,825,824.50000,0.00000,29.240000,USD,1.000000,,,,,,,
EQUITY,LIBERTY MEDIA LIBERTY SIRIUSXM COR,,531229409,US5312294094,BD8QGF7,119,118.61111,0.00000,37.890000,USD,1.000000,,,,,,,
EQUITY,LIBERTY MEDIA LIBERTY SIRIUSXM COR,,531229607,US5312296073,BD8QGH9,227,226.58889,0.00000,38.220000,USD,1.000000,,,,,,,
EQUITY,LYONDELLBASELL INDUSTRIES NV CLASS,,N53745100,NL0009434992,B3SPXZ3,317,317.40000,0.00000,84.430000,USD,1.000000,,,,,,,
EQUITY,MCKESSON CORP,,58155Q103,US58155Q1031,2378534,204,203.63333,0.00000,126.120000,USD,1.000000,,,,,,,
EQUITY,MEDTRONIC PLC,,G5960L103,IE00BTN1Y115,BTN1Y11,1101,1101.25556,0.00000,87.160000,USD,1.000000,,,,,,,
EQUITY,MERCK & CO INC,,58933Y105,US58933Y1055,2778844,2085,2085.31111,0.00000,75.440000,USD,1.000000,,,,,,,
EQUITY,METLIFE INC,,59156R108,US59156R1086,2573209,920,919.76667,0.00000,44.480000,USD,1.000000,,,,,,,
EQUITY,MICRON TECHNOLOGY INC,,595112103,US5951121038,2588184,1044,1044.31111,0.00000,34.240000,USD,1.000000,,,,,,,
EQUITY,MOLSON COORS BREWING  CLASS B,,60871R209,US60871R2094,B067BM3,244,244.37778,0.00000,64.420000,USD,1.000000,,,,,,,
EQUITY,MONDELEZ INTERNATIONAL INC CLASS A,,609207105,US6092071058,B8CKK03,1263,1262.71111,0.00000,43.510000,USD,1.000000,,,,,,,
EQUITY,MORGAN STANLEY,,617446448,US6174464486,2262314,1164,1163.78889,0.00000,42.150000,USD,1.000000,,,,,,,
EQUITY,ORACLE CORP,,68389X105,US68389X1054,2661568,2090,2089.91111,0.00000,49.240000,USD,1.000000,,,,,,,
EQUITY,PEPSICO INC,,713448108,US7134481081,2681511,1142,1142.35556,0.00000,110.730000,USD,1.000000,,,,,,,
EQUITY,PFIZER INC,,717081103,US7170811035,2684703,4597,4596.93333,0.00000,42.160000,USD,1.000000,,,,,,,
EQUITY,PHILIP MORRIS INTERNATIONAL INC,,718172109,US7181721090,B2PKRQ3,1273,1273.24444,0.00000,74.000000,USD,1.000000,,,,,,,
EQUITY,PHILLIPS,,718546104,US7185461040,B78C4Y8,398,398.26667,0.00000,92.630000,USD,1.000000,,,,,,,
EQUITY,PROCTER & GAMBLE,,742718109,US7427181091,2704407,1984,1984.43333,0.00000,94.840000,USD,1.000000,,,,,,,
EQUITY,PRUDENTIAL FINANCIAL INC,,744320102,US7443201022,2819118,393,393.46667,0.00000,90.640000,USD,1.000000,,,,,,,
EQUITY,PUBLIC SERVICE ENTERPRISE GROUP IN,,744573106,US7445731067,2707677,500,500.34444,0.00000,53.330000,USD,1.000000,,,,,,,
EQUITY,SOUTHERN,,842587107,US8425871071,2829601,924,923.81111,0.00000,47.580000,USD,1.000000,,,,,,,
EQUITY,STATE STREET CORP,,857477103,US8574771031,2842040,390,389.94444,0.00000,70.820000,USD,1.000000,,,,,,,
EQUITY,TARGET CORP,,87612E106,US87612E1064,2259101,494,494.35556,0.00000,70.320000,USD,1.000000,,,,,,,
EQUITY,US BANCORP,,902973304,US9029733048,2736035,1298,1297.88889,0.00000,50.530000,USD,1.000000,,,,,,,
EQUITY,VALERO ENERGY CORP,,91913Y100,US91913Y1001,2041364,411,411.47778,0.00000,79.780000,USD,1.000000,,,,,,,
EQUITY,VERIZON COMMUNICATIONS INC,,92343V104,US92343V1044,2090571,3293,3293.41111,0.00000,57.760000,USD,1.000000,,,,,,,
EQUITY,WALGREEN BOOTS ALLIANCE INC,,931427108,US9314271084,BTN1Y44,698,698.25556,0.00000,71.710000,USD,1.000000,,,,,,,
EQUITY,WALMART INC,,931142103,US9311421039,2936921,1165,1164.67778,0.00000,98.710000,USD,1.000000,,,,,,,
EQUITY,WELLS FARGO,,949746101,US9497461015,2649100,3399,3398.52222,0.00000,50.120000,USD,1.000000,,,,,,,
EQUITY,XCEL ENERGY INC,,98389B100,US98389B1008,2614807,512,512.28889,0.00000,51.130000,USD,1.000000,,,,,,,
,,,,,,90958,90959.91112,0.00000

Holdings: Synthetics
ASSET CLASS,NAME,RIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),PRICE MULTIPLIER,CONTRACT SIZE,AVERAGE CONTRACT OPEN PRICE,BLOOMBERG TICKER

FX Rates
Base Currency,USD

FX Forwards
Currency Pair,Value Date,Nominal,Rate,Value,Currency

Swaps
Swap Notional,
Swap Spread,
Swap Mkt Value,

Disclaimers
CAREFULLY CONSIDER THE FUNDS INVESTMENT OBJECTIVES RISK FACTORS AND CHARGES AND EXPENSES BEFORE INVESTING. THIS AND OTHER INFORMATION CAN BE FOUND IN THE FUNDS
PROSPECTUSES OR IF AVAILABLE THE SUMMARY PROSPECTUSES WHICH MAY BE OBTAINED BY VISITING www.iShares.com OR www.blackrock.com. READ THE PROSPECTUS CAREFULLY BEFORE
INVESTING. INVESTING INVOLVES RISK INCLUDING POSSIBLE LOSS OF PRINCIPAL.
The iShares Funds are distributed by BlackRock Investments LLC (together with its affiliates BlackRock).
The iShares Funds are not sponsored endorsed issued sold or promoted by Barclays Bloomberg Finance L.P. BlackRock Index Services LLC Cohen & Steers Capital Management Inc. European Public Real Estate
Association (EPRA) FTSE International Limited (FTSE) ICE Data Services LLC India Index Services & Products Limited JPMorgan Chase & Co. Japan Exchange Group MSCI Inc. Markit Indices Limited Morningstar
Inc. The NASDAQ OMX Group Inc. National Association of Real Estate Investment Trusts (NAREIT) New York Stock Exchange Inc. Russell or S&P Dow Jones Indices LLC. None of these companies make any
representation regarding the advisability of investing in the Funds. With the exception of BlackRock Index Services LLC who is an affiliate BlackRock Investments LLC is not affiliated with the companies listed above.
Neither FTSE nor NAREIT makes any warranty regarding the FTSE NAREIT Equity REITS Index FTSE NAREIT All Residential Capped Index or FTSE NAREIT All Mortgage Capped Index; all rights vest in NAREIT.
Neither FTSE nor NAREIT makes any warranty regarding the FTSE EPRA/NAREIT Developed Real Estate ex-U.S. Index FTSE EPRA/NAREIT Developed Europe Index or FTSE EPRA/NAREIT Global REIT Index;
all rights vest in FTSE NAREIT and EPRA. FTSE is a trademark of London Stock Exchange Group companies and is used by FTSE under license.
As a prior condition to gaining access to information for certain BlackRock funds and iShares ETFs (the Data) on a BlackRock operated FTP site (the FTP Site) you as the user of the FTP Site must acknowledge
and agree to these Terms of Use available for download at https://www.ishares.com/us/literature/holdings/fdf-terms-of-use.pdf.
By accessing the FTP Site downloading or using the Data from the FTP Site and/or producing any derivative works or materials based on or incorporating any Data you acknowledge and agree to these Terms of Use which
apply to the access download and use of the Data from the FTP Site. If you do not wish to be bound by these Terms of Use please do not access the FTP Site download or use any of the Data contained in the FTP Site.
Copyright 2019 BlackRock. All rights reserved. iShares and BlackRock are registered trademarks of BlackRock. All other trademarks servicemarks or registered trademarks are the property of their respective owners.
ICRMH0119U-694529-1/1
