Fund Level
Fund Name,iShares Global Utilities ETF
Fund Ticker,JXI
Fund ISIN,US4642887115
Fund Cusip,464288711
Fund LEI,
Total NAV per share,50.547033,Jan 23 2019
Distribution per Share,,
Fund Size,197133428.70,Jan 23 2019
Shares Outstanding,3900000,Jan 23 2019
Baskets Outstanding,78.000000000000,Jan 23 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 24 2019
Settlement Date,
Shares per Basket (PNU),50000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,10396.91,Jan 24 2019
Projected Cash for Deliverable Basket,39464.46,Jan 24 2019
Confirmed Cash for Deliverable Basket,39495.52,Jan 23 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,AES CORP,,00130H105,US00130H1059,2002479,1408,1408.61538,0.00000,15.870000,USD,1.000000,,,,,,,
EQUITY,AGL ENERGY LTD,,Q01630195,AU000000AGL7,BSS7GP5,1415,1415.20512,0.00000,15.019995,AUD,1.000000,,,,,,,
EQUITY,ALLIANT ENERGY CORP,,018802108,US0188021085,2973821,503,503.62820,0.00000,43.640000,USD,1.000000,,,,,,,
EQUITY,AMEREN CORP,,023608102,US0236081024,2050832,520,520.64102,0.00000,68.100000,USD,1.000000,,,,,,,
EQUITY,AMERICAN ELECTRIC POWER INC,,025537101,US0255371017,2026242,1053,1053.67948,0.00000,77.010000,USD,1.000000,,,,,,,
EQUITY,AMERICAN WATER WORKS INC,,030420103,US0304201033,B2R3PV1,386,386.38461,0.00000,94.240000,USD,1.000000,,,,,,,
EQUITY,APA GROUP UNITS,,Q0437B100,AU000000APA1,6247306,2526,2526.39743,0.00000,6.383141,AUD,1.000000,,,,,,,
EQUITY,CENTERPOINT ENERGY INC,,15189T107,US15189T1079,2440637,1072,1072.06410,0.00000,29.870000,USD,1.000000,,,,,,,
EQUITY,CENTRICA PLC,,G2018Z143,GB00B033F229,B033F22,12194,12194.80769,0.00000,1.713080,GBP,1.000000,,,,,,,
EQUITY,CHUBU ELECTRIC POWER INC,,J06510101,JP3526600006,6195609,1500,1524.35897,0.00000,16.039586,JPY,1.000000,,,,,,,
EQUITY,CLP HOLDINGS LTD,,Y1660Q104,HK0002007356,6097017,3500,3826.92307,0.00000,11.643840,HKD,1.000000,,,,,,,
EQUITY,CMS ENERGY CORP,,125896100,US1258961002,2219224,606,606.75641,0.00000,51.440000,USD,1.000000,,,,,,,
EQUITY,COMPANHIA ENERGETICA MINAS GERAIS,,204409601,US2044096012,2178938,2068,2068.83333,0.00000,3.730000,USD,1.000000,,,,,,,
EQUITY,CONSOLIDATED EDISON INC,,209115104,US2091151041,2216850,665,665.29487,0.00000,76.980000,USD,1.000000,,,,,,,
EQUITY,DOMINION ENERGY INC,,25746U109,US25746U1097,2542049,1605,1605.26923,0.00000,69.430000,USD,1.000000,,,,,,,
EQUITY,DTE ENERGY,,233331107,US2333311072,2280220,389,389.21794,0.00000,114.270000,USD,1.000000,,,,,,,
EQUITY,DUKE ENERGY CORP,,26441C204,US26441C2044,B7VD3F2,1522,1522.21794,0.00000,86.130000,USD,1.000000,,,,,,,
EQUITY,E.ON N,,D24914133,DE000ENAG999,4942904,4707,4707.60256,0.00000,10.431127,EUR,1.000000,,,,,,,
EQUITY,EDISON INTERNATIONAL,,281020107,US2810201077,2829515,693,693.53846,0.00000,54.930000,USD,1.000000,,,,,,,
EQUITY,EDP ENERGIAS DE PORTUGAL SA,,X67925119,PTEDP0AM0009,4103596,5239,5239.53846,0.00000,3.468319,EUR,1.000000,,,,,,,
EQUITY,ELECTRICITE DE FRANCE SA,,F2940H113,FR0010242511,B0NJJ17,1026,1026.53846,0.00000,15.981803,EUR,1.000000,,,,,,,
EQUITY,EMERA INC,,290876101,CA2908761018,2650050,499,499.12820,0.00000,33.775082,CAD,1.000000,,,,,,,
EQUITY,ENDESA SA,,E41222113,ES0130670112,5271782,695,695.10256,0.00000,24.351056,EUR,1.000000,,,,,,,
