Fund Level
Fund Name,iShares Global Consumer Staples ETF
Fund Ticker,KXI
Fund ISIN,US4642887370
Fund Cusip,464288737
Fund LEI,
Total NAV per share,47.466584,Jan 23 2019
Distribution per Share,,
Fund Size,681145480.40,Jan 23 2019
Shares Outstanding,14350000,Jan 23 2019
Baskets Outstanding,287.000000000000,Jan 23 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 24 2019
Settlement Date,
Shares per Basket (PNU),50000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,9015.47,Jan 24 2019
Projected Cash for Deliverable Basket,51862.54,Jan 24 2019
Confirmed Cash for Deliverable Basket,51892.06,Jan 23 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,AEON LTD,,J00288100,JP3388200002,6480048,600,659.64111,0.00000,19.984494,JPY,1.000000,,,,,,,
EQUITY,AJINOMOTO INC,,J00882126,JP3119600009,6010906,400,440.06968,0.00000,17.302869,JPY,1.000000,,,,,,,
EQUITY,ALIMENTATION COUCHE TARD SUB VOTIN,,01626P403,CA01626P4033,2011646,331,331.82229,0.00000,53.406709,CAD,1.000000,,,,,,,
EQUITY,ALTRIA GROUP INC,,02209S103,US02209S1033,2692632,1432,1432.70383,0.00000,44.700000,USD,1.000000,,,,,,,
EQUITY,AMBEV ADR REPRESENTING ONE SA,,02319V103,US02319V1035,BG804F6,3402,3402.68292,0.00000,4.540000,USD,1.000000,,,,,,,
EQUITY,ANHEUSER BUSCH INBEV NV,,B639CJ108,BE0974293251,BYYHL23,763,763.49825,0.00000,73.485569,EUR,1.000000,,,,,,,
EQUITY,ARCHER DANIELS MIDLAND,,039483102,US0394831020,2047317,430,430.22648,0.00000,43.710000,USD,1.000000,,,,,,,
EQUITY,ASAHI GROUP HOLDINGS LTD,,J02100113,JP3116000005,6054409,300,347.37979,0.00000,40.406804,JPY,1.000000,,,,,,,
EQUITY,ASSOCIATED BRITISH FOODS PLC,,G05600138,GB0006731235,0673123,270,270.02439,0.00000,31.022232,GBP,1.000000,,,,,,,
EQUITY,BEIERSDORF AG,,D08792109,DE0005200000,5107401,80,80.25783,0.00000,98.587639,EUR,1.000000,,,,,,,
EQUITY,BRF ADR REPRESENTING  SA,,10552T107,US10552T1079,2605210,578,578.40418,0.00000,6.330000,USD,1.000000,,,,,,,
EQUITY,BRITISH AMERICAN TOBACCO PLC,,G1510J102,GB0002875804,0287580,1735,1735.26132,0.00000,32.419865,GBP,1.000000,,,,,,,
EQUITY,BROWN FORMAN CORP CLASS B,,115637209,US1156372096,2146838,133,133.65156,0.00000,46.650000,USD,1.000000,,,,,,,
EQUITY,CAMPBELL SOUP,,134429109,US1344291091,2162845,149,149.21951,0.00000,35.380000,USD,1.000000,,,,,,,
EQUITY,CARLSBERG AS  CL B,,K36628137,DK0010181759,4169219,83,83.67247,0.00000,110.825783,DKK,1.000000,,,,,,,
EQUITY,CARREFOUR SA,,F13923119,FR0000120172,5641567,417,417.17073,0.00000,19.873420,EUR,1.000000,,,,,,,
EQUITY,CHOCOLADEFABRIKEN LINDT & SPRUENGL,,H49983184,CH0010570767,5962280,0,0.78745,0.00000,6221.441125,CHF,1.000000,,,,,,,
EQUITY,CHOCOLADEFABRIKEN LINDT & SPRUENGL,,H49983176,CH0010570759,5962309,0,0.09059,0.00000,72909.866934,CHF,1.000000,,,,,,,
EQUITY,CHURCH AND DWIGHT INC,,171340102,US1713401024,2195841,191,191.59233,0.00000,65.510000,USD,1.000000,,,,,,,
EQUITY,CLOROX,,189054109,US1890541097,2204026,99,99.86062,0.00000,151.700000,USD,1.000000,,,,,,,
EQUITY,COCA-COLA,,191216100,US1912161007,2206657,2918,2918.89198,0.00000,48.270000,USD,1.000000,,,,,,,
EQUITY,COLES GROUP LTD,,Q26203408,AU0000030678,BYWR0T5,874,874.41463,0.00000,8.979190,AUD,1.000000,,,,,,,
EQUITY,COLGATE-PALMOLIVE,,194162103,US1941621039,2209106,667,667.77003,0.00000,62.350000,USD,1.000000,,,,,,,
EQUITY,CONAGRA BRANDS INC,,205887102,US2058871029,2215460,375,375.49128,0.00000,21.470000,USD,1.000000,,,,,,,
EQUITY,CONSTELLATION BRANDS INC CLASS A,,21036P108,US21036P1084,2170473,127,127.79790,0.00000,165.590000,USD,1.000000,,,,,,,
EQUITY,COSTCO WHOLESALE CORP,,22160K105,US22160K1051,2701271,333,333.10801,0.00000,212.090000,USD,1.000000,,,,,,,
EQUITY,DANONE SA,,F12033134,FR0000120644,B1Y9TB3,494,494.19163,0.00000,71.323560,EUR,1.000000,,,,,,,
EQUITY,DIAGEO PLC,,G42089113,GB0002374006,0237400,1852,1852.13937,0.00000,35.776797,GBP,1.000000,,,,,,,
EQUITY,ESSITY CLASS B,,W3R06F100,SE0009922164,BF1K7P7,470,470.34843,0.00000,24.780331,SEK,1.000000,,,,,,,
EQUITY,ESTEE LAUDER INC CLASS A,,518439104,US5184391044,2320524,168,168.25435,0.00000,126.890000,USD,1.000000,,,,,,,
EQUITY,FOMENTO ECONOMICO MEXICANO,,P4182H115,MXP320321310,2242059,1400,1472.74216,0.00000,9.240917,MXN,1.000000,,,,,,,
