Fund Level
Fund Name,iShares Global Materials ETF
Fund Ticker,MXI
Fund ISIN,US4642886950
Fund Cusip,464288695
Fund LEI,
Total NAV per share,59.812082,Jan 23 2019
Distribution per Share,,
Fund Size,224295307.50,Jan 23 2019
Shares Outstanding,3750000,Jan 23 2019
Baskets Outstanding,75.000000000000,Jan 23 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 24 2019
Settlement Date,
Shares per Basket (PNU),50000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,21130.46,Jan 24 2019
Projected Cash for Deliverable Basket,21251.22,Jan 24 2019
Confirmed Cash for Deliverable Basket,21287.15,Jan 23 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,AGNICO EAGLE MINES LTD,,008474108,CA0084741085,2009823,399,399.00000,0.00000,39.135969,CAD,1.000000,,,,,,,
EQUITY,AIR LIQUIDE SA,,F01764103,FR0000120073,B1YXBJ7,724,724.00000,0.00000,119.536374,EUR,1.000000,,,,,,,
EQUITY,AIR PRODUCTS AND CHEMICALS INC,,009158106,US0091581068,2011602,371,371.00000,0.00000,156.150000,USD,1.000000,,,,,,,
EQUITY,AKZO NOBEL NV,,,NL0013267909,BJ2KSG2,379,379.54666,0.00000,85.934193,EUR,1.000000,,,,,,,
EQUITY,ALBEMARLE CORP,,012653101,US0126531013,2046853,181,181.00000,0.00000,73.920000,USD,1.000000,,,,,,,
EQUITY,AMCOR LTD,,Q03080100,AU000000AMC4,6066608,1941,1941.00000,0.00000,9.628202,AUD,1.000000,,,,,,,
EQUITY,ANGLO AMERICAN PLC,,G03764134,GB00B1XZS820,B1XZS82,2369,2369.00000,0.00000,23.522036,GBP,1.000000,,,,,,,
EQUITY,ANTOFAGASTA PLC,,G0398N128,GB0000456144,0045614,572,572.00000,0.00000,10.462656,GBP,1.000000,,,,,,,
EQUITY,ARCELORMITTAL SA,,L0302D210,LU1598757687,BYPBS67,1083,1083.00000,0.00000,21.244589,EUR,1.000000,,,,,,,
EQUITY,ARKEMA SA,,F0392W125,FR0010313833,B0Z5YZ2,124,124.00000,0.00000,93.011930,EUR,1.000000,,,,,,,
