Fund Level
Fund Name,iShares MSCI Global Metals & Mining Producers ETF
Fund Ticker,PICK
Fund ISIN,US46434G8481
Fund Cusip,46434G848
Fund LEI,
Total NAV per share,28.355139,Jan 23 2019
Distribution per Share,,
Fund Size,282133633.05,Jan 23 2019
Shares Outstanding,9950000,Jan 23 2019
Baskets Outstanding,199.000000000000,Jan 23 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 24 2019
Settlement Date,
Shares per Basket (PNU),50000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,13271.15,Jan 24 2019
Projected Cash for Deliverable Basket,21562.31,Jan 24 2019
Confirmed Cash for Deliverable Basket,21554.81,Jan 23 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,ACERINOX SA,,E00460233,ES0132105018,B01ZVZ5,330,330.00000,0.00000,10.311648,EUR,1.000000,,,,,,,
EQUITY,AFRICAN RAINBOW MINERAL LTD,,S01680107,ZAE000054045,6041122,224,224.00000,0.00000,10.046982,ZAR,1.000000,,,,,,,
EQUITY,AK ALROSA,,X0085A109,RU0007252813,B6QPBP2,5160,5160.01005,0.00000,1.521663,RUB,1.000000,,,,,,,
EQUITY,AK STEEL HOLDING CORP,,001547108,US0015471081,2067735,661,661.00000,0.00000,2.620000,USD,1.000000,,,,,,,
EQUITY,ALCOA CORP,,013872106,US0138721065,BYNF418,377,377.00000,0.00000,28.300000,USD,1.000000,,,,,,,
EQUITY,ALLEGHENY TECHNOLOGIES INC,,01741R102,US01741R1023,2526117,255,255.00000,0.00000,26.440000,USD,1.000000,,,,,,,
EQUITY,ALTIUS MINERALS CORP,,020936100,CA0209361009,2122355,81,81.00000,0.00000,8.340821,CAD,1.000000,,,,,,,
EQUITY,ALTURA MINING LTD,,Q0268Q119,AU000000AJM9,6318053,2033,2033.00000,0.00000,0.110546,AUD,1.000000,,,,,,,
EQUITY,ALUMINA LTD,,Q0269M109,AU000000AWC3,6954985,4946,4946.00000,0.00000,1.647492,AUD,1.000000,,,,,,,
EQUITY,ALUMINUM CORPORATION OF CHINA CORP,,Y0094N109,CNE1000001T8,6425395,8000,8000.00000,0.00000,0.353075,HKD,1.000000,,,,,,,
