Fund Level
Fund Name,iShares MSCI Global Impact ETF
Fund Ticker,SDG
Fund ISIN,US46435G5320
Fund Cusip,46435G532
Fund LEI,
Total NAV per share,55.552262,Jan 23 2019
Distribution per Share,,
Fund Size,41664196.50,Jan 23 2019
Shares Outstanding,750000,Jan 23 2019
Baskets Outstanding,15.000000000000,Jan 23 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 24 2019
Settlement Date,
Shares per Basket (PNU),50000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,5198.2,Jan 24 2019
Projected Cash for Deliverable Basket,27423.85,Jan 24 2019
Confirmed Cash for Deliverable Basket,27460.15,Jan 23 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,3SBIO INC,,G8875G102,KYG8875G1029,BY9D3L9,500,533.33333,0.00000,1.473484,HKD,1.000000,,,,,,,
EQUITY,ABBVIE INC,,00287Y109,US00287Y1091,B92SR70,1250,1250.00000,0.00000,88.450000,USD,1.000000,,,,,,,
EQUITY,ABIOMED INC,,003654100,US0036541003,2003698,8,8.00000,0.00000,336.980000,USD,1.000000,,,,,,,
EQUITY,ACUITY BRANDS INC,,00508Y102,US00508Y1029,2818461,184,184.00000,0.00000,115.550000,USD,1.000000,,,,,,,
EQUITY,AKAMAI TECHNOLOGIES INC,,00971T101,US00971T1016,2507457,466,466.00000,0.00000,64.350000,USD,1.000000,,,,,,,
EQUITY,AMGEN INC,,031162100,US0311621009,2023607,357,357.00000,0.00000,201.560000,USD,1.000000,,,,,,,
EQUITY,ARISTA NETWORKS INC,,040413106,US0404131064,BN33VM5,68,68.00000,0.00000,222.290000,USD,1.000000,,,,,,,
EQUITY,BARRATT DEVELOPMENTS PLC,,G08288105,GB0000811801,0081180,6103,6103.00000,0.00000,6.980329,GBP,1.000000,,,,,,,
EQUITY,BEIJING ENTERPRISES WATER GROUP LT,,G0957L109,BMG0957L1090,B01YCG0,54000,54000.00000,0.00000,0.563391,HKD,1.000000,,,,,,,
EQUITY,BERKELEY GROUP HOLDINGS (THE) PLC,,G1191G120,GB00B02L3W35,B02L3W3,562,562.00000,0.00000,49.504950,GBP,1.000000,,,,,,,
