Fund Level
Fund Name,iShares MSCI India Small-Cap ETF
Fund Ticker,SMIN
Fund ISIN,US46434G8713
Fund Cusip,46429B614
Fund LEI,
Total NAV per share,36.862863,Jan 23 2019
Distribution per Share,,
Fund Size,246981182.10,Jan 23 2019
Shares Outstanding,6700000,Jan 23 2019
Baskets Outstanding,134.000000000000,Jan 23 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 24 2019
Settlement Date,
Shares per Basket (PNU),50000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,5243.77,Jan 24 2019
Projected Cash for Deliverable Basket,22567.53,Jan 24 2019
Confirmed Cash for Deliverable Basket,25592.15,Jan 23 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,AARTI INDUSTRIES LTD,,Y0000F133,INE769A01020,B0VX289,693,693.63432,0.00000,21.537599,INR,1.000000,,,,,,,
EQUITY,ADANI ENTERPRISES LTD,,Y00106131,INE423A01024,B01VRK0,2528,2528.37313,0.00000,2.004345,INR,1.000000,,,,,,,
EQUITY,ADANI POWER LTD,,Y0019Q104,INE814H01011,B3WQH49,14775,14775.00000,0.00000,0.725349,INR,1.000000,,,,,,,
EQUITY,ADANI TRANSMISSION LTD,,Y0R15U100,INE931S01010,BYPCLL6,5268,3608.43283,0.00000,2.909804,INR,1.000000,,,,,,,
EQUITY,ADITYA BIRLA FASHION AND RETAIL LT,,Y6862N106,INE647O01011,B86PGH3,3512,3512.00000,0.00000,2.860747,INR,1.000000,,,,,,,
EQUITY,AEGIS LOGISTICS LTD,,Y0018C122,INE208C01025,BYZ5JH7,1544,1544.00000,0.00000,2.766136,INR,1.000000,,,,,,,
EQUITY,AIA ENGINEERING LTD,,Y0028Y106,INE212H01026,B0QDXM5,722,722.00000,0.00000,22.978485,INR,1.000000,,,,,,,
EQUITY,AJANTA PHARMA LTD,,Y0R6E1145,INE031B01049,BWFGD74,405,405.00000,0.00000,16.334712,INR,1.000000,,,,,,,
EQUITY,AKZO NOBEL INDIA LTD,,Y0035S100,INE133A01011,6124896,170,170.09701,0.00000,24.383629,INR,1.000000,,,,,,,
EQUITY,ALEMBIC PHARMACEUTICALS LTD,,Y0R76F109,INE901L01018,B691276,871,871.00000,0.00000,8.259163,INR,1.000000,,,,,,,
EQUITY,ALLAHABAD BANK,,Y0031K101,INE428A01015,6708289,5476,5476.00000,0.00000,0.589390,INR,1.000000,,,,,,,
EQUITY,AMARA RAJA BATTERIES LTD,,Y00968142,INE885A01032,B8BGVX2,397,397.00000,0.00000,10.967132,INR,1.000000,,,,,,,
EQUITY,ANVESHAN HEAVY ENGINEERING LTD,,,INE294Z01018,BDFSBZ1,0,96.58955,0.00000,24.229869,INR,1.000000,,,,,,,
EQUITY,APL APOLLO TUBES LTD,,Y0181Q114,INE702C01019,B03CVQ5,111,111.00000,0.00000,15.835728,INR,1.000000,,,,,,,
EQUITY,APOLLO HOSPITALS ENTERPRISE LTD,,Y0187F138,INE437A01024,6273583,1721,1721.00000,0.00000,18.135118,INR,1.000000,,,,,,,
EQUITY,APOLLO TYRES LTD,,Y0188S147,INE438A01022,6168902,4933,4933.00000,0.00000,3.061182,INR,1.000000,,,,,,,
EQUITY,ARVIND FASHIONS LTD,,,INE955V01021,BDFSBX9,0,521.59701,0.00000,9.691920,INR,1.000000,,,,,,,
