Fund Level
Fund Name,iShares Edge MSCI Min Vol USA Small-Cap ETF
Fund Ticker,SMMV
Fund ISIN,US46435G4331
Fund Cusip,46435G433
Fund LEI,
Total NAV per share,30.426859,Jan 23 2019
Distribution per Share,,
Fund Size,82152519.30,Jan 23 2019
Shares Outstanding,2700000,Jan 23 2019
Baskets Outstanding,54.000000000000,Jan 23 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 24 2019
Settlement Date,
Shares per Basket (PNU),50000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,4061.72,Jan 24 2019
Projected Cash for Deliverable Basket,24800.69,Jan 24 2019
Confirmed Cash for Deliverable Basket,24806.87,Jan 23 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,AAR CORP,,000361105,US0003611052,2001119,42,41.74074,0.00000,37.010000,USD,1.000000,,,,,,,
EQUITY,ACADIA HEALTHCARE COMPANY INC,,00404A109,US00404A1097,B65VZ37,45,45.29630,0.00000,27.890000,USD,1.000000,,,,,,,
EQUITY,ACUSHNET HOLDINGS CORP,,005098108,US0050981085,BD3WG50,99,99.11111,0.00000,23.170000,USD,1.000000,,,,,,,
EQUITY,ADDUS HOMECARE CORP,,006739106,US0067391062,B55BN47,42,42.16667,0.00000,62.500000,USD,1.000000,,,,,,,
EQUITY,ADTALEM GLOBAL EDUCATION INC,,00737L103,US00737L1035,BZ12TX5,14,14.20370,0.00000,49.150000,USD,1.000000,,,,,,,
EQUITY,ADTRAN INC,,00738A106,US00738A1060,2052924,157,156.75926,0.00000,12.270000,USD,1.000000,,,,,,,
EQUITY,ADVANCED DISPOSAL SERVICES INC,,00790X101,US00790X1019,BYMM8B8,290,289.75926,0.00000,24.350000,USD,1.000000,,,,,,,
EQUITY,AG MORTGAGE INVESTMENT TRUST REIT,,001228105,US0012281053,B4NKX38,92,92.01852,0.00000,17.360000,USD,1.000000,,,,,,,
EQUITY,AGREE REALTY REIT CORP,,008492100,US0084921008,2062161,137,136.66667,0.00000,61.290000,USD,1.000000,,,,,,,
EQUITY,ALLETE INC,,018522300,US0185223007,B02R1L6,123,123.42593,0.00000,76.300000,USD,1.000000,,,,,,,
EQUITY,ALLSCRIPTS HEALTHCARE SOLUTIONS IN,,01988P108,US01988P1084,2710039,83,83.03704,0.00000,11.860000,USD,1.000000,,,,,,,
EQUITY,AMC NETWORKS CLASS A INC,,00164V103,US00164V1035,B4MG4Z6,58,58.16667,0.00000,63.190000,USD,1.000000,,,,,,,
EQUITY,AMEDISYS INC,,023436108,US0234361089,2024332,30,30.24074,0.00000,128.150000,USD,1.000000,,,,,,,
EQUITY,AMERICAN ASSETS TRUST REIT INC,,024013104,US0240131047,B3NTLD4,53,52.72222,0.00000,40.630000,USD,1.000000,,,,,,,
EQUITY,AMERICAN CAMPUS COMMUNITIES REIT I,,024835100,US0248351001,B02H871,109,109.37037,0.00000,44.100000,USD,1.000000,,,,,,,
EQUITY,AMERICAN EAGLE OUTFITTERS INC,,02553E106,US02553E1064,2048592,41,40.75926,0.00000,20.210000,USD,1.000000,,,,,,,
EQUITY,AMERICAN HOMES  RENT REIT CLASS A,,02665T306,US02665T3068,BCF5RR9,497,497.29630,0.00000,21.140000,USD,1.000000,,,,,,,
EQUITY,AMERICAN NATIONAL INSURANCE,,028591105,US0285911055,2028420,10,10.38889,0.00000,134.270000,USD,1.000000,,,,,,,
EQUITY,AMERICAS CAR-MART INC,,03062T105,US03062T1051,2813961,18,18.20370,0.00000,71.430000,USD,1.000000,,,,,,,
EQUITY,AMERICOLD REALTY TRUST,,03064D108,US03064D1081,B3SKZK7,255,254.96296,0.00000,28.280000,USD,1.000000,,,,,,,
EQUITY,ANGIODYNAMICS INC,,03475V101,US03475V1017,B00CR04,48,48.20370,0.00000,20.840000,USD,1.000000,,,,,,,
